,cid,votes,time,含awesome,含awesome中文翻译
26860,UgzQ4OBGGGIyUq7xGMV4AaABAg,308,3 years ago,"while we spend hundreds of dollar try to buy what so called ""organic food"" liziqi just pick her ingredients in the backyard. it's awesome.",当我们花费数百美元尝试购买所谓的“有机食品”的东西时，Liziqi只是在后院选择她的食材。这很棒。
33917,UgwWzHvkZtzjRE4rhb94AaABAg,30,3 years ago,"liziqi and team thanks for all your video, such a great work, everything is awesome
♥from indonesia","Liziqi和Team感谢您的所有视频，如此出色的工作，一切都很棒
♥来自印度尼西亚"
20185,UgwZtKiAAF_J4x5Vjoh4AaABAg,25,3 years ago,"she is so beautiful to watch, it is so tranquil, i could have a hard day and i find her and watch her on my phone or tablet and she is so tranquil - i love it, i love her, she is absolutely awesome!!!!!!!",她是如此美丽，它是如此的宁静，我可能会度过艰难的一天，我找到她，在我的手机或平板电脑上看着她，她是如此宁静 - 我爱它，我爱她，她绝对很棒！ !!!!!!
480,Ugzk1P7bWFaCYfdVd4J4AaABAg,14,6 months ago,the video is calm. the sister paper is awesome.,视频看的让人心情平静，妹纸真棒、虽然也吃不太来螺丝丝，但是超爱酸笋
30705,UgwUbmUpfvQnSVUCcXZ4AaABAg,14,3 years ago,i absolutely love your videos! i'm totally in for this bamboo feast!!! bamboo shoots are one of my favorite things to eat. this all looks awesome,我绝对喜欢您的视频！我完全参加这个竹子盛宴！！！竹芽是我最喜欢吃的东西之一。这一切看起来很棒
21259,Ugx4Ik49LafJWYFX_pN4AaABAg,12,3 years ago,awesome too good to be true the farm has everything and anything wow.,太棒了，太好了，无法实现农场拥有一切和一切哇。
26386,UgyDmuaXruu8Ia2TLwV4AaABAg,12,3 years ago,i can't live without watching ds chennel evry episode mke me smile it's jst awesome!,我不能看着DS Chennel Evry情节Mke Me Smile，JST真棒！
18151,UgxiEYmBX-jwCkXfBhd4AaABAg,10,3 years ago,"awesome. it turned out to be crying. many pictures cross time, and quiet flowing. can smooth a lot of folds in my heart. this is the dream of life.",真棒。竟然看哭了。很多画面穿越时间，安静的流水过去。可以抚平很多心上的褶子。这是梦寐以求的生活。
31390,UgyUNuLgMncmFJISwPB4AaABAg,8,3 years ago,"awesome life ....
glory of nature ...
food","很棒的生活...
自然的荣耀...
食物"
4226,Ugw-UR4AZmbiBRTg7aR4AaABAg,7,2 years ago (edited),"congratulations! your videos remember me of my lovely childhood in the countryside and my grandma's awesome cooking!! furthermore, your videos have an eerie aesthetic. they seem etxtracts from a film! may i ask which camera do you use? by the way, which editing programme do you use?",恭喜！您的视频记得我在乡村和祖母的烹饪烹饪中可爱的童年！此外，您的视频具有令人毛骨悚然的美感。他们似乎是从电影中获得的！请问您使用哪种相机？顺便说一下，您使用哪个编辑程序？
19954,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq92-qn-394XN,6,3 years ago,@ashoretoo im sorry i think what she is doing is awesome i do have questions of how she makes money because growing up with a garden there is alot of time involved and cooking like she is and rounding up her ingredients and let's not forget how much time filming and making a video takes so i have much respect for her and i would not be suprised if shes working 15+hrs a day plus taken care of granny much respect to her i dont understand stand why anyone would dislike this content unless its a hate monger,@Ashoretoo我对不起，我想她在做什么很棒，我确实有疑问她如何赚钱，因为在花园里长大的时间涉及很多时间，像她一样烹饪并弄清楚自己的食材，让我们不要忘记多少时间拍摄和制作视频需要花费很大的尊重，如果她每天工作15+hrs加上奶奶的照顾，我不明白，我不会感到惊讶，除非有人会不喜欢这个内容贩子
4987,Ugw0WgwizNuKan2MLq14AaABAg,6,2 years ago,"it's awesome, a beautiful lifestyle. this is my dream lifestyle.",太棒了，一种美丽的生活方式。这是我梦dream以求的生活方式。
35093,UgwPtAXmqIr9ZzbM-NF4AaABAg.8yUS2-MVzry8yUTx6PC6nU,4,3 years ago,i love philippines so much~ i’ve been to palawan last year the scenery there was awesome!,我非常爱菲律宾〜去年我去过巴拉望岛的风景很棒！
16742,Ugw3bWwvJEPeTxEzdBF4AaABAg,4,3 years ago,china is awesome!,中国牛逼！
30678,Ugxnel8DZFvSWb7rv614AaABAg,3,3 years ago,"thank you ! 
good work, as always. you're a smart cookie.your awesome! i like your style. i appreciate you .","谢谢 ！
一如既往的好工作。您是一个聪明的饼干。您很棒！我喜欢你的风格。我感激你 。"
10676,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU799_77-l3-eY,3,3 years ago,"@mohammedharoon8453 i dont have sth against moslem. but i dislike that everybody tend to associate chinese & the culture with ccp while theyre not... just like the name mohammad gets associated with terrorist. boy! what a world! even u mr. mohammad haroon... u know how it feels to be bullied by western people just bc of ur name. .. but u do that also to the chinese! its u who had started to say bad things about liziqi... despite her awesome work & talents !!
its useless to speak to someone like u. byeee!","@Mohammedharoon8453我没有STH对阵穆斯林。但是，我不喜欢每个人都倾向于将中国和文化与CCP联系在一起，而他们却没有……就像穆罕默德这个名字与恐怖分子相关。男生！真是个世界！甚至你，穆罕默德·哈伦（Mohammad Haroon）先生...你知道只有你名字的西方人被西方人欺负的感觉。 ..但是你也对中国人做到了！它开始对利兹基说坏话...尽管她的工作和才华很棒！！
与像你这样的人说话是毫无用处的。 byeee！"
25721,UgwER2qnmVJ7VmOqujl4AaABAg.8yzGOMxnfp88z5tZNpRAVc,3,3 years ago,"bro i also want to say the same thing, for survival we need job but we are deprived of awesomeness of life.realising watching this that life is beautiful but we need to have a beautiful mind to observe things around.",兄弟，我也想说同样的话，为了生存，我们需要工作，但我们被剥夺了生命的敬畏。
25168,UgxqUc3xD69AbnIf0FF4AaABAg,2,3 years ago,so many awesome recipes. i wonder how you remember them all.,这么多很棒的食谱。我想知道你怎么记得他们。
9345,Ugx4v4Qu7A-hIFwCa6x4AaABAg,2,2 years ago,i love music of the background awesome ๐๐๐๐,我喜欢背景的音乐很棒
32328,UgxyHPWwA6T7KFDANKh4AaABAg,2,3 years ago,"3 new video's in a week 
awesome 
","一周内的3个新视频
惊人的
"
20428,UgyBQ_5uCbVeKbBo4ix4AaABAg,2,3 years ago,"awesome, li ziyi, come on",真棒啊，李子柒加油
3330,Ugwg3-Aok2m6Dn3V3UR4AaABAg,2,1 year ago,in every video i learn so much things nd amazed by her skills awesome,在每个视频中，我都学到了很多东西，她的技能令人惊讶
30904,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ8ywn0pf_3CH,2,3 years ago,"try "" almazankitchen "" . for me no1 food chanel. this lady is awesome too.",尝试“ Almazankitchen”。对我来说，No1 Food Chanel。这位女士也很棒。
1587,UgwGX8WYsGvzYmYa_Wx4AaABAg,2,1 year ago (edited),hey lyzi! stop being so awesome ✨,嘿，莱兹！不要再如此棒了✨
14110,Ugz2oZtI38Qv7E9a8w14AaABAg,2,3 years ago,"wish i knew what sum of her ingredients she uses. she's beautiful, intelligent and independent, jus wow! her camera operator is awesome as well, that out of focus shot at the end is masterful. great vid!!",希望我知道她使用的成分总和。她美丽，聪明，独立，jus哇！她的相机操作员也很棒，最后拍摄的焦点很精通。很棒的vid！
26817,Ugwng0IXP60KXKDmYTR4AaABAg,2,3 years ago,i'm glad your putting more subtitles in your videos! thank you for making my day with these awesome vids,我很高兴您在视频中添加更多字幕！感谢您与这些很棒的视频一起度过我的一天
23933,Ugwpl-6vBlOyklQ1rsF4AaABAg,2,3 years ago,i love the way she lives!!!! so awesome,我喜欢她的生活方式！好棒
24412,UgwntCJ2uJU13ac-h_N4AaABAg,2,3 years ago,"amen... liziqi is amazing and awesome, so beautiful and sexy!!! the best cooking on yt and may god continue to bless you and your grandma!!!",阿们...利兹奇很棒，很棒，如此美丽和性感！！！在YT上最好的烹饪，愿上帝继续祝福您和您的祖母！！！！！！！！！！！！！！！！！！
25191,Ugyjw4f5kZ92FpKIR1F4AaABAg,1,3 years ago,very awesome keep going. fighting,太棒了继续前进。战斗
10401,UgyEs1o7148wB15m5eF4AaABAg,1,3 years ago,you have great ideas to make anything you want out in the forest n that's awesome work you do honey as a friend,您有很棒的主意可以在森林中做任何您想要的东西，这是很棒的工作，您作为朋友做亲爱的
19405,UgzkDsGMO1OS6o_y5Tp4AaABAg,1,3 years ago,i think man are waist. she is doing everything alone. what a perfection. really awesome job. hats off y,我认为男人是腰。她一个人做所有事情。多么完美。真的很棒。戴上Y。
8801,Ugyh00rlccPE1v2wQh14AaABAg,1,2 years ago (edited),"her ""supermarkets"" definitely everywhere. and even she walks much everyday, her calves didn't got bigger. still sexier than behati prinsloo's or gigi hadid's. awesome! ๐…๐…๐…",她的“超市”绝对到处都是。即使她每天都走很多，她的小腿也没有变大。仍然比Behati Prinsloo或Gigi Hadid更性感。惊人的！
12649,Ugw7uuYUXMKPbLinkvV4AaABAg,1,3 years ago,awesome.,惊人的。
12952,UgxIVwAMh8b3kJA68Vh4AaABAg,1,3 years ago,thats magic to see this.... i forget all thinks around me. this art is so spezial....awesome!!!,看到这一点的魔力。...我忘记了我周围的所有思想。这种艺术是如此的杂物....太棒了！！！
33571,UgzLuCOqeqCVWrKS7GV4AaABAg,1,3 years ago,"you are awesome ziqi..
your hardwork and efforts are really appreciated... lots of love","你真棒ziqi ..
您的辛勤工作和努力真的很感激...很多爱"
35099,UgwPtAXmqIr9ZzbM-NF4AaABAg.8yUS2-MVzry8yUVNV5sZvs,1,3 years ago,i am a big fan of this channel too .. her way of cooking is really awesome .. loving this channel very much ... very satisfying .. ❤❤❤,我也是这个频道的忠实粉丝。她的烹饪方式真的很棒。非常喜欢这个频道...非常令人满意。
34642,Ugxzy6MAl-butT40_ix4AaABAg.8yUTUIyLaPC8yUVGOlUHhg,1,3 years ago,i too love to watch their vedios so much ... they are great. camera and editing is awesome. and as well she is so cute too ...,我也很喜欢看他们的vedios ...他们很棒。相机和编辑很棒。而且她也很可爱...
34620,UgxLPgOAkko4vKlYkFJ4AaABAg,1,3 years ago,your location is awesome..,您的位置很棒。
20034,UgwiMcIzBnJ1xRFEe3h4AaABAg,1,3 years ago,"take a min and showing respect to the camera man it's was peaks and editor with nature's pleasent music 's beautiful 
and her skills awesome 
literally i don't know what is she cooking but i love it it's finnaly superb","花一分钟，表现出对摄影师的尊重，这是高峰和编辑，大自然的音乐愉快的音乐
她的技能很棒
从字面上看，我不知道她在做什么，但我喜欢它，这是芬纳利的精湛"
13236,UgzU2AaO0fW7WreVKfx4AaABAg,1,3 years ago,"your videos are pretty awesome, so ive subscribe to your channel miss/mrs lizigi.. i love to plant vegestable also even in a tiny space area of our backyard
wish to go home to our province, to do like what youve been doing in ur farm, its so relaxing, and i love the montage video nice place you have there lizigi family","您的视频非常棒，所以我订阅了您的频道小姐/Lizigi夫人。.我也喜欢在我们的后院的一个小空间区域种植vistable。
希望回到我们省，喜欢您在Ur农场所做的事情，它是如此放松，我喜欢您在那里有Lizigi Family的Montage Video的好地方"
3992,UgxqILhVtRJauHphexB4AaABAg,1,2 years ago,i love your cooking.awesome cook.love the beauty of the country side.so beautiful.,我喜欢你的烹饪。
5266,UgzxHeF0kkQ8j3DTj9d4AaABAg,1,2 years ago,she's so awesome ๐,她真棒
12953,UgyBqNeW6DuahGXgzhZ4AaABAg,1,3 years ago,thats magic to see this.... i forget all thinks around me. this art is so spezial....awesome!!!,看到这一点的魔力。...我忘记了我周围的所有思想。这种艺术是如此的杂物....太棒了！！！
31997,Ugw2zKR_rMuUjeA0BoB4AaABAg,1,3 years ago,she's awesome,她很棒
12158,Ugx5JQ6XQ7rpTWitlFF4AaABAg,1,3 years ago,"i am familiar with eating snail soup too! so it was very awesome to see you also do that, we have something in common between morocco and china",我也熟悉吃蜗牛汤！因此，很高兴看到您也这样做，我们在摩洛哥和中国之间有一些共同点
26539,UgyqQPo5gtLtKnd3LPt4AaABAg,0,3 years ago,i like awesome,我喜欢很棒的
27113,UgwgoEEU28Hn3l4UXst4AaABAg,0,3 years ago,this is awesome.,这太棒了。
26241,UgyR3pCsT20yQnLz5Bd4AaABAg,0,3 years ago,"i just discover today her chanel and video, and this is so awesome good filming look like profesional documentary but is this realy amator video? so good to watch her life so peaceful",我今天刚刚发现了她的香奈儿和视频，这真是太棒了，看起来像是专业纪录片，但是这是Amator的视频吗？很好看她的生活如此宁静
25867,UgznAq5_uUy-MvNeeMF4AaABAg,0,3 years ago,"this their job.. her husband probably filming his wife cooks.. that's awesome.. but behind scene for sure its a lot work to pick you're food from the back yard ;) 
respect!","这是他们的工作..她的丈夫可能在拍摄妻子的厨师..太棒了..但是在现场肯定会做很多工作，可以从后院挑选您的食物；）
尊重！"
26147,UgxdU6xpo5rKarLeVPR4AaABAg,0,3 years ago,"natural life in both (you, grandmom) my life is dirty.... all are artificial..... your silence, work, in kitchen... very ness i will impress you..... your team is good videographer work is ness buetifull in awesome video",两者的自然生活（你，祖母）我的生活很肮脏....所有人都是人造的.....你的沉默，工作，在厨房里...我会留下深刻的印象.....你的团队很好摄影师的作品是令人敬畏的视频中的Ness Buetifull
27371,UgxOBvZCB_Twxdi4ULh4AaABAg,0,3 years ago,wow u r soooooooooo awesome,哇，你太棒了
24922,UgxfYNR1Cgqur2Fqr7R4AaABAg,0,3 years ago,oh my god its awesome,哦，天哪，真棒
25359,UgxwSUb_utR3WbKpcSx4AaABAg,0,3 years ago,awesome..,太棒了..
25216,UgzYgS6MnKslZwFEGzp4AaABAg,0,3 years ago,wow you places waa awesome.....,哇，你的地方很棒.....
25202,UgyYIUMm7wDCVbDcCwN4AaABAg,0,3 years ago,"awwwww so peaceful there, to live there until the end would be awesome, away from all the dramas. even the food is lovely. as for the hard working young lady she's beautiful, princess of the garden. thanks for sharing your paradise with us.",在那里如此宁静，到那里住在那里，直到最后会很棒，远离所有戏剧。甚至食物也很可爱。至于勤奋的小姐，她很漂亮，是花园的公主。感谢您与我们分享您的天堂。
27515,Ugx9pwB5zKaXAcvofKl4AaABAg.8ye2BsPtesT8ymqvN3PKDW,0,3 years ago,she is awesome,她很棒
24913,UgwsRaLJN2QerqI264l4AaABAg,0,3 years ago,awesome cooking liziqi i like it very much,很棒的烹饪liziqi我非常喜欢
24669,Ugy85vJR5qiiG6j4yQV4AaABAg,0,3 years ago,bamboo shoots are my favourite!!! we make pickles out of it... bamboo shoot pork is awesome,竹芽是我的最爱！！！我们用它做泡菜...竹芽猪肉很棒
24665,Ugw0srqOxXVTAv10Nx14AaABAg,0,3 years ago,awesome recipe,很棒的食谱
24296,UgzkQn449XWj6p6x68B4AaABAg,0,3 years ago,"why would anyone even take time to down vote this video? if you don’t like a video, just move on with your day. i swear some people could crap a gold brick and have something negative to say about it. awesome video!!!",为什么有人甚至会花一些时间来投票？如果您不喜欢视频，请继续前进。我发誓有些人可能会破坏金砖，对此有负面评价。很棒的视频！！！
24255,Ugw79YjVJ5Od5dQbrtJ4AaABAg,0,3 years ago,"wow,awesome!",哇，真棒！
23717,UgxjttBSIYypCvQC8M94AaABAg,0,3 years ago,i was so happy to see grandma's joyful laughter. you are awesome! intersection intersection,看到奶奶欢乐的笑声我就好开心。你真棒！！！
23438,Ugw08RT-LH-fcmLDL7x4AaABAg,0,3 years ago,awesome!,惊人的！
23265,Ugzl_1g23lovVwl156Z4AaABAg,0,3 years ago,"awesome vlog
","很棒的视频博客
"
23242,Ugwz_9kHEJTB5ybNUu54AaABAg,0,3 years ago,awesome,惊人的
27493,UgzOcQTYljPIVcqdDcJ4AaABAg,0,3 years ago,you are awesome babe,你很棒的宝贝
154,UgxAmlR2ZR-Z72OPvPZ4AaABAg,0,1 month ago,your life style is awesome,你的生活风格很棒
27776,Ugw5J1vSnwC70CCDwD54AaABAg,0,3 years ago,"the place near your house, the garden, vegetable plants, fruits all are awesome .... feel like to visit the place....",您家附近的地方，花园，蔬菜植物，水果都很棒。
33152,UgzzRdGXS7yFks_Cxd54AaABAg,0,3 years ago,thanks gorgeous... for upload this awesome video.,谢谢华丽...上传了这个很棒的视频。
31738,UgwgXMAVOx0W4o39YhF4AaABAg,0,3 years ago,"i would love to live there in that place. i am retired at 41, if it was simple i would go meet her and learn some of that cooking. very awesome videos",我很想住在那个地方。我在41岁时退休，如果很简单，我会去见她并学习一些烹饪。非常棒的视频
31828,UgwJzUUI6s5XIushfVJ4AaABAg,0,3 years ago (edited),"if there's someone who can put english subtitles to this video, that would be awesome. i know she doesn't do it because she only uploads to weibo in china. but whoever does it for youtube, i'd love to know the names of the ingredients.


it's there now, thanks.","如果有人可以在此视频上贴上英文字幕，那真是太棒了。我知道她不这样做，因为她只会上传到中国的微博。但是，无论谁是为YouTube做的，我都希望知道成分的名称。


现在在那里，谢谢。"
32070,UgwrjqAR5ukJiW4FuCt4AaABAg,0,3 years ago,"it's great, it's awesome, i'm drooling, no wonder grandma wants to eat",太棒啦太棒啦太棒啦，我跟着流口水，难怪奶奶要吃的
32509,UgyJlM0Vpj5cd8nwkfV4AaABAg,0,3 years ago,"you're so awesome in everything you do, specially in taking caring of your grandma. god bless you more...",您在所做的每一件事上都很出色，特别是在照顾奶奶。上帝保佑你更多...
32684,Ugw2JNgzqosKL5FR8Ph4AaABAg,0,3 years ago,these videos are awesome. it's too denied,这些视频很棒。也被否认
32766,UgyM0MI-dJiAME1iI2l4AaABAg,0,3 years ago,you are awesome and love you,你很棒，爱你
33072,UgwYA8WDBE-zEW53uEl4AaABAg,0,3 years ago,"awesome, i am the common and the only arabic follow -up to enjoy your video",太棒了，我是唯一的欣赏视频的普遍和唯一的阿拉伯语。
33633,Ugw8gxCPZ_wl2qFELSB4AaABAg,0,3 years ago,awesome i wish to come thr nd stay with this girl....... feeling happy while seeing this,太棒了，我想和这个女孩在一起。
31621,Ugzpe8bpOTbeAlDZC6p4AaABAg,0,3 years ago,awesome,很棒的嘴浇水
33926,UgxNEDSDf7b0_LOS9Op4AaABAg,0,3 years ago,"if watching these videos makes you want to learn fermentation (awesome) don't stick your hand into a ferment until you've tested a smaller batch. the bacteria on your skin can ruin a ferment, some people have the right mix and the ferment will be fine but others can spoil all their work in one moment.
i used to make ferments all the time, stick my hands in them with no problems. my ex would stick his fingers into the same ferment to get a pickled veg for a snack and by the next morning the entire batch was no longer safe to eat.","如果观看这些视频使您想学习发酵（很棒），请不要将手放在发酵液中，直到您测试了较小的批次。您的皮肤上的细菌会破坏发酵，有些人有正确的混合物，而发酵会很好，但另一些人可以在一瞬间破坏所有工作。
我曾经一直进行发酵，毫无问题地将手伸到它们中。我的前任会把他的手指伸入同一发酵液中，以获取腌蔬菜作为小吃，到第二天早晨，整个批次不再安全吃。"
34008,UgwT0ma26x_EMeIVYyl4AaABAg,0,3 years ago,"the idea, sealing food off from the air around using water at the edge of the pot, is scientifically the perfect solution.. chinese were always good at thinking ""best and fast way to solve a problem"" . combined with a beautyful women cooking the most delicious food.. awesome.. so . stay awesome !",这个想法是，在锅边缘的水上用水将食物从空中关闭，这是科学的解决方案。中国人总是擅长思考“解决问题的最佳和快速方法”。再加上一个美丽的女人烹饪最美味的食物..太棒了..所以。保持好状况 ！
34045,UgwyniRzeXGyU_EaFGx4AaABAg,0,3 years ago,awesome.her presence infront camera is so natural..... how see become like that.....!!? like i am watching her live...,太棒了。就像我看着她的直播...
34098,UgysKD10sSRirPsIchx4AaABAg,0,3 years ago,and another awesome video by the great li ziqi! 谢谢,还有一个很棒的李Zqi的很棒的视频！谢谢
34519,UgzGFHvY-nDyt3qhzIJ4AaABAg,0,3 years ago (edited),your all videos awesome i'm your big fan,你们所有的视频很棒，我是你的忠实粉丝
34694,UgwnVXi6Rr16-2FWrSd4AaABAg,0,3 years ago,awesome...,惊人的...
34889,UgzqSnSsqMplsOCyi694AaABAg,0,3 years ago,awesome,惊人的
31679,UgysVzeClUwxaTdUzi54AaABAg,0,3 years ago,"awesome, as always. greetings from nepal :)",真棒，一如既往。来自尼泊尔的问候:)
31458,Ugzc7-ZfCZXBLUOqbkl4AaABAg,0,3 years ago,"she is very intelligent and displane 
she creat new things also your videos was awesome keep it up","她非常聪明和流动
她创建了新事物，您的视频也很棒，请继续"
28021,UgyDlA4nCehXGF-0SgF4AaABAg,0,3 years ago,i need ths gal rith nw her cooking s really awesome made my mouth watering,我需要gal rith nw她的烹饪真的很棒
22349,UgxvKeQ_RhBT2JTG_St4AaABAg,0,3 years ago,"beef, it's what's for dinner, my first advertisement in 45 minute of viewing this awesome channel, come on youtube, pick up your game, give this lady some money.",牛肉，这是晚餐的东西，这是我在观看这个很棒的频道的45分钟内的第一份广告，来YouTube，拿起游戏，给这位女士一些钱。
28098,Ugzhq9pp2Atb6cDXT614AaABAg,0,3 years ago,you are awesome,你真棒
28298,Ugznv9CFekbit5vkZo14AaABAg,0,3 years ago,i think that hands is roughed coz she's hardworking. she's awesome!!,我认为她的努力工作很粗糙。她很棒！
28787,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g97Rh-9WLr44,0,3 years ago,awesome!,好棒喔！
29016,UgwtNY7maZ82_bUnKeF4AaABAg,0,3 years ago,wow just awesome,哇，真棒
29059,UgyOsrjsA9jrby88Vct4AaABAg,0,3 years ago,see how happy your grandma laughed! your granddaughter is awesome! bleak,看老奶奶笑得多开心啊！您的孙女真棒！
29090,UgxMPIeWmWH10EmhHmF4AaABAg,0,3 years ago,awesome!,惊人的！
29616,UgztGthTyv69w1GN8tJ4AaABAg,0,3 years ago,"lovely video.
i love watching your videos to see what tools and techniques you use, as well as your magnificent garden. you grow and harvest so much food, while i only seem to kill any plant i grow except for herbs.
thank you for the awesome videos you create!","可爱的视频。
我喜欢观看您的视频，以查看您使用的工具和技术以及宏伟的花园。您生长并收获太多食物，而我似乎只杀死除草药以外的任何植物。
感谢您创建的很棒的视频！"
29812,UgwiPGsq39avhF_ROHp4AaABAg,0,3 years ago (edited),yuk on the snails..but awesome your still the most purfect.. woman on the planet..much-loved,Yuk在蜗牛上..但真棒，您仍然是最纯净的..女人在地球上。
31391,Ugyb05ABLJ8s8b4OsNd4AaABAg,0,3 years ago,omg her soup spoon looks awesome,天哪，她的汤勺看起来很棒
29822,Ugy5p3PJHaQYB0QceUt4AaABAg,0,3 years ago,awesome. english titles as well please. thanks for the subtitles.,惊人的。也请英语标题。感谢您的字幕。
29939,UgzFGes2-AYZsGPJ8kt4AaABAg,0,3 years ago,"i missed the bamboo shoots in my country... especially, when my tatay cook for me along with other vegetables and with dried fish! awesome food!",我错过了我国的竹芽……尤其是当我的Tatay和其他蔬菜和干鱼一起为我做饭时！很棒的食物！
30523,UgwFoW3gL2wnlnZJCTx4AaABAg,0,3 years ago,hello beautiful!! awesome and relaxing video again from you. love you!,你好美丽的！！您的视频再次很棒。爱你！
30616,UgwlVof6cf2M_uk3-_14AaABAg,0,3 years ago,"i want to say that you are awesome, the tone of listening to you should be sichuan or yunnan, i watched your video this day.",我想说你好棒、听你说话的语气你应该是四川人或者云南人哦、我今天一天都在看你的视频。
30818,UgzqjO9R-5y_Y9halwp4AaABAg,0,3 years ago,"wow it´s truly beautiful where you live, and you seem to be a awesome cook <3",哇，这是您居住的真正美丽，您似乎是一个很棒的厨师<3
30958,UgwYXBXBdUeyaDHD-uh4AaABAg,0,3 years ago,its 12 midnight now and i cant swallow my mc donald chezburger while watching this awesome food..,现在是12个午夜，我不能吞下我的MC Donald Chezburger，同时看着这种很棒的食物。
31382,UgxSxwUETInc94vryJB4AaABAg,0,3 years ago,hi sister i always waiting for your videos i love your videos much and it's awesome,嗨，姐姐，我一直在等您的视频，我非常喜欢您的视频，这很棒
23045,UgwMMM3OjXLy-0-_e454AaABAg,0,3 years ago,"hi li,
you are so cute living doll like your name, you awesome","李，李，
你是如此可爱的活娃娃，就像你的名字一样，你很棒"
20276,UgwOB7doSrkwSKhEI514AaABAg,0,3 years ago,awesome.,惊人的。
22243,Ugzf9AvzK4FADBvFmAV4AaABAg,0,3 years ago,"a survivor off land,she has awesome videos",一个幸存者，她有很棒的视频
21814,Ugx92bfDPMfjB22vxWV4AaABAg,0,3 years ago,awesome sister,很棒的姐姐
6772,UgxJFtYWbxwrO7-oIY54AaABAg,0,2 years ago,"awesome, inspiring will try in my mini village ๐ค—",很棒的，鼓舞人心的人会在我的迷你村庄尝试
7306,UgxftKJQ_-bFvUfbGQd4AaABAg,0,2 years ago,awesome โค๏ธ,很棒的❤️
7790,UgzsfNhtGG0je_Q1y9p4AaABAg,0,2 years ago,you 're awesome...very interesting n inspiration,你很棒...非常有趣的n个灵感
8205,UgxsOeg6xDMZKg6Mrhx4AaABAg,0,2 years ago,awesome,惊人的
8529,UgyDxBqB-l9LClDrvDR4AaABAg,0,2 years ago,hard work i am sure but the ingredients and meals you cook are awesome i love the fact that mom is there too,我敢肯定，努力工作，但是您烹饪的食材和饭菜很棒，我喜欢妈妈也在那里的事实
8592,UgyMOVAWC_KJ5-ntoZR4AaABAg,0,2 years ago,you are awesome but what do you do for fun? you are always working and cooking!,你很棒，但是你做什么娱乐？您一直在工作和烹饪！
8601,UgyOxIkvpLFuQtUG3h14AaABAg,0,2 years ago,"wow, that's awesome.",哇，太棒了。
9557,UgwAvdZI-IfdWTaYjOh4AaABAg,0,3 years ago,awesome indeed.,确实很棒。
9715,Ugw2P9GyE6CsWz_lArN4AaABAg,0,3 years ago (edited),her kitchen is so masse. but garden is awesome. plz make a video of your garden tour.,她的厨房太大了。但是花园很棒。 PLZ制作您的花园之旅的视频。
9993,Ugz66YTFWMrTjLEdftd4AaABAg,0,3 years ago,awesome,惊人的
10452,UgwoDoElgiN0EIob_U14AaABAg,0,3 years ago,such awesome connect with nature.,与自然的联系如此出色。
10827,UgyJ2EfbQyK73pVdLjJ4AaABAg,0,3 years ago,awesome life,很棒的生活
11215,Ugz1MMade1hDGAESbc54AaABAg,0,3 years ago,"liziqi, at the end of the video, you have some hanging fruits. what are they please? btw, your video director/cameraman is awesome.",Liziqi，在视频的结尾，您有一些悬挂的水果。他们是什么？顺便说一句，您的视频导演/摄影师很棒。
11232,UgwXiqWVP-hhWBI62vV4AaABAg,0,3 years ago,awesome woman she's living the way we all should,很棒的女人，她以我们所有人的方式生活
11350,Ugw6wsOeYqbqRBJhhqR4AaABAg,0,3 years ago,"awesome channel, and wonderful videos. hold it",很棒的频道和精彩的视频。握住它
11445,Ugxlog5-4MTinoESr-F4AaABAg,0,3 years ago,awesome...natural..beauty...delicious,太棒了...天然.. Beauty ...美味
11717,UgxsOYxvpgNR99jB0gN4AaABAg,0,3 years ago,we have seen how you plucked and make awesome stuffs ...let us see how you grow and nourish them.,我们已经看到了您如何拔出并制作出色的东西...让我们看看您如何成长和滋养它们。
6670,UgwK_-qpsn6SLNqgSxx4AaABAg,0,2 years ago,"awesome ๐โ€โ€๏ธ๐โ€โ€๏ธ๐โ€โ€๏ธ๐โ€โ€๏ธ
music name ?????","很棒的
音乐名称??????"
6555,UgzjtcEc1YQ_o0QrzC54AaABAg,0,2 years ago,"she is truly an inspiration. ๐i watched almost every videos in her channel. โค๏ธ makes me want to live a simple life too. to everybody enjoying it as well i wanna share with you my friend's music and hopefully liziqi notice it too (would be truly awesome ๐). he writes very good music for free and it's a nice way to enjoy life even on quarantine. let's all share positivity and love. you can check the link below! ๐€

https://m.youtube.com/channel/ucdexl2evplsj8dvfv4cmcga","她确实是一个灵感。 

https://m.youtube.com/channel/ucdexl2evplsj8dvfv4cmcga"
6504,UgwBCpMlIkzfnyIKGhx4AaABAg,0,2 years ago,awesome,惊人的
3571,UgzJ8LlSkxskWQglQsh4AaABAg,0,2 years ago,this is awesome i like very much,这太棒了，我非常喜欢
615,UgzH6YC2BV8FB02vLYN4AaABAg,0,8 months ago,awesome,惊人的
1531,UgyAP1RE635ZuRpQV9x4AaABAg,0,1 year ago,awesome,惊人的
