,cid,votes,含calm,含calm中文翻译
not kiss. infinite harm. villain enter.
bailing bad.

[easy to solve] it is also human, good, evil and evil, and mental heights are uneven. there are many people affected by the vulgarity, and there are few people with kindness and generosity. if they are really benevolent, everyone naturally fears him, because he speaks fair and selflessly without concealment, and does not please others, so everyone will naturally be awesome. those who can get close to rende and learn from him are very lucky, because he will make our virtue progress every day, and the fault will decrease one day. if you are not willing to get close to the gentlemen of the people, there will be endless scourge, because the unscrupulous villain will approach us while it is false, and our words and deeds will be affected by bad words, and even the whole life will enter the wrong direction.

文 ❤ 
do not work. but learn text. long flashy.
whoever. but do it. don't learn text.
let's see it. amazing.

[easy to solve] can't do filial piety, 悌, jin, faith, pan -loving, and relatives, and blindly study. even if there are some knowledge, it is just a habit that has increased its fascinating and unrealistic. what is the use? if you just keep your teachings and refuse to study, it is easy to do it because of unknown things and cause mistakes according to your own prejudice. this is also wrong.

reading. three arrives. eye.
believe. read this. don't admire.
this is not the end. don't get up. width is limited.
tightly use it. worked. stady.
suspicious. sui notes. just ask.
seeking meaning.

[easy to solve] the method of reading should be focused on three arrival: eye, mouth, and heart, the three are indispensable, so that the effect of getting more effort can be received. study science must be dedicated to deepen, and you ca n’t start reading this book before it can be read. he also enviouss other books and wants to read other books. this will never be able to read a book in depth. you must read this book to read another one. when setting a reading plan, you may wish to relax. in actual implementation, you must step up hard work and strictly implement it. you must not be lazy. the daily accumulation of the month was deeply worked, and the original unreasonable and doubtful doubts were naturally solved. when you have any questions in your heart, you should take notes at any time. as soon as you have a chance, you should ask the good teacher yiyou. be sure to understand its true meaning.

the room is clear. the wall is clean. several cases are clean.
the pen is zheng. ink grind. both heart.
the word is disrespectful. heart disease. list of classics.
there is a fixed. after reading. restore.
although there is anxiety. crushed. there is a shortage.
just make up. non -holy books. don't look at the screen.
well. bad heart. don't violently.
don't give up. holy and xian. tame.

[easy to solve] the study should be sorted and cleaned, and the walls should be kept clean. when reading, stationery such as pen and ink, paper, and other stationery should be neat and messy, and all of them are in order to calm down to read. the ancients should use a brush to write ink first. if they were absent, the ink would be missed. if the words written are crooked, it means that you are impetuous and your heart cannot be determined. books should be divided into different categories, arranged neatly, placed in a fixed position, and they must be returned to the restore place after reading. although there is an urgent matter to leave, take the book and leave it before leaving. the book is the crystallization of wisdom. if there is a defect, it must be repaired and keeps complete. it is not a book that preach the words and deeds of sages and bad books that are harmful to physical and mental health. they should abandon and not read, so as not to be polluted, wisdom, and ambitions to become unhealthy. when you encounter difficulties or setbacks, don't abandon yourself, don't have to be cynical, complain about the world, you should be angry and study hard. although the realm of sages is high, it can be achieved in order. ❤

disciples are easy to solve (end)
title: disciples three -character sutra
filial scriptures are easy to solve. welcome to print.
❤ minglun teach filial piety
read thousands of times. it is self -explanatory.
implement life. it really does.

the disciples' name is ""xunmengwen"", which was made by li yuxiu, a talented talent in the kangxi period of the qing dynasty. its content adopts the sixth articles of ""the analects of confucius"": ""the disciples enter the filial piety, and they are brothers, and they believe in the people, and they love the public, and they have the power to learn."" sentence yiyun compilation is divided into five parts to perform; specifically listed on the etiquette and norms that the children are at home, out of the country, taking care of people, studying, and studying. later, after the revision of jia cunren in the qing dynasty, it was renamed ""disciples regulations"". it was the best reading of enlightenment and educating children dunlun to prevent evil and consciousness, and develop a loyal family style.
title: changli
1. family affairs, do not say to outsiders.
for example, if you talk about the economic situation at home, the place where your family usually goes out, or when the family is expected to go, in case of the thief or someone who is interested, they will break through the empty door and do bad things.
in addition, the ancients said that the family was ugly. if complains and accusing their families of listening to outsiders, others could not help you solve the problem. it would not only hurt the dignity of the family, but also made outsiders impress your family. or outsiders pass the housework you said as a gossip. if the sky is chaotic and then spread back to your ears, it will not only be unable to argue, but also increase the family's heart.

2. buddhism: knowing that more methods are actually giving.
❤ faiba: wisdom and wisdom.
i often read the ancient sage books and do their best. let the general public pay attention to moral cultivation and distinguish between right and wrong, so that they will not argue with others or sin.
❤ 富。。.
foreign wealth is something outside of the body, money, clothes, food, etc., provided to those in need.
inner wealth is his own body. at home, we help our family to do housework, serve our family with our bodies, and help the poor to help the poor disadvantage. this is all fortune. only can it be available.
❤ the fearless giving is the reason, the obtained fruit is healthy and longevity.
everything is terrifying, fearful, and threatened by life. you help him leave all horror and let him be physically and mentally stable. this is called fearless giving.

3. see the person who is lost, don't say proud.
(those who understand the feelings of others can always think about others.)
when he encounters frustrated, sad, and lost people, he has been hit in all aspects and is very unhappy. it should be said that he can comfort him, instead of saying how much he is.
when others break their fortunes and lose their jobs, you say that you are promoted to get rich, which will make the other party even more unbearable. pride and pride itself is evil, let alone hurt people?
on the contrary, the mood that can be eliminated by others' nervousness or anxiety is good. even if you ca n’t help you, do n’t go down. don't do it because of goodness, don't do it because of evil.
it is not only violence and crime called evil deeds. the evil thoughts that people often can't stop are the source of disaster.
welcome to print. bleak","弟子规（3）
❤泛爱众
凡是人。皆须爱。天同覆。
地同载。

【易解】 只要是人，就是同类，不分族群、人种、性别、宗教信仰，皆应相亲相爱。同是天地所化育覆载的，应该不分你我，互助合作，才能维持这个共生共荣的生命共同体。
❤
行高者。名自高。人所重。
非貌高。才大者。望自大。
人所服。非言大。
❤
【易解】 德行高尚者，名望自然高显，大家所敬重的是他的德行，不是外表容貌。有才能的人，处理事情的能力卓越，声望自然不凡，然而人们所欣赏佩服的，是他的处事能力，而不是因为他擅于夸耀。
❤
己有能。勿自私。人所能。
勿轻訾。勿谄富。勿骄贫。
勿厌故。勿喜新。人不闲。
勿事搅。人不安。勿话扰。

【易解】 当你有能力可以为众人服务的时候，不要自私自利，只考虑到自己，舍不得付出。对于他人的才华，应当学习、欣赏、赞叹，而不是批评、嫉妒、毁谤。不要去讨好巴结富有的人，也不要在穷人面前骄傲自大，或者轻视他们。更不可以喜新厌旧，对于老朋友或旧事物要珍惜，对于新朋友或新事物不要贪恋。当别人正在忙碌的时候，不要去打扰他，当别人心情不好或身心欠安的时候，不要闲言闲语去干扰他，增加他的烦恼与不安。
❤
人有短。切莫揭。人有私。
切莫说。道人善。即是善。
人知之。愈思勉。扬人恶。
即是恶。疾之甚。祸且作。
善相劝。德皆建。过不规。
道两亏。

【易解】 别人的缺点，不要去揭穿。别人的隐私，切忌去张扬。赞美他人的优点或善行，就是行善。当对方听到你的称赞之后，必定会更加勉励行善。张扬他人的过失或缺点，就是行恶，如果指责批评太过分了，还会给自己招来灾祸。朋友之间应该互相规过劝善，共同建立良好的品德修养。如果有错不能互相规劝，两个人的品德都会有缺陷。
❤
凡取与。贵分晓。与宜多。
取宜少。将加人。先问己。
己不欲。即速己。恩欲报。
怨欲忘。报怨短。报恩长。

【易解】 财物的取得或给予，一定要分办清楚明白，宁可多给别人，自己少拿一些，才能广结善缘，与人和睦相处。要将事物加到别人身上，或要托别人做事之前，先要反问自己：「如果换成是我，我愿意吗？」如果连自己都不愿意，就要立刻停止。受人恩惠要记得报答。别人有对不起自己的事，应该宽大为怀把它忘掉。怨恨不平的事不要记在心中太久，过去就算了。别人对我们的恩德，则要铭记在心，感恩不忘，常思报答。
❤
待婢仆。身贵端。虽贵端。
慈而宽。势服人。心不然。
理服人。方无言。

【易解】 对待家中的婢女与仆人，要注重自己的品行端正并以身作则。虽然品行端正很重要，但是仁慈宽大更可贵。如果仗势强逼别人服从，对方难免口服心不服。唯有以理服人，别人才会心悦诚服没有怨言。

同是人。类不齐。流俗众。
仁者希。果仁者。人多畏。
言不讳。色不媚。能亲仁。
无限好。德日进。过日少。
不亲仁。无限害。小人进。
百事坏。

【易解】 同样是人，善恶邪正、心智高低却是良莠不齐。受风气流俗影响的人多，仁慈宽厚的人少。如果是真正有仁德的人，大家自然敬畏他，因为他说话公正无私没有隐瞒，又不讨好他人，所以大家自然会起敬畏之心。能够亲近仁德的人，向他学习，是很幸运的事，因为他会使我们的德行一天比一天进步，过错也跟着一天天减少。如果不肯亲近仁人君子，就会有无穷的祸害，因为不肖的小人会趁虚来接近我们，日积月累，我们的言行思想都会受到不良的影响，甚至使整个人生走入错误的方向。


不力行。但学文。长浮华。
成何人。但力行。不学文。
任己见。昧理真。

【易解】 不能身体力行孝、悌、谨、信、泛爱众、亲仁这些本分，一味死读书，纵然有些知识，也只是增长自己浮华不实的习气，变成一个不切实际的人，如此读书又有何用？如果只是谨守教诲，却不肯读书学习，就容易因不明事理，而依自己的偏见行事，造成错误而不自知，这也是不对的。

读书法。有三到。心眼口。
信皆要。方读此。勿慕彼。
此未终。彼勿起。宽为限。
紧用功。工夫到。滞塞通。
心有疑。随札记。就人问。
求确义。

【易解】 读书的方法要注重三到：眼到、口到、心到，三者缺一不可，如此方能收到事半功倍的效果。研究学问要专一、专精才能深入，不能这本书才开始读没多久，又欣羡其他的书，想看其他的书，这样永远也定不下心把一本书好好深入读通。必须把这本书读完，才能再读另外一本。在订定读书计画的时候，不妨宽松一些，实际执行时，就要加紧用功，严格执行，不可以懈怠偷懒。日积月累功夫深了，原先窒碍不通、困顿疑惑之处，自然而然都迎刃而解了。求学当中，心里有疑问时，应随时笔记，一有机会，就向良师益友请教，务必确实明白它的真义。

房室清。墙壁净。几案洁。
笔砚正。墨磨偏。心不端。
字不敬。心先病。列典籍。
有定处。读看毕。还原处。
虽有急。卷束齐。有缺坏。
就补之。非圣书。屏勿视。
蔽聪明。坏心志。勿自暴。
勿自弃。圣与贤。可驯致。

【易解】 书房要整理清洁，墙壁要保持干净。读书时，书桌上笔墨纸砚等文具要摆放整齐不凌乱，触目所及皆是井然有条，才能静下心来读书。古人写字使用毛笔先要磨墨，如果心不在焉，墨就会磨偏了。写出来的字如果歪歪斜斜，就表示你浮躁不安，心定不下来。书本应该分门别类，排列整齐，放在固定的位置，阅读完毕须归还原处。虽有急事要离开，也要把书本收好再离开。书本是智慧的结晶，有缺损就要修补，保持完整。不是传述圣贤言行的著作，以及有害身心健康的不良书刊，都应该摒弃不看，以免身心受到污染、智慧遭受蒙蔽、心志变得不健康。遇到困难或挫折的时候，不要自暴自弃，也不必愤世嫉俗、怨天尤人，应该发愤向上努力学习。圣贤境界虽高，循序渐进，也是可以达到的。 ❤

弟子规易解（终）
书名：弟子规 三字经 
孝经 易解。欢迎翻印。
❤明伦教孝
读书千遍。其意自现。
落实生活。确实做到。

弟子规原名＜训蒙文＞，为清朝康熙年间秀才李毓秀所作。其内容采用《论语》学而篇第六条：「弟子入则孝，出则弟，谨而信，泛爱众，而亲仁，行有余力，则以学文。」的文义以三字一句，两句一韵编纂而成，分为五个部份加以演述；具体列举出为人子弟在家、出外、待人接物、求学应有的礼仪与规范，特别讲求家庭教育与生活教育。后经清朝贾存仁修订改编，并改名为＜弟子规＞，是启蒙养正，教育子弟敦伦尽份防邪存诚，养成忠厚家风的最佳读物。
书名：常礼举要
1.家庭之事，不可向外人言。
举例来说，如果你讲到家里的经济状况、家人平常出入的地点，或是什么时间家人预计要去哪里，万一被小偷或是有心人士打听到了，他们会闯空门、做坏事。
另外，古人说家丑不可外扬，若是抱怨、指责家人给外人听，别人也不能帮你解决问题，不仅会伤害家人的尊严，也让让外人对你们一家印象不佳。又或者外人把你说的家务事都当成闲谈八卦传出去，若是说得天花乱坠再传回你耳中，不仅百口莫辩，也徒增一家人心里难受。

2.佛教：知道得到更多的方法其实是布施。
❤法布施：得聪明智慧。
常常读古圣贤书，并身体力行。让社会大众能够注重品德修养，能够分辨是非，才不会与人争执或是犯罪。
❤财布施得财富、功德。
外财就是身外之物，钱、衣服、食物等，提供给需要的人。
内财是自己身体。我们在家里面，帮助家人做家事，用我们的身体为家人服务，在外做义工帮助贫困弱势这都是财布施。能舍才有得。
❤无畏布施是因，得到的果报是健康长寿。
万物有恐怖、有畏惧、生命受到威胁，你帮助他离开一切恐怖，让他身心安稳，这叫无畏布施。

3.见失意人，不说得意语。
（明白别人感受的人总是能够多为别人着想呢。）
遇到失意、伤心、失落的人，他各方面都受到打击，很不得意，应该说点让他得到安慰的话，而不是说自己有多在行、多厉害。
当别人破了财，丢了工作，你却说自己升官发财，这会让对方更加不堪忍受。傲慢、骄傲本身即是恶，更何况用来伤人？
相反的，能够免除别人紧张恐惧或是忧虑的心情即是善，即便帮不上忙也千万不要落井下石。勿因善小而不为，勿因恶小而为之。
并非只有暴力、犯罪才叫恶行，人常常止不住的恶念也是灾难的源头。
欢迎翻印。"
14758,UgwgrdTzVnY_Q88zset4AaABAg,0,the environment is so relaxing and calm plus the food looks really healthy and super delicious,环境是如此放松和镇定，而且食物看起来非常健康，超级美味。
14843,UgxHPz4G1dNscsZnpOx4AaABAg,0,"where are you, arabs, see calmness and psychological comfort. we are not like worries that kill us and run after things that do not benefit",您，阿拉伯人在哪里看到平静和心理舒适。我们不像担心会杀死我们并追求对不利于
23404,Ugys54iUj9TTs_NqgDB4AaABAg.8zk0PxB5igA90aBkI2xAyu,0,calm down guys it was just an appreciation jeez xdxd,冷静下来，这只是一个赞赏jeez xdxd
14998,UgyptaRQW4xvlsuF-pF4AaABAg,0,these videos are so calming & interesting!,这些视频是如此的平静和有趣！
23363,UgwFgYbTYSXV4DMciv94AaABAg,0,"sometimes i wish i was born and die in this place. its so calming, refreshing air and far away from city's hustle and bustle. this video showed she really raised well by her grandparents",有时我希望我出生并在这个地方死亡。它如此平静，令人耳目一新，远离城市的喧嚣。这段视频显示她真的由祖父母抚养长大
23307,UgwNbVrbfKBmG9PGYFB4AaABAg,0,this is the world that human beings have lost and calm is lacking human function,这是人类失去的世界，平静缺乏人类的功能
23246,UgwHvqFv0e4FLP1MI9d4AaABAg,0,did anyone besides me find the sound of the scraping of the wok very satisfying and calming. keep up the amazing work. thankyou.,除了我之外，还有人发现炒锅的声音非常令人满意和平静吗？保持惊人的工作。谢谢。
23234,UgyyTDKK8nL0YHjAqC54AaABAg,0,so i’m confused by this content (obvs beautiful and i love it) but is a tutorial is it for calming is it just a chill artsy piece what is it......,因此，我对这些内容感到困惑（exps teautiful，我喜欢它），但教程是一个教程，是为了平静而已，这只是一个寒冷的艺术作品，这是什么……
22741,Ugyg2OXlrPykw5RZVfB4AaABAg,0,her video is so calming. i love it,她的视频是如此平静。我喜欢它
22585,UgwOmhNcXJUluURnR6B4AaABAg.9--5CrdeP009-BSx9A7UbL,0,"@choink2558 i am just human...not the best one because i need to learn to really love myself more so i can love the others in the way they deserve but i think i am progressing...i hope women can have more respect,freedom and more opportunities in this planet...we know how is hard to be woman...
but my respect goes to woman,man,child,babies,animals,for the ones who is really trying to make these world better somehow... like liziqi i am becoming so calm after her videos and i was so stressed ,so negative...but after her i feel piece in my mind because she make us feel a lot feelings by her videos...i am glad about it ❤","@choink2558我只是人类...不是最好的人，自由和在这个星球上更多的机会...我们知道很难成为女人...
但是我的尊重是对女人，男人，孩子，婴儿，动物的敬意，那些真正试图使这些世界变得更好的人……就像Liziqi一样，我的视频后，我变得如此镇定，我感到非常压力，如此负面。 。"
22574,UgyQ0N9LJx9fk_naMMx4AaABAg,0,"your video is very calm, and your channel wishes you a happy life.
i made a video of my motherland like you and told me the peasant's father. i'm a vietnamese
bleak","您的视频一切都非常平静，您的频道祝您终身幸福。
我像你一样制作了我祖国的视频，告诉我农民的父亲。我是越南人
"
21958,UgzrBqwxFZNLHf2GeP54AaABAg,0,my mind was boggling around bt after seeing her videos it’s calm,看到她的视频后，我的脑子里绕着BT感到困惑，这很平静
19915,Ugx3zuXyOf11s3dxiwp4AaABAg.91GSbollkUx92E97OqG3pT,0,"david hutchins there are still many people living similar lifestyle like she does in china. one point i really like about ziqi is that she has a dedication and passion of sharing chinese culture to the world. it’s something that many people would like to do but somehow lack of ability or determination. we should all believe her because as audiences, we feel it. we should offer more encouragement and appreciation. what’s most important that she really delivers peace and calmness to audiences and we all receive positive influences or energy from her videos. and i reallyyyy like her temperament.",大卫·哈钦斯（David Hutchins）仍然有许多人过着与中国相似的生活方式。我真的很喜欢Ziqi的一点是，她对与世界分享中国文化的奉献精神和热情。这是许多人想做的事情，但某种程度上缺乏能力或决心。我们都应该相信她，因为作为观众，我们感受到了。我们应该提供更多的鼓励和赞赏。最重要的是，她真正为观众提供和平与平静，我们都从她的视频中获得了积极的影响或精力。我真的很喜欢她的气质。
19394,Ugw83Rl_KWiSyc3L3Dt4AaABAg,0,"warning !
watching these videos can cause calmness, joyfulness, lower blood pressure and a strong urges to meditate. 
thank you .","警告 ！
观看这些视频会导致镇定，快乐，降低血压以及冥想的强烈冲动。 
谢谢"
18540,Ugz7vX27tY0R8YBBwyB4AaABAg.92TOl30agtK92iKPHXND6_,0,"this is also the rural life that traditional chinese is longing for, calm, peaceful and natural",这也是中国传统所向往的乡村生活，平静且安详且自然
18460,Ugz4oEoSLF-Q6PFOcHB4AaABAg,0,"longing for childhood, calm without burden and a lot of needs to want this and that",渴望童年，镇定而没有负担，也需要很多需要这个
18299,Ugw2K1aCWiJZ-4kzvwZ4AaABAg,0,watching her videos will calm down,看她的视频心会静下来
16850,UgysOcg8tD57faQaztl4AaABAg,0,"seeing her cooking makes me feel comfortable, calm, and happy. praise",看她煮饭让我感觉很舒服，平静，很幸福。赞啊
16729,Ugxr2hiRlSs3ldFpCpd4AaABAg,0,i am a great admirer of your work. your videos bring me a lot of calm. i ask you to show subtitles with the names of the foods and spices you make because i would like to know more about your culture. hello from brazil.,我是您工作的敬佩。您的视频给我带来了很多镇定。我请您以您制作的食物和香料的名字显示字幕，因为我想更多地了解您的文化。来自巴西的您好。
16511,Ugznq24UnPQrwR-xMj54AaABAg,0,i feel calm,我感到镇定
15766,UgxpMUsS6JKh6d7J4jh4AaABAg,0,"much better than asmr bs, so soothing and calm to just watch and listen!^^",比ASMR BS好得多，所以要舒缓和镇定，只能观看和听！^^
15746,UgxlvpxuAenQmPU9njh4AaABAg,0,"food look tasty, but i enjoy when look at her... she beauty, calm, gentleness...its liar if you said you dont want marry with a girl like her...",食物看起来很美味，但是当看着她时，我很喜欢...她美丽，镇定，温柔...如果您说您不想和像她这样的女孩结婚，这是骗子...
15629,UgyvLNeEcLr0YjBgX2Z4AaABAg,0,watching this lady makes me so calm and miss walking next to the corn fields,看着这位女士让我如此镇定，错过了在玉米田旁边走路
15583,UgwhFyfMQXa7VvElSXx4AaABAg,0,"calm and sounds are comfortable, and the most wonderful add the girl sweet, god. you change me",平静和声音很舒适，最美妙的女孩，天哪，上帝。你改变我
15535,UgzxQ7xU6Un0w8H-iWB4AaABAg,0,"none of what i just watched looked appetizing at all...... like, nothing, literally. but was calming 2 watch, that’s for sure. looks can be deceiving though, that i know. i’d try it, just wouldn’t want 2 watch it be prepared! lol",我刚刚看过的一切都没有看起来像是开胃的……就像，一无所有。但是正在平静2手表，这是肯定的。我知道，看起来可能是欺骗的。我会尝试的，只是不想2观看它做好准备！哈哈
15192,UgxZzFGhv4_7Umvh8NF4AaABAg,0,it's really calm. the landscape of nature is very nice.,真的很平静。大自然的景观非常好。
15124,UgzYaG8q1xN2uXktZBp4AaABAg.93XMX1w-pmD94V5SdyKXuP,0,"some (who claim to be her classmates in highschool or so) say that this girl doesn't really live this lifestyle, it is all fake, and that she is actually pretty rich.

but i wouldn't really care, whether it's real or fake. her videos calm me before sleep and i enjoy it. that's all. even if it's a show, it is certainly a great show.","有些人（自称是高中生的同学）说，这个女孩并没有真正过这种生活方式，这都是假的，她实际上很富有。

但是我真的不在乎，无论是真实的还是假的。她的视频在睡觉前让我平静下来，我喜欢它。就这样。即使这是一场演出，这肯定是一个很棒的表演。"
19140,UgyJjNhCwS565EOQ1Kd4AaABAg,0,"i somewhat now have a bit of a glimpse of rare hope of planet earth still giving of its nourichment in the midst of dire massacring by human across times and spaces through greediness and selfishness.capitalism has denatured mother earth.climate is turning wild because of pollution from guns cannons bombs and nuclear trials.
it is calming and soothing to see so much green and basic amenities and supplements.","我现在有点瞥见地球的罕见希望仍然在人类跨越时代和空间通过贪婪和自私的繁殖中滋养其滋养。资本主义使地球母亲变成了污染。来自枪支炸弹和核试验。
看到这么多绿色和基本的便利和补品，这是一种平静而舒缓的。"
