,cid,votes,time,含calm,含calm中文翻译
46665,UgznRayRv0aCLiZInI54AaABAg.8qs_TK17Zu78qsckUcmDJN,3,4 years ago,"for those who say li ziqi fake at the little brother channel of western yunnan, i want to add a few words. first of all, starting from a large level, they made excellent videos to share with people who love food culture around the world, so that more people understand the beauty of chinese culture. do you have done it? just vomit the sputum of other people's works in a casual sentence, and feel that some cooperation with the merchant defile your eyes? then, take a step back to talk about video production. which one should not take care of the mirror editing in the later stage? critics, do you spend money to watch the video? no. did you participate in the video production? no. you respect the efforts and choices of others. not only are there no, but you are also whispering, yin and yang weird, where can people do not do well, go to weibo to give opinions! didn't you change your opinion? take your own business! have nothing to do? brother, so many traitors around them, hurt the world, care about them! intersection intersection take a step back, these critics have not criticized the ideas at all, many of them are still catching the wind, and the clouds are also cloudy. when you make a criticism next time, you ask yourself a word. what do i make in my own criticism? i said in this way, what does it mean for others? did i have a negative impact on the perception experience of others (those who want to be calm and cured)? it's all adults, so mature, please! intersection intersection intersection intersection",针对在滇西小哥频道底下说李子柒假的人我想特别补充几句。首先，从大的层面开始讲，她们做出了优秀的视频与全世界热爱美食文化的人们分享，让更多的人了解了中华文化的美好。批评者们你们做到了吗？随随便便一句话就吐别人作品一口痰，觉得和商家的一些合作玷污你们的眼了？然后，退一步说视频制作，讲究值得赞叹的分镜剪辑后期哪个不要花心思？批评者们你们花钱看视频了吗？没有吧。你们参与视频制作了吗？没有吧。你们尊重别人的努力和选择了，不仅没有，还窃窃私语，阴阳怪气，人家哪里有做的不好的，去weibo提意见啊！提意见了没改？取关做自己的事去啊！没事情做？大哥，周围那么多作奸犯科的，伤天害理的，管他们去呀！！！再退一步说，这些批评者完全就没批评到点子上，很多还是捕风捉影，人云亦云，你们下次再提出批评的时候问自己一句话，我在批评的过程中我自己做出的贡献是啥？我这样在下面说别人的不是意义何在？我有没有给别人（那些希望得到平静与治愈的人们）的观感体验带来负面影响？都是大人了，成熟一点拜托了！！！！！
33811,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48y6agUN2-OS,3,3 years ago,i totally agree! this lifestyle is really healthy and calm. just what we need in the actual days: health and calm,我完全同意！这种生活方式确实是健康和镇定的。正是我们在实际日子里需要的：健康与镇定
41549,UgwmsxpTFt69pOmyP4p4AaABAg,3,4 years ago (edited),"it’s so calming and lovely to watch
i just wish the background instrumental music isn’t there or isn’t played throughout the whole video","看着很平静和可爱
我只希望背景乐器音乐不存在或在整个视频中都没有播放"
38608,UgxKcW6BHA9ry3pIeo14AaABAg,3,4 years ago,"salam feels calm, and i am natural and simply feels life. they have splendor. i hope to live in places",萨拉姆感到镇定，我很自然，只是感觉到生活。他们拥有辉煌。我希望住在地方
589,UgzPjU7L-q2aJcgbded4AaABAg,2,4 months ago,your videos are comforting like a warm blanket and a cup of tea...never fail to help me feel calm and remember to enjoy my moments...wish i could have spoiled my granny this way.,您的视频像温暖的毯子和一杯茶一样令人欣慰……永远不要让我感到镇定，并记住享受自己的时刻...希望我能以这种方式破坏我的奶奶。
29079,UgzJtfYrIHTcPcoI0xx4AaABAg,2,3 years ago,"i enjoy watching this video. the atmosphere is very beautiful and living there seems calm, far from the pollution of a big city. i also like gardening, i have a small garden on two balconies, the limited place is not an obstacle for gardening. liziqi videos really inspired me. happy gardening form germany ๐๐๐๐๐๐ .",我喜欢看这个视频。气氛非常美丽，住在那里似乎很平静，远非大城市的污染。我也喜欢园艺，我在两个阳台上有一个小花园，有限的地方不是园艺的障碍。 Liziqi视频确实启发了我。园艺快乐的德国形式。
4509,Ugw7i_Wn8ULOE-qbKcJ4AaABAg,2,1 year ago (edited),"idk why but this vid make me feel calm whenever i watch it… 
edit: all her vids actually","idk为什么，但是每当我看它时，这个vid都会让我感到镇定……
编辑：她所有的视频实际上"
39393,UgzA_J3fWD2q7H1C6WZ4AaABAg,2,4 years ago,i love soo soo much i like the calm and peaceful atmosphere love from mizoram,我很喜欢太太，我喜欢米佐拉姆的平静与和平的氛围
28201,Ugw-rDDnLdtGKWUCVcR4AaABAg,2,3 years ago,this is my favorite video of hers. next would be the wheat beer. itโ€s so calming,这是我最喜欢的视频。接下来是小麦啤酒。太平静了
23058,Ugw1aTCq5J-VCzg6dBV4AaABAg,2,3 years ago,"i used to work in rural areas for seven and a half years, so i have a special understanding of rural areas and understanding the hard work of chinese farmers. some villages in china are still messy today, and the garbage has become angry.

these do not become a reason for the video of li ziyi. we all understand that living in the depths of sichuan in dashan is not a simple pastoral scenery and carefree.

li ziyi is not doing great announcements.

she just wants to earn a family -to -family income through her labor creation. i don't believe that she would expect to be popular in the world because of this. return to doujin.

a little exaggerated here [smiling]

li ziyi has experienced a few years of hard work and tried various tasks. her success is by no means accidental.

ten thousand people watch her videos with 10,000 different feelings.

i read that the most direct help to me was that i suddenly realized that the level of cooking was too far away. need to work harder and learn carefully.

of course, as countless fans say, watching li ziyi's video can make people's hearts calm down.

many foreigners leave a message saying that it is hypnosis, treating insomnia [crazy] [crazy] [crazy]

more people admire her omnipipary.

the most exaggerated statement is that ziyi can create a earth [crazy] [crazy] [crazy]","曾经在农村劳动七年半，所以特别了解农村，了解中国农民的勤劳俭朴，贫穷苦难。今日中国有些村庄依然脏乱不堪，垃圾成堆令人愤怒。

这些不成为否定李子柒视频的理由。我们都明白生活在大山深处四川农村不是简单的田园风光，无忧无虑。

李子柒不是在做大外宣。

她只是想通过自己的劳动创作，挣一份养家糊口的收入而已。我不相信她当初会料到因此大红大紫名扬世界。日进斗金。

有点夸张啊此处[偷笑]

李子柒经历了个人苦苦奋斗若干年，尝试过各种不同工作。她的成功，绝非偶然。

一万个人看她的视频会有一万个不同感受。

我看了，对我最直接的帮助就是突然意识到，自己做菜的水平差的太远。需要更加努力，用心学习。

当然，如同无数粉丝所言，看李子柒的视频，能让人的心，静下来。

很多老外留言说是催眠，治疗失眠症[抓狂][抓狂][抓狂]

更多人赞叹她无所不能。

最夸张的说法是，子柒可以再造一个地球[抓狂][抓狂][抓狂]"
1851,UgwvP9hsDQPqBD7PPtF4AaABAg,2,1 year ago,"a calm place, natural, for comfort to live life.",一个平静的地方，自然而然，以舒适的生活。
7676,UgyvC6gnqRugxFNtwl94AaABAg,2,2 years ago,it feels is calm when i watch this,当我看这个时感觉很平静
7773,Ugzs4WXXc8sdSl0gsHp4AaABAg,2,2 years ago,"what kind of person would click on thumb down? it's an amazing, beautiful, heart-warming, calming video.",什么样的人会点击拇指？这是一个了不起，美丽，令人心动的，平静的视频。
8371,UgxLR9HVui79Ehnhc3t4AaABAg,2,2 years ago,she is amazing btw what is the music called its so calming,她很棒，顺便说一句，音乐称为什么是如此平静
23099,UgyEGffCSCapYWhPlt14AaABAg.92ZOfZospFJ92uhL0WZu8u,2,3 years ago (edited),"@gtp1542 in my point of view, democracy is quite funny, it has been a byword for capitalism, but is it right that only capitalist country has democracy? it is actually an issue of discourse.besides, western democratic standards can be simply summarized to universal suffrage๏ผone man one vote๏ผ and mutiparty rule which seems do democratize, but actually many paties fight for power, and they can not make long-term plan for their people, democracy is actually a compromise. the ideal democracy need all people are absolutely rational, but it's just impossible for now, so i don't think china 's regime has much issues, at least china made so much progress that other coutries had never achieved before in just 40 years. man, you and me should always keep calm and rational, and don't be fooled by the appearance of things.",@GTP1542在我看来，民主非常有趣，这是资本主义的代名词，但是只有资本主义国家才有民主是正确的吗？实际上，这是一个话语的问题。看来，西方民主标准可以简单地总结给普选（（一个人一票）和Mutiparty统治，这似乎确实是民主化的，但实际上许多派专利人都无法为权力而战，他们无法长期进行。为他们的人民计划，民主实际上是一个妥协。理想的民主需要所有人绝对是理性的，但是目前这是不可能的，所以我认为中国的政权没有太多问题，至少中国取得了很大的进步，以至于其他辅助事件在短短40年以前从未取得过。伙计，你和我应该始终保持冷静和理性，不要被事物的外观所迷惑。
30470,UgyXNQPk6xTUEdX74uB4AaABAg,2,3 years ago,"seeing that your work has a feeling of seeing each other and hate, it is really as treasured! in the influence of the philosophical thoughts of yin and yang five elements in traditional chinese culture education, confucian ethical and moral concepts, traditional chinese medicine nutritional photography, and cultural and artistic achievements, diet aesthetic style, and many factors of national characteristics, they created the chinese cooking skills of the book of history. form a broad and profound chinese food culture. your profound understanding of the traditional chinese diet and culture is perfectly presented with the beautiful chinese style that is so beautiful! as a native of china, the chinese are also amazing, and they are intoxicated! under the influence of the world's multiculturalism, many excellent cultures have been forgotten, the outlook on life, and values โ€โ€have also changed in the long -term subtle way. whether it is chinese or the people of the world, there are always things in common in the hearts of human beings. they all advocate true, good, and beautiful. they like tranquility and peace, and they are eager to happiness and happiness. the environment of your life is like a paradise, the mountains and rivers are beautiful, and the ecological environment that people and nature live in harmony are enviable. your work can help us calm down the impetuous heart, re -think about life, and find the most precious beauty in the original memory of human beings!",看到您的作品有种相见恨晚的感觉，真的如获至宝！在中国传统文化教育中的阴阳五行哲学思想，儒家伦理道德观念，中医营养摄生学说，还有文化艺术成就，饮食审美风尚，民族性格特征诸多因素的影响下，创造出彪炳史册的中国烹饪技艺，形成博大精深的中国饮食文化。您对中华传统饮食和文化的深刻理解并用美到令人窒息的唯美中国风完美呈现出来！作为土生土长的中国人也都叹为观止，如痴如醉！在世界多元文化的影响下，好多优秀的曾经引以为荣的文化已经被淡忘，人生观，价值观也在长久的潜移默化中改变。无论是中国人还是世界人民，在人类心灵深处，总有一些东西是共通的，都崇尚真善美，都喜欢宁静与祥和，都渴望幸福与快乐。您生活的环境犹如世外桃源，山青水秀，人与自然和谐相处的生态环境让人羡慕不已。您的作品能帮助我们静下浮躁不安的心，重新思考人生，找寻人类最初的记忆中最珍贵的美好！
32593,UgzhhmbYnWtuEZXBEEN4AaABAg,2,4 years ago,"ok but like what is this channel, where is this, who is she, why is this so aesthetically pleasing and somewhat calming.. ๐",好的，但是像这个频道是什么，这在哪里，她是谁，为什么这在美学上是如此令人愉悦且有些平静。
3793,UgwccxY7KZVk7oATh354AaABAg,2,1 year ago,we should agree we come here every single week just to calm ourselves ☺️,我们应该同意，我们每周都会来这里，只是为了平静自己☺️
12532,UgxHrnX1MSriN3V5UJR4AaABAg,2,2 years ago,the calmness and peace i get from these video is worth enough to watch all of her videos,我从这些视频中获得的平静与和平足以观看她的所有视频
12829,Ugy5Hy8HaO-6sPd7HtB4AaABAg,2,2 years ago,she inspired me by her way of living nd working nothing is imposible and we should atleast try to work like her never give up to life .everyone has somthing tough in life we should face each and every step of life with cool and calm way..,她以自己的生活方式启发了我，没有工作不可能，我们应该尽量像她永远不放弃生命一样工作。每个人的生活都在生活中艰难，我们应该以凉爽而平静的方式面对生活的每一步。
39148,Ugxusw9kTf3tT2823TV4AaABAg,2,4 years ago,"it is not easy to edit this peaceful program. it needs to be close to a gas field to achieve it. each category is just right.
very good, thank you for sharing :) calm, quiet, gentle and comfortable, wisdom, i also see the wisdom of quaint folk, praise !!!! very healing the injuries brought by the city!

i prefer the temperament of the heroine when i don't deliberately dress up with light makeup! very clip! like! ^^
really done ... can stay away from the hustle and bustle for a while,
specific display ... it can be lived, simple, simple and natural, but also live neat and comfortable (although it is not easy)
being able to surround the mountains of gaoli water every day, the air is fresh, the mountains are full of flowers and precious medicinal materials, and the mountains are used to tell the mountains.
you can also choose intermittently .... contacted with today's scientific and technological life ...
if there is a harmonious companion, chun went to qiulai to support the old, this kind of life ... no demand !!!
looking ... watching .... live in the taiji gas field health ... this film is indeed ... rare soul health soup! thank you for sharing :)","编一辑这宁心的节目, 真不容易, 需要有接近的气场走在一起才能成就, 每一范畴每一个配合刚刚好, 
很好佷好, 多谢分享:) 从容, 恬静, 轻柔舒服, 智慧, 还见识到古朴民间的智慧, 赞!!!! 很治愈都市带来的伤!

较喜欢女主角不刻意装扮淡妆时的气质! 很夹! 赞!^^ 
真的做到了...可远离尘嚣一会, 
具体展现了...可以活得既古朴简单自然的同时, 又能整洁舒适不匮乏地生活着 (虽不太易) 
能每天环抱高山高丽水而居, 空气清新, 山峦满是鲜花鲜果及珍贵药材, 用画面诉说了靠山食山, 
又能间歇地选择....与现今科技生活联系着.....看日出观日落, 看银河晚星,! 依四时阴阳作息! 还何求!! 
若有位和谐伴侣春去秋来恩爱扶持到老, 这种生活...无求矣!!! 
看着...看着....活像进入了太极气场养生里...这片的确是...难得心灵养生汤! Thank you for sharing :)"
27958,UgxTdi-61dhlZcF-4Th4AaABAg,1,3 years ago,"she's so calm and pretty! 
wish i could live with her too :)","她是如此的镇定和漂亮！
希望我也能和她一起生活:)"
20914,UgxbKRpBovS4jA6rNqJ4AaABAg.946AnDac2eu95Az35X9lJp,1,3 years ago (edited),"i hate living in the cities. both my parents grew up on the countryside and got to grown their own food. i'm tired of this fake, ultra-processed food and the constant noise and pollution (light pollution too). from the summers i spent in my grandmother's village, life was so simple and calm. we got to eat real food and spend time in nature. i wish i could move out to the countryside. i want to have my own garden and maybe some chickens. i'm too young and don't have much money now, but one day in the future i will. i've noticed many people my age wanting to reconnect with nature again. i hope this becomes a revolution for our generation",我讨厌住在城市。我的父母都在乡村长大，并自己种植了自己的食物。我厌倦了这种假的，超级加工的食物以及持续的噪音和污染（也是光污染）。从我在祖母的村庄度过的夏天，生活是如此简单和平静。我们必须吃真正的食物，并花时间在大自然中。我希望我可以搬到乡村。我想拥有自己的花园，也许还有一些鸡。我太年轻，现在没有太多钱，但是将来有一天我会。我注意到许多我这个年龄的人都想再次与自然重新建立联系。我希望这成为我们这一代的革命
25513,UgwP6wIlywiVEl8E6Hx4AaABAg,1,3 years ago (edited),what is eating ? what is eating ..this is what i learned yesterday .. eating is the most natural way of connecting with nature ..what we eat comes from various places ..nature makes them ..and we need to know how and from where they come ..she is showing that exactly ..where the food comes from ..what process its going through ..and how it finally becomes a delicious food on our plate ..most of other youtubers does not show that ..they just show how to make food..but thats not the whole thing ..she is showing the nature ..she is representing the nature ..thats the reason people feel calm when they watch her content ..i feel the same ..cos i am not watching her .. iam watching the nature through her and connecting back where i belong ..thanks ..,吃什么？吃什么..这是我昨天学到的。饮食是与自然联系的最自然的方式。我们吃的东西来自各个地方。 ..她正在表明，完全是什么。做食物..但这并不是整个事情..她正在显示自然..她代表了自然。看着她.. iam通过她看着大自然，然后将我属于的地方连接起来..谢谢..
40850,Ugw00rEJ2axgUaD46Yt4AaABAg,1,4 years ago,"if you guys like this kind of healing video, i recommend you to watch 'little forest' movie, it has korean and japan version. and i also recommend 'hyori's bed&breakfast(hyori's homestay)' it's a reality show where shot in jeju island. those two show is very calming and relaxing to watch",如果你们喜欢这种治愈视频，我建议您观看“小森林”电影，它具有韩文和日本版本。我还建议“ Hyori's Bed＆Breakfast（Hyori's Homestay）”这是一个真人秀节目，在Jeju Island拍摄。这两个节目非常平静和轻松观看
31463,UgwWK6Un31GtLSZhyhB4AaABAg,1,4 years ago,her videos are so calming and full of nature. i love it,她的视频是如此平静，充满了自然。我喜欢它
41605,UgzkoiR7mdKgNvapDxJ4AaABAg,1,4 years ago (edited),life's not like this for everyone in china. i'm worried about that dude who makes iphones in a sweatshop.hope he gets some rest.no offence to this video person. she looks calm and serene and multi talented as well.,对于中国的每个人来说，生活不是这样。我担心那个在汗衫中制作iPhone的家伙。希望他会休息一下。她看起来很镇定，宁静，多才华。
31195,UgxPY7cO4hnGhbz1f594AaABAg,1,3 years ago,this is so calming and beautiful...,这是如此平静和美丽...
22181,Ugxg3JN84NsNcB0m6-14AaABAg.932uonigoZx933LsPi7Hvb,1,3 years ago,"as a result, the grandmother was calm, but she was scared to jump up",结果奶奶很淡定，自己却吓到跳起来
40859,UgxCCypwqv0nwr6OUEB4AaABAg,1,4 years ago,watching this calms my soul,看着这个平静我的灵魂
41944,Ugy8LEgIsXPUEu2Q8R94AaABAg,1,4 years ago,"beautiful stimulation of the senses, i could almost smell and taste the delicious food and the calmness around it .....",对感官的美丽刺激，我几乎可以闻到并品尝美味的食物和周围的平静.....
42134,UgwrIoeJODVyyOh7rzx4AaABAg,1,4 years ago,where i can find a place like this. feels so tender and calm..,我可以找到这样的地方。感觉如此温柔和平静。
25546,Ugwj2ioC88ap4v-FIqd4AaABAg,1,3 years ago,"if you are a japanese person, please explain the theme of this video.

i calm down and calm down, but i don't understand the purpose, so i can't calm down.","如果您是日本人，请解释该视频的主题。

我冷静下来并冷静下来，但我不明白目的，所以我无法冷静下来。"
28441,UgwqQHTiRvnC-FE8eJJ4AaABAg,1,3 years ago,"such a calm, amazing simple and happy life of her",她如此平静，惊人的简单和幸福的生活
26224,UgzajsTEzAVrFaHnSt94AaABAg,1,3 years ago,"very calming and peaceful to watch,",非常平静和宁静，观看，
19923,UgwkPdsaw3yf_Fuvbtp4AaABAg,1,3 years ago,calm relaxes. thanks god,冷静放松。感谢上帝
7951,UgzRaauX9ZHqp2BES_Z4AaABAg,1,2 years ago,i feel this true life is a calmness of harmony with nature and a comfort of mind,我觉得这种真实的生活是与自然和和谐的平静和舒适的心态
44948,Ugx032_0hCtX8I6MinN4AaABAg,1,4 years ago,calming ♡,平静♡
923,UgzTbHYq1eSpoiCGLxZ4AaABAg,1,7 months ago (edited),"i like your videos so much! they are saturated with kindness, sincerity, calmness โค๏ธ",我非常喜欢您的视频！他们充满了善良，诚意，平静❤️
34701,Ugyto9dEV3qPFoW7BT54AaABAg,1,4 years ago,"hello! can you please do tutorials on how you do your hair? 
your videos are so calming","你好！您能让您对您的头发做如何做教程吗？
您的视频太平静了"
3259,UgzS8pZY2WAAuhEB3l14AaABAg,1,1 year ago,"cici ziqi .... i hope you are always healthy and god always blessed you with happiness. i swear to miss your content that calms the heart, makes the spirit to learn to cook and love nature. love u always",Cici Ziqi ....我希望您永远健康，上帝总是以幸福祝福您。我发誓要想念您的内容，使您的心脏平静，使精神学会做饭和爱自然。爱你总是
3318,UgzgTLYJF1oyPeqXsSt4AaABAg,1,1 year ago,"thank you for you calming videos, i really appreciate it.",谢谢您的平静视频，我非常感谢。
3739,UgwFweXqY03yPbBiM2d4AaABAg,1,1 year ago,i feel calm when i see your viduha.✨,当我看到你的viduha时，我感到很镇定。
5912,UgwsgAGVT6w_udUvJ614AaABAg,1,2 years ago,"her videos makes me calm, relax and sleepy 's like a form of mind massage",她的视频使我冷静，放松和困倦
7336,Ugxbf2_7_rr9S72PRON4AaABAg.9JwzlYQW9wa9MfqeSz7AEK,1,2 years ago,"calm down , shakespeare",冷静下来，莎士比亚
7636,UgxTsNNf9pLZExY8Abt4AaABAg,1,2 years ago,amazing editing music so calm,惊人的编辑音乐如此平静
43394,Ugz2taGqJQunLOcDYwt4AaABAg,1,4 years ago,so calming.. watching before bed time.. fills me full of peace. makes all the stress and worries of the day fade away.. will sleep well.,如此平静..睡前看。使当天的所有压力和忧虑逐渐消失..睡得很好。
33373,UgySQDlCJEVxQTghijJ4AaABAg,1,4 years ago,looking at this is really calm,看着这个真的很平静
12059,UgzUQiRfalSMHAk6GbN4AaABAg.9DjjoaJ4Xdn9F4247cakRU,1,2 years ago,"yes!!

imagine if we all live such peaceful lives!!
and maybe rely on nature!
its would be so pretty, not really easy, but calm and happy","是的！！

想象一下，如果我们都过上如此和平的生活！！
也许依靠大自然！
它是如此漂亮，并不是很容易，但是平静而快乐"
29680,UgyVEe5HuRYjR7WmFqt4AaABAg,1,3 years ago,your video is calming me. i love the nature around you. i have a dream to live in this kind of place. i like planting and i love vegetables than meat. i'm so glad i found your channel youtube. i agreed with all the people's comments. you're deserve when we call you princess. stay healthy and you can continue making videos for us.,你的视频使我平静。我爱你周围的大自然。我有一个梦想在这种地方生活。我喜欢种植，我喜欢蔬菜，而不是肉。我很高兴找到您的YouTube频道。我同意所有人的评论。当我们称您为公主时，您应该得到。保持健康，您可以继续为我们制作视频。
18062,UgxzafYtYArD3bdkjQZ4AaABAg.97MsAFOk-5T97OUyXPPK08,1,3 years ago,@cateatinrat78 yep me too! it was really calming,@cateatinrat78也是我！真的很平静
16603,Ugw0HKfZE_TUwN1DZE54AaABAg,1,3 years ago,"this is the life i dream of.. simple and fulfilling.. close to nature, calm, and silent.. i love the feeling of living like this.. i wanna be simple and content like her too",这是我梦dream以求的生活..简单而充实..接近自然，镇定和沉默..我喜欢这样的生活的感觉。.我也想像她一样简单而满足
15129,Ugx7uy9U1ayeHWKgqqx4AaABAg,1,3 years ago,"today, a silly b driver rushed into the house, the car in the parking garage was hit, the wall outside the room also collapsed, the driver also ran away, the police recorded the grass, and felt that he was played by life. video, i feel a lot of calm mood. i will find a decoration company tomorrow.",今天一个喝醉酒的傻B开车冲进家里，停车库的车被撞了，屋子外的墙也塌了，肇事司机也跑了，警察记录草草了事，感觉被生活戏耍了，看了子柒的视频，心情平复很多，明天找装修公司的事明天说。
17857,Ugzh_z-gS7dZNOBYLS14AaABAg,1,3 years ago,i always play this video while trying to sleep. that music used to calm me down... now i lost it all and im stuck in my bed missing it :/,我总是在试图睡觉时播放此视频。那种音乐曾经让我平静下来...现在我丢了所有的音乐，我陷入了床上的遗失：/
43792,UgwxTImA8BFKzBnOnWZ4AaABAg,1,4 years ago,waw i love this life.. calm & charm,waw我爱这个生命..冷静与魅力
16719,UgzELOu79jMrGCOfTBZ4AaABAg,1,3 years ago,"it's very calm and the food is coming out very smoothly.""food in peace"":)
https://youtu.be/4bgmuzb3hrm","它非常平静，食物的流畅表现得非常顺利。“和平食物” :)
https://youtu.be/4bgmuzb3hrm"
31762,Ugyj_vauV5Ie3Re__2N4AaABAg,1,4 years ago (edited),"chinese people look so smooth like look at their skin and they always look skinny and have a calming voice and make great food <3 i give props to this race! actually nvm this goes to all asians also!
us caucasianโ€s are terrible at a healthy life style...","中国人看起来很光滑，就像看他们的皮肤一样，他们总是看起来很瘦，而且声音平静，吃得很好<3我为这场比赛提供道具！实际上，NVM也涉及所有亚洲人！
美国高加索人的生活方式很糟糕..."
18438,Ugx7_jw_xk8i7kSIBC54AaABAg,1,3 years ago,"this is just amazing. ma sha allah... so peaceful, relaxing and calming to watch. ❤️❤️",这真是太神奇了。马沙·阿拉（Ma Sha Allah）...如此宁静，放松和平静。 ❤️❤️
15421,Ugy5lFktCLCqCDsFLeF4AaABAg,1,3 years ago,"these videos are seriously such a lovely calming thing to watch, i saw the potato video and fell down a rabbithole because every video is equally as captivating!",这些视频非常认真地观看，我看到了土豆视频，并掉下了一个拉比索尔，因为每个视频都同样令人着迷！
31700,Ugz2pwkBICXdTbZHa2x4AaABAg,1,4 years ago,"this always reminds me of studio ghibli in a lot of ways. the simple life, the calming music, the day to day interactions with people. this is how i imagine ghibli movies to be like after the โ€movieโ€ part. happily ever after.",这总是让我在很多方面让我想起吉卜力工作室。简单的生活，平静的音乐，与人的日常互动。这就是我想象吉卜力电影之后的电影。从此以后快乐地生活着。
36506,UgyoBoFkzDK1bEhX-id4AaABAg,0,4 years ago,"itโ€s so nice to look, you canโ€t take your eyes off the picture, everything becomes peaceful and calmly in my soul. thank you!",看起来真是太好了，您无法将视线从图片上移开，一切都变得和平而平静。谢谢你！
36453,UgzUfX2QjSOsIev1h2R4AaABAg,0,4 years ago,so calming i can watch these all day ๐,所以平静我可以整天观看这些
36420,Ugzon4AMSHk6alWFM994AaABAg,0,4 years ago,this has got to be the most calming chnnel i have ever gone through,这一定是我经历过的最平静
36788,UgwRFo-eaYSHbYMC5yR4AaABAg.8uPQ7pNVLHx9-AnCw90nFq,0,3 years ago,"omg. your comment reminds me of that game. hahaha..the festival, 4 seasons, the calm music and everything !. reminiscing the child hood day with the ps2/1. hope to play that game again in android version.",我的天啊。您的评论使我想起了那场比赛。哈哈哈..节日，四个季节，平静的音乐和一切！用PS2/1回忆起儿童罩日。希望能在Android版本中再次玩该游戏。
36827,UgwlnqKZVXakzCsopK94AaABAg,0,4 years ago,"so calm, i love this",如此镇定，我喜欢这个
40840,UgwzGrh0NUavG9WtWhx4AaABAg.8s6GsnCI1AM8sFtuZ-Dzy1,0,4 years ago,"@minyanzheng5490 calm. it's good to quarrel and go to the program for a good son. recently, it seems that the piracy has been less. it should be a lot of people to help. in fact, it is difficult to avoid it completely, but those pirated numbers actually said that ziyi was a vietnamese indian, which was so disgusting that he couldn't bear it.",@minyanzheng5490 淡定。都是为子柒好就少吵架多走程序就好了。最近似乎盗版号少了点，应该是不少人帮着举报吧。其实也很难完全避免，只是那些盗版号竟然说子柒是越南人印度人，这太恶心下流了，不能忍。
36570,Ugxayp0WfZW_TwNPA-p4AaABAg,0,4 years ago,"i find this helps a lot with anxiety from everyday life
itโ€s calming, relaxing, interestingโ€”every thing that makes quality content","我发现这对日常生活的焦虑很有帮助
这是平静，轻松，有趣的 - 所有使高质量内容的事情"
39307,UgyfVli9loXNYJZmCLp4AaABAg,0,4 years ago,hahah that's so cute when she's startled to jump. but then there's grandma remain calm๐,哈哈，当她吓了一跳时，真可爱。但是随后有奶奶保持冷静。
36965,UgwFYQu0ZjqOQGWD12d4AaABAg.8uLfY_QL-Tn9AH75bU4wwi,0,2 years ago,"when watching these videos, i feel calm in my heart",看这些视频时，我感到内心平静
