,cid,votes,time,含creative,含creative中文翻译
9493,Ugz3g7bqRt3Us-xx7mN4AaABAg,205,2 years ago,"@,hello! i am from indonesia (indonesia). i have lived in guangxi, china for 8 years. snailing powder is my favorite food. i can eat two or three times a week, hahaha. when i have time, i often travel, especially to see the beauty of china, as well as the life of the countryside. i have been paying attention to the works you make, and i feel that you are particularly creative. seeing your video, i feel very relaxed, safe, and can decompress. i just want to write a comment this time i just want to tell you thank you. thank you for sharing your life with us. i also want a life like you. life is for life, not for survival. i wish you a good health and happiness every day.",@，你好！我是来自印尼的（印度尼西亚）。我在中国广西生活了8年。螺蛳粉是我最爱吃的东西，我一周能吃两三次，哈哈哈。有空的时候，我经常去旅游，特别是去看中国的美景，还有乡下的生活。我一直在关注你做的作品，我感觉你特别有创意。看到你的视频，我感到很轻松，很平安，能解压。这一次给你写评论只想跟你说一声谢谢。谢谢你跟我们分享了你的生活。我也想要像你这样的生活。生活是为了生活，不是为了生存而已。祝你全家人身体健康，天天幸福。
23882,Ugw3Cxr5gIo_5_pT_454AaABAg.8z_VHkNqWWZ8zgE-KVtZeJ,21,3 years ago,"@skf358 what exactly has politics got to do with the creativity here displayed??? you are that western brainwashed child and can't shake it, how very unfortunate for you, because you just can't enjoy for the sake of creatively creating!!!",@skf358政治与这里显示的创造力到底有什么关系？？？你是西方洗脑的孩子，无法摇动它，对你来说真是太不幸了，因为你只是为了创造性地创造而无法享受！！！
30900,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ8ytWCxtiBol,10,3 years ago,"bramha's astra well... that is what cooking is... its definitely not ""food eating"" or ""food storing""... putting together dishes doesnt need to be original or super creative. i really dislike how americans are looked down on on everything. im not saying american cuisine is anything impressive, weve been around for a handful of generations tbh and were all just bunch of cultural foods mixed together, but dont disrespect american chefs or food lovers that genuinely enjoy their creations...",布拉姆（Bramha）的阿斯特拉（Astra）很好...那就是烹饪...绝对不是“食物吃”或“食物存储” ...将菜肴放在一起不需要原始或超级创意。我真的不喜欢美国人如何看待一切。我并不是说美国美食令人印象深刻，我们已经待了几代人，只有一堆文化食品混合在一起，但不要不尊重美国厨师或食物爱好者，这些爱好者真正喜欢他们的创造...
34385,UgwD6ewkvHIiqJwZ1tR4AaABAg,5,3 years ago,"you are creative and smart, followed by iraq, i don’t know what you know.",您很有创造力和聪明，其次是伊拉克，我不知道您知道什么。
23900,Ugx0tTjcBVgNgyDKkzp4AaABAg,4,3 years ago,"liziqi.hola ..... beautiful, fine, intelligent, and very creative ...
greetings from chile.
antonio.","liziqi.hola .....美丽，精美，聪明，非常有创造力...
智利的问候。
安东尼奥。"
14288,UgzmBhl66300PNjkXgB4AaABAg,2,3 years ago,"creative and the most beautiful person, you live your follow -up from iraq, where are the arabs ??",创意和最美丽的人，您会从伊拉克实现您的追随者，阿拉伯人在哪里？
11721,UgzASLlODo8WXZ-OQIx4AaABAg,1,3 years ago (edited),"i love her,,,, very creative,,,, truely a housewife material.... god bless her and family",我爱她，非常有创造力，
1148,Ugyul0CvgtpeHiwx50Z4AaABAg,1,1 year ago,i love these creative videos,我喜欢这些创意视频
1660,Ugxgcm2Z1Z0cZ_JP1mF4AaABAg,1,1 year ago,"great, creative, and look good, thank you mother",伟大，富有创造力，看起来不错，谢谢妈妈
32835,UgzEXNe9ofXigrOG-9J4AaABAg,1,3 years ago,creative girls,创意女孩
521,UgyWiSbY1uezdUiFzsp4AaABAg,1,6 months ago,"unfortunately why liziqi does not produce youtube content in 2022, although everything she does is very inspiring and highly creative. hopefully liziqi can recreate content on her youtube channel. amen",不幸的是，为什么Liziqi在2022年不生产YouTube内容，尽管她所做的一切都非常鼓舞人心且具有很高的创造力。希望Liziqi可以在她的YouTube频道上重新创建内容。阿门
499,UgxCrDWIntPxVpMeqaV4AaABAg,0,6 months ago,"hopefully the indonesian people can be more creative content like this, amen.",希望印尼人民能够像这样更具创造力的内容。
21166,Ugz8vdUyEpw8kN9YEr54AaABAg,0,3 years ago,beautiful and creative,美丽而有创造力
24152,UgyOR8MFhL3m_F4Yiz54AaABAg,0,3 years ago,"may the peace, blessings, and mercy of god be upon you
you are creative and everything is fun and we love to communicate with you and is this lady who accompanies you is your mother, your mother, mama, and the name of your city is the most beautiful place around you is normal and cooking you","愿上帝的和平，祝福和怜悯落在你身上
您很有创造力，一切都很有趣，我们喜欢与您交流，这位女士陪伴您是您的母亲，您的母亲，妈妈，您的城市的名字是您周围最美丽的地方"
28877,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9AKSHeQ5Vdk,0,2 years ago,"“she can’t even speak proper english”, said a most possibly native speaker to a diligent,
creative and successful chinese you-tuber. the most hilarious thing i’ve heard about lol","“她甚至不能说适当的英语”
创造性和成功的中国人。我听说过的最热闹的事情"
26032,UgyVMuvDUCvzeUjjMMt4AaABAg,0,3 years ago,"i'm confused, is this from china or vietman? it looks like vietnam country.. all her videos are amazing and great... i love the way she lives, it's a very simple living, lot of food from her own farm, harvesting every time she needs food to eat, and she is a very good cook, and creative on how she makes her menu deliciously. the foods she cooked very healthy.",我很困惑，这是来自中国还是越野？看起来像越南国家。.她所有的视频都很棒，很棒...我爱她的生活方式，这是一个非常简单的生活，她自己的农场里有很多食物，每次她需要食物都需要吃东西，她是一个非常好的厨师，并且在她如何使菜单变得美味的情况下创意。她烹制的食物非常健康。
26660,Ugxhi6wBBC3Pg4pVXeV4AaABAg,0,3 years ago,you r very smart and creative i like very much,你很聪明和有创造力，我非常喜欢
20978,Ugzwn3AXuE9VoBLtB9p4AaABAg,0,3 years ago,"you are such a soo versatile, creative, hard working. keep it up.",您是一个如此的多才多艺，富有创造力，努力工作。继续努力吧。
29930,UgwTm3NbFyo-sZ6rGK94AaABAg,0,3 years ago,you are a creative princess,你是一个创造性的公主
31868,Ugwly-HX6hCef7q6eep4AaABAg,0,3 years ago (edited),this multi talented/ gifted woman. every thing that she do is such a masterpiece. resourceful and creative. i guess you've all learned that from your grandma. anyway your grand ma must have a very long life because everything that you cook and eat has no preservatives. all natural.,这个多才华横溢/有天赋的女人。她所做的每一件事都是如此杰作。足智多谋。我想你们都从祖母那里学到了这一点。无论如何，您的大妈妈一定要有很长的寿命，因为您烹饪和吃饭的所有东西都没有防腐剂。全天然。
32489,Ugwo2itiRxwU2MGS2jh4AaABAg,0,3 years ago,i love her she is very creative,我爱她，她很有创造力
20979,UgzzSQjSLiFZjmNafbF4AaABAg,0,3 years ago,"very innovative and creative. thanks for upload. 
love from india.","非常创新和创造力。感谢您的上传。
来自印度的爱。"
17614,UgyagXK4CIXKRcW28EF4AaABAg,0,3 years ago,creative,有创造力的
20273,UgyHf5Q40-z8893IWCV4AaABAg,0,3 years ago,wow chinese girls irajin and very creative enterprise,中国女孩伊拉金和非常有创造力的企业
19280,Ugxrnj0-Up4EtsNoc3h4AaABAg,0,3 years ago,you are very creative mam. i am from bangladesh. wish you all the best,你是非常有创造力的妈妈。我来自孟加拉国。祝你一切顺利
16195,UgwGCyWFNIS_IlM90lN4AaABAg,0,3 years ago,"if i could get a woman like you. crafted, creative and beautiful. really happy :)",如果我能得到一个像你这样的女人。精心制作，富有创造力和美丽。非常开心 ：）
15482,UgzysS1QBdJnNjfPu6p4AaABAg.93F_yI6bbET93K19kpeINJ,0,3 years ago,the mcn multi-channel network company responsible for her going abroad is headquartered in malaysia. it is a company specializing in the asian entertainment creative film and television industry. the company has accounts in youtube and fb,负责她出国的MCN多渠道网络公司总部位于马来西亚。这是一家专门从事亚洲娱乐创意电影和电视业的公司。该公司在YouTube和FB中有帐户
13444,UgywAGJkowFJLKXbN054AaABAg,0,3 years ago,i love it why because this girl very creative much,我喜欢为什么，因为这个女孩非常有创造力
11627,UgzsKcSS7KSC1ELC8QJ4AaABAg,0,3 years ago,really chines people are too good and creative and attractive,真正的人太好了，有创造力和吸引力
11402,Ugx-5d2aAZv1U6QtBMx4AaABAg.97aDyK3ahgD97uwaVPI2Yu,0,3 years ago,@geekbg2003 you are the one that hasn't done any research because your some weeb who has been blinded by propaganda. both the cyberspace administration of china and the communist youth league of china have come out in support of her and has most likely been vetted as western social media sites are usually off limits to chinese and they use their own governments social media.. if you think she has full creative control to put anything she wants on this channel and it's not vetted as okay by the chinese government you are nuts.. put the kool-aid down friend..,@geekbg2003您是没有进行任何研究的人，因为您的一些WEEB被宣传蒙蔽了。中国的网络空间管理和中国共产主义青年联盟都支持她，并且很可能被审查，因为西方社交媒体网站通常是中文的限制，他们使用自己的政府社交媒体。她拥有完整的创造力控制，可以将自己想要的任何东西放在这个频道上，而且中国政府不得不审查。
11345,UgxFbKoVvID2PVnSJaJ4AaABAg,0,3 years ago,"all these beautiful family recipes handed down for generations i guess.. but lizqui is also creative and imaginative. isn't her grandma the sweetest thing? i wonder how long it takes her to scrub those soot covered pots and pans... this is backbreaking work,no two ways about it.god bless you dear and your family.",我猜所有这些美丽的家庭食谱都传下来了。她的祖母不是最甜蜜的东西吗？我想知道她要花多长时间才能擦洗那些烟灰和锅子……这是令人震惊的工作，没有两种方法。上帝祝福您和您的家人。
11044,Ugw3c3Ekp3yOnGH4EX54AaABAg,0,3 years ago,"addicted to ur videos...ur ideas...ur patience..ur hard work. .ur creativeness. .ur kindness towards your grandmother..i never shared any videos from youtube to others.. this is the first time i did it...
loved the background music. .loved the camera work... nice editing...","沉迷于您的视频...您的想法...您的耐心..努力工作。 。我对你祖母的善良..我从来没有分享过YouTube的任何视频。这是我第一次这样做...
喜欢背景音乐。 。"
11008,Ugy4SRDcmz0tcnkReEp4AaABAg,0,3 years ago,"wondeful, lovely, peaceful, calming, soothing, beautiful, creative........",奇妙，可爱，和平，平静，舒缓，美丽，创造力........
10837,UgzuXuxHSKZ9QMu6r0t4AaABAg,0,3 years ago,creative ideas. thank you i from indonesia.,创意。谢谢我来自印度尼西亚。
10469,Ugzkheo3vlQ-nuhnSeB4AaABAg,0,3 years ago,wow andat is really creative,哇安特真有创意
9265,Ugwe1EOxwsrNBSzojjV4AaABAg,0,2 years ago,beautiful and creative girl.inspiration...,美丽而有创造力的女孩。灵感...
1407,UgzIbQe8hGXvMOi1QI14AaABAg,0,1 year ago,so creative cute girl,如此创意可爱的女孩
35203,UgysO0Z3uoiP8M5ejuJ4AaABAg,0,3 years ago,this makes me feel creative,这让我感到有创造力
