,cid,votes,time,含enjoyable,含enjoyable中文翻译
9707,UgyocxsR202i9r_0kvJ4AaABAg,636,2 years ago (edited),why does life seem more enjoyable that way?,为什么生活看起来更愉快？
52310,UgxNkvEez1G1DIlPjZ94AaABAg,26,4 years ago,10 minutes ..... ziyi rarely has such a long film. this issue can be really enjoyable! ... i hope the future films can be longer .. otherwise,10分钟.....子柒很少有时间这么长的影片.这期看得真过瘾!...希望以后的影片也都能加长些..不然总是意犹未尽❤❤❤
22446,Ugzk2hZzSJPMNCq5HPR4AaABAg.92v_huHNonN931jv_I4ANM,13,3 years ago (edited),"dion dion that sounds like a monk's ideal. i guess li ziqi's videos do have expectations, to be satisfied, to be enjoyable, to be beauty. :)",听起来像和尚的理想的狄翁·迪翁（Dion Dion）。我猜李Ziqi的视频确实有期望，可以满足，令人愉快，成为美丽。 :)
12777,Ugzjf-Y-ybc39244_Sx4AaABAg,10,2 years ago,"shes been blessed!! looking after her elderly grandparents is a blessing, living of the farm and watching her work and care for her grandma is so enjoyable to watch god bless her❤️",她很幸运！照顾她的年迈的祖父母是一种祝福，农场的生活，看着她的工作和照顾祖母，看着上帝祝福赫❤️
51477,UgyEGv8Ois3Dsjb5cHF4AaABAg,4,4 years ago,"0:02 i was like ""wait, one of dogs seems a bit... different? ohh yeah"" 
nice video ! really enjoyable to watch.","0:02我就像“等等，其中一只狗似乎有点...哦？哦，是的”
不错的视频 ！真的很有趣。"
953,UgyM42RrjnZd78xaBMl4AaABAg,2,7 months ago,itโ€s magically satisfying and enjoyable for me! i love your sincerity and purity of soul in life! ๐๐,这对我来说是神奇的满足和愉快的！我爱你生活中灵魂的真诚和纯洁！
33458,UgxFx6YsKpm-3R7RJ6d4AaABAg,2,4 years ago,you're quite lovely and your videos are very relaxing and enjoyable. thank you!,您非常可爱，您的视频非常放松和愉快。谢谢你！
15546,UgyuRB3EwPSX_n1AHth4AaABAg,1,3 years ago,so enjoyable and relaxing video,如此愉快而轻松的视频
18579,UgweceIlhVSkdmJL0dN4AaABAg,1,3 years ago (edited),"li ziqi, that is what i call natural. you are a natural beautiful woman who does natural things from the scratch. i also like the relaxing music which even makes your videos extra special and more enjoyable. thanks",李齐（Li Ziqi），这就是我所说的自然。您是一个天生美丽的女人，她从头开始做自然的事情。我也喜欢轻松的音乐，甚至使您的视频更加特别，更有趣。谢谢
1705,UgycOeVy_ghMJGkjp9B4AaABAg,1,1 year ago,great enjoyable content.,很棒的内容。
27097,Ugw-BWMWluQFhZjobWJ4AaABAg,1,3 years ago,liziqi is that my order u have completed hahahaha i love to watch ur videos please keep them coming it's so enjoyable and relaxing thank u so much for all your hard work,liziqi是我的订单你已经完成了哈哈哈哈哈哈，我喜欢看你的视频
40085,UgxO8MUx2Kd0TCbjeMB4AaABAg,0,4 years ago,"for it, i wished to live her life, her sensual sensation is very enjoyable",为此，我希望过她的生活，她的感官感觉非常愉快
51573,UgyFM_3glXke7hkSUql4AaABAg,0,4 years ago,"oh my! all those sweets all hand made, thank you for this video very enjoyable.",天啊！所有这些糖果都制作了，谢谢您的视频非常愉快。
48057,UgyQIZS2y0kkztBLUkR4AaABAg,0,4 years ago,"watching your videos is very enjoyable, very careful team",看妳的影片很享受，很用心的团队
44892,UgyoUFw4NgtkhIdfuBh4AaABAg,0,4 years ago,"i am not sure about the pancake roll. but, it is interesting to learn how to live in the rural. survival or enjoyable?",我不确定煎饼卷。但是，学习如何在农村生活很有趣。生存还是愉快？
23118,Ugzh07vnpA9YP8_j3Ih4AaABAg.92YXNc_NN1V92babHgvFMW,0,3 years ago (edited),"this is not a documentary. this is a poetic depiction of traditional chinese rural life. that is why humans need music. humans did not need music to survive during millions of years of evolution, but music makes human life experience more enjoyable.",这不是纪录片。这是对中国传统乡村生活的诗意描绘。这就是为什么人类需要音乐。人类不需要音乐在数百万年的发展中生存，但是音乐使人类的生活体验更加愉快。
35354,UgyfW3HUO31M_vZJrLd4AaABAg,0,4 years ago,"i am so hungry now! everything she made looks so delicious and she made it look so easy even though she was doing a lot of work, it looked so enjoyable. some people are really set up for success. i just would like an opportunity to try everything she made just in this video.",我现在很饿！她制作的一切看起来都很美味，即使她在做很多工作，她也看起来很容易，看起来很有趣。有些人确实为成功做好了准备。我只是希望有机会尝试她在此视频中所做的一切。
27920,UgzfNply7Bnh9QT90Sx4AaABAg,0,3 years ago,"this.... can't be real, right? i mean, it's beautiful and super enjoyable, don't get me wrong, but there's no way one woman can do all this and film it/edit it so beautifully?",这个....不能真实，对吗？我的意思是，它很漂亮，超级愉快，不要误会我的意思，但是一个女人无法做所有这些并将其拍摄/编辑如此精美吗？
21811,Ugx88h25rWzYgwsPXtd4AaABAg,0,3 years ago,i see her take care of her parents but never see a husband around?? this is without question one of the most worth while women i have ever seen and i am 60 years old! she is beautiful and skilled in so many of the things that make life enjoyable! i have never found an american women worth a dime! they all seem to be so narcissistic it make a guy sick and tired of their me me me attitude! i don't know about the rest of you guys but if i ever met this girl i would subjugate myself to her happiness the rest of my life because she is an incredible women! the artistic and craftsmanship levels she is capable of is so impressive! i would marry this girl no questions asked! the feminists of the world should take note that this is what a strong independent women looks like! not the nasty corporate hags we are forced to suffer with in western civilization!,我看到她照顾父母，但从未见过丈夫周围？毫无疑问，这是我见过的女性，我今年60岁！她在使生活变得愉快的许多事物中都很漂亮，而且很熟练！我从来没有发现一个值得一毛钱的美国女性！他们似乎都是如此自恋，以至于使一个男人厌倦了我的我的态度！我不认识你们的其他人，但是如果我遇到这个女孩，我会在我的余生中征服自己的幸福，因为她是一个令人难以置信的女人！她能够实现的艺术和工艺水平令人印象深刻！我会嫁给这个女孩没有问题！世界女权主义者应该注意，这是一个强大的独立女性的样子！不是我们在西方文明中被迫遭受苦难的令人讨厌的公司巫婆！
11393,UgyzKm0_aNbjmLJhyaZ4AaABAg,0,2 years ago,"how enjoyable to live in the village ,,, ๐‘๐‘๐‘๐‘๐‘ventions",居住在村庄的愉快，
9019,UgzWREMbGE6jWMIwJSR4AaABAg,0,2 years ago,"this seems great in the video but in real life these chores are really not that enjoyable. the candy making, preparing delicacies are really tiring and of course everything is absolutely mess. but the video is well shot and really satisfying.",这在视频中似乎很棒，但是在现实生活中，这些琐事确实不是那么有趣。制作糖果，准备美食确实很累，当然，一切都绝对是混乱的。但是视频拍摄得很好，真的很令人满意。
2501,UgwOtW2_bW6cg8CaQMx4AaABAg,0,1 year ago,looks very enjoyable. i like it.,看起来很愉快。我喜欢。
52825,UgwF0yseVJFHcl9I5ol4AaABAg,0,4 years ago,it is something that looks very enjoyable.,这看起来非常有趣。
