,cid,votes,time,含fuck,含fuck中文翻译
28526,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g8ydqHIQYhNn,182,3 years ago,franz peters english is just a language no need to speak fuck eng,弗朗兹·彼得斯（Franz Peters）英语只是一种不需要说话他妈的英语的语言
22398,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi9-RKeLIpay7,14,3 years ago,"@cyouchin5381 now you are fucking kidding me, what you think china is? third world country? pretty sure almost 90 % of china city have better development than usa, and you really think this channel didnt earn her any money?, let me approximate the number of how much she earns from this channel, around 10 k usd at least pre month",@Cyouchin5381现在您他妈的在开玩笑我，您认为中国是什么？第三世界国家？可以肯定的是，近90％的中国城市的发展比美国更好，您真的认为这个频道没有赚钱吗？让我大概她从这个频道中赚取了多少钱，至少一个月前约10 k美元
22591,Ugw3kawLdFhIagmjIAl4AaABAg.9--00QSmqnH9-5Ig1Ask5A,11,3 years ago,"@slappy8941 get fucking shafted bud, he's writing a comment on youtube not his college thesis, get over yourself.",@slappy8941得到他妈的竖井的芽，他在youtube而不是他的大学论文上发表评论，克服自己。
12514,Ugz80ivmyIbHXgQYwCV4AaABAg.96a7oIarqd-96iIollIwLq,10,3 years ago,"maybe if people werent so fucking disgusting in the first place and would wash their hands and not eat fucking bats or other odd animals. im a germaphobe, not because of anything to do woth myself...but because people are nasty asfff.",也许，如果人们首先感到恶心，然后洗手，不要吃他妈的蝙蝠或其他奇怪的动物。我是个生物恐惧症，不是因为我自己要做任何事情……而是因为人们讨厌asfff。
29517,Ugw7pdGvQF_fd0s96zJ4AaABAg.8yWiBLps9B58y_Crc9NTCv,9,3 years ago,蘭瑟láncè dude are u even from china. don’t say nonsense to humiliate ur fucking country. it’s already humiliating enough for me to be chinese.,láncè的家伙甚至来自中国。不要对羞辱您他妈的国家说废话。它已经羞辱了我，让我成为中国人。
25498,Ugxkaczi3rRY4eft6Y54AaABAg.8z1M5cLp9qc8zACT2OS8X9,7,3 years ago,"kurosu shawna hippity hoppity, weirdos fuck off this here property",kurosu shawna hippity hoppity，怪异的家族
28596,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9-f46Cdm5kN,6,3 years ago,@franzpeters3824 she has nothing to do except make videos but she's making thousands of dollars and you? acting tough behind your computer screen and not replying to anyone boo hoo go fuck your self.,@franzpeters3824她除了制作视频外无事可做，但是她正在制作数千美元，而您？在计算机屏幕后面表现强硬，而没有回答任何人嘘声他妈的自己。
23402,Ugys54iUj9TTs_NqgDB4AaABAg.8zk0PxB5igA9-AHlFqSobX,5,3 years ago,slappy calm the fuck down who pissed in your cheerios this morning?,slappy平静下来的人今天早上在你的麦片中生气的人？
20153,Ugy2JIei5Rk0MEDBhgF4AaABAg.919L3UszMwJ91o-5lg7zpI,4,3 years ago (edited),"@johnvuu4679 there is so much land on this earth, have you even driven anywhere? have you ever left the city you live in? cities are tiny little specs compared to what is out there. 

and yes, not all land is fertile, that's why you don't try to live in a desert like all the morons in arizona and many other places. you can turn many deserts into grassland: https://www.youtube.com/watch?v=vpthi7o66pi&t=4s 

we grow fields upon fields upon fields of corn and soy to make garbage food that makes us sick while having useless lawns to show off to our neighbors that we can use a lawnmower when we could be making prime habitats for massive herds of animals that we can use as never ending food sources.

you can't afford to live off the land? that makes no sense, do you understand the concept here? you're living off the land, you don't need money.. nobody needs money for anything. it's worthless paper and digits in computers. you realize a couple hundred years ago people just rode wagons across america and picked a spot to settle right? i don't know the immediate answer to how to get land distributed to people who are willing to homestead, that's the hard part. i definitely wouldn't want the government involved. there is no easy solution for it, but the alternative is much worse. houses will be completely unaffordable throughout the world some day, and we'll all be even more of slaves to the corporate systems and governments than we already are. just wait, or just wait for your children to see... it's going to be a fucking nightmare. and it's going to happen, you're not getting the world to homestead, nobody is doing it. we're going the other direction and it's not stoppable.

ya, the population is growing, but as i said, you don't seem to have a clue how much land is out there, and people who cannot live off the land shouldn't be living.. why do you think we got into this situation? we cater to every little desire and whim of everybody all in the name of profit. if you have a strong family and community you can live off the land, anybody can do it, it's just a matter of not being a coddled sheltered half ass human being.

sure.. we've dug ourselves into a hole by chasing the dollars and carrots in front of our faces for centuries, but the solution has been staring us in the face the entire time.. most people are just too lazy and don't want to give up their lives of convenience for an honest living off the land. if you don't want an honest lifestyle living off the land and you want to live in a city full of conveniences and cancers then you're the problem. but you're in good company, probably 99% of people think that way. 

social backlash? like the social backlash from politics, unjust laws, and profiteering? just wait, you haven't even seen social backlash yet, this world is about to explode with social backlash. you're going to wish you had a homestead off the grid when it does.

the fact that i have to explain this to people shows how far gone the majority of mankind is. it's almost a shame that god has promised not to flood the earth again, we could really use a reset.","@johnvuu4679地球上有很多土地，你甚至在任何地方开车吗？您是否曾经离开过您居住的城市？与那里的城市相比，城市的规格很小。

是的，并非所有的土地都是肥沃的，这就是为什么您不像亚利桑那州和其他许多地方那样尝试生活在沙漠中的原因。您可以将许多沙漠变成草地：https：//www.youtube.com/watch?v=vpthi7o66pi&t=4S

我们在玉米和大豆的田地上种植田地，以制作垃圾食品，使我们生病，而无用的草坪可以向我们的邻居炫耀，我们可以在我们可以为大量动物群创造主要栖息地时使用割草机，我们可以使用割草机。用作永无止境的食物来源。

您负担不起居住的土地吗？那没有道理，您在这里了解这个概念吗？您在土地上生活，不需要钱..没人需要任何钱。这是毫无价值的纸和计算机中的数字。您意识到几百年前，人们只是骑着货车在整个美国都骑着货车，并选择了一个地点来定居吗？我不知道如何将土地分配给愿意居住的人的直接答案，这是困难的部分。我绝对不希望政府参与其中。没有简单的解决方案，但是替代方案更糟。有一天，全世界的房屋将完全负担不起，与我们现在相比，我们所有人都将成为公司系统和政府的奴隶。等一下，或者等待您的孩子看到...这将是一场他妈的噩梦。这将发生，您不会让世界进入宅基地，没有人在做。我们朝另一个方向前进，这是不可停止的。

是的，人口正在增长，但是正如我说的那样，您似乎不知道那里有多少土地，而无法生活的人不应该生存。这个情况？我们以利润的名义迎合每个人的每一个小小的渴望和兴起。如果您有一个强大的家庭和社区，您可以在土地上生活，任何人都可以做到这一点，这只是一个不做一个顽固的庇护半屁股人的问题。

当然..我们已经通过在脸前追着美元和胡萝卜数百年来挖掘了一个洞，但是解决方案一直在整个脸上盯着我们。想要放弃他们的便利生活，以诚实地生活在土地上。如果您不希望诚实的生活方式在土地上生活，而是想住在一个充满便利和癌症的城市中，那么您就是问题所在。但是您的公司很好，大概有99％的人以这种方式思考。

社交反弹？就像政治，不公正法律和盈利的社会反对一样？等一下，您甚至还没有看到社交反弹，这个世界即将在社交反弹的情况下爆炸。您将希望在电网上拥有一个宅基地。

我必须向人们解释这一事实，这表明了大多数人类已经走了多远。上帝已承诺不要再次淹没地球几乎是可惜的，我们可以真正使用重置。"
20680,UgzalNXFdzz5HngVF9V4AaABAg.90d-vjJja7090rcKqvWE_H,4,3 years ago,fuck like a dog,他妈的像狗
28589,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9-NHjY3uBbn,3,3 years ago,@franzpeters3824 fuck off please lol,@franzpeters3824他妈的请大声笑
23397,Ugys54iUj9TTs_NqgDB4AaABAg.8zk0PxB5igA9-2tbNrg_yJ,2,3 years ago,you fucktards live to talk about that stupid game don't you?,你他妈的直播来谈论那个愚蠢的游戏吗？
19987,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq92xeGG9DXmk,2,3 years ago,"shut up,ppl!!! just enjoy the fucking video. why fighting here?",闭嘴，ppl ！！！只需享受他妈的视频即可。为什么在这里打架？
16877,UgyV5WdeGEk-44uM2gl4AaABAg,1,3 years ago,"grandma behind the camera 
just get me a fucking cup ramen!!!!!!!!!","镜子后面的奶奶
只是给我一个他妈的杯拉面！"
10518,UgyH98IEJlwazVr76PN4AaABAg,1,3 years ago (edited),"beautiful aunt people don't like chinese cook e why do you welly bound the fields of jungle cooked fucking cooking all the free people to do not get dwet for blonjo
- greetings to jowo, indonesia","美丽的姨妈人们不喜欢中国厨师e e为什么你为什么要束缚丛林烹饪的田野，煮熟的所有自由人都不会为布隆霍
- 给印度尼西亚乔沃的问候"
17429,UgwV-uzw6206Qx2IoKZ4AaABAg.92kaKG0I8dO92znZJU6FFV,1,3 years ago,and fucking occasionally,偶尔他妈的
25904,UgztQUXiZ2hfNW8SQ9N4AaABAg.8yx7ougTfJq8z-3sE9NqJ1,1,3 years ago,nobody fucking cares! who the fuck is dan and arin anyway?,没有人他妈的在乎！无论如何，丹和阿林是谁？
26268,UgzA1Q8HkCOrZHYuKeF4AaABAg.8yrxhB0t7-C8yw5ncz53ns,1,3 years ago,"@mehere8821 go to see the news on youtube, some westerns fuck cows and goats. do all the westerns like to fuck their domestic animals? you idiot!",@mehere8821去YouTube上查看新闻，一些西方人他妈的牛和山羊。所有的西方人都喜欢他妈的家畜吗？你个傻冒！
27057,UgzfOdQXR-kL9LG-pdt4AaABAg.8yiuN41pbwu8yot7gZfWDJ,1,3 years ago,"it's about nature, traditional ! plz don't mention the fucking country or policy ! (i'm chinese)",这是关于自然的，传统的！请不要提及他妈的国家或政策！ （我是中国人）
19539,UgyueOQM524DKikvhMZ4AaABAg.91qMKgcDG7O91xikNiBWeG,1,3 years ago,@noahstwest why you fucking talk like that?,@noahstwest为什么你该怎么说话？
12522,Ugz80ivmyIbHXgQYwCV4AaABAg.96a7oIarqd-96lgfuocGzM,1,3 years ago,oh my fuck sorry to offend you all,哦，我妈的对不起，冒犯了你们所有人
11332,Ugz-mSWg1rD27k81VMh4AaABAg,1,3 years ago,"grandmother always eats all that she cooks and fuckers, why is it all tanned ?? ,,",祖母总是吃她做饭和混蛋的所有东西，为什么要晒黑？
19538,UgyueOQM524DKikvhMZ4AaABAg.91qMKgcDG7O91x6OJJgWCy,1,3 years ago,"@shem who fucking cares? even if she did had 3 people behind her, i'm sure she has more people backing her than you.",@shem谁在乎？即使她在她身后确实有3个人，我敢肯定，她支持她的人比您多。
28730,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g94bshR33o__,1,3 years ago,@franzpeters3824 excuse me what the fuck,@franzpeters3824对不起我他妈的什么
9059,UgwUMvdNuovQeW3Z0rN4AaABAg.9AWrca44ayZ9B1mNPqWXgg,1,2 years ago,"fuck12
acab
blm
dump trump 2020
๐ณ๏ธโ€๐๐ณ๏ธโ€๐๐ณ๏ธโ€๐๐ณ๏ธโ€๐๐ณ๏ธโ€๐๐ณ๏ธโ€๐
there are your feelings hurt yet?","他妈的12
Acab
BLM
垃圾场特朗普2020

有你的感受伤害了吗？"
30088,UgxDGMOPe2DNdpYYoFh4AaABAg,1,3 years ago,damn fuck them snails then,该死的他妈的蜗牛
4486,Ugzj2Yk28J8Y2fosqYR4AaABAg.9JVbXgTfIBn9Lxiooux3P8,1,2 years ago,"i hate fucking china

xi jinping and mao zedong ruptured sexual intercourse in the market outlook. is the anus?
(it means xi jin ping and mao ze dong are sax together haha)","I HATE FUCKING CHINA 

习近平和毛泽东在后市进行性交的破裂,肛门是不是 
(It means xi jin ping and mao ze dong are sax together HAHA)"
12814,UgydqN1TJD8ImDLV6Jt4AaABAg,1,3 years ago,"fucking for granny is scared, so she will eat her someday.",为奶奶他妈的很害怕，所以她有一天会吃掉她。
28754,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g96_X-lEBX-U,1,3 years ago,"@franzpeters3824 yes shes most likely far more productive than you. 
farmimg is hard fucking work dude. 
youtube may be a means of making a monetary income but her job is her farm, and shes probably doing far better than anyone watching these videos.","@franzpeters3824是的，她的生产力比您的生产力要高得多。
Farmimg是艰苦的工作伙计。
YouTube可能是赚取货币收入的一种手段，但她的工作是她的农场，而且她的表现可能比看这些视频的任何人都要好得多。"
9016,UgwUMvdNuovQeW3Z0rN4AaABAg,1,2 years ago,fuck u china ๐–•๐–•๐–•๐–•๐–•๐–•,他妈的你中国
28882,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9AZ3cYhy8nW,0,2 years ago,"@cathyliu8694 fuck u if u don't know english , illetrate people",@cathyliu8694他妈的你，如果你不认识英语，私人的人
29702,UgzpH3BE2koNS4RrEgp4AaABAg.8yWSez1D5Ga8yYHSjwX3jL,0,3 years ago,just fuck it ！！！come on,只是他妈的！！！来吧
30428,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw39Lxin85s58D,0,2 years ago,"i hate fucking china

xi jinping and mao zedong ruptured sexual intercourse in the market outlook. is the anus?
(it means xi jin ping and mao ze dong are sax together haha)","I HATE FUCKING CHINA 

习近平和毛泽东在后市进行性交的破裂,肛门是不是 
(It means xi jin ping and mao ze dong are sax together HAHA)"
21086,UgwmbtbnfEPpUTPMSrh4AaABAg,0,3 years ago,she can't fuck. becaube she is a boy,她不能他妈的。因为她是男孩
30379,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw39AxyR9_TS5t,0,2 years ago,@colinseet7710 what the fuck i didn't understand anything from you,@colinseet7711我该死的我什么都不了解你
30376,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw39AWrfqHOxKK,0,2 years ago,@slee-lx1fg fuck u china,@slee-lx1fg他妈的你中国
21484,Ugxo1FXpQX1JSBHjp1p4AaABAg,0,3 years ago,"bruh fr, like is anyone can say it or not, she’s cute as hell like fuck",Bruh fr，就像任何人都能说的那样，她像他妈的一样可爱
21706,UgwBRxLOi-ZesieYcjN4AaABAg.9-_KlQ8-Npx90YGtJCY36b,0,3 years ago,"fortunately, i am friendly, i finish, i fuck, eh eh, eh, dinner from now on",还好友好吃完唷喔我操诶诶诶诶从此晚餐
21853,Ugyc6bK-HU1raM6VqG14AaABAg,0,3 years ago,bamboo fuck but so big,竹他妈的，但是很大
22292,UgyXQ5VwS7zRlKbFm814AaABAg,0,3 years ago,nijole i don't know that he is throwing so much but i do fuck some bamboo outbreak tacos with japanese chuti soup with his respective soy saucea with chili ... and the japanese then hahahaha,妮可（Nijole
30375,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw39AWrduLA-uy,0,2 years ago,fuck u china,他妈的你中国
22557,UgzhFFUmhMf_V6A9tRR4AaABAg,0,3 years ago,i fucked all day to eat) cooked),我整天都吃饭）煮）
