,cid,votes,含hardworking,含hardworking中文翻译
36542,UgyzWftfxsT1zb2rV1l4AaABAg,0,"whar a simple, but very nice lifestyle she has! she is so hardworking ๐๐ค—",她的生活方式很简单，但非常美好！她是如此努力
46485,Ugx24j0g5Xv_oJB6Zd94AaABAg,0,"beautiful i think this chennel is goodest chennel for food video .,everything so pretty so cleeen beautiful place ..and this girl very hardworking",美丽，我认为这个小型唱片是食品视频的最好的Chennel。
52161,UgyQhhzhp9XbiIOu4Xd4AaABAg,0,what a hardworking one,多么勤奋的人
46830,UgxE45yCELdfgGh_vll4AaABAg,0,"very positive video! hardworking girl. it can be seen that good, how dogs love her)) exceptionally pleasant emotions from viewing.",非常积极的视频！勤奋的女孩。可以看出，好，狗如何爱她））从观看中产生了异常愉快的情绪。
44027,UgwgtuwH_Sgu6DJXDnJ4AaABAg,0,"if i had a wife, hardworking",如果我有一个妻子，努力工作
47191,UgybcW1U4kNj5OMsBsl4AaABAg,0,"she is the woman with whom every man dreams, she is beautiful, hardworking, she knows how to cook, home, humble, dominates culinary arts, agriculture, gardening, it is asian, etc. etc .... let's marry. i love you",她是每个人都梦想着她美丽，勤奋的女人，她知道如何做饭，家，谦虚，统治烹饪艺术，农业，园艺，是亚洲人等。我爱你
44259,UgzJqgitS7CF5o1aQ0t4AaABAg,0,"this girl is very hardworking, but i don't like that i hardly caress those beautiful puppies or give them food :(",这个女孩很努力，但是我不喜欢我几乎不爱抚那些美丽的小狗或给他们食物:(
44369,UgynzVYtWiqWg4PAl_N4AaABAg,0,what a well done hardworking,做得很好的努力工作
44371,UgyQORd6UOgqlwjCUg54AaABAg,0,i love her reaction on popcorn scene 's so cute hardworking person,我喜欢她在爆米花场景上的反应
44422,UgznMcsj1qI8pIqykIh4AaABAg,0,she is so strong and hardworking!!!❤,她是如此坚强而勤奋！！！
44796,UgytwOFIq_MIIPmWwiF4AaABAg,0,so hardworking ..,如此努力..
49643,UgxkIlE9bCUqn0-wDed4AaABAg.8qm18_MbC-d8utx4OVs7RS,0,@gla41904 why ?)she is hardworking,@gla41904为什么？）她在努力工作
45006,UgzQYU_Rx8F5M5HJXNR4AaABAg,0,how hardworking she is i am fan of her we can not imagine this type of skills,我对她的粉丝有多努力，我们无法想象这种技能
45034,UgzaldRnZtBbL0eehPl4AaABAg,0,"very hardworking the girl, always very active !!!",非常勤奋的女孩，总是非常活跃！！！
45344,Ugy_0214ictQe0GY0J94AaABAg,0,hardworking))),任劳任怨）））
45365,Ugy3P4dj7a46R2jU9oR4AaABAg,0,what a hardworking girl),多么勤奋的女孩）
45461,UgxgPrqaWeaPtujikht4AaABAg,0,"there is so much work in this light video. it is not a supermarket to go into the supermarket and heat up in the microwave. generate, care, collect, process, and all without modern technology. the hard -working people are hardworking people. ughts.",在这个轻型视频中有太多工作。进入超市并在微波炉中加热不是一家超市。生成，护理，收集，流程以及没有现代技术的所有人。工作艰难的人是勤奋的人。 ughts。
45566,UgxH2yWZOSgaR8ta3jd4AaABAg,0,new subscriber hre..so relaxing n gud atmosphere ...u r hardworking girl...keep it up...love from india,新的订户HRE ..如此放松
43942,UgzIuPHG_UYB1T8yg5J4AaABAg,0,"my new favorite channel. my best wishes for that hardworking girl, you deserve the best.",我最喜欢的频道。我对那个勤奋的女孩的最良好祝愿，你应该得到最好的。
43810,Ugx-CdUm_vE432_eKY54AaABAg,0,"hello good morning, how are you, i love your videos, you are an incredible, very intelligent and very hardworking woman god bless you cordial greetings from costa rica",你好早上好，你好吗，我爱你的视频，你是一个令人难以置信的，非常聪明且非常勤奋的女人，上帝保佑你哥斯达黎加的亲切问候
37791,UgyQ1z1W-O1j3Amvzd94AaABAg,0,"i really love and respect ur liziqi, i am much impressed to see the spirit of ur work...you are too much found of ur work... you are too much much more hardworking girl... i hope my daughter will same like that you in home works and also perfect mangable like that you... we love you and inspired all of urs works.. ๐ ๐ ๐",我真的很喜欢和尊重ur liziqi，看到你的工作精神给我留下了深刻的印象...你对你的工作太多了...你太勤奋的女孩了...我希望我的女儿能一样像您一样，您在家中的作品，也像您一样完美的可操作...我们爱您，并启发了所有Urs的作品。
40667,UgyybdbZI1yxjjgoDel4AaABAg,0,she is such a beautiful pancake .. also hardworking,她是一个美丽的煎饼..也很努力
38619,UgyJ7v5FEa4WOf3KFs14AaABAg,0,the tin is what a hardworking one,锡是一个勤奋的人
38645,UgzHyaB_7UKzG5q_t9N4AaABAg,0,what a hardworking one and even a beauty,多么努力的人，甚至是美女
38777,Ugw-EyMUznR601BQv-x4AaABAg,0,what a hardworking woman and what a great heart she has.. i really like your way of living and your video.,多么勤奋的女人，她拥有多么伟大的心..我真的很喜欢您的生活方式和视频。
46394,UgwujM7QdjRr_EzcFQJ4AaABAg,0,"wow ... what a more talented, hardworking, ingenious and how rich all of you look ... it does not lose any fruit !!! everything takes advantage of nature ... i am admired !!!",哇...多么才华横溢，勤奋，巧妙，你们所有人都多么富有……它不会失去任何水果！！！一切都利用自然...我很钦佩！！！
39946,UgwmcjQqwx9sYKoymQB4AaABAg,0,i like your video your hardworking woman i like your puppy ๐ถ โค๏ธ๐,我喜欢你的视频你勤奋的女人，我喜欢你的小狗
40219,UgzHxOrBdFSa0j8yLCN4AaABAg,0,waaah she is so hardworking lady plus know how to cook,waaah她是如此勤奋的女士加上知道如何做饭
49645,UgyXF6Elf5QVz0shtht4AaABAg,0,if i could give you a thousand likes you are a very hardworking woman that god bless you,如果我能给你一千个喜欢你是一个非常勤奋的女人，上帝保佑你
43629,UgzD3T9LhS-_xblBwxl4AaABAg,0,"incredible, everything he knows how to do, that girl so hardworking, surprising and everything looks delicious",令人难以置信，他知道该怎么做的一切，那个女孩如此努力，令人惊讶，一切看起来都很好吃
40825,UgxEzmqmVPfilaHBxid4AaABAg,0,i m pure vegetarian but watch all vedios because of beautiful views of nature. really she leaves in heaven...i love the background music and of course of her she is beautiful hardworking and cute...,我纯粹是素食主义者，但由于自然的美丽景色，请观看所有的Vedios。她真的留在天堂里...我喜欢背景音乐，当然她是美丽的勤奋和可爱的...
41369,Ugz1Hex1GbP--uLupXJ4AaABAg,0,she is really a kind hardworking beautiful woman.,她真的是一个善良的美丽女人。
41399,UgwAegtzQuiwxDN9vBV4AaABAg,0,"people this girl is very hardworking, beautiful and very smart i'm very fan of her ..",这个女孩非常努力，美丽且非常聪明，我非常喜欢她。
42290,Ugy2sEF_sQ5jGVf08jt4AaABAg,0,"cool #, what a hardworking girl, not like city skins",酷＃，多么勤奋的女孩，不像城市皮肤
42902,UgzgSNo0gozqvMjrHG14AaABAg,0,she is hardworking full of skill and she deserved to release of recipe book.i love the place of surounding.,她的技巧充满了努力，她应该释放食谱书。我喜欢尖锐的地方。
43056,Ugx0Sq7ZtMRafH0Ql1F4AaABAg,0,loved the video and the hardworking you have done to get this to final product.,喜欢视频以及您为将其推向最终产品而做的勤奋。
39757,UgwRqFDbkc5cA_F8Mn54AaABAg,0,"i never see such a talented women..she is really hardworking...ma sha allah
i would like to live with her.her place she and her grandma gives me so much peace ....๐๐๐๐","我从来没有见过这样的才华横溢的女人..她真的很努力...马沙阿拉
我想和她住在一起。"
459,UgxP7nRu9S_X8ogwG7d4AaABAg,0,very hardworking lady..,非常勤奋的女士..
32779,UgwI0NCiKZr653b_2Yt4AaABAg,0,what the-she's too hardworking for me to handle...and her cooking stuff is cool tho.,她对我来说太努力了……而她的烹饪东西很酷。
9552,UgzpbdalWcxl5U9f_aB4AaABAg,0,o god how hardworking shi is,上帝啊，什叶有多努力
10349,UgyS3qRirvk06VNqgwd4AaABAg,0,you are a very hardworking girl,你是一个非常勤奋的女孩
10416,UgxnjMXfZlAB9RCRbPR4AaABAg,0,thumbs up for hardworking,大拇指努力工作
10574,Ugw8Z5EXeMhdO8IHeJZ4AaABAg,0,"i love you hardworking spirit, liziqi you are great โคโคโค๐จ๐ฆ๐จ๐ฆ๐จ๐ฆ๐จ๐ฆ๐จ๐ฆ๐จ๐ฆ๐จ๐ฆ",我爱你勤奋的精神，liziqi你很棒❤❤❤
11116,UgzSt0Ll0q85HVeAa3J4AaABAg,0,korean people are very hardworking like bts,韩国人像BTS一样勤奋
12727,UgylXkqZI0tpVygZ4xN4AaABAg,0,she is so hardworking and she is so cuteeee...pure natural beauty,她是如此勤奋，她真是太可爱了...纯净的自然美女
12806,Ugx-LhB0EyAcmvIp9eV4AaABAg,0,"is there anything that li ziqi cannot do？this amazing, hardworking lady is the embodiment of all things bright and beautiful. you are simply the best ziqi and you deserve nothing but the very best. thank you for everything that your awesome videos bring to all of us.",李齐（Li Ziqi）做不到的事情是，这位神奇而勤奋的女士是万物明亮和美丽的体现。您只是最好的Ziqi，只有最好的东西。感谢您提供的真棒视频带给我们所有人的一切。
13544,Ugz6-dL78JRpIGItwSp4AaABAg,0,wow !! girl u r damn hardworking n so creative... loved it.,哇 ！！女孩，该死的努力工作如此创意...喜欢它。
13859,UgypWBQRWSDAadNoKrZ4AaABAg,0,"love, hardworking woman !!!",爱，勤奋的女人！！！
13871,UgwJp17AhHSrzCd9SKt4AaABAg,0,really you are so hardworking bravo amazing,真的，你真是太努力了
14155,UgypjdK0I6C3dzwv7wZ4AaABAg,0,"i respect the chinese. very hardworking people. they work in the literal sense from sunset to dawn and do not complain of life, on power, about the gods. well done.",我尊重中国人。非常勤奋的人。他们从日落到黎明的字面意义上工作，不要抱怨生命，权力和众神。做得好。
14458,UgwssX4qUxR7qZmu48h4AaABAg,0,"zi yan was like a beautiful and hardworking fairy, and she changed countless food with her magical hands.",子柒像一个美丽又勤劳的仙女，用她那双神奇的手变出无数的美食。
15368,Ugx_wh_ElZyYF7ResaB4AaABAg,0,i wish i were your family member to help you. you are so hardworking. i always feel peace and happy when i ever i watch you. i also want my life just like you. ❤lots of wishes for you and your family ❤,我希望我是您的家人来帮助您。你真努力。当我看着你时，我总是感到安宁与快乐。我也想要像你一样的生活。 ❤祝愿您和您的家人的愿望
15603,UgzOi83gS4ujvedvCOp4AaABAg,0,wah!!!wah!!u r such a hardworking girl,哇！
15631,UgyplJuUMACyK-W8lpZ4AaABAg,0,"the girl is good, hardworking, give her already to marry, otherwise he should be worn, she needs to give birth. i look with great pleasure. thank you.",这个女孩很好，勤奋，让她已经结婚了，否则他应该佩戴，她需要分娩。我很高兴。谢谢。
15745,Ugyq22pPLDJ6KzgClWF4AaABAg,0,hardworking lizqui,努力工作的利兹基
9870,UgyqV8TJvAm4Wj4oqPx4AaABAg,0,she is hardworking,她在努力工作
9406,UgxY31vRNBjgOstCjtx4AaABAg,0,she is so hardworking girl and she peppered the food for selling or keeping for longtime,她是如此勤奋的女孩，她为长期出售或保留食物
17262,Ugyl9wuW2LwLe8vJXwt4AaABAg,0,hardworking girl wow she cooks nice,勤奋的女孩哇，她做得很好
9247,Ugwl8SRqNOGRaTlFKf54AaABAg,0,"you're so hardworking dear,, keep it up....",亲爱的，你真是太努力了，继续努力....
1359,Ugz97QeVaGM4l7Fn6pN4AaABAg,0,so hardworking girl good girl,如此勤奋的女孩好女孩
1369,Ugypa3aNwuolFCAdEB94AaABAg,0,you are so hardworking i love your content so much โค๏ธโค๏ธ๐,你真努力工作，我非常喜欢你的内容❤️❤️
2419,UgxOYFGGadlyEO7M_2h4AaABAg,0,such a hardworking girl....,如此勤奋的女孩...
2831,Ugwv9x_ZFvKCIWUavIl4AaABAg,0,"my respect and admiration, young, beautiful and very hardworking and loving with their mother or grandmother i don't know, but everything is very nice",我的尊重和钦佩，年轻，美丽，非常勤奋，我不知道的母亲或祖母，但一切都很好
3375,UgwwgS39wmLZeW65N3t4AaABAg,0,hardworking women great job looking awesome all,勤奋的女人出色的工作看起来很棒
5868,UgzzPkUqZ5c0zBgLZKh4AaABAg,0,amazing i just love this channel and you hardworking,我只是喜欢这个频道，您努力工作
5933,Ugw40YLjeiOi7h0xeEF4AaABAg,0,very hardworking girl....god bless u ma....,非常勤奋的女孩....上帝保佑你妈。
5976,UgxoEEsfv-s9K_EX9yR4AaABAg,0,"the videos are very peaceful, i always watch. very hardworking and beautiful girl.",视频非常和平，我总是看。非常勤奋和美丽的女孩。
6076,Ugxn1qG3ZyQ1tvK2LBh4AaABAg,0,wow so hardworking girl i m very impressed,哇，这么努力的女孩，我印象深刻
6542,UgxIso-pOYvc3eCP1Dx4AaABAg,0,you are very hardworking,你很努力
6691,UgwFwszKkmph62emXAF4AaABAg,0,ooo pretty women.. ur the most hardworking women i ever seen,哦，漂亮的女人..您见过的最勤奋的女人
7373,UgzQCCRRfW0SpmmDSO94AaABAg,0,hey you are a good cooker and hardworking you have a great skill keep up,嘿，您是一个好的炊具，勤奋工作，您的技能很高
7393,Ugxo8CQm9GLa9se6_Dl4AaABAg,0,"i don't know if you understand my tongue, but i want my daughter to be hardworking and clever like you.",我不知道您是否理解我的舌头，但我希望我的女儿像您一样勤奋而聪明。
8354,UgxPloOPAeAsfekC0OV4AaABAg,0,i don't know how to talk about your language .. but i really like your videos .. you are very hardworking .. safe from veracruz,我不知道该如何谈论您的语言..但是我真的很喜欢您的视频..您非常努力。
8664,UgzlTN0eFL1mbzDkSSV4AaABAg,0,"everyone : you are so hardworking 
me :ok but what about that cute dogs and especially 10:03













thanks for like but kindly visit my channel","大家：你真努力工作
我：好的，但是那只可爱的狗，尤其是10:03呢













感谢您的喜欢，但请访问我的频道"
16272,Ugw8ygialT5WkXvb-CR4AaABAg,0,she is very hardworking woman,她是非常勤奋的女人
17401,Ugy-yqASPsKpKQRwp8l4AaABAg,0,very hardworking girl,非常勤奋的女孩
32509,UgyIxvPyiC8eDoOzRfB4AaABAg.8vpQsjhrFL19YXeJL4IOz8,0,just leave all bad words and see how hardworking she is,只要留下所有坏话，看看她有多努力
25762,Ugy-FOsgGBLoQrY0vx54AaABAg,0,you are very hardworking girl and veryyyy goood sheff ...,你是非常勤奋的女孩和非常努力的sheff ...
469,UgznvIafE-0FNuLtsFJ4AaABAg,0,"the way your videos help me. thank you so much! wish i could live this slow pace of life one day. doesnt have to be in village, city okay too but this kind of slow pace. i will hardworking so i could live this lifestyle :)",视频对我的帮助。太感谢了！希望我有一天能过着这种缓慢的生活节奏。不必在乡村，城市也可以，但是这种缓慢的步伐。我会努力工作，这样我就可以过这种生活方式:)
26840,Ugwq72v29b32ZkpaGsZ4AaABAg,0,"hardworking women are those who have been being surrounded by cruel "" friends"" who just came to her to make her feel being overwhelmed with messy knowledge or messy workloads. liqizi is not the hardworking one as long as she enjoy her jobs and there is no cruel friend around her.",勤奋的女人是那些被残酷的“朋友”包围的女人，她只是来找她，使她感到被凌乱的知识或凌乱的工作量所困扰。只要她喜欢自己的工作，周围没有残酷的朋友，Liqizi就不是一个勤奋的人。
27152,Ugy_ahs4wqqDriMYyLl4AaABAg,0,"cinderella. how much work is it necessary to create such a garden and garden, a beautiful and hardworking woman โฅ",灰姑娘。创建这样的花园和花园，一个美丽而勤奋的女人需要多少工作♥
27539,UgwOqvBZhfTRX1hRsLd4AaABAg,0,"no, no, mashallah in the country, the most hardworking woman i have seen in her life, ๐‘ we are, but let's eat and drink and take a selfie :)",不，不，马沙拉（Mashallah），我一生中见过的最勤奋的女人，
27986,UgxlR5-zEMoJ2_jVeSV4AaABAg,0,a truly hardworking woman,一个真正勤奋的女人
28102,UgyHkTqbL_y7x-aHk_x4AaABAg,0,she is such a hardworking lady. she is so inspiring.,她是一位勤奋的女士。她是如此鼓舞人心。
29148,Ugx0ZQZDUaI-7FDOZSN4AaABAg,0,felix and the man who is lucky to have is a girl to be his wife she is very hardworking and is not too lazy congratulations to this family and may god bless you always,菲利克斯（Felix）和幸运的人是一个女孩，是一个女孩，她是他的妻子，她非常勤奋，对这个家庭不太懒惰，愿上帝保佑你永远
29154,UgyB1NaGPfkmVZrL41d4AaABAg,0,"i want to live your life like you because i love that nature where did you live and you are really very hardworking girl ,and you are looking so cute and humble , and i am from india but i like your place more",我想像你一样过着你的生活，因为我喜欢你住在哪里，你真的很努力地工作，你看起来很可爱和谦虚，我来自印度，但我更喜欢你的地方
29413,Ugxw6PtEfCgCzr-xLTp4AaABAg,0,this woman is so hardworking and talented like-,这个女人是如此勤奋和才华横溢 -
29922,UgzeB0g4lY3-dVA0AcF4AaABAg,0,there was an explosion he was surprised hhaha his femininity there was also hhhhh because his hardworking was so hard to forget the nature of his femininity. amazed,发生了爆炸，他感到惊讶的是，他的女性气质也有HHHHH，因为他的努力工作很难忘记他的女性气质的本质。惊讶
30597,UgyQsTnNz6JRQcVyByl4AaABAg,0,want to marry a girl like this..hardworking..matured and not a feminist fucktard...,想嫁给一个这样的女孩.. hardworking ..整理而不是女权主义的他妈的...
31152,Ugy8mJbfP32S815jOg94AaABAg,0,how hardworking she is,她有多努力
31412,UgwNWf8j4ok0ZFXlnbN4AaABAg,0,i think sheโ€s an angel or something because sheโ€s so kind and hardworking! and she so prettyyyy!!!!,我认为她是天使之类的东西，因为她是如此友善和勤奋！她真漂亮！
31710,UgwIMOyDjGq5PyzmM5Z4AaABAg,0,so hardworking lady very good keep it up,如此勤奋的女士很好地保持
32434,Ugy9hi5y64ph9cFgugN4AaABAg,0,this life is not an easy one.. really she is a hardworking one..oh my god i can't live like this in any single day...hats off to you,这个生活并不容易。
25964,UgwxwBC9ckkGBzF-IPZ4AaABAg,0,"first of all she is naturally beautiful. she has a lot of skills. she is strong too lol she can carry heavy loads of fruits. she has two assistants yes but she directs most of her videos. i just love how she can just cook anything or do anything like make her dye her dress, embroided clothing or pillowcases. and how she handles things with care. people in her town said she is a very hardworking person. intelligent and has talent. she is just amazing. makes me wanna plant and make a beautiful garden. she inspires millions of people around the world. she is a real life amazing princess.",首先，她天生美丽。她有很多技能。她太坚强了，大声笑她可以携带大量的水果。她有两个助手是，但她指导了大多数视频。我只是喜欢她如何做任何东西或做任何事情，例如使她的衣服，绣花衣或枕套染色。以及她如何小心处理事情。她镇上的人说她是一个非常勤奋的人。聪明并且有才华。她真是太神奇了。让我想种植一个美丽的花园。她激发了世界各地数百万的人。她是一个现实生活中令人惊叹的公主。
25133,Ugwg9nINOKcAKkAQMUp4AaABAg,0,liziqi you are a very great person n hardworking when i watched ur videos i feel relax and most important i like u n ur grandma she is so cute god bless you,liziqi你是一个非常伟大的人，当我看你的视频时，我感到放松，最重要的是我喜欢你，她是如此可爱的上帝保佑你
17692,UgwvwstSOeGgS3VTJih4AaABAg,0,"what an amazing girl! beautiful, hardworking, caringova",多么了不起的女孩！美丽，勤奋，Caringova
23857,UgyyDub3EqlNeBKLubZ4AaABAg,0,a wonderful and hardworking woman.!,一个奇妙而勤奋的女人。
17698,UgziWh5b2vlYhaDtHDt4AaABAg,0,"goddess li zi, thank you for your hard work. we want to be your relatives or neighbors. we love to be your relatives or neighbours, thank you. you are like a hardworking angel.","李子柒女神、谢谢辛苦你. 我们想做你的亲戚或邻居。 We love to be your relatives or neighbours, thank you. You are like a hardworking angel."
18040,UgwJplDV45Hu7i5MRVh4AaABAg,0,"sweet, hardworking girl!!!",甜美，勤奋的女孩！！！
18386,Ugwt6E0aLXWnRvXb6-Z4AaABAg,0,i̇ like her very much! bravo she is so hardworking girl. but after korona during all videos i was wared about this two pupis thanks god she dış not cooked tham,我非常喜欢她！她是如此勤奋的女孩。但是在所有视频中，科罗纳之后，我都被这两个小学家警告，感谢上帝，她没有煮过tham
18659,Ugxmmm8sPHevdzkY6Ql4AaABAg,0,what a fraud and very hardworking,多么欺诈和非常勤奋
19610,UgypR4F8PIIa8cpoNjl4AaABAg,0,how do you do this this is freaking fairy land and you are the most hardworking fairy,您如何做到这一点是怪异的童话土地，而您是最勤奋的童话
19975,Ugx9Z7MRxLAu5HG3zX94AaABAg,0,you had became one of my inspirations .thanks a lot .u are very very hardworking and caring girl,您已经成为我的灵感之一。很多.U是非常勤奋和关怀的女孩
19993,Ugz9Y9AsFE3TDfknFIB4AaABAg,0,"she is amazing, hardworking girl she has to come to usa and own a shop she has a lot and unique skills",她是很棒，勤奋的女孩，她必须来美国并拥有一家她拥有很多独特技能的商店
20564,UgwK8UQUMzi6z6_2ZRp4AaABAg,0,she is so hardworking person ๐,她是如此勤奋的人
20746,UgwnSxTrlLN--CWzVL94AaABAg,0,"dear you are very hardworking girl, i want to meet you",亲爱的你是非常勤奋的女孩，我想见你
21472,Ugz6P1B04Tm6En3bRId4AaABAg,0,"wow incredible, i am surprised by everything she does, she is an expert cooking. it shows that she is very hardworking.",哇，令人难以置信，我为她所做的一切感到惊讶，她是一位专家烹饪。这表明她很努力。
21548,UgyIynhxSGOb6dyu5Sd4AaABAg,0,what a well done! a very hardworking girl!,做得好！一个非常勤奋的女孩！
21590,Ugzn-jnH8XvKa7HE1-94AaABAg,0,how deliciously it was removed ..... !!! direct delight !!!! and what a hardworking girl !!! on firewood to cook such a tasty !!!!!,How deliciously it was removed ..... !!! Direct delight !!!! And what a hardworking girl !!! On firewood to cook such a tasty !!!!!
22201,UgwI6L7EUPwilX6f7_V4AaABAg,0,"the cinematography and storyline are amazing to watch. sheโ€s such amazing skill and hardworking to me. i once visited a village area and barely survived. ๐คญ๐คญ so much work to prepare for the food i ate such as plucked the chicken feather before cooking, or chopped the cassava tree to make stem cassava. 

i truly admire her and her work","摄影和故事情节令人惊叹。她对我来说是如此出色的技巧和勤奋。我曾经参观过一个村庄，几乎没有幸存。 

我真的很佩服她和她的工作"
22409,Ugz7WDz2NdI8d-5iF694AaABAg,0,kaash ink ink jaisi hardworking wife sabko mile,Kaash墨水Jaisi勤奋的妻子Sabko Mile
23713,UgwM0dySKx7ZUT-Fned4AaABAg.92EWx_NqxMa92wtmB373wM,0,"what is this? is there a real address? do i have time to go? i really like this girl, i feel that she is very sunny and hardworking",请问这是什么地方？有真正确地址吗？我有时间可以去吗？好喜欢这个女孩，感觉她很阳光和勤劳
52534,Ugzw9b4mO1gXzJwIkRB4AaABAg,0,"omg what a beautiful video , such a hardworking lady .",天哪，多么漂亮的视频，如此勤奋的女士。
