,cid,votes,含lifestyle,含lifestyle中文翻译
18883,UgwECP07wJwozCCvvq14AaABAg,0,i feel like even though shes portraying a humble/country rustic lifestyle that it's probably very expensive to live like that now days.. or i could be wrong...,我觉得即使她描绘了一种谦虚/乡村质朴的生活方式，现在像现在这样生活可能非常昂贵。或者我可能错了...
18840,UgxdfhIBHtcMprsHF294AaABAg.96U_wjWL5Lw9qKwZRXwtaZ,0,"hay day/ nayekgaming 
youtube -https://youtu.be/b8figsqfgo0
atoplay-https://atoplay.com/videos/163eb6f43d4de41676373827
______
earn money/part time job 
modicare direct selling company or network marketing 
joining time use 
sponsored mca no -76222019
joining link -https://www.modicare.com
atoplay-https://atoplay.com/videos/16430275717ac11680877399
youtube -https://youtu.be/dwmyegmjo-q
______
asclepius wellness private limited
become a direct seller
direct selling or network marketing
if you join 
register time use
sponsored i'd -28f281e
name-debojyoti nayek 
joinlink-https://asclepiuswellness.com/login.aspx
atoplay-https://atoplay.com/videos/1639cc099a7d771671217305
youtube - https://youtu.be/dcwzucpyauu
_________
mi lifestyle marketing pvt ltd
direct selling/network marketing 
joining time use
sponsored i'd -4419335214
joining link- https://www.milifestylemarketing.com/
youtube -https://youtu.be/zvgh3zi6cn0
atoplay-https://atoplay.com/videos/1643b8b5428d2e1681623892
_________
4) vestige marketing pvt ltd
sponsored i'd -49777081
_________
5)rcm marketing pvt ltd
sponsored i'd -39470226
________
nayekfashion
shop link-
https://myshopprime.com/nayekfashion/25cycqs

#nayekgaming #bhootoo #nayek #nayekkidschannel #nayekhealthchannel #nayekhindistory 
#nayekblogschannel #nayekfashion 
#debojyotinayek","干草日/ nayekgaming
youtube -https：//youtu.be/b8figsqfgo0
atoplay-https：//atoplay.com/videos/163eb6f43d4de41676373827
______
赚钱/兼职工作
Modicare Direct Selling Company或网络营销
加入时间使用
赞助MCA No -76222019
加入链接-https：//www.modicare.com
atoplay-https：//atoplay.com/videos/16430275717AC11680877399
youtube -https：//youtu.be/dwmyegmjo-q
______
Asclepius Wellness Private Limited
成为直接卖家
直接销售或网络营销
如果您加入
注册时间使用
赞助我是-28F281E
名称debojyoti nayek
joinlink-https：//asclepiuswellness.com/login.aspx
atoplay-https：//atoplay.com/videos/1639cc099a7d771671217305
YouTube -https：//youtu.be/dcwzucpyauu
_________
MI生活方式营销Pvt Ltd
直接销售/网络营销
加入时间使用
赞助我是-4419335214
加入Link- https://www.milifestymarketing.com/
youtube -https：//youtu.be/zvgh3zi6cn0
atoplay-https：//atoplay.com/videos/1643b8b5428d2e1681623892
_________
4）Vestige Marketing Pvt Ltd
赞助-49777081
_________
5）RCM Marketing Pvt Ltd
赞助我是-39470226
________
Nayekfashion
商店链接 - 
https://myshopprime.com/nayekfashion/25cycqs

#nayekgaming #bhootoo #nayek #nayekkidschannel #nayekhealthchannel #nayekhindistory
#nayekblogschannel #nayekfashion
#debojyotinayek"
18219,UgxqS3ndP51GJaxOJVZ4AaABAg,0,can i come to your place i love your lifestyle...,我可以来你的家，我爱你的生活方式吗？
17633,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh98QmR_0Iteu,0,"at least she is doing all the hard work by herself which part can't you hates see? well i guess you haters can always find something to judge and hate, i highly doubt that if you actually have a life in reality or this is how pathetic you guys are, don't appreciate a different culture, the beautiful side of countryside lifestyle...it just can't be something nice in your eyes, it has to be poor, dirty, not developed or even not educated. where does your self priority come from mr. know-it-all? in the end you are just a human like everyone else. righteousness doesn't make you a wise man but demonstrates that you have ugly soul.",至少她自己正在做所有艰苦的工作，您无法讨厌看到哪一部分？好吧，我想您仇恨的人总是会找到一些可以判断和仇恨的东西，我高度怀疑，如果您实际上有现实的生活，或者这就是你们的可悲，不要欣赏不同的文化，这是乡村生活方式的美丽一面。 ..这在您的眼中不可能是一件好事，它一定是贫穷，肮脏，没有发展甚至没有受过教育的东西。您的自我优先级来自智力先生？最后，您就像其他人一样。公义并不能使您成为一个明智的人，而是表明您有丑陋的灵魂。
16021,Ugw1bhelK3cCy-EULAd4AaABAg,0,her hand skin is kinda rough.. so i pretty sure she done all of these things not just because to film it.. but it just her lifestyle..,她的手皮有点粗糙。所以我很确定她做了所有这些事情，不仅是因为拍摄它。而且只是她的生活方式..
15016,UgwmP_NKRdZSznkAVRZ4AaABAg,0,i love your lifestyle,我爱你的生活方式
14187,UgyzT_26Ds5H-I28hAl4AaABAg,0,"i have smaller gardens like that in my village, but i'm too lazy to make planting , so i guess this kind of lifestyle only suit for industrious and smart people…not for lazy girl like me…sad",我在村里有这样的较小的花园，但是我懒得种植，所以我想这种生活方式只适合勤奋和聪明的人……不适合像我这样的懒惰女孩……悲伤
13593,UgyemusJUIlnmmjhBrp4AaABAg,0,your lifestyle is sooo good,你的生活方式很好
13369,UgwqljrhGSDjtWXjuTR4AaABAg,0,i like ur lifestyle it's a very peaceful life,我喜欢你的生活方式，这是一种非常和平的生活
12996,UgyVZf0MWZyfUUapQ7l4AaABAg,0,want to be like this i love her lifestyle.,想这样我爱她的生活方式。
12666,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9DyqK-b-YkT,0,"​thatoneasianbrochick only an idiot will assume philippines was part of china. geographically speaking it is not even close in culture, lifestyle, and knowledge. ah i will not argue with idiots. please comment away.",Thatonoesianbrochick只有一个白痴会假设菲律宾是中国的一部分。从地理上讲，它在文化，生活方式和知识方面甚至都不是亲密的。啊，我不会和白痴争论。请发表评论。
22145,UgwAF86DFqCyjaaE4_Z4AaABAg.933vdtTbrag93B_W3myG_C,0,"deng kai doesn't wash it. i also like to watch li's videos, which can bring me tranquility and peace of mind. i also know very well that there is no such poetic lifestyle in rural china. come and talk about how you have such poetry and painting",邓凯 别洗了，我也很喜欢看李的视频，能给我带来宁静和安心感，我也很清楚知道中国农村没有这样的诗情画意的生活方式。来你说说你的那里如何有这般的诗情画意
11918,Ugw2z34R0hkh2RnABTt4AaABAg,0,hai sister i like your videos very much very nice videos. my youtube channel is thamizhini's lifestyle please subscribe to my channel sister thanks in advance take care. i love your cooking very much.,hai Sister，我非常喜欢您的视频。我的YouTube频道是Thamizhini的生活方式，请订阅我的频道姐姐，谢谢。我非常喜欢你的烹饪。
9663,UgyF9ONH0Fw9h_oCgM94AaABAg,0,wow. just wow.. what a fantastic lifestyle.,哇。哇..多么美好的生活方式。
9353,Ugx3M0Dv2asQ-oU5ait4AaABAg,0,please watch bangladeshi village lifestyle: https://www.youtube.com/watch?v=zzbcfruagre,请观看孟加拉国乡村生活方式：https：//www.youtube.com/watch?v=zzbcfruagre
8953,Ugw149YYxFqIh4KMYXt4AaABAg,0,"nice
visit my channel plz
#kitchenandlifestylewithambreen","好的
访问我的频道PLZ
#kitchenandlifestylewithambreen"
7866,Ugwi5VEQCe3Spx7cht54AaABAg,0,amazing lifestyle,惊人的生活方式
7332,Ugxbf2_7_rr9S72PRON4AaABAg.9JwzlYQW9wa9LrTlmN-YwW,0,"@joanniebb6459 her lifestyle will make her always naturally beautiful! she has everything: looks, talent and personality. she deserves the compliment.",@joanniebb6459她的生活方式将使她总是自然美丽！她拥有一切：外观，才华和个性。她值得称赞。
6830,Ugwt7y4_-Yq_FSrM0L94AaABAg,0,"u️ hotslut.live/xxx1ovem0de1539 ⤵️
b.e.s.t f'u'l'l d.a.t.i.n.g h.o.t g.i.ra.l's
—l — o — e — e-x —— ❤️
..

in the history of human beings, strong people, rich and cunning people predatory tribes, clan, towns, cities, and villages in the weak people, without members of the poor and poor. however, people's willingness to survive forces those who are rejected, deprived or destroyed, and have found a lifestyle and continue to integrate their dna into the development of human society.
when it comes to food, don't think those who are rejected only eat garbage. instead, they learned to find nutrition in the neglected meat and vegetables. they learned to clean, cut pieces, seasoned and stewed wild vegetables and meat, some household vegetables and meats ignored in the food market, and learned to use aromatic wood cigarettes (such as mountain walnuts, walnuts and bean shrubs
when the food is cooked ..","➡️ hotslut.live/xxx1ovem0de1539 ⤵️ 
B.e.S.T f'u'l'l D.a.T.i.n.G h.o.T G.i.r.L's
—L—o—V—e—S—e-X———❤️
..

在整个人类历史上，强者，富人和具有狡猾特质的人捕食部落，氏族，城镇，城市和乡村中的弱者，无`'守和贫穷成员。然而，人类的生存意愿迫使那些被拒绝，被剥夺或摧毁的基本需求的人们找到了一种生活方式，并继续将其DNA融入不断发展的人类社会。
说到食物，不要以为那些被拒绝的人只吃垃圾。相反，他们学会了在被忽视的肉类和蔬菜中寻找营养。他们学会了清洁，切块，调味和慢炖慢炖的野菜和肉类，在食品市场上被忽略的部分家用蔬菜和肉类，并且学会了使用芳香的木烟（如山核桃，山核桃和豆科灌木
来调味食物煮的时候.."
6446,UgzTaGTmJAEfEgSv9Ep4AaABAg.9M0NeUCmqSi9MN5MS4fmmS,0,@alvinca647 i’m saying her lifestyle is not like this.,@alvinca647我是说她的生活方式不是这样。
4973,Ugzzioq4AfbxK4yK8Up4AaABAg,0,lots of love from arg lifestyle and love from tripura love u,Tripura Love u
4754,UgwBDBvgBIxzLSZfuph4AaABAg,0,impressesd by her lifestyle,她的生活方式印象深刻
4298,UgybaqlaPDXgQ89PPld4AaABAg.9Re070FLoFc9Z5_Pos6vg8,0,"@justjite15 read my previous reply again. i don't know what assumptions you are talking about? all i said was that the video is staged because there's no way a real farmer in china can afford to live like her. but the lifestyle, except the quality of food and decorations, is real.",@justjite15再次阅读我以前的答复。我不知道您在说什么假设？我所说的是，该视频是在上演的，因为中国真正的农民无法像她一样生活。但是，除食物和装饰的质量外，生活方式是真实的。
3372,UgySZSNZDb--4S6IsYd4AaABAg,0,"the ordinary people of the chinese nation have been living like this for thousands of years. manual work, farming economy, pure natural and pollution-free, until the advent of western civilization changed everything. when the entire chinese nation is like li ziqi, industrializing and informatizing the entire country with diligence and wisdom. and at the same time there is a higher pursuit of a higher and better future for mankind, such as artificial intelligence, the internet of everything, and space technology. li ziqi's video appeared before our eyes like an angel's performance. when we (western, eastern...) stand in the reinforced concrete forest of the city, at the moment of the pandemic of the world. we fell in love with li ziqi's lifestyle. li ziqi never expected that she would be loved by so many audiences all over the world. this is a hint. at the crossroads of this turbulent world, where shall we go?",中国民族的普通百万生活已经数千年了。手动工作，农业经济，纯粹的自然和无污染，直到西方文明的出现改变了一切。当整个中国国家都像李齐（Li Ziqi）时，以勤奋和智慧为整个国家提供了工业化和信息。同时，人们对人类的更高，更美好的未来有更高的追求，例如人工智能，一切的互联网和太空技术。李齐（Li Ziqi）的视频像天使的表演一样出现在我们眼前。当我们（西部，东部...）站在世界大流行时城市的浓缩混凝土森林中时。我们爱上了李齐的生活方式。李齐（Li Ziqi）从来没有想到她会被世界各地的许多观众所爱。这是一个提示。在这个动荡世界的十字路口，我们要去哪里？
1134,Ugxf4NLXvbXEkwhnhDd4AaABAg,0,i like her lifestyle ๐ฅฐ i wish her happy future !!!,我喜欢她的生活方式。
21412,Ugx-KnYYPoQ1XL7PNlJ4AaABAg,0,"your videos, the production, your spirit, your lifestyle, the way you love your elders and animals, and the way you respect the earth, it gives me great peace, serenity, and i feel nothing but love from watching your videos. thank you for sharing, my friend! sending great love from dallas, texas, usa. ๐’",您的视频，制作，精神，生活方式，您爱长者和动物的方式以及您尊重地球的方式，它给了我极大的和平，宁静，我除了观看视频而没有爱。谢谢您的分享，我的朋友！从美国德克萨斯州达拉斯发出伟大的爱。
22349,UgzVpRa8JuX9WQcTL4x4AaABAg,0,"i used to do everything that i wanted to get rid of, and now it has become a life that everyone is yearning for, and it is closer to the lifestyle of nature how beautiful it is",曾经千方百计想脱离的生活方式，现在成了人人向往的生活了，更接近大自然的生活方式是多么的美好
34649,UgwgrRDyqv2FPA8LYsB4AaABAg.8uwt-3S6CL58uybwEkeYLE,0,"@ataryo lmao sir it's not that fucking deep. tf are you getting mad over people complimenting her hard work. some things aren't that complicated honestly. i get that you have experienced the lifestyle but there's also the consideration your experiences aren't universal. they look perfectly comfortable, and if they weren't they certainly are now with all the revenue coming in from monetization. stop microanalyzing shit that's not there ๐คฆ",@ataryo lmao先生，这不是那么深。 TF您是否为人们称赞她的辛勤工作而生气。诚实地说，有些事情并不是那么复杂。我知道您已经体验了生活方式，但是您的经历也不普遍。它们看起来非常舒适，如果不是，他们现在肯定是所有的收入都来自货币化。停止不存在的微分析屎
30188,UgxwxuSmjXJYNUI4mT54AaABAg,0,when u live without smartphone and city lifestyle,当你没有智能手机和城市生活方式时
34648,UgwgrRDyqv2FPA8LYsB4AaABAg.8uwt-3S6CL58uy32JvrfYg,0,"@mariahsspleen8312 admiration that last for the length of the video while having no clue about the harshness and the profound beauty of this lifestyle. oh, and yes! if you read the comments, you'd see that people have unrealistic admiration towards her . my wife's chinese ( same province as her) and i experienced the deep countryside of china. it's both beautiful and awful. it's good to get inspiration but people shouldn't fool themselves in false expectation just because the video is nicely edited. if you excuse me, i'm done talking to you. ๅ่ง๏ผ",@Mariahsspleen8312钦佩持续了视频的长度，同时却不知道这种生活方式的苛刻和深刻的美感。哦，是的！如果您阅读评论，您会发现人们对她的钦佩是不切实际的。我妻子的中国人（与她同样的省）和我经历了中国深处的乡村。它既美丽又可怕。获得灵感是一件好事，但是人们不应该因为视频精心编辑而愚弄自己的错误期望。如果您原谅我，我已经和您说话了。再见！
34638,UgwgrRDyqv2FPA8LYsB4AaABAg,0,this video doesn't reflect the hardship that this lifestyle bring alongside other problems.,该视频并不能反映这种生活方式带来其他问题的困难。
34333,Ugyz5gw9kjdyLOFp-LR4AaABAg,0,itโ€s so crazy to see someone with such a different lifestyle. sometimes i forget that other people live in such a different way than the way in my little bubble of city.,看到一个生活方式不同的人真是太疯狂了。有时我忘记了其他人的生活与我小泡沫中的方式不同。
34246,UgwZjAG4JT35jlvkatF4AaABAg,0,i love your lifestyle ... simple and healthy ... i wish i live with you ... a hug,我爱你的生活方式...简单健康...我希望我和你一起生活...一个拥抱
34117,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd49qKwWfOWV9h,0,"hay day/ nayekgaming 
youtube -https://youtu.be/b8figsqfgo0
atoplay-https://atoplay.com/videos/163eb6f43d4de41676373827
______
earn money/part time job 
modicare direct selling company or network marketing 
joining time use 
sponsored mca no -76222019
joining link -https://www.modicare.com
atoplay-https://atoplay.com/videos/16430275717ac11680877399
youtube -https://youtu.be/dwmyegmjo-q
______
asclepius wellness private limited
become a direct seller
direct selling or network marketing
if you join 
register time use
sponsored i'd -28f281e
name-debojyoti nayek 
joinlink-https://asclepiuswellness.com/login.aspx
atoplay-https://atoplay.com/videos/1639cc099a7d771671217305
youtube - https://youtu.be/dcwzucpyauu
_________
mi lifestyle marketing pvt ltd
direct selling/network marketing 
joining time use
sponsored i'd -4419335214
joining link- https://www.milifestylemarketing.com/
youtube -https://youtu.be/zvgh3zi6cn0
atoplay-https://atoplay.com/videos/1643b8b5428d2e1681623892
_________
4) vestige marketing pvt ltd
sponsored i'd -49777081
_________
5)rcm marketing pvt ltd
sponsored i'd -39470226
________
nayekfashion
shop link-
https://myshopprime.com/nayekfashion/25cycqs

#nayekgaming #bhootoo #nayek #nayekkidschannel #nayekhealthchannel #nayekhindistory 
#nayekblogschannel #nayekfashion 
#debojyotinayek","干草日/ nayekgaming
youtube -https：//youtu.be/b8figsqfgo0
atoplay-https：//atoplay.com/videos/163eb6f43d4de41676373827
______
赚钱/兼职工作
Modicare Direct Selling Company或网络营销
加入时间使用
赞助MCA No -76222019
加入链接-https：//www.modicare.com
atoplay-https：//atoplay.com/videos/16430275717AC11680877399
youtube -https：//youtu.be/dwmyegmjo-q
______
Asclepius Wellness Private Limited
成为直接卖家
直接销售或网络营销
如果您加入
注册时间使用
赞助我是-28F281E
名称debojyoti nayek
joinlink-https：//asclepiuswellness.com/login.aspx
atoplay-https：//atoplay.com/videos/1639cc099a7d771671217305
YouTube -https：//youtu.be/dcwzucpyauu
_________
MI生活方式营销Pvt Ltd
直接销售/网络营销
加入时间使用
赞助我是-4419335214
加入Link- https://www.milifestymarketing.com/
youtube -https：//youtu.be/zvgh3zi6cn0
atoplay-https：//atoplay.com/videos/1643b8b5428d2e1681623892
_________
4）Vestige Marketing Pvt Ltd
赞助-49777081
_________
5）RCM Marketing Pvt Ltd
赞助我是-39470226
________
Nayekfashion
商店链接 - 
https://myshopprime.com/nayekfashion/25cycqs

#nayekgaming #bhootoo #nayek #nayekkidschannel #nayekhealthchannel #nayekhindistory
#nayekblogschannel #nayekfashion
#debojyotinayek"
33986,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd49F42p78O3sV,0,"let's not only talk about it!
let's try together to make such a lifestyle.
maybe not only for us, but the future.
the future doest always have to be apocalypse with pollution and zombies and bad stuff","让我们不仅谈论它！
让我们一起尝试这种生活方式。
也许不仅适合我们，而且对未来。
未来的doest总是必须是启示录，并具有污染，僵尸和坏东西"
33524,UgwbiCwBM5pR5zKNjY14AaABAg,0,that type of lifestyle seems awesome <3,这种生活方式似乎很棒<3
33470,UgzncGjDS6TnHo9mNlJ4AaABAg,0,"it's so amazing, it's beautiful. a great lifestyle. i like ๐ ๐",太厉害了吧⋯⋯人美手巧。很棒的生活方式。我喜欢
33413,UgwW89UWpHZoS3A26qJ4AaABAg.8vH4dW6_4wZ8vHdGaP-SMv,0,"yup looks too romanticized but hey atleast she catches people's attention toward a more traditional/meaningful/connected lifestyle

the marshmallows tho","是的，看起来太浪漫了，但嘿，她至少会引起人们对更传统/有意义/互联生活方式的关注

棉花糖"
33085,UgxdbckPriCMDzStWvR4AaABAg,0,"im so lucky to have this lifestyle in my childhood n teenager. now, im working in a big city where the only things people eat is kfc, macdonald or in restaurants. i've use to it now. sometimes, im craving for all these food but i can't find it in this state. and im happy i just got letter that im going to transfer soon in my own state after a year i sent them my transfer letter. ๐

(sorry bad english)","我很幸运能在我的童年时代拥有这种生活方式。现在，我在一个大城市工作，人们吃的唯一东西是肯德基，麦克唐纳或餐馆。我现在已经使用过了。有时，我渴望所有这些食物，但我在这种状态下找不到。我很高兴我刚收到一年后，我将很快以自己的状态转移，我给了他们转移信。 

（对不起，英语不好）"
32676,UgyQxwkJAiu1S4iDu3N4AaABAg,0,it has been a dream of mine to know what wild plants are edible and how to prepare them. to be able to just find amazing free food in the world and make meals for my family. how much would it cost to teach someone your lifestyle?,知道野生植物可食用以及如何准备它们是我的梦想。能够在世界上找到惊人的免费食物，并为我的家人做饭。教别人的生活方式会花费多少？
31582,UgxwFcAd39DijomRRmt4AaABAg,0,"this all looks delicious, and the way they are made... it makes me nostalgic of a lifestyle i never had but wish i could embrace. also puppies.",这一切看起来都很好吃，以及它们的制作方式……这使我怀旧，对我从未有过的生活方式怀有自己的怀念，但希望我能接受。也是小狗。
31210,UgxBPmGw0xIG1aIl6ZF4AaABAg.8wR1zKZ8whC8x5REtCEOR2,0,do chinese people really make so much food? and like that too 100% natural?? also what percentage of chinese people live the lifestyle as that of hers?? i'm really curious...i wish i lived like the way she does but i'm lazy af...,中国人真的做这么多食物吗？像那样天然的100％？另外，哪些中国人的生活方式像她的生活方式一样？我真的很好奇...我希望我能像她那样生活，但我很懒惰...
29578,Ugwhna7rZiY2BTKQuux4AaABAg,0,thank you for sharing this awesome lifestyle โฅ๏ธ,感谢您分享这种很棒的生活方式♥️
22514,UgxH0bPNfsTNK0AlDvp4AaABAg,0,"i don't know who in the communist party thought up this series of daily life in the chinese countryside, but it was brilliant. they are a great amalgam of fantasy and idyll. i daresay less than 10 people in china have this kind of lifestyle. i am looking forward to more fantastic scenery and i hope we can one day see the young lady participate in the harvesting of organs from live political prisoners, possibly underneath a magnificent mango tree and accompanied by the chanting of tibetan monks, live streamed from india.",我不知道在共产党中谁想到了中国乡村的这一系列日常生活，但这真是太好了。它们是幻想和田园诗的巨大汞合金。我敢说在中国不到10人的生活方式。我期待着更美好的风景，希望我们有一天能看到这位年轻女士参与现场政治犯的器官收获，这可能是在宏伟的芒果树下，并伴随着藏族僧侣的高呼，并从印度播放。
28760,Ugxwdm0YL7ApmNcN8uV4AaABAg,0,your life and lifestyle really inspire me,你的生活和生活方式真正激励着我
28088,UgxLwIcMb8vM2w6ohuZ4AaABAg.8yp7CHdQ5-18yqaLWMdP61,0,i heard that this is the same. the video is very delicate. some lifestyles are completely deliberately pursuing traditional life from today's china. but it is undeniable that it looks really pleasing to the eye. it is an ideal life pursued under the pressure of modern people!,轻王权 我也听说是这样。视频拍的很精致，一些生活方式从今天的中国来看，是完完全全刻意追求传统生活的。但不可否认，看起来确实赏心悦目，是现代人工作压力下追求的理想生活了！
27965,UgyJLm0l-Jq17tojXZJ4AaABAg,0,i hope someday i can live this kind of lifestyle.,我希望有一天我能过这种生活方式。
27590,UgyK0cHfDnx_2r8jGR54AaABAg,0,wow. vary good lifestyle,哇。各种各样的生活方式
27103,Ugzrclf57esD-g80HWB4AaABAg,0,why canโ€t i live in a place and have a lifestyle like this?,为什么我不能住在一个地方并过这样的生活方式？
25828,Ugyd36xOxmy5Gj1tecJ4AaABAg,0,is this a real place and a real lifestyle or staged for film? i did not think there were places like this still in china? or is she very wealthy?,这是一个真实的地方，是真正的生活方式还是为电影上演？我认为在中国没有这样的地方吗？还是她很富有？
25434,UgwCD21VS2uhxg7sSgV4AaABAg,0,aesthetic lifestyle,美学生活方式
24577,UgwdOQH-ieNr35CJXcV4AaABAg,0,your lifestyle is adorable! thanks for making these videos!,您的生活方式很可爱！感谢您制作这些视频！
23611,UgwoawYuZAWgMZqf0yt4AaABAg.92GnstOh6bj92H_S5KS_Mv,0,"andy lau, you can see every word you play. first of all, i have no rule. second, i can't stipulate. the third i hope that her lifestyle can be placed in a family of half of the countryside in china. the beautiful life, since then the city's impetuous and dirty farewell.",刘德华 你看清楚自己打的每一个字，首先我没规定，第二我也规定不了，第三的也希望她这个生活方式可以放在中国一半农村的饱个家庭里，天天过着如诗意般的美好生活，从此跟城市的浮躁肮脏告别。
23609,UgwoawYuZAWgMZqf0yt4AaABAg.92GnstOh6bj92HZJNSNlIY,0,@moralityisdying3603 who stipulates that rural china should be like? can't li ziyi choose his own lifestyle? did she say that she represents all chinese farmers?,@moralityisdying3603 谁规定中国农村就该是一个样子？难道李子柒不能选择自己的生活方式？她有说自己代表所有中国农民？
23201,UgwEObI1rSD-SjRr3N14AaABAg,0,this is the ultimate pursuit of ancient chinese literati-the paradise-style lifestyle,这便人中国古代文人终极追求的 ----- 世外桃源式的生活方式
23151,UgztKD3QY8jtcl9-GwN4AaABAg.92XJ4z3Ll2B92ZiABQWTDm,0,those people are some people with inferiority. our 5000 years of lifestyle has bred the profound cultural heritage of china. these are things that should be proud of us.,那些人都是一些内心自卑的人，我们5000年的生活方式孕育着中华深厚的文化底蕴，这些才是该让我们自豪的东西
23119,Ugzh07vnpA9YP8_j3Ih4AaABAg.92YXNc_NN1V92cidrjSsZj,0,"@weipinhe7353 good, you just admitted this is a performance, a 'depiction'. her lifestyle probably is nothing like what has been 'depicted', or staged, here.",@weipinhe7353好，您只是承认这是一种表演，一个“描述”。她的生活方式可能与在这里“描绘”或上演过的那样。
52635,UgzJiccdcyqcYUcDvb54AaABAg,0,falling in love with your place and your lifestyle every time,每次都爱上您的位置和您的生活方式
