,cid,votes,time,含paradise,含paradise中文翻译
42621,UgxpAuke_Y_UjO6Tiot4AaABAg,722,4 years ago,"is this real, is this paradise, is she an angel...this is so very beautiful...",这是真实的吗，是天堂，是她的天使...这太漂亮了...
27685,UgyBT_uobGddYNwbPmB4AaABAg,229,3 years ago,"the place u live is a paradise, i wish once i may visit it as well meet u too",你住的地方是天堂，我希望我也能拜访你
32246,UgwIVJ8VTRpVAYBYhCh4AaABAg,201,4 years ago,i just found a virtual paradise! ๐ญ๐’• this is so beautiful. ๐’•,我刚刚找到了一个虚拟的天堂！
6922,UgyrQ9K7L0e09rYxm1t4AaABAg,32,2 years ago,it's very interesting i found myself productive throughout the day lately after i started watching this channel. she is not only a beautiful lady .. but everything she does is beautiful. every dish she makes looks soooooo delicious. even da land where she lives must be how the paradise is. priceless.,我开始观看此频道后，最近一天整天都发现自己很有成果。她不仅是一位美丽的女士..而且她所做的一切都是美丽的。她让她看起来很美味的每道菜。即使是她所居住的da土地也必须是天堂的样子。无价。
27828,Ugxn7d9TPCHaajv0a3J4AaABAg,17,3 years ago,such a sensity as if i got into paradise where people and nature live in harmony ...,那种感觉就像我进入了人和大自然和谐相处的天堂...
51688,UgypjSg4Q8BQXR-thnN4AaABAg,16,4 years ago,god's where this paradise on earth is,上帝的天堂在地球上是
28932,UgwMqsCihChClZzuD7p4AaABAg,15,3 years ago,"glory be to god, the greatest creation.
this beauty is on earth?!
so how about the paradise in which mulla ain rat, no permission, have heard, and there is no danger to my heart.
oh god, we see you the highest paradise of paradise","荣耀归于上帝，是最伟大的创造。
这种美丽在地球上吗？
因此，穆拉·艾因·鼠（Mulla Ain Rat）的天堂，没有许可，听到，对我的内心没有危险。
哦，天哪，我们看到你是天堂的最高天堂"
19250,UgyTS2sgaAYOUGhDfCF4AaABAg,8,3 years ago,"just like in paradise, everything is neat, clean, and everything grows! i looked at this fairy tale!",就像天堂一样，一切都整洁，干净，一切都在生长！我看了这个童话！
37392,UgzLuWWIjxJoUxUl-3Z4AaABAg,7,4 years ago,"i used to think that there is really such a paradise? i have a longing to learn a lot and support you, and your team allows us to see those foreigners in foreign countries. thank you, please come on. come on",以前觉得真的有这样的世外桃源吗 很向往 到现在学了很多东西 很支持妳吧 还有妳的团队 让我们在国外也可以看到 给那些外国人了解文化 很谢谢 加油
52984,UgzVUw4UnqLW7N-jjil4AaABAg.8qlJT4zF0708qlOC0G-ANW,6,4 years ago (edited),"traveling and living is two different things. rural life is not a paradise. the author just edits the best side to everyone. behind it is invisible hardships. for example, with a series of oranges and a basket of grapefruit, this is not that we can bear it all day long in the air -conditioned room.",旅游和居住是两回事，农村生活并不是世外桃源，作者只是把最好的一面剪辑给大家而已，背后是看不到的辛苦。就拿有一段挑着一筐橘子一筐柚子来说，这就不是整天呆在空调房的我们能受得了的。
42864,UgybMj2UBeOhQ4YXvoZ4AaABAg,6,4 years ago,she lives in a paradise!!,她住在天堂里！
11128,UgyHOKdCw_xm4qIr-eN4AaABAg,4,2 years ago,ziyi's film is presented by the paradise that everyone is yearning for.,"子柒的影片, 呈现的就是每个人心中向往的世外桃源."
45993,UgxvJr9JM214IqV5SRB4AaABAg,4,4 years ago,she is a beautiful angel in the paradise.,她是天堂中美丽的天使。
12110,UgyuCFLkLKEyMG43bUF4AaABAg,4,2 years ago,"i do not get tired of admiring this girl and this family. if there is paradise on earth, then he is here! all year round, complete abundance, fruits and vegetables grow in excess, but what beautiful! it is a pity that there are no russian credits. i would really like to know where this paradise is located. i would like to come and shake the hand with this needlewoman, and give a bow to this grandmother-assistant. i teach great pleasure from watching these videos. here it blows warm and family comfort.",我不厌倦欣赏这个女孩和这个家庭。如果地球上有天堂，那他就在这里！全年，完全丰富的水果和蔬菜长量生长，但是真漂亮！遗憾的是没有俄罗斯的信用。我真的很想知道这个天堂的位置。我想和这个针女的女性来握手，并向这个祖母助手鞠躬。观看这些视频，我教会了很高兴。在这里，它吹动温暖和家庭的舒适感。
27834,UgzwOUUpFduqNiGldwl4AaABAg,4,3 years ago (edited),"she lives in paradise in the world. nature all fruit and everything is too much. ahhh so sooo jelous.๐คง
note: feed the puppies","她生活在世界上的天堂。大自然所有的水果和一切都太多了。啊，太太了。
注意：喂养小狗"
42789,Ugzcw4OYXqmPLQcR_0J4AaABAg,3,4 years ago,i really like this life rhythm like a paradise,好喜欢这样的生活节奏犹如世外桃源
35928,UgxbRBmV3x_QkbeQ_BZ4AaABAg,3,4 years ago,this is nature. this is paradise. girl sweet beautiful smart girl ๐—,这是自然。这是天堂。女孩甜美美丽的聪明女孩
45494,UgxglR6Jm_CUvQrL5T94AaABAg.8r3ZX_2tI028rB9IHjRixw,3,4 years ago,"@user-vo9ny2ym8n, may god reward you with the best of my brother. his shape will be given their paradise.",@user-vo9ny2ym8n，愿上帝用我兄弟的最好的奖励你。他的形状将得到他们的天堂。
44060,UgycNSkJt1wQbPlIH414AaABAg.8rGHT9GJz-M8rTZjdyLqOL,2,4 years ago,@ygfalcao2570 that and vdd. always good to know new cultures and this paradise she lives then.,@ygfalcao2570和vdd。总是很高兴了解新的文化以及她那时所生活的这个天堂。
30470,UgyXNQPk6xTUEdX74uB4AaABAg,2,3 years ago,"seeing that your work has a feeling of seeing each other and hate, it is really as treasured! in the influence of the philosophical thoughts of yin and yang five elements in traditional chinese culture education, confucian ethical and moral concepts, traditional chinese medicine nutritional photography, and cultural and artistic achievements, diet aesthetic style, and many factors of national characteristics, they created the chinese cooking skills of the book of history. form a broad and profound chinese food culture. your profound understanding of the traditional chinese diet and culture is perfectly presented with the beautiful chinese style that is so beautiful! as a native of china, the chinese are also amazing, and they are intoxicated! under the influence of the world's multiculturalism, many excellent cultures have been forgotten, the outlook on life, and values โ€โ€have also changed in the long -term subtle way. whether it is chinese or the people of the world, there are always things in common in the hearts of human beings. they all advocate true, good, and beautiful. they like tranquility and peace, and they are eager to happiness and happiness. the environment of your life is like a paradise, the mountains and rivers are beautiful, and the ecological environment that people and nature live in harmony are enviable. your work can help us calm down the impetuous heart, re -think about life, and find the most precious beauty in the original memory of human beings!",看到您的作品有种相见恨晚的感觉，真的如获至宝！在中国传统文化教育中的阴阳五行哲学思想，儒家伦理道德观念，中医营养摄生学说，还有文化艺术成就，饮食审美风尚，民族性格特征诸多因素的影响下，创造出彪炳史册的中国烹饪技艺，形成博大精深的中国饮食文化。您对中华传统饮食和文化的深刻理解并用美到令人窒息的唯美中国风完美呈现出来！作为土生土长的中国人也都叹为观止，如痴如醉！在世界多元文化的影响下，好多优秀的曾经引以为荣的文化已经被淡忘，人生观，价值观也在长久的潜移默化中改变。无论是中国人还是世界人民，在人类心灵深处，总有一些东西是共通的，都崇尚真善美，都喜欢宁静与祥和，都渴望幸福与快乐。您生活的环境犹如世外桃源，山青水秀，人与自然和谐相处的生态环境让人羡慕不已。您的作品能帮助我们静下浮躁不安的心，重新思考人生，找寻人类最初的记忆中最珍贵的美好！
44058,UgycNSkJt1wQbPlIH414AaABAg.8rGHT9GJz-M8rTZWc7Z9ai,2,4 years ago,@adrianakaizer1670 i discover by chance and already loved her and very cute of the desire to go there just know this paradise,@adrianakaizer1670我偶然发现了她，已经爱她，对去那里的渴望非常可爱，只是知道这个天堂
42790,Ugxe-h7nDpp-xfLvJNV4AaABAg,2,4 years ago,she lives in a paradise. i want this kind of life.,她住在天堂。我想要这种生活。
30775,UgwgSkXy-bnvdq7q11t4AaABAg,2,3 years ago,she lived in paradise?????,她住在天堂？？？？
32884,UgyYJnv57GS5hXtdXYF4AaABAg,2,4 years ago,if there wasn't for the plastic i could think it's paradise,如果没有塑料，我可以认为它是天堂
13994,Ugx2Mmws9c7W1GB6ZV14AaABAg,2,2 years ago,so beautifull those lambs...please dont kill them for eating them....make your plase a paradise,如此美丽的那些羔羊...请不要杀死它们。
39580,UgwFM1ggaz8pxFrqxdl4AaABAg,2,4 years ago,you are a fairy in paradise ๐งโ€โ๏ธ simply. you are creative ๐ฅฐ,你是天堂中的童话。你是有创造力的
14437,Ugw1S2GntpfaGLnQ-RZ4AaABAg,2,2 years ago,this place is like a dream and paradise to me. i always wanna spend my whole life in this type of place like living in a peaceful environment,这个地方对我来说就像一个梦和天堂。我一直想在这种类型的地方度过一生，例如生活在宁静的环境中
30876,Ugy3YolHHrz6BAq-1VV4AaABAg,2,3 years ago,"glory be to god, a paradise on the ground in which all fruits, vegetables, and girl are creative, and life is great in this spot of the earth.",荣耀归于上帝，在所有水果，蔬菜和女孩都有创造力的地面上的天堂，在地球这个地方的生活很棒。
12299,UgyACsRiAhHQ8eHklT14AaABAg,2,2 years ago,such an angel as this girl is given a paradise life.,这个女孩的天使被赋予了天堂生活。
9839,Ugwa_Fdd7XZ6HPuXmEN4AaABAg,2,2 years ago,"he said ﷺ: (whoever says there is no god but god, sincerely from his heart entered paradise)",他说ﷺ：（谁说没有上帝，但上帝，真诚地从他的心中进入天堂）
6955,UgySv8ASYHrctXMW0aR4AaABAg,2,2 years ago,paradise,天堂
11788,Ugzg5mflolxGnKyJjQt4AaABAg,2,2 years ago,"you are a legend liziqi 
i miss this kind of life. 
your place is a paradise, surrounded by flowers and vegetables, and your cute friends. i like your puppy and the lamb. 
your popo is so lucky to have you with her, a very loving grand daughter. 
i love all your videos. i will try your recipes from scratch. 
also, i love your oven. its unique. ๐๐ฅฐ
love from houston, texas
๐’mimi โจ","你是一个传奇的liziqi
我想念这种生活。
您的住所是一个天堂，周围是鲜花和蔬菜，还有您可爱的朋友。我喜欢你的小狗和羔羊。
您的Popo很幸运能和您在一起，一个非常有爱心的大女儿。
我喜欢你所有的视频。我会从头开始尝试您的食谱。
另外，我爱你的烤箱。它的独特。 
来自德克萨斯州休斯顿的爱
"
46426,UgzvOaaBff5lVEY23pp4AaABAg,1,4 years ago,where is this paradise. is this vietnam,这个天堂在哪里。这是越南
25745,Ugy68PHxLwFVAE3oikB4AaABAg,1,3 years ago,it is a paradise!,这是一个天堂！
19726,UgxT3YcVAi0yU79t81R4AaABAg,1,3 years ago,i keep on watching this since last year. all i can say is paradise. she is a hardworking and loving princess in this paradise,从去年开始，我一直在观看。我只能说是天堂。在这个天堂中，她是一位勤奋而充满爱心的公主
40329,Ugz4NAZlZzux_WRlHhh4AaABAg,1,4 years ago,paradise of the world,世界天堂
10273,Ugw7G0QxRB4Bjv0SG2p4AaABAg,1,2 years ago,this place is paradise...,这个地方是天堂...
20340,Ugxt_RmYZFtGzBpyJGN4AaABAg,1,3 years ago,"when i feel bad at heart, i see how this girl is working, bewitching picture !!! it seems you get into paradise! respect and respect to the girl. what's the secret? like no scenery, special effects, nanotechnology, hollywood stars?",当我对自己的灵魂感到难过时，我看到这个女孩是如何工作的，迷惑了图片！！！看来您进入天堂！尊重和尊重女孩。什么是秘密？就像没有风景，特殊效果，纳米技术，好莱坞明星吗？
32769,Ugzz_MmcnBWco8k1SUd4AaABAg,1,4 years ago,she is unique so working everything that does rich things and that place so beautiful pairs a paradise and she an angel๐ and very pretty,她是独一无二的，所以要做的一切都可以做丰富的事物，而这个地方如此美丽，一个天堂，她是天使
32144,Ugxn11JOJwq48DaCw4Z4AaABAg,1,4 years ago,my god .... where is this place that stops a paradise ... where everything is taken from nature. curious that she does all this and the clothes get clean ...... kkkk,我的上帝....这个地方在哪里停止天堂...一切都从大自然中夺走了。好奇她做所有这一切，衣服变得干净……KKKK
33552,Ugw9hZQIje9L9JHtRQ94AaABAg,1,4 years ago,ohh that delights this place is paradise.,哦，让这个地方高兴的是天堂。
31630,UgxxCgH71L64WRGQtSB4AaABAg,1,4 years ago,she lives in paradise wow amazing just amazing,她住在天堂哇惊人
44067,UgycNSkJt1wQbPlIH414AaABAg.8rGHT9GJz-M8rT_8itbsqR,1,4 years ago,@joicecost185 very very fruits that i have never seen in the way how they do popcorn and gurding things and this paradise where they live a dream,@joicecost185非常非常成果，我从来没有以他们的方式爆米花和刺穿事物的方式以及他们实现梦想的天堂
30955,UgzwVIp6vm-SiSJUGzJ4AaABAg,1,3 years ago,wow! her place is paradise.,哇！她的位置是天堂。
23260,UgyAdtb7iPGQV5sFNtx4AaABAg,1,3 years ago,"her world is a paradise, god ๐’“",她的世界是一个天堂，上帝
23280,Ugw1Pv1WA2m2x7D_Iyt4AaABAg,1,3 years ago,"this is a paradise for food, probably
oh, i really want to eat that mango hand roll","这是吃货的天堂吧，大概
喔，我好想吃那个芒果手卷"
10774,UgwsHrGCwJ6ezckwyGF4AaABAg,1,2 years ago,"the paradise of god in his land and the daughter of god, may god bless her and his activity and operation",上帝在他的土地和上帝的女儿中的天堂，愿上帝保佑她以及他的活动和行动
24514,UgzQHLq1buEBhdR3Rq54AaABAg,1,3 years ago,she be living in paradise i tell you,她住在天堂里，我告诉你
965,UgxJIZQuME0CqcXbWDN4AaABAg,1,7 months ago,"glory be to god, the badi ... how will heaven be !!! oh lord, grant us paradise",荣耀归于上帝，巴迪...天堂将如何！！！哦，主，给我们天堂
15193,UgwlBYRqq4TFtrVLVlR4AaABAg,1,3 years ago,this girl lives in paradise.,这个女孩生活在天堂。
28445,UgxNKVtjP9LXIuuIYO94AaABAg,1,3 years ago,i am amazed to this place like wowww there is still a paradise in this world..everything she need are just around her...wish to visit this place jn the near future.. im the biggest fan of this pageโค,像WOWWW这样的地方，我感到惊讶。
37451,Ugx_gHs6-axbG-79wgJ4AaABAg,1,4 years ago,"whereโ€s she live? paradise ? itโ€s such a wonderful ,peaceful in the world that i havenโ€t seen this before. and you are so strong and hardworking and beautiful . im a fan from thailand.",她住在哪里？天堂？在世界上，这是一个很棒，和平的，我以前从未见过。而且您是如此坚强，勤奋和美丽。我是泰国的粉丝。
13011,Ugz9uA3tkkrThqSIVhB4AaABAg,1,2 years ago,in any paradise you live,在任何天堂中
36668,Ugy9cjnXq4oFYUgRwAl4AaABAg,1,4 years ago,wow paradise it's beautiful these videos make me feel free,哇天堂很美，这些视频使我感到自由
2982,UgwyONHIONgXM1BtG154AaABAg,1,1 year ago,"does she live in the garden of paradise? everything is there, everything is growing!",她住在天堂花园里吗？一切都在那里，一切都在增长！
27866,UgxToQHV5hwOZEQlf2t4AaABAg,1,3 years ago,"she is living in a true paradise , in this kind of lifestyle, she may be the one left in this world if everyone is gone",她生活在一个真正的天堂中，在这种生活方式中，如果每个人都走了，她可能是这个世界上留下的那个人
14828,UgykjuK7wRHYV0TVgZ14AaABAg,1,2 years ago,this makes me think of paradise ❤,这让我想到了天堂❤
30694,UgzDPI9fc88rV_lUyj54AaABAg,1,3 years ago,everything you cooperate is wonderful where you live is the paradise greetings beautiful and to the lady who is always with tige diis blesses them greatly ๐๐๐๐๐ค—๐ค—๐๐,您合作的一切都很棒，您的生活都是天堂的问候美丽，而对总是与Tige Diis在一起的女士，祝他们非常祝福他们。
35722,Ugzbxvo6LWE3UTHGuAJ4AaABAg,1,4 years ago,omg...i love ur content so much...it is like a paradise...one day i hope i can live in natural place like u.,天哪...我非常喜欢您的内容...就像一个天堂...有一天，我希望我能像U一样生活在自然的地方。
39679,UgzsNmI_tfETksXGLzB4AaABAg,1,4 years ago,paradise fruits and delicacies!),天堂水果和美味！）
15792,UgwHSBaU06-qsvU67254AaABAg,1,3 years ago,"show the adornment land, i ask god to paradise, but",展示装饰土地，我请上帝去天堂，但是
35430,UgytzIfdHGD_NUIqrfx4AaABAg.8ufGsPcy9kS8umZLdJ-_hm,1,4 years ago,shafna t right?its like living in a paradise away from the noisy city.,shafna t对吗？就像住在远离嘈杂城市的天堂里。
50113,UgzvOdKLl18i1wEHTkp4AaABAg,1,4 years ago,like that paradise .. i wish you a new year..an khang prosperity _ thousands of things,像那个天堂一样..祝你新年.. khang繁荣_成千上万的事情
42381,Ugx4SqFMBIIjgbcUMw54AaABAg,0,4 years ago,"it's a paradise, i would like to live in this place is beautiful",这是一个天堂，我想住在这个地方很漂亮
41910,UgyMCQFxyGbyY2L2igp4AaABAg.8rq4iAPp-eW8s4Itka-KLn,0,4 years ago,i discovered these videos by chance! can anyone say where this is? it looks like a piece of paradise so beautiful that it is !!!,我偶然发现了这些视频！谁能说这在哪里？它看起来像是一个如此美丽的天堂！！！
41922,UgxS6t_HMwQWeXgCwGN4AaABAg,0,4 years ago,"the sheep and the dogs are so adorable, they follow were ever she goes,
hope next time there some goose on the pack
this is the life i want to live for the rest of my life.
no wifi, gadgets but a simple life also no pollution and noisy city street all you just think is to eat healthy foods , alots of fruits so yummy everywhere you look at theres fruits hanging on the trees,

what a paradise havens of peace","绵羊和狗是如此可爱，他们跟随她走了，
希望下次那里有一些鹅
这是我想在余生中生活的生活。
没有wifi，小工具，但简单的生活也没有污染和嘈杂的城市街道

多么和平的天堂天堂"
41884,Ugw0UIdkrv99HrXY7HJ4AaABAg.8rqqQHwMkz98rr4W1yctSW,0,4 years ago,because this is the cultural output of our chinese ... the foreigners see a stunned all saying that [fairy of paradise],因为这就是我们中国的文化输出……老外看的一愣一愣的都说【天堂的仙女】
41800,UgxG3GfO6udPS_0wBC14AaABAg,0,4 years ago,is this how paradise looks like ?,这是天堂的样子吗？
42300,UgxhZMGE-MKBLC1bj_14AaABAg,0,4 years ago,is that real? is it paradise?,那是真的吗？是天堂吗？
9314,UgwY_lZdzc9PW1mknh54AaABAg,0,2 years ago,that`s how paradise was in genesis!,那就是创世纪的天堂！
41777,UgzOnZ3emRrtAgbdRvB4AaABAg,0,4 years ago,"this world, how can he paradise?",这个世界，他怎么能天堂？
41912,Ugww9iV-hUaMWb28rA94AaABAg,0,4 years ago,a piece of paradise on earth!,地球上的一块天堂！
41089,UgxykQngUN9se-6-K7t4AaABAg,0,4 years ago,she lives in paradise)) she has just everything =),她住在天堂））她只有一切=）
41700,UgyVwYmeqXiNUMP7KA54AaABAg,0,4 years ago,"is this real, is this paradise, is she an angel...this is so very beautiful...",这是真实的吗，是天堂，是她的天使...这太漂亮了...
41359,UgwP5Pjn-3Y1MH_e4Hd4AaABAg,0,4 years ago,it felt like i'm in paradise this whole 10.12 minutes watching it.,感觉就像我整个10.12分钟都在观看天堂。
41235,UgxPLHqJltQdDK3XFXl4AaABAg,0,4 years ago,where does she live in paradise?,她住在哪里天堂？
41224,UgwVfiBmGQ1a8Ql_1_d4AaABAg,0,4 years ago,is this paradise!,这是天堂！
41094,UgxMaZ38PvaiUmhXSzJ4AaABAg,0,4 years ago,where is such a paradise located?,这样的天堂在哪里？
40820,UgwxofEOjUN8Z9J-wiV4AaABAg,0,4 years ago,what i imagine paradise is like.,我想象的天堂是。
40303,UgxfLZHmRY4GVTVhX-t4AaABAg,0,4 years ago,looks like a paradise to me,对我来说看起来像是一个天堂
40093,UgzKnz2kd_9QzX18Y0B4AaABAg,0,4 years ago,that place is paradise,那个地方是天堂
39750,UgxIBezeG4V7MB1Ogdl4AaABAg,0,4 years ago,this place is what you called paradise โค๐ท๐,这个地方就是你所说的天堂❤
9796,UgwFe_Dz_wOfH62NqsF4AaABAg,0,2 years ago,masha'allah is a paradise,Masha'allah是一个天堂
39317,Ugyt_m7kE1HmKUPrgRZ4AaABAg,0,4 years ago,"you live in paradise, nature gives you everything and although work is a lot, living in a place is worth it.",您生活在天堂中，自然可以为您提供一切，尽管工作很多，但住在一个地方是值得的。
38866,UgzT3kNiw2ewlO5tJC54AaABAg,0,4 years ago,your village like paradise,你的村庄像天堂
38368,UgwhyqP0waLIKjdIXZ94AaABAg,0,4 years ago,i'm in paradise ??)),我在天堂？））
38265,UgyMZ_olJJz5cKOvaOJ4AaABAg,0,4 years ago,look that likes a truely paradise,看起来很喜欢天堂
