,cid,votes,含peaceful,含peaceful中文翻译
3065,UgxK7tTx9vC9pt59mmJ4AaABAg,634,"as we can see in the videos, the background of the forest, farms, yards, cooking stoves and utensils are real. in the past especially for the chinese people our ancestors work hard on every inch of lands they have. they make use of everything that nature provides to them. generation by generations the land grew flourish. this final generation from baby boomers era (like the grandma) likely the last of their kind, because due to the changes of modern and tech/gadjets world. not many still living up the life just like showed in the video because the generation x,y and z are working and living in cities to find income and mostly leaving the old man/woman at their village. in the end leaving the lands and farms unattended (because grandpa/grandma are already old to work and care the lands).
most end up selling their land and the money the new generation get were invested in businesses, building or renovating house in the cities or in another country, etc. 
as you saw in the video, you can see herbs, clean ponds and rivers, varieties of vegetations, animals like birds, chicken, duck, are well taken care of. these are their daily source of food because there are no supermarket nearby where you can buy from there. thus, why need to buy if you can get it fresh from your own farm? chinese are particular in what they eat (diets and healthy) so they grew herbs, vegetables and live stocks. that is how the baby boomers generation survived along the years away from town or cities. 
the beautiful lady is one of the most impressive grandchild in her family. not just beautiful but also hardworking, diligent, caring and humble because she still carry on her family's tradition and the lands. she learns all sorts of cooking, fermenting, recipes could be mostly from her grandparents which is oustanding. 
i too once lived like hers until i was 19 years old and i loves everything just like hers until my grandma passed away and the land was sold by my uncle that year. 
the memories i had never perish. i still remember the smell in the morning when i'm standing in the middle of the farm, the morning dewdrops on the leaves and grasses, the sounds of birds and water flowing in the small river, the bamboo forests in the evening like golden, chasing gooses, collecting the chicken eggs, collecting the sap from rubber trees, the soothing cold wind on the pepper farm hills, catching grasshoppers among the grasses, catching fireflies at night, the smell of firewood burning while boiling hot water, the food that my grandma used to cooked, my cousin shouting from afar teasing me while plucking potatoes from the ground, etc. i misses all that when i watched the video. 
i did went back to the village a few years ago but it wasnt the same anymore and the place changed alot and the farm wasnt like it used to be like. the peaceful life that i missed.","正如我们在视频中所看到的那样，森林，农场，院子，烹饪炉和餐具的背景是真实的。过去，尤其是对于中国人民，我们祖先在拥有的每一英寸土地上都在努力工作。他们利用自然界提供的一切。几代人的一代人的土地蓬勃发展。来自婴儿潮一代时代（像奶奶一样）的最后一代可能是同类的最后一代，因为由于现代和技术/gadjets世界的变化。 X，Y和Z一代在城市工作并居住在城市中，并大部分将老人/女人留在他们的村庄里，所以并没有多少人像视频中的生活那样过上生活。最后，离开土地和农场无人看管（因为爷爷/祖母已经在工作和照顾土地上已经老了）。
大多数人最终出售了他们的土地，以及新一代获得的资金投资于企业，在城市或另一个国家建造或翻新房屋等。
正如您在视频中看到的那样，您可以看到草药，干净的池塘和河流，各种植被，鸟类，鸡肉，鸭子等动物。这些是他们的日常食物来源，因为附近没有超市可以从那里购买。因此，如果您可以从自己的农场获得新鲜，为什么还需要购买呢？中国人在吃的东西（饮食和健康）中是特别的，因此他们种植了草药，蔬菜和活蛋。这就是婴儿潮一代在远离城镇或城市的几年中生存的方式。
美丽的女士是她家庭中最令人印象深刻的孙子之一。不仅美丽，而且勤奋，勤奋，关怀和谦虚，因为她仍然具有家人的传统和土地。她了解各种烹饪，发酵，食谱可能主要来自她的祖父母，这是罢工的。
我曾经像她一样像她一样生活，直到我19岁，我都喜欢像她这样的一切，直到我的祖母去世，那一年我的叔叔出售了这片土地。
我从未灭亡的记忆。我仍然记得早晨，当我站在农场中间时，早晨的气味，叶子和草地上的碎屑，小河中鸟类和水的声音，傍晚的竹林像金色一样，追逐鸡蛋，收集鸡蛋，从橡胶树中收集树液，在胡椒农场山上舒缓的冷风，在草中捕捉蚱hoppers，在晚上捕获萤火虫，柴火的气味在沸腾的热水时燃烧，食物，我是我的食物。奶奶曾经煮过，我的堂兄从远处大喊大叫，一边从地上摘下土豆，等等。
几年前，我确实回到了村庄，但不再一样，这个地方改变了很多，农场不像以前那样。我错过的和平生活。"
22960,UgzH7KKKJzSidK9EZ9d4AaABAg,303,watching her videos have become my stress reliever from the crowded and busy city. it’s so peaceful and makes me love nature even more! ♥️,观看她的视频已成为我拥挤而繁忙的城市的压力减轻。它是如此的和平，使我更加爱大自然！ ♥谢
9013,UgzhzWVbJJOaHS4REKt4AaABAg,208,"an interesting observation: many western families grow beautiful flowers in their gardens, but in a chinese garden you are much more likely to see a great variety of vegetables such as peppers, tomatoes, eggplants, etc: just enough to supply a small family. they are as colorful and pretty. i believe such style reflects certain aspects of chinese culture and philosophy of life. grown up in china, i have always been pursuing a quiet, peaceful and self-sufficient life. and i found it in this film.",一个有趣的观察：许多西方家庭在花园里种美丽的花朵，但是在中国花园里，您更有可能看到各种各样的蔬菜，例如辣椒，西红柿，茄子等：足以提供一个小家庭。他们是丰富多彩的。我相信这种风格反映了中国文化和生活哲学的某些方面。在中国长大，我一直在追求安静，和平和自给自足的生活。我在这部电影中找到了它。
25710,UgwER2qnmVJ7VmOqujl4AaABAg,131,man.... just take me there with her...and i’ll leave my job and shitty things in city life...it’s so peaceful and absolutely satisfying.....,伙计....只带我到那里...我会离开我的工作和卑鄙的事情……这是如此宁静，绝对令人满意.....
21324,Ugw6bGalG6GxpFvlT0B4AaABAg,122,"i am from rural china. many of the pictures in the video remind me of my life, but the clothes i wear when i was young were not so clean.
i am very fortunate to be born in rural china. although there are houses and cars in shenzhen now, i still like and miss the life in rural areas when i was a kid. ... especially in the summer, the air is cool, there are many wild fruits, and you can swim to catch fish in the clear river.
my wife always complains to me why i have to return to the remote countryside every long vacation. where did she understand that only when i returned to the countryside i was familiar with, i could enjoy the peaceful peace of mind.","我来自中国农村，视频里面的很多画面让我想起小时候的生活，只不过我小时候穿的衣服可没这么干净。
我很庆幸出生自中国农村，虽然现在在深圳有房有车了，但我还是喜欢也很怀念小时候在农村的生活。.....尤其是夏天的时候，空气凉爽，野果又多，还可以到清澈的河里游泳抓鱼。
老婆老是向我抱怨，为什么每次长假都要回到边远的农村。她哪里明白，只有回到我熟悉的农村，我才能享受几天心的安宁。"
29079,Ugy_rv69BA1VHfhSQsR4AaABAg,107,"hello,i'm from vietnam,my grandfather often watch your videos and he very like it. he said : "" you very beautiful and you cook very well"" .he wishes he had a peaceful life like you . love you",您好，我来自越南，我的祖父经常观看您的视频，他非常喜欢。他说：“你很漂亮，你做得很好。”他希望他过着像你一样和平的生活。爱你
9101,UgwfzJm9c_AVWwZPV694AaABAg,104,"she is a life artist, she make picking vegetable, cooking , so graceful and peaceful. present it so well. love to watch her video.",她是一位生活艺术家，她做菜，烹饪，如此优雅而宁静。很好地呈现。喜欢看她的视频。
11732,UgyECAhI2fD_muFIK214AaABAg,98,"i wish i'm in that place so quiet and peaceful, be safe liziqi",我希望我在那个地方如此安静和和平，安全地
19350,UgxWWLZSky29EJsezpp4AaABAg,83,"this is basically studio ghibli in real life... so peaceful, so beautiful, so natural and so holistic, what a life.",这基本上是现实生活中的吉卜力工作室……如此宁静，如此美丽，如此自然，如此整体，多么美好。
25602,UgxHsgRpANCCm8gOQEx4AaABAg,74,their life is so peaceful.....wanna be like them,他们的生活是如此宁静.....想像他们一样
5305,UgyaFIYSzsLol9Gr7jF4AaABAg,56,"the sounds, the visuals... everything seems so peaceful! i wish i could spend a month there just to detox and get back close with nature.",声音，视觉效果...一切似乎都很宁静！我希望我可以在那里度过一个月的时间来排毒并与大自然联系起来。
14790,UgyX2fojD4McHy5R2l94AaABAg,46,"i miss this kind of life in our province.those kind of foods, the way she cooked thats how we cook our food before its a healthy living. this shows simple life in a province. peaceful and contented with what you have.",我想念我们各省的这种生活。这些食物，她烹饪的方式就是我们在健康生活之前烹饪的方式。这显示了一个省的简单生活。和平，满足于您所拥有的。
4114,Ugye0kSYeLdQW_-j1_54AaABAg,45,"i love your videos! they are so peaceful and the epitome of what i want someday for my life. i always come back to this one and the year of the pig chinese new year! they are two of my favorites (though the newest new years video was amazing!). much love from florida, usa",我爱你的视频！他们是如此的和平，是我一生中想要的东西的缩影。我总是回到这个新年猪新年的那一年！它们是我的两个最爱（尽管最新的新年视频很棒！）。来自美国佛罗里达州的很多爱
33416,Ugy03CkKsPIFS7k_9nV4AaABAg,44,"i bet her life is so peaceful...and yet again she is a huge role model for all of us in this materialistic world
...
proud of her... i thank youtube for recommending this channel to me.......
its really great....","我敢打赌，她的生活是如此和平……而且她又是这个唯物主义世界中所有人的巨大榜样
...
为她感到骄傲...我感谢YouTube向我推荐此频道。
它真的很棒。"
9582,UgzVKislw8YT9ltJnad4AaABAg,38,the place is so peaceful. i also want to live there.,这个地方是如此和平。我也想住在那里。
30835,UgxCu5OSfZhBvzyVaJh4AaABAg,31,"the small bamboo shoot look so cute 
lately they say snails has lots of good things to healthy young skin 

so beautiful peaceful video
thank you","小竹芽看起来很可爱
最近他们说蜗牛对健康的年轻皮肤有很多美好的事物

如此美丽的和平视频
谢谢"
24212,Ugz70msks_b7G0fXLRJ4AaABAg,25,"watching from jamaica 
such a peaceful and calming video
shout out to all the caribbean peeps watching this","从牙买加观看
如此和平与平静的视频
向所有加勒比海窥视大喊看着这个"
9131,Ugz2srM7s5meV--7YVl4AaABAg,24,"like this kind of lifestyle, peaceful and quiet.",像这种生活方式，和平与安静。
1887,Ugww5ol5GJURmwgV0yR4AaABAg,21,i wish i could admire the landscape & experience real life with youtuber. thank you for contributing the truth of the peaceful countryside. i am vietnamese and i admire her.,我希望我可以欣赏景观并与YouTuber体验现实生活。感谢您贡献和平乡村的真相。我是越南人，我很欣赏她。
27845,UgwTWO_iNGdUKRP3snp4AaABAg,20,damn!! i can feel the peacefull life after watch this,该死！！我可以感觉到这次放松之后的和平生活，感觉就像我想在印度尼西亚☘觉之外生活。
19145,UgyL36VAr3xFKNwipyt4AaABAg,19,"your way of life looks very peaceful, and your food looks 好吃。",您的生活方式看起来很宁静，您的食物看起来好好。
9955,UgykU8u40JDLh8OfSS14AaABAg,18,"so serene to watch her! so calm, so peaceful! 
love from india! โฅ๏ธ","如此安静地看着她！如此镇定，如此宁静！
来自印度的爱！ ♥谢"
18218,UgwFis8As12YuknLUBZ4AaABAg,15,"there are still pickles. just looking at my heart, i feel very calm, peaceful, and give me a comfortable feeling. i started to like you",竟然还会腌菜，光是看着内心就感到很平静，安祥，给我一种舒服的感觉。开始喜欢你了
23089,UgymhEjjUGYIENlpCAx4AaABAg,14,"this lady has everything fresh vegetables, fresh fruits,beautiful flowers all in her garden good nature peaceful place what a life she live in paradise simple life but full of good memories she's very talented and very hardworking very loving to her grandmother that's why she is bless and successful because she has good heart she is beautiful inside and out nobody can do what ever she did she can do everything her body is small but she's very strong to carry heavy things wow just wow ❤❤",这位女士有一切新鲜蔬菜，新鲜水果，美丽的花朵在她的花园中的美好自然宁静的地方成功，因为她有良好的心，她的内在和外面都很漂亮
20175,Ugw79jTD8XtoaVNcRFl4AaABAg,14,"my god, this so peaceful and so relaxing....that’s an understatement mind you. liked and subscribed. ☺️",我的上帝，这是如此的和平，如此轻松。...这是你的轻描淡写。喜欢和订阅。 ☺️
25767,UgxB4C4jxQffnc2kJzZ4AaABAg,13,beautifully filmed and edited! this life looks so beautiful and peaceful to me.,拍摄和编辑精美！这一生对我来说是如此美丽和宁静。
13140,UgxUh2MZ0yEfFyvrA1Z4AaABAg,13,such a peaceful life and she uses everything from the earth!,如此和平的生活，她利用地球上的一切！
24418,Ugx-NRboIJDZ8Wkjka54AaABAg,11,that granny is lucky to have such a caring granddaughter. so peaceful to watch it.,那个奶奶很幸运有这样一个有爱心的孙女。如此宁静地看着它。
33474,UgyMciXaKAAAvdoCy9F4AaABAg,11,"i love the way she cooks, it’s just so peaceful and mesmerising and it also reminds me of the olden days.",我喜欢她做饭的方式，它是如此的和平与迷人，也让我想起了过去的时代。
28000,Ugx1WY5JExPYRwUI8JR4AaABAg,10,your video are so lovely and it has a calming and peaceful effect on,您的视频是如此可爱，并且对保持良好工作的镇定和和平影响
25527,UgwgcicItqLWYlNcWI14AaABAg,10,i hope the whole world will become as peaceful as this.,我希望整个世界都会像这样变得和平。
18552,UgyftR_VY4yxe8ZpG0N4AaABAg,9,"this is so amazing to watch . i wish i could live like this, i'm sure its very hard but being one with nature and being able to supply for your family from what your landscape offers is such a magical thing. i'm jealous of how you live, you are beautiful and smart and doing amazing things for the environment. thanks for letting us watch your beautiful life. its so peaceful",这真是太神奇了。我希望我能像这样生活，我敢肯定这很难，但是与大自然的人成为一个人，并能够从景观提供的东西中为您的家人提供如此神奇的事物。我嫉妒您的生活，您是美丽而聪明的，为环境做了不起的事情。感谢您让我们观看您的美丽生活。它是如此和平
33360,UgwxZQ4DEcDWB2Tx3694AaABAg,9,i just love your peaceful videos living simple wonderful life and the noodle dish looks great.,我只是喜欢您的和平视频，过着简单的美好生活，面条菜看起来很棒。
11401,Ugx-5d2aAZv1U6QtBMx4AaABAg.97aDyK3ahgD97usPt5z3Qd,8,"logicone lol poor you. that’s not a movie set as you tried hard enough to claim. you research ability, if you have any, is poor enough as a hater. check that house from her old videos. that dream garden is made from scratch. it was not beautiful at first. it’s her grandparents’ house. check more info online, if you know how, then you should know she moved back there to take care of her sick grandmother and started to make the house different. if you did even more research, you would know there have been already people checking her life and the house by using the drone and monitors in that small village, disturbing her grandmother’s and her peaceful life, just like stalkers, which almost made her try to move to other places if it were not rejected by her granny since that’s where she has lived for tens of years. if you did know what a “research” is, you should also know there is an interview from sina news, which gives people an quick tour of how her dream garden looks like. 

and you claimed you did research... lol","逻辑大声笑可怜你。这不是一部电影，因为您努力地索要声称。您的研究能力（如果有的话）作为仇恨者足够贫穷。从她的旧视频中检查房子。那个梦想花园是从头开始的。起初它并不漂亮。这是她祖父母的房子。在线检查更多信息，如果您知道如何，那么您应该知道她搬回那里照顾自己的祖母，并开始使房子与众不同。如果您做了更多的研究，您会知道有人在那个小村庄里使用无人机和监视器来检查她的生活和房屋，这使她的祖母和和平的生活都像缠扰者一样，这几乎使她试图尝试如果她没有被她的奶奶拒绝，那就搬到其他地方，因为那是她已经生活了数十年的地方。如果您确实知道“研究”是什么，那么您还应该知道，新闻新闻的采访，这使人们可以快速参观她的梦想花园的样子。

你声称自己做了研究...大声笑"
33298,Ugx0E2Wvm4_pHpN1BYx4AaABAg,7,great video so peaceful!! from portland oregon usa,很棒的视频如此宁静！来自美国波特兰的美国
29449,UgzV5SRrEU2-VIvbK7h4AaABAg.8yWoRCHc-JA8yaExTyjkhI,7,"@franzpeters3824 every country has its sad or tragic history. why not accept we have a good culture and we are being better? this peaceful video still evokes your evil prejudice, shame on you",@franzpeters3824每个国家都有悲伤或悲惨的历史。为什么不接受我们有良好的文化，而且我们正在变得更好？这个和平的视频仍然唤起您的邪恶偏见，对你感到羞耻
9596,UgyA3TG6fPdSHSBwLqd4AaABAg,7,"this is it. this is the most peaceful, content and fulfilling life i can imagine.",就是这个。这是我能想象的最和平，满足和充实的生活。
10798,Ugx9gqxV7TlhVfkD2tV4AaABAg,6,i always wish to have a life just what she have right now. the simple peaceful life. you can see the satisfaction. not all people have. wish u have a healthy life.,我一直希望拥有她现在拥有的生活。简单的和平生活。您可以看到满意度。并非所有人都有。希望你有健康的生活。
27039,UgzXlDFDWD_hVdaDZqZ4AaABAg,6,"having a quiet life is good. those that talk too much do not know how to listen.

i do not live in a lush country, actually a 1 bedroom flat in the city of london, but i am blessed with a quiet peaceful life amongst the chaos. its just me, my husband and daughter, but taking care of them and my in laws, cooking, studying islam, praying and just playing with the kids has resulted in soo much inner peace and contentment. no tv but internet in home. 

thanks to help make people appreciate the quiet life.","过安静的生活是好的。那些谈论太多的人不知道该怎么听。

我不住在伦敦市的一个郁郁葱葱的国家，实际上是一个1卧室的公寓，但我在混乱中度过了宁静的和平的生活。它只是我，我的丈夫和女儿，但是照顾他们以及我的法律，烹饪，学习伊斯兰教，祈祷和与孩子们一起玩，这使人内在的和平与满足。没有电视，但是在家中的互联网。

感谢帮助人们欣赏安静的生活。"
26877,UgyIms1hOLaWVF7KU-t4AaABAg,6,"the western media often report that china is a terrible country. the government is very dictatorial, and always bully people, such as hong kong, xinjiang, and tibet. but china is very vast with 56 different nationalities, they also have a lot of social problems, but the government is working hard to solve it and narrow the gap between the rich and the poor, they try to make the chinese live better. i have lived in china for 35 years, the chinese are lovely and kind, they are peaceful, work hard and enjoy life, that's why the chinese love to cooking food so much!",西方媒体经常报告中国是一个可怕的国家。政府是独裁的，总是欺负人，例如香港，新疆和西藏。但是中国非常庞大，有56个不同的国籍，他们也有很多社会问题，但是政府正在努力解决这个问题，并缩小富人与穷人之间的差距，他们试图使中国人的生活变得更好。我在中国生活了35年，中国人既可爱又善良，他们宁静，努力工作并享受生活，这就是为什么中国人喜欢这么多烹饪食物的原因！
3392,UgzAmfkegyURBzRKuct4AaABAg,5,i want my life to be this peaceful,我希望我的生活变得和平
23409,UgxBVBYCMS7tNk1AeQh4AaABAg,5,i the kind of life you have... peaceful and bountiful... haaayyysss,我的生活……和平与富裕... haaayyysss
33848,Ugxyhd0vwFDmW3bnAUh4AaABAg,4,"you have made my life peaceful❤
god bless you","你让我的生活和平❤
上帝保佑你"
3032,Ugwa8Rwk9XqzgDVEmJp4AaABAg,4,this is what i want when i grow old leaving in a peaceful life.,这就是我在宁静生活中长大的离开时我想要的。
2894,UgzyqbFoZHH2w-6icnp4AaABAg,4,life is beautiful n peaceful when we connect with nature.. so relaxing..,当我们与大自然建立联系时，生活是美丽的和平。
18278,Ugz0HSm7t2DGvsE_jfR4AaABAg.92XiLDl10e_92iK3PKxK3H,4,@leon1779 cause all of us love the life peaceful and natrual,@leon1779，因为我们所有人都喜欢和平与自然的生活
10990,UgyIHJ23ElbXk8r6kCh4AaABAg,3,i would love to live a peaceful life like this than in the city......this is my dream life....,我很想过这样的宁静生活，而不是在城市中……这是我的梦想生活。
10687,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU799npOD97aXU,3,"@xe2893 ou are such a dumbo. no matter what reason she doing (for money or just for leisure) she make people feel peaceful and stress reliever. if you cant do something like her, you should keep quiet. come back home shut the door and have self reflection and think how could you make your own life better. dont be keyboard warrior coz it will make you like a dumb clown",@xe2893 ou真是无人索。无论她做什么理由（为了钱还是为了休闲），她都会让人们感到和平和压力缓解者。如果您不能像她这样的事情，那应该保持安静。回到家关上门，进行自我反思，并认为您如何使自己的生活变得更好。不要成为键盘战士，因为它会让你像一个愚蠢的小丑
213,UgxXMZQNKWePC2v-OhN4AaABAg,3,"how wonderful. beautiful scenery and people like in the fairy world. very peaceful, beautiful, dreamy.",多么美妙。美丽的风景和像童话世界一样的人。非常和平，美丽，梦幻。
22404,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi9-n6g97PvhD,3,after marriage i can stay in dhaka (the capital and the busiest city of bangladesh) or i can stay in my in- laws village.. i will prefer to live in the village. i think this is more peaceful,结婚后，我可以留在达卡（首都和最繁忙的孟加拉国），也可以留在我的法律村。.我更喜欢住在村庄里。我认为这是更宁静的
10197,UgzqFlNxzrjZiAGeG914AaABAg,3,"this place is so peaceful and cool, if i were the owner then i would not be busy with life anymore and quietly here, it makes me feel warm and not the pressure to get rich anymore. this seems to me as a far-off wish",这个地方是如此宁静和凉爽，如果我是所有者，那么我就不会再忙于生活，在这里安静地，这会让我感到温暖，而不再是致富的压力。在我看来，这是一个很遥远的愿望
24155,Ugw7PMd34BlkxyOdepd4AaABAg,3,what a peaceful life they have...wish i could do the same and just cook food and enjoy life to the fullest!,他们拥有多么宁静的生活……希望我能做同样的事情，只烹饪食物，充实地享受生活！
23909,UgxggalCo3sgKB5ssfB4AaABAg,3,"watching the video this looks so easy to prepare but nuhhhhhh this is so damn hard to do, she's so lucky living in that place so blessed so peaceful.",观看视频看起来很容易准备，但是nuhhhhh，这真是太难了，她很幸运地住在那个如此和平的地方。
22917,UgxkczECClFufCPVAXt4AaABAg,3,i cherish to live my life such peacefully,我珍惜自己的生活如此和平
31607,UgwXcDyacnoVwyUcMid4AaABAg.8yVAfDgpCIP8yVYa1L1Awn,3,yes ! i agree with you . her video's are so peaceful & nice info too .,是的 ！我同意你的看法 。她的视频也是如此和平，也很好。
20876,Ugx-bJb65NW48RxZtxh4AaABAg,2,i like this sister too much like luning the life of a simple and peaceful nx without bothering,我非常喜欢这个姐姐，就像在不打扰的情况下摇动一个简单，和平的NX的生活
28301,UgyB4PQ5TmL1C1BlAuh4AaABAg,2,"i watch this channel to heal myself. the best channel there is, on youtube. love the sound of the spatula on the wok. peaceful cuisine comes a close second.",我看着这个频道以治愈自己。最好的频道是YouTube上的。喜欢炒锅上的刮刀的声音。和平美食紧随其后。
12353,UgyyLMkP4MtuTbl6VaB4AaABAg,2,everything you want and everything you need is already at the surroundings everything has all around you it's so nice live peacefully in this kind of place.,您想要的一切和所需的一切都已经在周围的环境中，一切都在您周围，在这种地方真是太好了。
24129,Ugx5Uhn6MDqEgKe2x_N4AaABAg.8zUIszrCZHN8zb2GIa-9s6,2,jenniecorns so relaxing with peaceful music.,珍妮科恩斯（Jenniecorns）和平音乐如此放松。
14255,UgxfDyDE9PbKGlWeV5B4AaABAg,2,i wish we could all live our lives peacefully and beautifully like this.,我希望我们所有人都能像这样和平而美好地过着我们的生活。
11209,Ugy-fIDKsGePUGZQrA94AaABAg,2,"i love her channel, it's so peaceful and really shows us how life without being on our phones and stuff is so beautiful. does she speak english?",我爱她的频道，它是如此的和平，并确实向我们展示了不在我们的手机和东西上的生活是如此美丽。她会说英语吗？
32918,Ugz3FH_-93t-gEqVUdx4AaABAg.8yUkS5gmmql8yVBV-4_Soo,2,"@richubai3863 every small detail you raised, miss li will make people feel chinese culture, the kind of peaceful, quiet and quiet beauty!",@richubai3863 你举的每个小细节，李小姐都会让人感受到中华文化，那种传承那种祥和，幽雅宁静的美好!
32821,Ugz3wSiuNu2iWAiw80B4AaABAg,2,"i bet her life is so peaceful... yet again she is a great role model for all of us in this materialistic world...
proud of her..... i thank youtube for recommending this channel to me..","我敢打赌，她的生活是如此和平...在这个唯物主义世界中，她对我们所有人都是一个很好的榜样...
为她感到骄傲.....我感谢YouTube向我推荐此频道。"
10696,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU79JKoOpUYA8b,2,"agreed, modern life is full if toxic that it makes this channel feels so peaceful and mesmerising.",同意的，如果有毒使这个频道感觉如此和平与迷人，那么现代生活就充满了。
16980,UgwVz01figG9pcPUCHB4AaABAg,2,i wish we can go back and live like this kind of healthy and peaceful life.,我希望我们能像这种健康与和平的生活一样回去生活。
10673,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU799_3glC_4LY,2,"@mohammedharoon8453 im not a ccp... but im an overseas chinese...
thats why i know that it is vids about 5.000 years of chinese village culture... not about ccp
actually liziqi only needs ccp support for security guards
i feel very proud that chinese has the most advanced culinary& farming culture in the world
a peaceful culture , not a civilization/culture that based on guns bombs / robberies
ur just jealous. shame on u","@Mohammedharoon8453我不是CCP ...但是我是海外的中国人...
这就是为什么我知道这是中国乡村文化约5。000年的视频...与CCP
实际上，利兹奇（Liziqi）只需要CCP支持安全警卫
我为中国人拥有世界上最先进的烹饪和农业文化而感到自豪。
一种和平的文化，而不是基于枪支炸弹 /抢劫的文明 /文化
你只是嫉妒。对u"
