,cid,votes,含peaceful,含peaceful中文翻译
19586,UgwKjZWkmDE3g0QAVod4AaABAg,2,wish i could live like that it looks so peaceful and relaxing and that beautiful garden and land so much support for her and her mom,希望我能像这样生活，看起来如此宁静和放松，美丽的花园和土地为她和她的妈妈提供了很多支持
26707,UgwYyFxWjEyjoI_rN494AaABAg,2,"it looks so lyrical and peaceful, so i feel comfortable all the time. the delicious dishes are a bonus haha",它看起来是如此的抒情和和平，所以我一直都很舒服。美味的菜是一种奖励哈哈
12480,UgxHzBHmSViLYHxKkgt4AaABAg,2,"she's is living the life i always wanted deep in my heart but never did. she's the woman i always wanted but i am not good enough for her. her skills impress me so much. i am jealous of her peaceful life, art and style. she must be a happy person. she deserve it.",她过着我一直想深入的生活，但从未过。她是我一直想要的女人，但我对她还不够好。她的技能给我留下了深刻的印象。我嫉妒她的和平的生活，艺术和风格。她一定是一个快乐的人。她应得的。
1639,UgxqFaFCYOH8mbRj3pt4AaABAg,2,"how life is supposed to be: peaceful, graceful and full of light. god bless you!",生活应该如何：和平，优雅和充满光明。上帝祝福你！
19236,UgwiAiSytG6Lt0iXR6l4AaABAg,2,i really enjoy watching her. she is so skilled and the video has a peaceful quality about it.,我真的很喜欢看她。她是如此熟练，视频具有和平品质。
25622,UgxHsgRpANCCm8gOQEx4AaABAg.8z01C08josy8zDqNZ6aLDU,2,no ones life is peaceful and easier as you think. it depends on people nature can they make it easy or not! everyone has to struggle a lot in daily life. and some people are very strong who have slient tears behind the their heart stealing smile,您想象的是，没有人的生活更加和平，更容易。这取决于人的大自然，他们是否可以使它变得容易！每个人都必须在日常生活中挣扎很多。有些人非常强壮，他们的心脏偷走了微笑的泪水，
22624,UgwJ8scCnalwXShefZx4AaABAg,2,"chinese fairy tail. organic peaceful living. to beautiful to be true. propaganda at its best. 
sweet dreams everyone","中国童话尾巴。有机和平生活。美丽的真实。最好的宣传。
大家甜蜜的梦"
17593,UgyCe6ouhf9RYhQAJrZ4AaABAg.92ifb9pcRNP92u_ufkfGea,1,"joey josef see but to me, it doesn’t matter if it’s real or faked. as long as it makes me feel happy and peaceful, who cares if it’s real or not.",乔伊·约瑟夫（Joey Josef）看，但对我来说，这是真实的还是伪造的。只要这让我感到快乐与和平，谁会在乎它是否真实。
25822,UgzfgmQCSc23c-D9Qqt4AaABAg,1,"i want to live like this. off the land, self sufficient, peaceful",我想这样生活。在土地上，自给自足，和平
14624,UgynuRCNtRvb5cOeW5V4AaABAg,1,"these videos had taken me to a whole new level of a long lost world that i'm longing to live in and experience its peacefulness...the beautiful scenery, the sounds of insects and birds chirping away and running water and seeing you li ziqi gathering food from the garden and in the wild makes me wonder what have we been living in...stressing ourselves 's chinese new year",这些视频使我进入了一个渴望生活并体验和平的漫长世界的全新水平...美丽的风景，昆虫和鸟儿的声音在吹口水，流水，看到你李Ziqi从花园里收集食物和野外，让我想知道我们一直在生活...强调自己
16831,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI93HwwU5gTQN,1,"when you think li ziyi's video is fake, the rural areas are not like this at all. i want to tell you that rural china is indeed not like this.
but showing the true appearance of rural china is not the theme of her video at all. the reason why you see such a beautiful video will cause discomfort because it subverts your impression of china, this is not china you know.
the real china should be messy and the people's quality is low. you are embarrassed and even painful for this. you instinctively resist the beautification of china, so you are skeptical of the video here.
many people have ""escaped"" or hope to ""escape"" china because of the status quo of contempt china. however, they may not expect that inferiority in their hometown will always be wrapped like a nightmare. when people enjoy the beauty and tranquility of li zihuan's video, they feel dislike and anger; when people admire china's development and progress, they will not have a hint of joy; a developed country feels that china's threats want to curb china some people even become accomplices. those who despise themselves are actually scornful. china is their demon, as long as they mention them, they will suffer.
i want to remind these people that 1.4 billion people living in china are also flesh and blood, and they are pursuing a happy and peaceful life. they also have their own creativity and imagination. why can't they create such high -level works? why can't china be beautiful?
those who feel that you are offended, if you are abroad, please leave this channel quietly, forget everything about china, and hope that you can live easily and have dignity. if you are in china, please open your eyes and look at everything around you, maybe more beautiful things are waiting for you to discover. even if you can't find it, spend more time to accompany your family, it is a beautiful thing.


——the above is just written to those chinese who have been demon","当你们觉得李子柒的视频是假的，中国的农村根本不是这个样子，我想对你们说，中国的农村确实不是这个样子。
但展示中国农村的真实面貌根本不是她视频的主题。你们之所以看到如此唯美的视频时会产生不适，是因为它颠覆了你们对中国的印象，这不是你们了解的中国。
真实的中国应该环境脏乱，人民素质低下。你们为此感到难堪，甚至痛苦。你们本能的抵制美化中国的事物，因此才对这里的视频持怀疑态度。
有许多人因为鄙夷中国的现状“逃出”了或希望“逃出”中国，然而他们也许没料到，对于自己故乡的自卑将永远如梦魇一般缠绕。在人们享受李子柒视频的唯美与恬静时，他们感到的是厌恶和愤怒；在人们赞叹中国的发展进步时，他们也不会有一丝喜悦；某发达国家感受到中国的威胁想要遏制中国时，有些人甚至成为了帮凶。那些鄙夷自己出身的人，其实也在鄙夷着自己。中国是他们的心魔，只要一提起他们就受煎熬。
我想提醒这些人，生活在中国的14亿人口，他们个个也都是有血有肉，他们都在追求幸福平静的生活。他们也都有各自的创造力和想象力，怎么就不能创造出这么高水平的作品来呢？中国怎么就不能有美好的事物了呢？
那些觉得自己受到冒犯的人，如果你身在国外，请你安静的离开这个频道，忘掉关于中国的一切，同时希望你活得轻松些，有尊严些。如果你身在国内，请你睁开眼重新打量一下周围的一切，也许还有更多美的事物等着你去发现。即便发现不了，多花些时间陪陪家人，也是美事一桩。


——以上只是写给那些着了魔的中国人"
18439,UgxXmmSXsV4bk_pTO714AaABAg,1,"regardless of whether making tofu, chili sauce, dried beef or crab, all videos of ly tu that, a 29 -year -old girl who owns 7.5 million followers on youtube and about 20 million fans on weibo, are all the substance contains nostalgic features and lights up the desire for peaceful life in the countryside,",无论制作豆腐，辣椒酱，干牛肉或螃蟹，所有的ly tu视频，一个29岁 - 年龄的女孩，在YouTube上拥有750万关注者，在微博上拥有约2000万粉丝，所有物质都包含Nostalgic的特征并阐明了乡村和平生活的渴望，
14249,UgzF2-FWL_O_BMy5DtZ4AaABAg,1,success in life is being peaceful and happy. lesson learnt.,生活的成功是和平与快乐。学习到教训了。
16501,UgxIG3fYzbHdN6VBcf94AaABAg,1,dont know why but seeing her feels so peaceful.,不知道为什么，但是看到她感到如此和平。
15584,UgzyGssLUrvj7Cm3Vbp4AaABAg,1,i always feel peaceful after watching the channel,观看频道
26231,UgzO9r_h48q_tZMlA694AaABAg,1,"i feel like u guys live just on the other side of the mountains man, lol which u do. i am from one of the himalayan states of india. i enjoy watching these video there are so peaceful. thank you.",我觉得你们生活在山的另一侧，大声笑。我来自印度的喜马拉雅州之一。我喜欢观看这些视频是如此宁静。谢谢。
25638,UgzfXwRxbydrN61QcMh4AaABAg,1,it looks so peaceful and you want to stay with this c,它看起来很宁静，您想和这个C在一起
26470,UgwFvHiKX-YQrymRxUF4AaABAg,1,"or too want to live a peaceful life in the countryside so much, the scenery is peaceful, the charming trees, the simple food without having to have a strange delicious dish, what a dream life !! !!",或者也想在乡村过上宁静的生活，风景是宁静的，迷人的树木，简单的食物，而不必有一个奇怪的美味菜，多么梦想的生活！！！
26477,Ugw8gelqMPrD9ttpoSV4AaABAg,1,"i am vietnamese, i feel very relaxed when watching your video, it's really peaceful, really peaceful, i love this channel ...",我是越南人，观看您的视频时，我感到非常放松，它真的很宁静，非常和平，我喜欢这个频道...
25623,UgxHsgRpANCCm8gOQEx4AaABAg.8z01C08josy8zFBYyPrf4f,1,"it may look peaceful, i lived w my grandma in a somewhat similar place like this for 4 days and i just wasn’t very comfortable there, it was a lot of work to do things since they didn’t have electricity.",它看起来可能很宁静，我在像这样的地方住了四天，我在奶奶里住了4天，而我在那里并不舒服，因为他们没有电，这是很多工作要做的事情。
13161,UgwiNjwgK5yh8sjR2PB4AaABAg,1,iove her life style it's hard working but calm and peaceful it seems nice,我使她的生活方式很难工作，但是平静而和平，看起来不错
3649,UgzMlZbE0g6tVOgsNvV4AaABAg,1,so admired way of living peaceful life with ur unique way,因此，以您独特的方式生活方式的生活方式
33170,Ugwg1zIlZ6O3KVoqHzZ4AaABAg.8yUf63ay4nS8yV28U6tgWg,1,"hello from vietnam! this vid is really relaxed and peaceful to enjoy the weekend, right? :)",来自越南！这个vid真的很放松，享受周末，对吗？ :)
31881,UgyNfoSa36A2FD-g7WJ4AaABAg,1,ow man they eat peacefully everything is edible i like that no tension...,哦，他们和平吃的一切都可以食用，我不喜欢那种紧张...
31656,UgyU8lQ3_HWOAi9OAyd4AaABAg,1,"can i give you a suggestion to you a little sub? thank you for the sub, but can you only sub the words or dialogue in the video? sub is sometimes too personal and inserted with unnecessary words. liziqi's video is very peaceful and peaceful to see the scene mainly, sometimes curious liziqi and what she says to each other, the conversations are not sub. sometimes there are sub friends also insert sub ads for her channel, so it is very difficult to understand and uncomfortable. i said frankly, i hope you are sympathetic.",我可以向您提供一些建议吗？谢谢您的潜艇，但是您只能在视频中删除单词或对话吗？ Sub有时太个人化，并用不必要的单词插入。 Liziqi的录像带非常和平，很安静地看到现场，有时是好奇的Liziqi以及她彼此所说的话，对话不是sub。有时，有子朋友还为她的频道插入子广告，因此很难理解和不舒服。坦率地说，我希望你很同情。
33434,UgzYXv9FK9xtvbBMpQJ4AaABAg,1,i also want to live a peaceful cs like that ✔,我也想过像这样的和平的CS✔
4151,Ugz06hQA6aUEJPKDbl94AaABAg,1,"it's great to need vegetables just picking up ...
live in the village with simplicity more peaceful ..","很高兴需要蔬菜，只是捡起...
生活在村庄里，更简单。"
28116,UgzQz_Kh7UohBB76KTB4AaABAg,1,a very peaceful and beautiful countryside,一个非常宁静和美丽的乡村
19141,UgyrWpj5DpQ7ND6wY0B4AaABAg,1,i like this kind of life so peaceful,我喜欢这种和平的生活
5784,Ugy5JmlyP78m22q0qx14AaABAg,1,"everything what we need to survive is here , i'm lucky i onced experienced this as a kid ,i'd like to go back & experience this again but our place is not like this anymore, one day i will find a place like this again & leave peacefully with nature until i die โค",我们需要生存的一切都在这里，我很幸运，我小时候就经历过这种经历，我想回去再体验一下，但是我们的地方不再像这样了，有一天我会找到这样的地方再次和和平地与大自然离开，直到我死了❤
34477,UgxRH_1HgWfcqu8Baep4AaABAg,1,"it's always loving and peaceful watching your video...
#mashungmizingkhai","观看您的视频总是充满爱心和和平的...
#mashungmizingkhai"
21370,UgyTWxcORe7iVOo9h0t4AaABAg,1,i like to live in the countryside like this. peaceful to incredible!,我喜欢这样住在乡村。和平到不可思议！
4918,UgzDGig2nRmII3g0Utp4AaABAg,1,this video is so peaceful,这个视频是如此和平
10690,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU799pneizUXb6,1,so true ..hw i wish to be like her life .so peaceful and full of love ..shes such a good example of a loving and contented fine lady ...,如此真实。
28232,UgxNYhIa1VpG0L3nNqZ4AaABAg,1,"she seems to do everything with so much deep calmness and peacefulness. <3 
how can one reach that?","她似乎以如此深厚的平静与和平来做一切。 <3
一个人怎么能达到这一点？"
21839,UgwMBquNUCtc8PrUrq14AaABAg,1,"what a peaceful way to live in the heart of mother nature where everything is provided for! i'd live here in simplicity, quietness and oneness with all that",在提供一切的地方，是一种生活在大自然中心的宁静方式！我会以简单，安静和统一的方式生活在这里
11603,UgxYvQ_WZafa5tkgcAB4AaABAg,1,damn i didnt know i had soft heart till i watched this video...its peaceful,该死
33431,Ugy03CkKsPIFS7k_9nV4AaABAg.8yUbaCQrcWw8yUpduIYNdL,1,unfortunately her life is not so peaceful at all. she was being chased by crazy fans and competitors harrassed her with drones hoovering over and people traspasing her property she had to move because her old grandma was not coping with the intruders,不幸的是，她的生活根本不是那么和平。她被疯狂的粉丝追赶，竞争对手骚扰她，无人驾驶飞机徘徊，人们不得不移动她的财产，因为她的老祖母没有应对入侵者
22738,UgzlgC7NwWQ7aEU1F1N4AaABAg,0,i loved the peaceful natural ambience and the way she cooks variety hope to try sumtime lyk dis wen we give back to nature nature gives back to us,我喜欢和平的自然氛围以及她烹饪的方式，希望尝试sumtime lyk wen我们回馈自然自然回馈我们
25081,UgwJ407GeFnozRJPKFB4AaABAg,0,"its great to watch.. or ever live there.. so peaceful...
wonder where did she learn english","很高兴观看..或曾经住在那里..如此宁静...
想知道她在哪里学习英语"
24106,Ugxo_oxaWCvcDQ2UM5B4AaABAg.8zUvI546PxY8zV8tI4I80_,0,@kmpoon2550 xinjiang and tibet are peaceful and safety enough rather than chaos as someone said.,@kmpoon2550 xinjiang和西藏是和平与安全的，而不是像某人所说的那样混乱。
25154,UgwOSkWdprDJehXzxcF4AaABAg,0,"beautiful girl , beautiful place , peaceful life。",美丽的女孩，美丽的地方，和平的生活。
22564,UgxL5h63-yttUmqUHCN4AaABAg,0,that place is so peacefull,那个地方是如此和平
22450,UgwHxU7a_4e2cN8qAtB4AaABAg,0,life is so peacefully away from the noisy lifestyle in the lavish cities that are increasingly expanding to return to a quiet countryside to live a peaceful simple life that is the dream of many people. hope you can produce many meaningful videos like this so that everyone can feel. good luck,生活如此和平地远离奢侈城市中繁华的生活方式，这些生活方式越来越不断扩大，以返回一个安静的乡村，过着和平而简单的生活，这是许多人的梦想。希望您可以制作许多这样的有意义的视频，以便每个人都能感觉到。祝你好运
22321,UgxpXV4BEcvLf2ZDipJ4AaABAg,0,"i think i want to live a life like her, healthy and delicious foods, an organic way of planting fruits and vegetables, peaceful place, beautiful views and fresh air",我想我想像她一样生活，健康可口的食物，一种种植水果和蔬菜的有机方式，宁静的地方，美丽的景色和新鲜空气
25202,UgyYIUMm7wDCVbDcCwN4AaABAg,0,"awwwww so peaceful there, to live there until the end would be awesome, away from all the dramas. even the food is lovely. as for the hard working young lady she's beautiful, princess of the garden. thanks for sharing your paradise with us.",在那里如此宁静，到那里住在那里，直到最后会很棒，远离所有戏剧。甚至食物也很可爱。至于勤奋的小姐，她很漂亮，是花园的公主。感谢您与我们分享您的天堂。
22710,UgwI4biDZrKV438OcLx4AaABAg,0,very peaceful.! want to be in a place like this.,非常和平。！想在这样的地方。
24836,UgxpgaiJbEcAW6570jd4AaABAg,0,it is so beautiful to watch your cooking and how you respected your ingredients. thank you for making these videos. it is really peaceful. it made me really miss living in asia.,观看您的烹饪以及如何尊重成分是如此美丽。感谢您制作这些视频。真的很和平。这让我真的很想念住在亚洲。
22850,UgzUoKkn4sGG_S9_TAp4AaABAg,0,this is such a satisfying video i wanna live there too it seems so peaceful ❤️.,这是一个令人满意的视频，我也想住在那里，似乎是如此宁静。
25071,UgyKqLdYocJxQNDNc314AaABAg,0,life is too peaceful. vietnam,生活太宁静了。越南
24857,UgykNjuHkWqfrvMDVJt4AaABAg,0,rural life is peaceful and happy !!!,乡村生活是和平与快乐的！！！
24502,Ugxns1ziOl9UogFQhpR4AaABAg,0,why is it so peaceful,为什么如此和平
23024,UgyL2nR6ubVL84czbx14AaABAg,0,looks peaceful,看起来和平
23518,UgwUfxAQCpWfRG578mJ4AaABAg,0,"a peaceful life, there is no bon chen ❤️",和平的生活，没有邦陈❤️
24286,UgxRxDG9R6t5jNGXw4t4AaABAg,0,i wish i was there. looks so peaceful,真希望我当时也在。看起来很宁静
23519,UgyWrAc3hk7p38NdMsJ4AaABAg,0,"a peaceful life, there is no bon chen ❤️",和平的生活，没有邦陈❤️
24240,UgydKwxKNDlE3tMCOed4AaABAg,0,life of many people dream ... peaceful ... but the lives of life make us forget about peace ...,许多人的生活梦想...和平...但是生活的生活使我们忘记了和平...
23716,UgzxNzL40UryApyC1154AaABAg,0,"suggest some peaceful chinese music 
https://www.youtube.com/watch?v=rjhjsnhgnng 

https://www.youtube.com/watch?v=m1gxmbsxq1g","建议一些和平的中文音乐
https://www.youtube.com/watch?v=rjhjsnhgnng

https://www.youtube.com/watch?v=M1GXMBSXQ1G"
25355,UgxpATpwpzTESxxSDMN4AaABAg,0,looks so peaceful!,看起来很宁静！
24005,UgzD-Y2QYRZ8bj7erJF4AaABAg,0,like this life .... so peaceful ..... iam from vietnam,像这一生...如此宁静.....我来自越南
24159,UgzYMC1xz2r5nkB54J54AaABAg,0,really peaceful and osm.. and beautiful girl... jesus bless you,真的和平与osm ..和美丽的女孩...耶稣祝福你
24139,UgwkLHvR63hpHtdYGOh4AaABAg,0,eating organic food and living in this peaceful place with clean air. i won’t be surprised if this lady and the grandma would live longer than an average human being.,用干净的空气在这个宁静的地方吃有机食物。如果这位女士和祖母的寿命比普通人更长，我不会感到惊讶。
24105,Ugxo_oxaWCvcDQ2UM5B4AaABAg.8zUvI546PxY8zV7IGvWnwN,0,@yvonchao2405 please also praise for the beautiful views of xinjiang and tibet. support the people living there and wish them to have a peaceful life like this video.,@yvonchao2405还要赞美新疆和西藏的美丽景色。支持居住在那里的人们，并希望他们过着像这个视频一样和平的生活。
25311,Ugzdmv4_RiicHgF4Az54AaABAg,0,hello from france you are truly amazing and so peacefull,来自法国的您好，您真是太神奇了，如此和平
172,Ugz2ZrvN_k3Ivz5vFft4AaABAg,0,"watching her video always feels peaceful, i hope you will release a lot of videos in the near future.❤
but anyone who sees this sister looks like mz, mz k sir","观看她的视频总是很和平，希望您能在不久的将来发布很多视频。
但是任何看到这个姐姐看起来像MZ的人，MZ K先生"
25420,Ugz18B-qr2SFyatGV3B4AaABAg,0,"so peaceful, simple and satisfying",如此和平，简单和令人满意
25454,Ugz6EMUolJd2aAixV8x4AaABAg,0,watch the clip but feel too peaceful :) ❤,观看剪辑，但感觉太宁静:)❤
29545,UgwGiLv3CWvSycmStQ14AaABAg,0,thanh binh peaceful and peaceful life as new as an an an lac,anh binh和安宁和和平的生活一样新
29857,UgwnTrpnGfMeuN1DOx14AaABAg,0,"i would love to just sit there and eat, such a peaceful place. take care, liziqi. ^^",我很想坐在那里吃饭，这是一个宁静的地方。保重，liziqi。 ^^
29961,UgzCKZgOtkscykm75-R4AaABAg,0,looks like the most peaceful place on earth! wow,看起来像是地球上最宁静的地方！哇
30039,Ugw1gT_-jvNSctqc-Kt4AaABAg,0,wow... so peaceful,哇...如此和平
31255,Ugxa8sU25b3AZKPrRfh4AaABAg,0,i feel so peaceful,我感到很宁静
31871,Ugzo27XVVrliXZhx9i54AaABAg,0,so fascinating to see the different types of food & the plants you cook with. a style of foraging in the beautiful mountains & then turned into an exotic dish. seems like a peaceful way to live,如此着迷，可以看到您烹制的不同类型的食物和植物。在美丽的山脉中的觅食风格，然后变成一个异国情调的菜。似乎是一种和平的生活方式
31879,UgzWI-aUGAEfVRDmz2h4AaABAg,0,such a peaceful life of living .. the chief is so pretty and cooking skill is so professional ...,如此宁静的生活。酋长是如此漂亮，烹饪技巧是如此专业...
32002,UgyzjP7MB91ZPI12fF94AaABAg,0,"beautiful scenery, nguyen people are skillful, live peaceful rural life",美丽的风景，nguyen人很熟练，生活和平的乡村生活
32003,UgyzicNg6rP3dOkDRol4AaABAg,0,when ever i feel stressed i watch ur vedios.. the music made me calm nd cool nd the visual provides peace of mind.... love u lot liziqi... thank u for making such peacefull vedios,每当我感到压力时，我都会看着ur vedios ..音乐使我冷静下来，视觉效果让您放心。
32167,UgweIG6paXaxMw0eP994AaABAg,0,in a time when a lot of bad things are happening in the world watching your peaceful videos are the best thing. i don't even eat any of those foods but the message you are sending us is what i'm hear for. thank you.,在世界上观看和平视频的许多坏事发生的时候，最好的事情是最好的事情。我什至不吃任何这些食物，但是您向我们发送的信息是我所听到的。谢谢。
32906,Ugz7YtKUOib9uzxnfIZ4AaABAg,0,so peaceful and beautiful,如此和平与美丽
33229,Ugxo8WkOfdue32jOOY14AaABAg,0,every sound is so peacefull..i enjoy every bit of it☘,每个声音都很平静..我喜欢它的每一点☘
33237,UgxXMRapIEPzmBRDNIB4AaABAg,0,"i liked the music it peaceful,plus the content of the videos",我喜欢它和平的音乐，以及视频的内容
33251,UgyY-7BQaChlaPmuKVR4AaABAg,0,"watch the video but peaceful ❤
watch video that is peaceful to strange ❤","观看视频，但和平❤
观看对奇怪的宁静的视频❤"
33359,UgzAc7kA97SUY0PQBkl4AaABAg,0,i feel peaceful when i watch your video ❤️,当我观看您的视频❤️时，我感到很宁静
33569,UgwuUhRjVgJxAcWR0Y14AaABAg,0,thank you so much for a peaceful and beautiful video that you don't need to know what you want to do even if you don't understand it.,非常感谢您的和平与美丽的视频，即使您不了解，也不需要知道自己想做什么。
33671,UgyTl_JBSnIXe6b9PAB4AaABAg,0,peaceful,平静的
33880,UgxFOywxT5f07KlH-cx4AaABAg,0,like to live a peaceful life as you,喜欢过着和平的生活
34012,Ugy5LHfskYUMiLc5C994AaABAg,0,"my favourite youtuber, so peaceful life",我最喜欢的YouTuber，如此和平的生活
34331,Ugx3kxPgLZk7WW-k2Xd4AaABAg,0,"i always eager to wait for you new video new sounds , cooking ,your gesture and rural atmosphere which make my mind peaceful .",我总是渴望等待您的新视频新声音，烹饪，您的手势和乡村氛围，这使我的想法变得和平。
34399,UgxR1TodkCjomw77-4J4AaABAg,0,there is something so serene and peaceful about everything you do. thank you for sharing this part of your life with us.,您所做的一切都有如此宁静和和平。感谢您与我们分享生活的这一部分。
34627,UgwKvelYFScHTqZqwgl4AaABAg,0,always peaceful watching your videos,总是和平观看您的视频
34700,UgzchmV0aOwG9VziS7J4AaABAg,0,"you are my queen in many things ❤️ thank you for your beautiful videos, and peaceful as well",您是我的女王，在很多事情上❤️感谢您的精美视频，也是和平的
34711,Ugwi7E-ETFGD6B56qwp4AaABAg,0,now i can sleep peacefully!,现在我可以和平睡觉！
34797,Ugy1VEAOpYXcFUT7Ced4AaABAg,0,"always very excited to see a new offering from this brilliant teacher. and then..right on the tail of excitement- the peacefulness that comes from these amazing 
film-lessons gently shifts the experience to near meditation. 

thank you greatly, 

for enriching our lives.","看到这位出色老师的新产品总是很高兴。然后..在兴奋的尾巴上 - 这些令人惊奇的宁静
电影人将体验轻轻地转移到近乎冥想中。

非常感谢

丰富我们的生活。"
29182,UgzYVsfJ1Oyaor6bA2F4AaABAg,0,"so peaceful and soothing , regret the advertising",如此和平与舒缓，后悔广告
29062,Ugz1_bxXduHUeufKBwh4AaABAg,0,"every time i see her, i feel very peaceful",每次见到她，我都感到很平和
28396,UgzHbFCoIESbxsbnz8t4AaABAg,0,"makes me wonder how secluded they are or how they’re doing, considering china’s huge food scandals. a large portion of china’s food production at the farm stage is very dangerous because crops are blasted with chemicals and animals are shot up with so many chemicals as well that the farmers aren’t even aware of what they’re putting into their livestock, but they know it yields results. it’s scary over there, but i’m relieved to see that there are some able to live peacefully in the countryside and live off the land without fear of poisons and toxins in their food. i hope i’m able to visit some regions as this someday, where food is handled with much care and thought for those eating it.",考虑到中国的巨大食品丑闻，让我想知道他们有多僻静或做得如何。中国在农场阶段的粮食生产中很大一部分是非常危险的他们知道这会产生结果。那在那儿很恐怖，但是我很高兴看到有些人能够在乡村和平生活，远离土地，而不必担心食物中会有毒药和毒素。我希望我能够访问一些地区，如有一天，食物对食物的食物充满了照顾和思考。
26784,UgxXjgu6gvb8Aov7V4d4AaABAg,0,"what place is this? i want to live in there coz the environment is so clean and fresh with greeny vegetables, trees and its a peaceful place to live in.",这是什么地方？我想住在那里，因为环境是如此干净，新鲜，绿色的蔬菜，树木和宁静的生活场所。
25566,UgxpJVLyLS05WIMM1Md4AaABAg,0,this video calm my anxiety... and gave me a peaceful mind...,这段视频使我的焦虑症平静...并给了我一个和平的头脑...
25645,UgwW3guiJV0DKwbVpFJ4AaABAg,0,why just a peaceful life like this is enough,为什么像这样的和平生活已经足够了
25887,UgwKbFoYkHbkS23Hp1t4AaABAg,0,"ziqi is so beautiful and peaceful girl, as beautiful as food she cooks",Ziqi是如此美丽和宁静的女孩，就像她烹饪的食物一样美丽
25921,UgyK75RoaYprq--_gQV4AaABAg,0,peacefull life.......,和平生活.......
26036,UgzwEasHsxtoL-AW8554AaABAg,0,watch this video i feel very peaceful,观看此视频，我感到很宁静
26131,UgwsrAzOibg_JG_PSAF4AaABAg,0,"life is peaceful, i always dream of getting it",生活是和平的，我总是梦想着获得它
26134,Ugz14refm7y9WBTID2t4AaABAg,0,so peaceful.. i like such simple ordinary scenes in china,如此和平..我喜欢中国如此简单的普通场景
