,cid,votes,含peaceful,含peaceful中文翻译
26229,UgzlNNIgClbXIhtHid54AaABAg,0,simply amazing beyond words!! suddenly while watching liziqi life seems much more calm and peaceful,简直令人惊奇的是超越言语！！突然看着Liziqi生活似乎更加平静与和平
26241,UgyR3pCsT20yQnLz5Bd4AaABAg,0,"i just discover today her chanel and video, and this is so awesome good filming look like profesional documentary but is this realy amator video? so good to watch her life so peaceful",我今天刚刚发现了她的香奈儿和视频，这真是太棒了，看起来像是专业纪录片，但是这是Amator的视频吗？很好看她的生活如此宁静
26298,UgzjPM64ohRbGxnc0QV4AaABAg,0,"kaas mai bhi yesi shant jhagh me reh sakti.logo se door, apno ke saath.so peaceful.",kaas mai bhi yesi shant jhagh me reh sakti.logo se门，apno ke ke saath.so和平。
26480,UgzQXftogck1GU5QRz94AaABAg,0,peaceful.,平静的。
27077,UgxYqKUE7coLIZz8pI94AaABAg,0,peaceful place!,和平的地方！
28285,UgyhCEpnkk7uOYrJs_94AaABAg,0,"i'd like to live in a place like this, so peaceful and full of nature. learning all the things she does wouldn't be so bad either :d",我想住在这样的地方，如此宁静和充满大自然。学习她所做的所有事情也不会那么糟糕：D
27141,Ugz_nNCVDPshgq3UGa94AaABAg,0,that's china:) really peaceful.,那是中国:)真的很和平。
27468,UgzekiMsIrftamoTLtx4AaABAg,0,peaceful life is so simple ... i just need to be like that,和平的生活是如此简单...我只需要那样
22155,Ugw02UPZLQq6MiZVJBh4AaABAg,0,looks very peaceful!,看起来很宁静！
27575,UgyufvpYvQXknS04W6x4AaABAg,0,peaceful:),平静的：）
27749,UgxNbUv7FgKHWC7jak54AaABAg,0,such a quiet peaceful happy healthy life but she had a sad childhood..let her b happy now,如此安静的和平的快乐健康生活，但她度过了一个悲伤的童年。
27762,UgwJG893if87KCiINXR4AaABAg,0,beautiful peaceful scenery,美丽的和平风景
27806,UgxWRZ4216K-pZR_Ggt4AaABAg,0,life is truly peaceful. few places are like that.,生活是真正的和平。那样的地方很少。
27810,UgwXlfVcBVIpeJ315Gh4AaABAg,0,"lovely, peaceful...",可爱，和平...
27854,UgzpJrZs8Mj5fCxYeJF4AaABAg,0,"im from vietnam
i really like your videos that are so beautiful and peaceful in the end i wish you a happy and peaceful life","我来自越南
我真的很喜欢您的视频，最终是如此美丽与和平，我祝您生活快乐，和平"
27981,UgzOdzUtkupNO8VZntl4AaABAg,0,this is how life should be...peaceful and carefree!,这就是生活应该……和平与无忧无虑！
28134,UgzHwuT38q9oh97rQGV4AaABAg,0,"i really like your videos, a peaceful and happy life",我真的很喜欢你的视频，一个和平与快乐的生活
22269,UgyU7zFsWb3gzq4sJ4R4AaABAg,0,"i realize where life is very peaceful, hp is a youtube so the money is not very important, but it is important where the homegrown is very simple, peaceful",我意识到生活在哪里非常和平，惠普是YouTube，所以钱不是很重要，但在本土非常简单，和平的情况下，我希望拥有这样的CS
18993,UgxF9y6_CAK172vsmaN4AaABAg,0,"i'm from mainland of china.i used to suspected her video was just a show till i lived like her for a month(last december) and knew her story.the feeling from deep inside remind me where i from,a small peaceful countryside.unfortunately,i can't lived this way totally in present era.i hope it will come true when i retired",我来自中国大陆。我曾经怀疑她的视频只是一个节目，直到我像她一样住了一个月（去年12月），并知道她的故事。从内心深处的感觉使我想起了我从哪里，一个小的和平的乡村不幸的是，我不能在当今时代完全生活。我希望我退休时会成真
22036,UgxXl31TMbEq505tVsx4AaABAg,0,so amazing yet so peaceful...,如此神奇，却如此和平...
8854,UgzAydA833_uRaLWpsR4AaABAg,0,"it might be propaganda, but god damn is it the most peaceful chill propaganda i've ever seen.",这可能是宣传，但该死的是我见过的最和平的寒冷宣传。
9110,UgwfzJm9c_AVWwZPV694AaABAg.9AQ6TCjo5aj9C2y4R8Bpix,0,"amy behrens what a beautiful description and exactly right, a graceful, peaceful life artist.",艾米·贝伦斯（Amy Behrens）是一个美丽的描述，完全正确，是一位优雅，和平的生活艺术家。
9159,UgzklntCNID4wKlyuMl4AaABAg,0,"the environment it so peaceful, and the food she's cooking, it satisfying. man their culture it interesting, i would try out their food that would be great.",它是如此宁静的环境以及她正在烹饪的食物，它令人满意。他们的文化很有趣，我会尝试他们的食物。
9494,Ugzpc1ht5eYMD_nucYF4AaABAg,0,"many women in this era have no output value as waste. if many girls have output value like her, it is really peaceful.",现在这时代许多的女人跟废物一样毫无产值，如果许多女生像她一样有产值的话，那真的太和平了
9609,UgxB6egSa9jqTuXQrH94AaABAg,0,life is so peaceful,生活是如此和平
9674,UgzdiVZkzdWVdqQqPTN4AaABAg,0,it is peaceful,这是和平的
9767,Ugz72Z54OULc1o_scqF4AaABAg,0,soo peacefull,Soo和Peacefull
9777,Ugxzw4R7lrlVjWPbjzR4AaABAg,0,i love to go home again in forest i love it all music the girl the way she work and cooking in the place so peacefull thanks for the video ๐๐๐,我喜欢在森林里再次回家，我喜欢这一切音乐，就像她在这个地方工作和做饭的女孩一样，非常感谢您的视频
9912,UgwERrTf5LgD6JMcqJ54AaABAg,0,life is peaceful life,生活是和平的生活
10081,UgxAMTj23YxKUErPZ7N4AaABAg,0,"busy with work but comfortable...
it's a calm and peaceful video.","忙于工作，但很舒服...
这是一个平静而和平的视频。"
10357,UgyHmy6hNPWuUam6T7J4AaABAg,0,"the atmosphere is very good.
if going to live, it would be peaceful.","气氛很好。
如果要活下去，那将是和平的。"
10379,Ugy0YeU5OdXptUHWrv14AaABAg,0,your video is so peaceful and natural whenever i see these types of things i feel sleepy and relax.,每当我看到这些类型的事物时，您的视频都是如此宁静和自然，我感到困倦和放松。
10383,UgxpPTE6B7R57v6XWJN4AaABAg,0,peaceful !!! want go to hometown,平静的 ！！！想要去家乡
10408,UgztcpiWAzZOYF52PvR4AaABAg,0,her daily life looks so peacefull...,她的日常生活看起来很平静...
10611,UgyWc93lj4B85DLnJ9B4AaABAg,0,"apart from the money she earned from youtube, is a peaceful and bountiful life she already have.",除了她从YouTube赚到的钱外，她已经过了宁静而享受的生活。
11008,Ugy4SRDcmz0tcnkReEp4AaABAg,0,"wondeful, lovely, peaceful, calming, soothing, beautiful, creative........",奇妙，可爱，和平，平静，舒缓，美丽，创造力........
11580,UgziEkJ1TmFk4luO1ad4AaABAg,0,so peacefull,如此和平
11996,UgzlsLnX7NOfPvQzFU54AaABAg,0,so want to live in the village ... cool and peaceful,所以想住在村庄...凉爽宁静
12100,UgzF9W71RnUQB7TMdMB4AaABAg,0,"everything is so simple and not complex, peaceful and serene, all you need is your grandma!!",一切都是如此简单，不复杂，和平与宁静，您需要的只是您的祖母！
12114,UgxtsJnRbrNsXooO3OV4AaABAg,0,peaceful.,平静的。
12329,UgzZFBwBYUl_eT34JkF4AaABAg,0,what a wonderful peaceful life. god bless u,多么美好的和平生活。上帝保佑你
12354,UgxxgRlFHqfW0-Bb0cd4AaABAg,0,i want to live like this... so many 's so peaceful.. baking cooking without the recipe book and all is fresh from the garden.. plenty of,我想这样生活...这么多plant蔬菜
12579,UgxkSuhcZOghHsyaGW54AaABAg,0,yum this food looks delicious and healthy. thank you for sharing such a great peaceful video.,yum这种食物看起来很美味又健康。感谢您分享如此出色的和平视频。
12644,UgwftFIPnd8nwnp24EN4AaABAg,0,"real life harvest moon
so peaceful..","现实生活收获月亮
很平静.."
12652,UgxnawWz4ptMSwlJ31B4AaABAg,0,some ppl r used to artificial this iike a peaceful non-artificial wonderland :3,一些ppl r用来人为地人造的非人工仙境：3
12977,UgywhJBAr-5UNwBOfS94AaABAg,0,what a beautiful life to have with a beautiful place to live so peaceful with delicious food thank you for sharing your life and video with me,拥有一个美丽的生活的美好生活的美好生活，与我分享您的生活和视频
13138,UgyAuySldzPJW2JoqZ14AaABAg,0,it's peaceful,和平
13347,Ugy4eGKgQ1FghhLVhmN4AaABAg,0,peaceful and calm and comfortable country pictures. also she is very charming lady.,和平，平静，舒适的乡村照片。她也是非常迷人的女士。
13430,Ugxq2UN3z3w6z2NEU5B4AaABAg,0,lovable way to share beautiful aspect of everyday life .no need to be chinese to learn and understand . it's relaxing and peaceful . i love li ziqi channel.,可爱的方式来分享日常生活的美丽方面。不需要成为中国人才能学习和理解。这是放松而和平的。我爱李Ziqi频道。
13434,UgxyVcriwU85w4FX0aZ4AaABAg,0,i love the peaceful life and delicious food ntn,我喜欢和平的生活和美味的食物NTN
9050,UgzhzWVbJJOaHS4REKt4AaABAg.9AX5_LiL_FU9BOM7k3tiSJ,0,most of our chinese like to persuade the peaceful life and never have the ambition for the politics.,我们的大多数中国人都喜欢说服和平生活，而从不对政治有野心。
8368,UgzCwKm3ADVsT3b47wt4AaABAg,0,she lives a very peaceful life๐ฅฐ,她过着非常和平的生活
21859,UgxZQDsNr2V-8Py8xaR4AaABAg,0,here is very peaceful,这是非常和平的
8159,Ugw0ohEoSL9M_r1KMEl4AaABAg,0,so calm and peacefull,如此镇定与和平
599,Ugz9JKcFjclqezIgQ0p4AaABAg,0,this grandmother has a beautiful grandchild and diligent 'very diligent. living in a village that is peaceful damay 'cool air',这个祖母有一个美丽的孙子，非常勤奋。住在一个宁静的damay'酷空气'的村庄
886,UgzlSsYiQWKhkxQjHfp4AaABAg,0,nature here is peaceful and fresh,这里的大自然是和平与新鲜的
1334,Ugy-_S3I36ypTKJecWN4AaABAg,0,"is there any house with such conditions?
let me be born in the groom
but the scenery is so beautiful and peaceful","有这样的情况吗？
让我出生在新郎
但是风景是如此美丽与和平"
1409,UgydxvFqpTuXrgytech4AaABAg,0,too peaceful,太平了
1522,UgwZpFP1RYONQpsn2fd4AaABAg,0,"her life was the same as mine when i was a child. it could have been so peaceful and wonderful, but now we live in the city.",我小时候的生活和我的生活一样。它本来可以是如此的和平与美妙，但是现在我们住在这座城市。
1570,UgyQVgR31YSoiaiqBDB4AaABAg,0,"if there is really a language in the world that can be understood regardless of time and space, regardless of race and regardless of national boundaries, there is no doubt that it is music. zhou qiang music is committed to creating a channel for music dissemination and music exchange, to deliver the sound of true beauty to the world. if it appeals to you, please subscribe to our channel and leave positive comments. we will update our works from time to time, may the world be peaceful, may your world be full of laughter and song.",如果世界上确实有一种可以理解的语言，而不论种族和民族边界如何，毫无疑问，它是音乐。 Zhou Qiang Music致力于创建音乐传播和音乐交流的频道，以向世界传播真正的美丽声音。如果吸引您，请订阅我们的渠道并发表积极的评论。我们将不时更新我们的作品，愿世界和平，愿您的世界充满欢笑和歌曲。
1662,Ugxv8lYzyC5W0GbEknt4AaABAg,0,i wish there was a house in such a peaceful village,我希望在一个宁静的村庄里有一所房子
1786,UgwnOLHxaWllwiieEKZ4AaABAg,0,"this is the first time i watch your video. you are very pretty and also cook very well, peaceful villages, fresh air",这是我第一次观看您的视频。您非常漂亮，也很好做饭，宁静的村庄，新鲜空气
1834,UgztXD1Y9b9v3JPqOuB4AaABAg,0,where this place is peaceful through the wish j minh is also black once,这个地方通过愿望J Minh也是黑色的，曾经是黑色的
1854,UgxEYAEfaZmVARj0P9h4AaABAg,0,truly peaceful is just enough not to be high,真正的和平就足以不高
1995,UgyUfpzduVuVMitdFRJ4AaABAg,0,"the thing i like most in china is the green forest, so peaceful",我在中国最喜欢的是绿色的森林，如此宁静
2001,UgyYIgtn1wfzdSvXVDx4AaABAg,0,life is truly peaceful.,生活是真正的和平。
2053,Ugys-Y2NAULF98mm6cR4AaABAg,0,all her videos remind me my childhood. very peaceful ver organic which the life should be.,她所有的视频都提醒我我的童年。生活应该是非常和平的有机物。
2257,Ugwm1aPjEE2PCnCuBdZ4AaABAg,0,i love the peaceful background music,我喜欢和平的背景音乐
2322,UgywTEfUz-Y9oen9ktN4AaABAg,0,a very peaceful life of simple peace with the people we love,与我们所爱的人的简单和平的和平生活
3037,UgzOMu6pgqrzzqp3fn54AaABAg,0,tired times with the pressures of life just want to watch videos like these feel extremely peaceful,疲倦的生活压力只想观看这样的视频，感觉非常宁静
3402,UgwTm6x62wpImCHrOsV4AaABAg,0,the cold world feels peaceful in life.,寒冷的世界在生活中感到和平。
3592,UgwZ7TQd6mYCHum2X354AaABAg,0,i would trade every cent i have to live in that place. who needs a car? who needs a mansion? who needs a million? if you can live in a beautiful place with a peaceful environment. i would even be more contented.,我将要贸易我必须居住在那个地方的每一个。谁需要汽车？谁需要豪宅？谁需要一百万？如果您可以住在一个拥有宁静环境的美丽地方。我什至会更加满意。
3840,UgwrR_dcHubpcASUWm54AaABAg,0,life is so peaceful,生活是如此和平
4639,UgyqlJVXVRBt5hYfviJ4AaABAg.9JC7ArXt6XW9JKptChxMEJ,0,"@cindyfu7692 you have been brainwashed by the communist party. you know that china is the center of the world, but as long as china is gone, all countries will be peaceful and there will be no infectious diseases. ""south korea is not like china to interpret history. we have to learn the history of shame and no longer happen.","@cindyfu7692 你已经被共产党洗脑了中华思想，你们知道中国是世界中心，但只要中国不在了，所有国家就和平了，也不会发生传染病。"" 韩国不像中国那样曲解历史。我们要学习再耻辱的历史，不再发生"
5261,UgzOkMUQn6ML8siXEZh4AaABAg,0,i'm wondering how staged this is. it just seems...too perfect. none the less it's beautiful and peaceful,我想知道这是多么上演。似乎...太完美了。尽管如此，它是美丽与和平的
5895,UgxOEanzYVUJA5ZGK4F4AaABAg.9FO-KUDgyWn9FtA03Uh4NM,0,"dream wife, where is peaceful",梦想的妻子，在哪里和平
5958,UgwDG6MK2bDBTWRUJ5Z4AaABAg,0,"very beautiful this village, safe and peaceful, frestery",这个村庄非常美丽，安全，和平，狂热
6119,Ugx_R7XI_ASH8NSLJ2t4AaABAg,0,"review it, it's too peaceful ๐๐๐",审查它，太平了
6526,UgxeFNB26SMQ4LgSZGR4AaABAg,0,"what a peaceful place, everyday eats healthy foods.. ๐ค—",多么宁静的地方，每天都在吃健康食品。
7019,Ugzl-GgnNoc4-K35HOt4AaABAg,0,"beautiful and peaceful. simple but profound. life is born we leave us and forced us to be responsible for life.
the mind was confined to love. faith is short. the mind is not consistent. nostalgia bothering me. different vs prejudice. freedom and peace. the immense loneliness between money. look at me because we are the main opinion.","美丽与和平。简单但深刻。生活是诞生的，我们离开了我们，迫使我们对生活负责。
思想仅限于爱。信仰很短。头脑不一致。怀旧困扰我。不同的与偏见。自由与和平。金钱之间的巨大孤独感。看我，因为我们是主要意见。"
7094,UgxP6k4I1Xhev3SbNiF4AaABAg,0,peaceful,平静的
7095,UgxCstEC3KpuDURC5Lh4AaABAg,0,peaceful,平静的
7627,UgxfDjlHOZU1bCCRzjZ4AaABAg,0,want to have a peaceful life like this,想拥有这样的和平的生活
13454,UgyF9tEuMsV68gW_9F14AaABAg,0,"these short films originally revealed peace. but watching other animals take life and eat, that peace is gone. essence essence eat vegetarian, more peaceful and healthy than eating pork, chicken, snail meat.",本来这些短片透露着祥和。但看着其他动物被你夺去生命、吃掉，那种祥和就没有了。。。吃素吧，比吃猪肉、鸡肉、螺肉，更和平健康。
13503,Ugx3hQlwC00_p9JiIWB4AaABAg,0,it is peaceful ☘️,这是和平的☘️
13515,UgyWC5E44lU4pxyKoIR4AaABAg,0,like ziqi so peaceful，so loving family❤️,像Ziqi如此和平，如此爱的家庭❤️
13666,UgwXKctPbtal03ud3b14AaABAg,0,the country life is just so peaceful,乡村生活是如此和平
16939,Ugz7W5qupS337wyTnIt4AaABAg,0,i like the video's bgm.it's so soft and peaceful,我喜欢视频的bgmm。
17203,UgxAcGmPWm25DtUXgA54AaABAg,0,"in a place where peaceful ,,,",在和平的地方
17309,Ugwc8omuL1gZTD_5IJN4AaABAg,0,"it's so scattered and peaceful, i want to live in china.",它是如此分散和和平，我想住在中国。
17407,UgxypmsOxRH9Gn1cQsx4AaABAg,0,this is an amazing youtube and a amazing life. i can really appreciate this way of living it seems so natural and peaceful.,这是一个了不起的YouTube，也是一个了不起的生活。我真的可以欣赏这种生活方式，看起来如此自然与和平。
17444,UgxlhpAQvJaHV3nSC-d4AaABAg,0,"not sure how i ended up here, but i have subscribed after just a couple of minutes. this is so incredibly well filmed and so peaceful to watch. simply beautiful and fascinating.",不确定我是怎么回到这里的，但是仅几分钟后我就订阅了。这是如此令人难以置信的拍摄，非常宁静。简单美丽而有趣。
17669,UgzgWG4l9oRVwCRuVbF4AaABAg,0,very soothing and peaceful videos,非常舒缓和和平的视频
17697,UgwOBpzLGFEgV2EqQ9t4AaABAg,0,"welcome to china, welcome to sichuan, it’s full of yummy food and it’s such a peaceful and relaxing place. then you will know the real china.",欢迎来到中国，欢迎来到四川，里面充满了美味的食物，它是一个宁静而轻松的地方。然后，您将知道真正的中国。
18028,UgynkQtlIkaTNf_rSg54AaABAg,0,what a relaxing and peaceful music ..feel like a healings...,多么轻松而宁静的音乐。
18540,Ugz7vX27tY0R8YBBwyB4AaABAg.92TOl30agtK92iKPHXND6_,0,"this is also the rural life that traditional chinese is longing for, calm, peaceful and natural",这也是中国传统所向往的乡村生活，平静且安详且自然
18761,Ugwi6_Yohuq9Ngp3wQx4AaABAg,0,so peaceful,很平静
18796,Ugyr0ZHB1XTN7FeekRF4AaABAg,0,life like this is a dream...god gave everything to survive easily but we make everything so difficult..such a peaceful life..so refreshing.,像这样的生活是一个梦想...上帝付出了一切容易生存，但我们使一切变得如此困难。
18880,UgzHrtEQ7Pax9R6ykyJ4AaABAg,0,peaceful,平静的
18984,Ugz4RHfrFwhPY1y_kpt4AaABAg,0,make the impetuous heart feel peaceful,让浮躁的心感到宁静
19117,Ugzcmv6s-Nl5xgt-iNl4AaABAg,0,"someday i want to live a place like that,, so peaceful,, its amazing video!",总有一天，我想住一个这样的地方，如此宁静，它的令人惊叹的视频！
19240,UgzsgcDtZ9HfTD-m5EF4AaABAg,0,"very peaceful video, it feels like you want to live like this",非常和平的视频，感觉就像您想这样生活
19339,UgwguINCYNJq4TLZSAZ4AaABAg,0,"it looks like paradise 
peaceful and pleasant","看起来像天堂
和平与愉快"
19480,Ugw3mBF-qNdz2kFsQMt4AaABAg,0,watching the video feels peaceful and pleasant must support the channel,观看视频感觉和平和愉快必须支持频道
19513,Ugz89guBBOWHSTU1Vnt4AaABAg,0,look so delicious and peaceful,看起来如此美味和宁静
19652,UgyxbnCHP1QNh0FfTNh4AaABAg,0,"comfortable, smooth, peaceful, easy to like",舒适，光滑，和平，易于喜欢
19865,UgwdlIjifZ-jCl0RKRR4AaABAg,0,"hello from what i know, life propagated by this charming woman does not look so cute in the chinese countryside. the expansion of cities makes beautiful and peaceful villages turn into stinking and complained gutters, with highly processed food, and people eat it. and about such food that this beautiful lady presents, they can only dream about ... and this is sad. fate has prepared",您好，据我所知，这个迷人的女人在中国乡村看起来并不那么可爱。城市的扩张使美丽且宁静的村庄变成了臭味，并抱怨沟槽，用高度加工的食物和人们食用。关于这位美丽的女士展示的这种食物，他们只能梦想……这很可悲。命运已经准备好了
20421,UgzfvT02oaoPXXql7s14AaABAg,0,"life is very peaceful, you make mon so clever!",生活非常宁静，你使蒙恩变得如此聪明！
20426,Ugz5sjRWzXLxQJN04vd4AaABAg,0,"if you see the feeling of a peaceful countryside, i used to stay in the singaporean loan.",那些看到我曾经住在现场的和平乡村的感觉的人
20536,UgweF0BGuzIxK-l0s5N4AaABAg,0,hello ly tu that. life is too peaceful,你好ly tu。生活太宁静了
20720,Ugwd4Izq7JLpez6hemN4AaABAg,0,peaceful and peaceful life,和平与和平的生活
20745,Ugwkz-iCOoI4_VNfEW54AaABAg,0,very peaceful,非常和平
21069,UgxTWIqq4RNzwOQDBQp4AaABAg,0,god so peaceful and happy,上帝如此和平与快乐
21244,Ugz7eLuYRqGdhF82jCh4AaABAg,0,"this channel is your channel, huh. i like to watch the video you do. very peaceful and happy.",这个频道是您的频道，是的。我喜欢看你的视频。非常和平与快乐。
21543,UgzQyYnfIRq3DiOCg7V4AaABAg,0,"wow how i wish i can live here.. your place is very peaceful, the vagetables are all fresh.. i really love this place..",哇，我希望我能住在这里..您的住所非常和平，偏ingables都是新鲜的..我真的很喜欢这个地方。
21605,UgwScvCmRrkV07Adycp4AaABAg,0,truly peaceful,真正的和平
16938,UgxOdPaSAq5JjlEJPql4AaABAg,0,i like the video's bgm.it's so soft and peaceful.,我喜欢视频的BGM。
16897,Ugwz97v14PEOjG2IHAZ4AaABAg,0,so peaceful to watch.,如此安静地观看。
16856,UgxKO28V1YAyeiYVN594AaABAg,0,all videos that she make i feel peaceful with the life.,她让她让我生活和平的所有视频。
14952,Ugy4DKizhSWVzxorkBF4AaABAg,0,i feel peaceful!!,我感到和平！
13817,UgwH0-Bo5-9CQQSfa2F4AaABAg,0,"looks so incredibly peaceful, i'd love to live like that",看起来如此令人难以置信的和平，我很想这样生活
13832,UgzSSjalyHfUkfMlCgN4AaABAg,0,such a simple peaceful life...very enticing!,如此简单的和平生活...非常诱人！
13869,UgwVupen1Yxz-heFZbp4AaABAg,0,a beautiful and peaceful existence,美丽而宁静的存在
13872,UgzMjcm5D-cD3kBS8Yp4AaABAg,0,i liked everything but the snails. and the chinese could suck this pasta more peacefully! i loved!,除了蜗牛，我都喜欢所有东西。中国人可以更和平地吸收这种意大利面！我喜欢！
13874,UgzIGr93BTagnSGpe4N4AaABAg,0,"simple, easy, peaceful, and beautiful lifestyle",简单，简单，和平，美丽的生活方式
13924,Ugww6cQkKq7cMZxhRIt4AaABAg,0,life like this is truly peaceful,这样的生活确实是和平
14031,UgyKy1Talg7kMKyjzbx4AaABAg,0,"such a beautiful women, inside and out, nature and hardwork has done here well. and healthy and i believe loving and truly being present, and appreciating what's around here, and peaceful, and an amazing cook, cooking with love",如此美丽的女人在内外，自然和努力在这里做得很好。健康，我相信爱心和真正的在场，并欣赏周围周围的事物，和平，以及一个了不起的厨师，用爱做饭
14212,UgyUNGFOXhxupgVGh254AaABAg,0,i feel truly peacefull. thanks,我感到非常和平。谢谢
14308,UgxKCmlzjTNOh9dhPi54AaABAg,0,man.. i want to live like her.. it simple.. rich .. peaceful life..,男人..我想像她一样生活..这简单..富裕..和平的生活..
14320,Ugyd_M2LLCcPK1zfB5V4AaABAg,0,if life was this peaceful,如果生活就是这个和平
14675,UgzyH9AF9R9hdMrlqMt4AaABAg,0,i am ready to die and born again for this peaceful life....,我准备在这种和平的生活中死亡并重生。
14859,UgwaUb2R_LeYJ3Yugtx4AaABAg,0,it’s a peaceful life,这是和平的生活
14918,UgxnAGAxS8WmCIYm6UR4AaABAg,0,peaceful to strange,和平对奇怪
14984,Ugxs5lFymtlyN-Ff5Il4AaABAg,0,beautiful place...so peaceful,美丽的地方...如此宁静
16694,UgwuJECP3-i9FyEeZ-h4AaABAg,0,"amazing chinese girl, amazing culture, hope everyone find a peaceful life with love",令人惊叹的中国女孩，令人惊叹的文化，希望每个人都用爱找到宁静的生活
15072,Ugwra4CBBMjX63-kedx4AaABAg,0,it is peaceful,这是和平的
15089,Ugwazokx2IM_89VQzOB4AaABAg,0,"wow, it looks like you're looking at the smallest time. the fire will be relieved. but now the child has no idea the goodness of the fire. it's a lonely story. what a really happy life? it's just a human life.
a peaceful life in nature without fighting. the most important and important. moreover, nature makes use of people. it's the most luxurious way of living.","哇，看来您正在看最小的时间。大火将放心。但是现在孩子不知道火的善良。这是一个寂寞的故事。多么幸福的生活？这只是人类的生活。
在不战斗的情况下，在自然中的和平生活。最重要和重要的。而且，自然利用人。这是最豪华的生活方式。"
15198,UgyyujWv7FjpHBejdYF4AaABAg,0,"very nice liziqi,watching yours and dioaxi videos almost every day while having dinner or whenever i'm in low mood to have peaceful mind... keep it up..


your videos made me to do my own videos in healthy and different way... thank you so much
https://www.youtube.com/watch?v=6o8-b6_sj18","非常不错的利兹奇，几乎每天都在吃晚饭时几乎每天观看您的和dioaxi的视频


您的视频使我以健康和不同的方式进行自己的视频...非常感谢
https://www.youtube.com/watch?v=6O8-b6_sj18"
15241,Ugxa7Ao-ZeWOkQZAX_p4AaABAg,0,"beautiful life <3
nver imagine beautiful life can be achieve without need to spend big money. no need expensive hotel...
just living with nature with everyday natural routine is simply so peaceful and beautiful...spiritually fulfill","美丽的生活<3
想象一下，可以实现美好的生活，而无需花费大笔钱。不需要昂贵的酒店...
只是与日常的自然习惯一起生活是如此和平与美丽...在精神上实现"
15683,UgyypFxWDlYvnwpdzvB4AaABAg,0,what a peaceful looking life.,多么宁静的生活。
15815,UgynV6vilet_LPc84Th4AaABAg,0,how peaceful life like this,这样的和平生活
16175,Ugxh8fxpCEChP0VVQ9h4AaABAg,0,"i wish i could just learn to live, grow, and eat off the land. where she lives seems so peaceful. i can see how that would increase life span and decrease stress.",我希望我可以学会生活，成长和吃掉土地。她居住的地方看起来很宁静。我可以看到这将如何增加寿命并减轻压力。
16204,Ugz3haj4dRaHR29PQe94AaABAg,0,"very peaceful video it makes me relax. i don't know if i'm watching a drama series, a cooking show or documentary...",非常和平的视频使我放松。我不知道我是在看电视剧系列，烹饪节目还是纪录片...
16208,Ugz_FWPZ9hCyl8Esp694AaABAg,0,"what wealth. how peaceful it is to say, ""let's go get some food"" but not in the restaurant rather directly from the garden. i want my own farm too. how peaceful. love lots. shi shi.",什么财富。说：“让我们去吃东西”是多么宁静，但不是直接从花园里的餐厅里。我也想要自己的农场。多么和平。爱很多。什什。
16305,UgxxdeEkQFlBQnEjwyR4AaABAg,0,she and her family will live long peaceful lives,她和她的家人将过着悠久的和平的生活
16420,UgymVIKHG1WGFaMuHJZ4AaABAg,0,she's like an angel where peaceful countryside,她就像一个天使，宁静的乡村
16440,UgzU2Z8vWPrDzQagW4x4AaABAg,0,just watching makes me feel so peaceful... it soothes my mind from daily stresssssss,只是看着我感到如此和平...这让我从日常的压力中舒缓了我的想法
16676,Ugwz_rKT8DI-rEFZt_V4AaABAg,0,very peaceful.,非常和平。
35083,UgzfyCKRUoE5oZQ9TTt4AaABAg,0,this is so peaceful <3,这是如此和平<3
