,cid,votes,time,含peaceful,含peaceful中文翻译
47463,UgzfaGijE2NHaKPOWFd4AaABAg,0,4 years ago,"i'm a new subscriber and i'm from india 
i'm enjoying your vedio and all are peaceful and nice ur so beautifully mam ....and uploade 1 vedios daily plzz i'm waiting for ur vedio","我是一个新的订户，我来自印度
我很喜欢你的吠陀，所有人都和平又友善，你真是太漂亮了。"
47243,UgznjnwgOgvnQYUIglt4AaABAg,0,4 years ago,i wish my home was like this; it seems so peaceful.,我希望我的家就是这样。似乎是如此的和平。
47157,UgwsDRmJAY6FJXoygWx4AaABAg,0,4 years ago,the girl's life is so simple and peaceful,女孩的生活是如此简单和和平
47150,UgyKrdYyY8P_KzIpveV4AaABAg,0,4 years ago,"a big hello from india, though im truly vegan but i love watching your videos,love the details,the way things are shot, i mean its really very peaceful to watch, and good to know the ancient culture...thumbs up",来自印度的一个大招呼，尽管我确实是素食主义者，但我喜欢观看您的视频，喜欢细节，拍摄方式，我的意思是它真的很安静，很高兴知道古老的文化...
46998,UgylT3H0-hrhPKAPSzJ4AaABAg,0,4 years ago,"her village is really beautiful, full of fruits, really a peaceful place",她的村庄真的很漂亮，到处都是水果，真的是一个和平的地方
46948,UgxcTFKCYHxk0R7M_8J4AaABAg,0,4 years ago,i like yr life there take me with u really this is called peaceful life,我喜欢你的生活
49364,UgxjTCVZlgsyF9r6OXV4AaABAg,0,4 years ago,i hope the whole world is so peaceful ...,我希望全世界如此和平...
49596,UgzPrMIr-IOHlYM3iMh4AaABAg,0,4 years ago,i love it it was so peaceful and relaxing. happy chinese nee year everyone,我喜欢它是如此的和平和放松。大家
49754,UgwAXa8wDaSUmOcm7CN4AaABAg,0,4 years ago,"oh my gosh!! were you going to have a party? everything looks great!!. what a beautiful peacefull life! i envy you...(the good way)!! peace, love, & prosperity.",天啊！！你要参加聚会吗？一切看起来都很棒！！。多么美丽的和平生活！我羡慕你...（好方法）！和平，爱与繁荣。
49957,Ugz2iRD4Vppr_vftBSp4AaABAg,0,4 years ago,how refreshing and peaceful to live in a village,住在村庄多么令人耳目一新
556,UgxaCZHbNFc5fXGm-2N4AaABAg,0,4 months ago,"everything has, bik. how much is peaceful",一切都有，比克。和平多少钱
52348,UgxjwnSkM-6BDldc9mt4AaABAg,0,4 years ago,so healing and peaceful,所以康复与和平
52341,UgzlRLdaow_S2a13LMJ4AaABAg,0,4 years ago,truly peaceful,真正的和平
880,Ugy5ufRZtKASp_s3ddx4AaABAg,0,6 months ago,so relaxing and peaceful๐€,如此放松和和平
52279,UgzDELAotxtU-kRDeW54AaABAg,0,4 years ago,so peaceful . what a wonderful life. love your. videos,很平静 。多么美好的生活。爱你的。视频
52155,Ugydz4Ro8seD1fvnQrh4AaABAg,0,4 years ago,"your videos always make me feel peaceful. and my dream is live in the place like your area when i grow old. with beautifu scenery, nice weather, warm sun, foggy road",您的视频总是让我感到和平。我的梦想像我长大时一样在您所在的地方生活。拥有美丽的风景，良好的天气，温暖的阳光，有雾的路
1010,UgwdV-0nlDN3b6R7VgR4AaABAg,0,8 months ago,peaceful and joyful,和平与快乐
1153,Ugznj3V8Ee2BQqb14PV4AaABAg,0,9 months ago,i watched ein beautiful most pleasant most peaceful video sehr schรถn ๐‘๐ป๐’ฏโค๏ธ๐น๐ท๐น๐ท๐น๐ท๐น๐ท,我看了Ein美丽最愉快的最宁静的视频SehrSchön
51622,Ugz9vNbHZf3yCE1Tq-x4AaABAg,0,4 years ago (edited),"the dogs are so cute 
such peaceful life i wish i can live with nature like you","狗是如此可爱
如此和平的生活，我希望我能像你这样的大自然生活"
51092,UgzqI877VEC-rqgwgxB4AaABAg,0,4 years ago,your place was amazing its so peaceful,您的位置太神奇了，如此和平
1248,UgwICGpXwyWFNl7YWIl4AaABAg,0,9 months ago,the feeling is too peaceful,感觉太宁静了
1587,Ugwv5Co1U0wD24G8MxJ4AaABAg,0,1 year ago,so peaceful *,很平静 *
50133,UgxzzYVDoafPIAl0UIJ4AaABAg,0,4 years ago,even if i don't understand chinese i will stil watch your videos! it is just so relaxing and i feel so peaceful thank you! happy lunar new year!,即使我不了解中文，我也会观看您的视频！真是太放松了，我感到非常宁静，谢谢！农历新年快乐！
50097,Ugw3FVy-OcATD2Zgnhl4AaABAg,0,4 years ago,where is this? i need a peaceful place like this to live!!!!!!,这在哪里？我需要一个像这样的和平的地方来！
49971,UgzAx4iGTb8RdKxt7154AaABAg,0,4 years ago,"love it ! you've never disappoint and always surprising me!
such a peaceful life...is it all for real or just for your channel?
please, don't reply if it's not true. let me dream that it's still possible to just be...","爱它 ！您永远不会失望，总是让我感到惊讶！
如此和平的生活...这一切都是真实的还是仅适用于您的频道？
请，如果不是真的，请不要回复。让我梦见，仍然有可能成为..."
46413,UgzLDnRKk7GtdSk-LDl4AaABAg,0,4 years ago,"this is so peaceful, everything in this video is so beautiful, thank you so much for sharing this amazing video with us",这是如此宁静，这段视频中的所有内容都非常漂亮，非常感谢您与我们分享这个令人惊叹的视频
46018,UgzlB95TV2uUQGQisOd4AaABAg,0,4 years ago,i wish to live life like she did not compete materially without running after the simple and peaceful currency.,我希望像她没有经过简单且和平的货币那样奔跑的生活，就像她没有实质性的竞争一样。
41194,UgxcWgb7-FJfBSDzfqV4AaABAg,0,4 years ago,it was too ha to have a goat later..the peaceful life ...,稍后再有一只山羊是太不安了..和平的生活...
42191,UgyWdIatEFn1zmBlMml4AaABAg,0,4 years ago,does anyone in vietnam come here to see. peaceful .. when the store opened it to see if it was relieved ..,越南有人来这里看看吗？和平..当商店打开它以查看是否松了一口气时。
43086,UgybPGf-nxdFQQUWNAJ4AaABAg,0,4 years ago,"i want to live like this..peaceful, happy and contented. ❤️ i love to watch this kind of videos.",我想这样生活..和平，快乐和满足。 ❤️我喜欢看这种视频。
43035,Ugw9GZs9TOFagMN7TCV4AaABAg.8rSFVREWTcL8rh7JGkRxgZ,0,4 years ago,@roseangel7903 take a vacation to a peaceful place,@Roseangel7903去一个宁静的地方度假
42960,UgxP73KmZcwB8sVj7SJ4AaABAg,0,4 years ago,"beautiful! ❤thank you for sharing this amazing atmosphere, it gives calmness and peaceful joy. but where all that incredible organic sweets are going, to local market?",美丽的！ ❤感谢您分享这种令人惊叹的气氛，它带来了平静和和平的喜悦。但是，所有这些令人难以置信的有机糖果都在哪里？
42945,UgzXjYOacC8C-kKcCQN4AaABAg,0,4 years ago,"wow, i really like the peaceful setting , it’s so beautiful!!",哇，我真的很喜欢和平的环境，真漂亮！
42925,UgwLmWfFhELEUY8-uWB4AaABAg,0,4 years ago,what did i just watch?? oh my god looks so peacefully theree!! i wanna go there if i had more money :)),我只是看什么？哦，我的上帝看起来如此和平！如果我有更多的钱，我想去那里:)）
42846,UgzzoULC8x6Rx-xvXBZ4AaABAg,0,4 years ago,"lovely ,peaceful great videos ! i wish i was there !",可爱，和平的伟大视频！真希望我当时也在 ！
42502,Ugz_QY6MvOSw6KUIf8V4AaABAg,0,4 years ago,what i wouldn't give to end up with a peaceful woman such as her. just a pipe dream for a kid in the middle of no where.,我不会给像她这样的宁静女人。只是一个没有什么地方的孩子的梦想。
41982,UgxCxsdUeFk0iLliQQp4AaABAg.8roqfh3F7vs8s4_YGQkv3B,0,4 years ago (edited),"viet nam is the same. it's not miracle like that but it has organic food, simple and really peaceful life. i was born in countryside and now work in big city, however i really enjoy wonderful time when back home",越南是一样的。这不是那样的奇迹，但它具有有机食物，简单而又和平的生活。我出生在乡村，现在在大城市工作，但是我真的很喜欢回到家时的美好时光
45659,UgzkJwobXQqr_ZoIpkd4AaABAg,0,4 years ago,more i see more i fall in love with ur show . ..simply love your show .music is so soft n peaceful..and food u cook looks so yummy,我看到更多我爱上了你的表演。 。
3156,UgyPVrUg3pOUfn1hceR4AaABAg,0,1 year ago,so peaceful,很平静
41866,UgwDlfz_6l9rC9aUjHt4AaABAg,0,4 years ago,i wanna live that place. i think everything is there. and a peaceful life.,我想住那个地方。我认为一切都在那里。和和平的生活。
41754,UgwgsnCKe3soC3ZGBvN4AaABAg,0,4 years ago,just loved this video.peaceful and healthy life.,只是喜欢这个视频。
35951,UgzKy2iy8if1Dofa3zZ4AaABAg,0,4 years ago,so sweet of u and so peaceful to watch ur channel. keep it up,你真是太好了，很安静地看着你的频道。继续努力吧
41726,Ugw5L7WR7L14mxgorOx4AaABAg,0,4 years ago,your video í just so calm and peaceful,您的视频是如此镇定和和平
41336,UgzijMLvZxWVecjK9mR4AaABAg,0,4 years ago,"this video makes me feel peaceful, calm and relaxed because of the music and views that are served are extraordinary .. keep up to make more videos like this girl ...",这段视频使我感到和平，镇定和放松，因为音乐和景色是非凡的。。。。。。。。。。。。。。。。。。。。。。
41322,UgzpJDSEXoLD3FuLGLZ4AaABAg,0,4 years ago,"initially i was jealous, how could someone live so peaceful in such natural environment, but considering all the technology and entertainment we have in the city, the feeling gets complicated.",最初，我很嫉妒，一个人如何在如此自然的环境中生活如此和平，但是考虑到我们在城市中拥有的所有技术和娱乐，这种感觉变得复杂。
43218,UgwBxG9e57owSoYR5hZ4AaABAg,0,4 years ago,"i wish i would live so peacefully later. in a few years, i only hope to live peacefully.",我希望我以后会和平地生活。几年后，我只希望和平地生活。
3152,Ugx5Y3ZfZckI3rBgphV4AaABAg,0,1 year ago,peaceful so happy,和平如此快乐
43398,UgwL3DJ7dk08ACKjfNt4AaABAg,0,4 years ago,"like this way of life, feeling peaceful, not busy, happy, fresh, independent, in the midst of abundant nature",就像这种生活方式一样，在丰富的大自然中感到和平，不忙，快乐，新鲜，独立
2943,UgzFsadHW2ljJVzFRiJ4AaABAg,0,1 year ago,it's so peaceful ... i love it,太和平了...我喜欢它
45432,UgyaxPcs1FFVlWsVqX94AaABAg,0,4 years ago,"mjk is very happy to see this one is a peaceful place but warm, anyone sees v k",MJK很高兴看到这个地方是一个宁静的地方，但温暖，任何人都看到V K
45369,UgxlhimWspu85X5_hcR4AaABAg,0,4 years ago,"those are sunflower seeds not melon seeds, right? i truly love the peacefulness to the cinematic video editing and soothing background music! esp when she picked that pomelo with the perfect shaped basket fruit picker lol it was so calming to watch",那些是葵花籽而不是瓜子，对吗？我真的很喜欢电影视频编辑和舒缓背景音乐的和平！特别是当她用完美形状的篮子拾取器大声笑挑选pomelo时，这真是太平静了
2096,Ugzr7IZeDFznfqS2w_N4AaABAg,0,1 year ago,wow i wish i had a peacefull life like that,哇，我希望我过上和平的生活
45163,Ugz4KCebmcYKYOjcTnN4AaABAg,0,4 years ago,i wanna go to dis place. so peaceful.,我想去Dis Place。很平静。
44861,Ugyr-8GcwBZKbD64xoh4AaABAg,0,4 years ago,i love her videos so relaxing and calm and peaceful to watch. love the nature and animals.,我喜欢她的视频，非常放松，镇定和宁静。爱大自然和动物。
44706,Ugw0K0bQJAK27ylxErl4AaABAg,0,4 years ago,"countless puppies, one small sheep, a large yard, a peaceful and healthy hometown life, the winner of life is your",无数只小狗，一只小绵羊，一个大院子，平静健康的乡野生活，人生赢家非你莫属
44545,UgzVHaNP8yyuLtfvzKN4AaABAg,0,4 years ago,delight peaceful cookin,愉快的和平的厨师
44455,UgxLMkCIWRv4tCV5yfN4AaABAg,0,4 years ago,so peaceful:(,很平静：（
44291,UgzH6dHU5lRCQxlKAlN4AaABAg,0,4 years ago (edited),very peaceful place and she works also peace of mind,非常宁静的地方，她也很安心
43890,Ugz-ljo_hBYjhBTb5h14AaABAg,0,4 years ago,"i crave a life like this, so peaceful and surrounded by beauty",我渴望这样的生活，如此宁静，被美丽所包围
43839,UgxSJHaH7YdsBw3cAs94AaABAg,0,4 years ago,really this vedio is very peaceful,真的这个吠陀很和平
43686,UgyYxevpF3Sq-tmTobB4AaABAg,0,4 years ago,hi. your way of life is so inspiring and very relaxing to watch since my day is full of stress from studying and exams. thank you for sharing this. i aspire to live a life this peaceful and wholesome,你好。您的生活方式是如此的鼓舞人心，非常放松，因为我的一天充满了学习和考试的压力。感谢您分享这一点。我渴望过上这种和平和有益健康的生活
43519,UgwpbF56ihkN2LsmBQl4AaABAg,0,4 years ago (edited),"watching these videos sometimes makes me wish we all live like this
and wish we all enjoyed a simple, peaceful and joyful life in the comfort of our small cozy homes (without electricity, internet...even vehicles and especially money) surrounded by the beauty and resources nature has to offer
imagine how much healthier and happier we would all be, physically, spiritually and mentally from the fresh and natural food and the physical activities in that daily life","观看这些视频有时会让我希望我们都这样生活
并希望我们所有人都舒适地享受着简单，和平与快乐的生活
想象一下，从新鲜和天然食物以及日常生活中的身体活动中，我们在身体，精神上和精神上都会变得更健康和快乐"
2484,Ugz6OUVaHZq2vJQrj1t4AaABAg,0,1 year ago,"if there is a test, i can also have a peaceful life like you, that is, ...",如果有测试，我也可以像您一样过上和平的生活，也就是说...
2785,UgySOuTV1uM1dJGPjW94AaABAg,0,1 year ago,this channel shows a slice of peaceful and beautiful life,这个频道显示了一片和平与美丽的生活
35980,UgwoxYHuB7dJlQLDuA14AaABAg,0,4 years ago,i want to live this peacefully,我想和平地生活
8245,UgyrwmmVVXG19-i9YNd4AaABAg,0,2 years ago (edited),"most incredible thing is,everything is pure,fresh,unadulterated, fragnant.life is so peaceful there.
she is really strong and enthusiastic.actually, she is wonder woman 2.0","最令人难以置信的是，一切都是纯净的，新鲜的，纯净的，脆弱的。
她真的很坚强和热情。实际上，她是《神奇女侠》2.0"
35941,Ugyw4DsnAgTFk9wM5g54AaABAg,0,4 years ago,"her life must be very peaceful and quiet. she works hard for herself and her family. it must be tough living there but iโ€d also like to experience that. no noise, no claustrophobic buildings and last but not atleast no gadgets or wifi. although iโ€m not sure if thatโ€s entirely true since theyโ€re using a camera. even just for a day or a week, i hope i can experience a calm and peaceful time with her or just like her.",她的生活必须非常和平与安静。她为自己和家人努力工作。那里一定是艰难的生活，但我也想体验到这一点。没有噪音，没有幽闭恐怖的建筑物，最后但至少没有小工具或wifi。尽管我不确定这是否完全正确，因为它们正在使用相机。即使只是一天或一个星期，我也希望我能与她或像她一样经历平静而和平的时光。
14510,UgxXxhsEMCJnhogu9DR4AaABAg,0,2 years ago,i become peaceful after watching this,观看这次thanks之后，我变得和平
26930,Ugx_E8uzD5dNnbmqYIV4AaABAg,0,3 years ago,when it is peaceful and no cheats,当它和平而没有作弊时
26807,Ugz4wJXZgNDOc3q-oIF4AaABAg,0,3 years ago,so peaceful and delicious โค๐ค—,如此和平和美味❤
14027,UgzBbeif6eTZ_wYv3zR4AaABAg,0,2 years ago,how peaceful and beautiful her village . wowwwww love it,她的村庄多么宁静和美丽。 wowwwww喜欢它
14065,UgzWt1ty2hp2CY4qzF94AaABAg,0,2 years ago,its totally a peaceful life.....loved it.,这完全是和平的生活.....喜欢它。
25903,Ugzg51UwhIoJkS1R1H14AaABAg,0,3 years ago,i want to live just like them ๐ญ๐ญ itโ€s so peaceful,我想像他们一样生活
25776,UgyQxuxwjACUOQzp-Md4AaABAg,0,3 years ago,0:24 so peaceful,0:24如此和平
25544,Ugz9AeJWAMiEPeQ_09l4AaABAg,0,3 years ago,"peaceful and carefree, but not like me now",和平与无忧无虑，但现在不像我
14702,UgyD5hnEL0sMcF-8xst4AaABAg,0,2 years ago,the most peaceful channel in youtube,YouTube中最和平的频道
13933,UgxTDf9EAM-0bPzavM54AaABAg,0,2 years ago,even her sheeps look peacefull,甚至她的绵羊看起来很平静
25316,UgxZYu6YlaUNU57i5sd4AaABAg,0,3 years ago,"geez, it's really peaceful, i want to live, i want any fruit to stay, any metik is available ...",geez，真的很和平，我想活着，我希望有任何水果留下来，任何Metik都可以使用...
25178,UgwPQwu_b5AdFc6k9D54AaABAg,0,3 years ago,such peaceful village,如此宁静的村庄
25079,Ugwj6Seym7usuaYYM2F4AaABAg,0,3 years ago,"you are very sweet !!! you are super !!! i rest when i look at you! you are calm and peacefulness at once! you are prosperity! thank you, i only put thoughts with you in order !!!",你很可爱！你是超级！我看着你时我休息！你一次镇定和宁静！
25005,Ugyo7gue4RMuw7A26Qp4AaABAg,0,3 years ago,this video!! music. cinematography and overall just put me in a peaceful state and safe aura after having a veu stressful dangerous day in the big city.. thank you,这个视频！！音乐。摄影和总体上只是让我处于宁静的状态和安全的光环之后，在大城市度过了压力很大的危险的一天。谢谢
24898,UgwHxEQZJ1TMbrrekPZ4AaABAg.905qohjHkaM920ysupw5zP,0,3 years ago,"i love her way of life,its so pure and so peaceful,and the granma is blessed to have her,she gets to eat all that great food!!",我爱她的生活方式，如此纯洁，如此宁静，而Granma很幸运地拥有她，她可以吃所有的美味佳肴！
24842,UgyiDDa6tlz69ZPD3u94AaABAg.90BWA-ivq-791DJbV5_7BQ,0,3 years ago,it seems very peaceful โค,似乎很和平❤
24757,UgzNcm-UFwL8QHi47_V4AaABAg,0,3 years ago,peacefull place..i like this,和平的地方..我这样
26932,UgzC0n6xlm-yt64_NG14AaABAg,0,3 years ago,she was blessed with how peaceful life supposed to be..๐ฅฐ,她为自己的和平的生活应该是多么的祝福。
13791,UgwFwoysQEftftzrdtZ4AaABAg,0,2 years ago,"i know this feeling disappear at the end of this video, but i really really want to go back in time to the days where people were living this kind of peaceful live .",我知道这种视频结束时这种感觉消失了，但是我真的很想回到人们过上这种和平的生活的日子。
119,Ugxl3Sx4gfcMmk_pQIh4AaABAg,0,3 weeks ago,"although it is different from the real rural life, everything is so quiet and peaceful. most of the chinese people who are in farming civilization have come from ancient times to the present. in front of the world!",虽然和真实的乡村生活有区别，但一切是那么地宁静与祥和，身处农耕文明的大部分中国人民从古至今都是这样过来的啊，真的很佩服她能把这样美好的画面呈现在世人面前！
28515,Ugw2xOB1_W7Ha45IetF4AaABAg,0,3 years ago,i looove all of her videos. they are so peaceful ๐’•,我借鉴了她所有的视频。他们是如此和平
29049,UgxO8t8XT3V1-0p0pzl4AaABAg,0,3 years ago,"life like that, so peaceful and poetic: (((((((",这样的生活，如此和平与诗意：（（（（（（（（（（（（（
28920,Ugw0Ci90mJN0BKtDasF4AaABAg,0,3 years ago,i love the way she cooks and the peaceful place where she lives.,我喜欢她做饭的方式和她居住的宁静地方。
28879,UgyteHlUgmi5RpAidqt4AaABAg,0,3 years ago,calm and peaceful.... i just love what she does,冷静与和平....我只是爱她所做的
28796,UgzfgHHCqOGqLY79pvB4AaABAg,0,3 years ago,likes to live like that. peaceful comfort.,喜欢这样生活。和平安慰。
28768,UgzlZdEOP-vMgqbW7dp4AaABAg,0,3 years ago,life is peaceful,生活是和平的
13037,UgxEmvOdQ-Xk928miWJ4AaABAg,0,2 years ago,it is so peaceful to see her,见到她真是太平静了
13282,UgwfGs812EPtsJsG5O54AaABAg,0,2 years ago,i am sick and i watched your video...it was so calm and peaceful,我病了，看过你的视频...太镇定和宁静了
13284,UgyaznhFZKZxhVzJGHF4AaABAg,0,2 years ago,peaceful,平静的
27348,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB948sphBxrit,0,3 years ago,"i hope that she will pass away peacefully...
ยฐโ“ยฐ","我希望她能和平地去世...
°✓°"
28417,UgykIkDPNXLlLROk0q94AaABAg,0,3 years ago,"she never gives the puppies any attention -- that's the only thing i'd change. what a peaceful, beautiful location!",她从不给小狗提供任何关注 - 这是我唯一改变的事情。多么宁静，美丽的地方！
28335,UgzKeZkqfxR4YrOMjGl4AaABAg,0,3 years ago,peaceful life,和平的生活
28080,UgxhahqYdYfFhQujmmJ4AaABAg,0,3 years ago,don't you get tired doing all these things alone..thanking you very much for making our mind peaceful..,您不是一个人做所有这些事情。
27854,UgxkaE6iq4MTNV_WKzl4AaABAg,0,3 years ago,peacefull,和平
13369,UgwqljrhGSDjtWXjuTR4AaABAg,0,2 years ago,i like ur lifestyle it's a very peaceful life,我喜欢你的生活方式，这是一种非常和平的生活
27778,Ugyg7NDuX-eI551an2p4AaABAg,0,3 years ago,really very peaceful ๐๐,真的很和平
13610,Ugw8C4NH-MDxFIy8kHR4AaABAg,0,2 years ago,perfect life....peaceful,完美的生活....和平
24739,UgzoZuIlKEcgbp9p_0R4AaABAg,0,3 years ago,"i feel at peace with myself while watching ur all vg videos , feeling just awesome ,,great cool environment, so much peaceful weather, i just speechless , i love mountain area,",我在观看所有VG视频时与自己保持和平，感觉很棒，凉爽的环境，如此宁静的天气，我只是无语，我爱山区，
24655,UgzBfL2XVeK7AXs-cMx4AaABAg,0,3 years ago,really wishing such a house and garden. thanh dam is peaceful. love you so much,真的希望这样的房子和花园。 thanh大坝是和平的。那么爱你
24613,UgxNA20EPqCaX-P0U4V4AaABAg,0,3 years ago,"theres always something soothing about these videos. the sounds, the colors, and if we had smell television the smells. ๐ the music. i even enjoy the sound the wood makes when they chop it and the fire sizzling. and when they scoop stuff out of a container. its all so relaxing, peaceful and beautiful. lol i love it. i wish i was there. ๐",这些视频总会有些舒缓。声音，颜色，如果我们闻到电视的气味。
20750,Ugy9AWA74RK20ofP9bd4AaABAg,0,3 years ago,like life like this. peaceful . happy .,像这样的生活。平静的 。快乐的 。
18097,UgzucH9iCTK7Y3vxjBZ4AaABAg,0,3 years ago,what a peaceful life ...,多么宁静的生活...
18335,UgwkxzU9ENyJwYO1oth4AaABAg,0,3 years ago,the river is really peaceful!,这条河真的和平！
18430,UgwDjguKUTDLvJRvGEp4AaABAg,0,3 years ago,"so very peaceful and relaxing, ( she is cute",如此和平和放松，（她很可爱
20951,UgzifV3i5_ovGXuOoVh4AaABAg,0,3 years ago,i wish life was like this. peaceful calm but full of adventures in the country.,我希望生活就是这样。和平平静，但充满了冒险。
20892,Ugx9auuiL0YQpEVo_XV4AaABAg,0,3 years ago,ohhh... that is such a peaceful and happy life....our lives is but a product of this system of stressed and nothing more. she's living the dream.,哦...那是一种如此和平与幸福的生活。...我们的生活不过是这种压力系统的产物，仅此而已。她正在实现梦想。
20851,UgzX5KMiJYmI0If2DP54AaABAg,0,3 years ago,what a beautiful and peaceful life!!,多么美好而宁静的生活！
20830,Ugx5MogH9bvAQStdsyx4AaABAg,0,3 years ago,she makes hard work look peaceful,她让辛勤的工作看起来和平
20741,UgzdPeNIDSGDcG_lm4t4AaABAg,0,3 years ago,"this takes me to the old age, without technology the peaceful life, i wish that i should have been her cousin",这将我带到了老年，没有技术的和平​​生活，我希望我应该是她的堂兄
24518,UgxDS3lDa0dqApDQmAp4AaABAg,0,3 years ago,it's peaceful and happy ...,和平与快乐...
20372,Ugx4cKpwMCQ6J0BYmX94AaABAg,0,3 years ago,"shady, peaceful",阴暗，和平
