,cid,votes,含princess,含princess中文翻译
26194,UgwzdQr9XSbrxvGNSQF4AaABAg,249,"today is august 21, 2019 exactly two years since this channel was established. congratulations liziqi, our dear princess. happy 2nd year anniversary, we wish you more years of success and happines",今天是自该频道建立以来的2019年8月21日。恭喜我们亲爱的公主利兹奇。二周年快乐，祝您成功多年，快乐
18500,UgzON2nGi_4g8o1ZWCR4AaABAg,67,she is a princess to me. sweet and lovable girl,她是我的公主。甜美可爱的女孩
27148,UgyRv5uEXzE0WSsa04x4AaABAg,66,"as far as the video is concerned: we live in the earth, princess lives in fairy tales, and you live in poetry. of course, reality is not so beautiful, but you let us experience it in the video, which is enough for our audience! thank you, come on.",就视频而言：我们活在尘世，公主活在童话，而你 生活在诗里。当然，现实没那么美好，但你让我们在视频中 体验了一下，对我们观众而言 足够了！谢谢，加油。
32757,UgyYDVEOAlXNCukIO0R4AaABAg,40,"she is the real princess she lives in beautiful paradise she love her grandma &people around her,she loves working,harvesting,cooking and everything there and one they she will find the future prince they will life happy in peace forevr",她是她生活在美丽的天堂中的真正公主
33520,UgzGXtm4OPuQrqpm-2J4AaABAg,21,"li ziqi , the princess of nature, the quintessence of perfection ...",Li Ziqi，自然公主，完美的精髓...
13877,Ugxt_c-8eAnaUHV9m7R4AaABAg,13,i was expecting her to find princess kaguya inside of one of the shoots,我希望她在其中一张拍摄的内部找到Kaguya公主
24235,UgyEMapBjyQbgUkMzf94AaABAg,12,she is the most beautiful princess in the world,她是世界上最美丽的公主
31349,Ugx_oPEqNBthe4cdrYN4AaABAg,11,like princess mononoke (*'▽ ｀*) i also want to live in nature ☆ it's a very enviable life!,就像蒙诺克公主（*'▽｀*）一样，我也想生活在自然中☆这是一种非常令人羡慕的生活！
17269,UgxjcBcVFeiVhmYxbvh4AaABAg,9,she looks like princess kaguya in bamboo forrest ( the tale of the bamboo cutter),她看起来像竹福雷斯特公主（竹刀的故事）中的kaguya公主
28590,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9-NeaBJpk-V,7,"@yreinyvana6214 pork adobong, my favorite.

this franz peters is so stupid in not knowing that our pretty princess also does a lot of work tending to her plants and animals on their farm, and taking care of grandma, besides making beautiful videos for the whole world to see.

hey, franz peters, spare us your negativity.

get out of here. we don't need you here. layas. do you know the word tagalog, franz peters? do you know what is ""tanga"" in english? that is you, franz peters. apologies!","@yreinyvana6214猪肉Adobong，我的最爱。

这个弗朗兹·彼得斯（Franz Peters）是如此愚蠢，因为不知道我们漂亮的公主在农场上也为她的动植物做了很多工作，还照顾奶奶，除了制作美丽的视频以供全世界观看。

嘿，弗朗兹·彼得斯（Franz Peters），让我们的消极情绪避免了我们。

离开这里。我们在这里不需要你。 Layas。你知道塔洛格一词，弗朗兹·彼得斯吗？你知道英语中的“ tanga”是什么？就是你，弗朗兹·彼得斯。抱歉！"
34848,UgymR0A_ExFPWQb7e0t4AaABAg,4,you're just like a beautiful princess in a fairytale.,你就像一个童话中美丽的公主。
28217,UgzvUXzlx4Hpc_AfBAB4AaABAg.8yZtNJOZ_7p8yhM8M9i6UG,3,"those who believe in disney princesses gonna tell you that she's doing all by herself and a borther and an assistant; but the truth is, this is the tourism department of the gvt of china producing high quality vlogs to promote its culture. its monitized with a huge production team behind it.",那些相信迪士尼公主的人会告诉你，她自己是自己做的，一个鲍瑟和助手。但事实是，这是中国GVT的旅游局，生产高质量的视频博客来促进其文化。它在其背后的一支庞大的生产团队中进行了监视。
15061,UgwNrxl5JSRLarV26xZ4AaABAg,2,wth a real life disney princess!!!,迪斯尼公主是现实生活中的！！！
25690,UgxxWSJiwNrv5wPbMnl4AaABAg,2,"hello, li ziqi, how do you do in china? i hope so! i am your fan, you are a master of beauty and talent, a master of princess and art life. congratulations to you have learned a lot of inspiring videos from us, i really want to see your motherland",你好，李子琪，你在中国做得怎么样？我希望如此！我是你的粉丝你是美丽聪明才华，公主和艺术生活的大师。恭喜你从我们那里学到很多鼓舞人心的视频，我很想看到你们的祖国
33183,Ugy_3Oowg5BYlD25jKJ4AaABAg,2,"she is cute like a princess !!!
but he is tough like a prince !!!","她像公主一样可爱！！！
但是他像王子一样坚强！！！"
18533,UgzON2nGi_4g8o1ZWCR4AaABAg.92TYKsVGEam92aFtQvgPhV,1,tay g i think you meant to say queen. because clearly princess status isn’t near her level.,我想你打算说女王。因为显然，公主身份并不接近她的水平。
15801,UgwVbH7BGM04WC977px4AaABAg,1,harvest moon in real life but with a princess main character,现实生活中的收获月亮，但有一个公主主角
24112,Ugxt-RZOfZ5UdauB_oh4AaABAg,1,"pretty princess, those dishes surely do look good to eat.

wish you'd list down the ingredients and the steps to make those tasty dishes. thanks, pretty princess.","漂亮的公主，这些菜肯定看起来很不错。

希望您列出制作这些美味菜肴的成分和步骤。谢谢，漂亮的公主。"
25613,UgxcyMsCj0QK7hb7gQN4AaABAg,1,"liziqi -

you must have countless men asking to marry you? 

you preserve a way of life that fades rapidly like a winter sunset but a way of life which must be preserved, honored, and taught to each new generation to ensure the survival of the ways of you and your people.

you are a princess in my eyes - we are a world away, but i honor you. you are a gem among your family and name, and among your people you should be considered a teacher and guru.

raymond d. d.","liziqi-

你一定有无数的男人要求嫁给你？

您保留一种生活方式，它像冬季的日落一样迅速淡化，但必须保留，尊重和教导每一代的生活方式，以确保您和您的人的方式生存。

在我眼中，你是公主 - 我们是一个世界，但我向您致敬。您是家人和名字中的宝石，在您的人民中，您应该被视为老师和上师。

雷蒙德D. D."
14777,Ugw2QfIAFCsBFVXENsZ4AaABAg,1,"i can tell by her hands.she is a hard working princess!!!!wowwwwww
make me chill♡","我可以用她的手告诉她。她是一个努力工作的公主！
让我放松♡"
20108,UgzsbqpR7z4sHjg0CyN4AaABAg,1,happy 7m subs princess liziqi,幸福的7m subs liziqi公主
14465,UgwC1BG8OG690PtX4iB4AaABAg.94C3z5UoImQ94kG72NxAxo,1,if anyone has seen princess kaguya it reminds me of that :) the bamboo and all,如果有人看过Kaguya公主，那就让我想起了:)竹子和所有人
9339,Ugym3XE_2NHGA2IJWw94AaABAg,1,"i started wondering... perhaps she was born from a bamboo, maybe the princess kaguya is real. (i know the tale of the princess kaguya is japanese, it's just that this girl is like a princess)",我开始想知道...也许她是从竹子出生的，也许是Kaguya公主是真实的。 （我知道Kaguya公主的故事是日语，只是这个女孩就像公主）
10938,Ugy8fXneOtWHv7gEGGR4AaABAg,1,i swear princess kaguya is out there somewhere,我发誓kaguya公主在某个地方
32662,UgzOlEDNG7x4nitvzb14AaABAg,1,"aside from the skill and beauty that ziqi possess, i really admire her hardwork and the love she has for her grandma. we all say that she's like a princess because of her beauty and the way she connects with nature and her hardworking attitude but really, what makes her the most princess like is the love that she has for her family. and with that, she must be protected at all cost ♡",除了Ziqi拥有的技巧和美丽之外，我还非常佩服她的辛勤工作和对祖母的爱。我们都说她就像一位公主，因为她的美丽以及她与自然和勤奋的态度的联系方式，但实际上，让她最主要的公主是她对家人的爱。因此，她必须不惜一切代价保护她
29866,UgwfwvB96GBNaz2nVm54AaABAg.8yW3Zlv0-OQ8yY1h_IT_Kx,1,dragon'sprincess haha when you cook snails that way they taste fantastic,龙的plincess haha​​当你以这种方式煮蜗牛时，他们的味道很棒
28227,UgzNT09Cg0TbKjcKiW14AaABAg,0,"princess with what ease you prepare, everything seems to have been your whole life, it just amazes me all this.",公主以您的准备轻松，一切似乎都是您的一生，这让我感到惊讶。
34356,Ugxlx1YrGSG0tJMrlmB4AaABAg,0,our princess,我们的公主
26491,UgwZhpyQMp-WZhU04DZ4AaABAg,0,i love liziqi princess of china from the philippine,我爱菲律宾的中国利兹奇公主
33593,UgzNXIY0g2V_TqJK_xR4AaABAg,0,then suddenly she finds princess kaguya,然后突然她找到了Kaguya公主
33552,UgytYJ7mD3AYCKKn-_p4AaABAg,0,princess your cooking is so yummy,公主你的烹饪好吃
27756,UgxXSa9OJ23Z3drQkZp4AaABAg,0,love you my princess❤❤❤,爱你我的公主❤❤❤
33351,UgwMINTc5lQD-1POy414AaABAg,0,women who are men in the whole world dream like a princess.,全世界男人的女人像公主一样梦dream以求。
28052,UgxYhVfQm-NrkwDkz0Z4AaABAg,0,she is in a fairy tail like a disney princess....sooo beautiful nature itz just give me peace....,她像迪斯尼公主一样躺在童话般的尾巴上。
33186,UgwnFqq2hdoaFnxVXcB4AaABAg,0,she is literally a living disney princess,她实际上是一个活着的迪士尼公主
29852,UgwX4x7c8nTLNcyCmiN4AaABAg,0,this girl is really a princess,这个女孩真的是公主
33103,UgwAnp_Eiz00Irzd9J54AaABAg,0,chinese fairy tale. princess in the palace.,中国童话。宫殿中的公主。
28245,Ugzmyb7J-jHverIhl5F4AaABAg,0,"she is a princess from wonderland. everything she did is amazing. i am desiring to make a cooking channel but honestly, every single thing is so hard for me. should i give up?:(",她是仙境的公主。她所做的一切都很棒。我希望制作一个烹饪渠道，但说实话，每件事对我来说都是如此困难。我应该放弃吗？：（
28297,UgwEW0W-GW4XtD_TXcp4AaABAg,0,eh thin bad ... look at her noodle play! kkkk ... i love it! kkk ... my princess of china! xz,嗯，很糟糕...看看她的面条游戏！ KKKK ...我喜欢它！ KKK ...我的中国公主！ xz
32611,UgwhjwX4soOlpbY0nbJ4AaABAg,0,liziqi truly is a chinese princess ❤,利兹奇确实是中国公主❤
32013,UgzineK6ELmgK55Oinp4AaABAg,0,half expected her to find a baby princess in the bamboo,一半希望她在竹子里找到一位婴儿公主
29122,UgxqfVhubcVcTcRg3tJ4AaABAg,0,im so jealous in her she is pretty lovelg hardworking kind . she is more better than a princess,我对她很嫉妒，她非常勤奋。她比公主好
29930,UgwTm3NbFyo-sZ6rGK94AaABAg,0,you are a creative princess,你是一个创造性的公主
29126,UgwYhsaeeN9rqh8NEZh4AaABAg,0,i always watch your vidio with interest .. continue ... i really like you princess around such fabulous beauty ...,我总是很感兴趣地看你的vidio ..继续...我真的很喜欢你的公主如此神话般的美丽...
261,UgxhL-vRw1M0zAHQeA54AaABAg,0,paradise princess ❤,天堂公主❤
23509,Ugy8mir7kuHB4T7EUvd4AaABAg,0,garden of princess.....,公主花园.....
25202,UgyYIUMm7wDCVbDcCwN4AaABAg,0,"awwwww so peaceful there, to live there until the end would be awesome, away from all the dramas. even the food is lovely. as for the hard working young lady she's beautiful, princess of the garden. thanks for sharing your paradise with us.",在那里如此宁静，到那里住在那里，直到最后会很棒，远离所有戏剧。甚至食物也很可爱。至于勤奋的小姐，她很漂亮，是花园的公主。感谢您与我们分享您的天堂。
11438,Ugy3-AJ1fDv-lm6RnLh4AaABAg,0,she's my princess ideal.,她是我的公主理想。
2213,Ugxq_eH1OQ5kmlMyfCt4AaABAg,0,princess taiping,太平公主
2300,UgwkokJL_XnIeLrP-Wd4AaABAg.9UdU840_FyM9Udzjb3orsR,0,"you're like the equivalent of explaining to people why disney princesses and happy endings aren't real. like, dude, everyone knows. but life in the countryside can also be very relaxing for some people. i've lived in the countryside and my people do as much work as liziqi shows in her videos. sure life in the countryside isn't as pretty as she makes it look, but it's achievable and a dream for some people. some of yall are so bitter and for what.",您就像向人们解释为什么迪士尼公主和幸福的结局不是真实的。就像，伙计，每个人都知道。但是，对于某些人来说，乡村生活也很放松。我住在乡村，我的人民做的工作与Liziqi在她的视频中所显示的一样多。当然，乡村的生活并不像她看起来那样漂亮，但是对于某些人来说，这是可以实现的和梦想。你们的一些人是如此的痛苦，并且是什么。
2390,Ugym5jWFHMW5FrIhsPF4AaABAg,0,she is the real life disney princess,她是现实生活中的迪士尼公主
4295,UgzNoMOAznzqSZYcJyV4AaABAg,0,well you have to be realistic you are the princess and i am not going to become a prince but you are a princess and very noble,好吧，你必须要现实，你是公主，我不会成为王子，但你是公主，很高
5211,Ugz8aBLB1hTfTw6AjI14AaABAg,0,hello my love good morning little beautiful my oriental princess you are very hardworking and you deserve the best,你好，我的爱早安小美丽我的东方公主你很努力，你应该得到最好的
5276,UgyRTZeBA43_yE-7lpB4AaABAg,0,"this video reminds me that anime that spoke of a phantom ""princess of bamboo sprout"" very nice, alternative and colorful with only watercolors the plot reminded a little the novel cime stormy โค๏ธ",这段视频提醒我，动漫谈到了一个幻影“竹子公主”，非常好，替代品，只有水彩画，情节使小说cime cime cime cime storky❤️
5343,UgxUvd1_957Lo_YxaGB4AaABAg,0,a real princess,真正的公主
6564,UgxPqeuNGblBU8YdTQ94AaABAg,0,"oh my, you up to 12.7 million subscribers? well deserved. the wife that i never get. the disney princess that disney will never get.",哦，我，您最多可达1270万订户？应得的。我永远不会得到的妻子。迪士尼永远不会得到的迪士尼公主。
8374,Ugyzq448DSK1y8Y0edd4AaABAg,0,"how many wonderful things are you doing with your hands, you are a mystical princess that everything transforms it seems magic, the princesses eat pink petals my heart my precious one that you are very happy",你用手做了多少奇妙的事情，你是一位神秘的公主，一切都变化了，它看起来魔术了，公主吃了粉红色的花瓣，我的心我的心，你很高兴
8610,UgwDiA9iaqtDgX-DTyh4AaABAg,0,all i can remember while watching this is the tale of princess kaguyaki. ..,我所记得的只是喀格亚崎公主的故事。 ..
9413,Ugy__rBDj6gJwiTJ6Fl4AaABAg,0,i hav fallen in lov wid u yaa princess plzz do rply to it....lov u so mch ya..xcpt ma proposal plz,我陷入了lov wid u yaa prins plzz plzz to to to to to。
11361,UgzBqqbkRcMz4XqyAQp4AaABAg,0,the viking spartan warrior princess,维京斯巴达战士公主
11989,UgyzGYkt9TBWNJGnI2x4AaABAg,0,princess kaguyo,Kaguyo公主
24395,UgwOicg0YZfugoXiQOx4AaABAg,0,i want to marry you princess,我想嫁给你公主
12409,Ugx9zOpmH9txlWqFhLR4AaABAg,0,princess kaguya has entered the chat...,Kaguya公主进入了聊天...
12670,Ugwt4Kba54qMvNGFH6N4AaABAg,0,"it's magical to watch you, at times of so many speculation, boundless hatred and accusations, your video is like a filter for my soul.
thank you princess.","在如此众多的猜测，无限的仇恨和指控时，您的视频就像我的灵魂的过滤器一样，这是神奇的。
谢谢公主。"
12813,Ugz2FvZrf5r9raH7fUN4AaABAg,0,a true princess.... how i wish one day she will notice me,真正的公主....我希望有一天她会注意到我
14817,UgyiFc5SAiu8PV3IO0h4AaABAg,0,i am from peru but my father was from china. he cooked very delicious. you remember me my dad. thanks princess liziqi.,我来自秘鲁，但我父亲来自中国。他煮得很美味。你记得我爸爸。感谢Liziqi公主。
15445,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss9GXfN5fDl3j,0,we need a disney princess made from her. she would make such an admirable princess for all esp young girls.,我们需要一个由她制成的迪士尼公主。她会为所有ESP年轻女孩做这么令人钦佩的公主。
15448,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss9I8c5O2dPnv,0,"@justbb1415 , she is a disney princess.",@justbb1415，她是迪士尼公主。
15881,Ugx8udKwceQ57AShCQp4AaABAg,0,and they say that princess is fictional,他们说公主是虚构的
17322,UgxpeaPCZd5cJL94CbJ4AaABAg,0,modern day princess,现代公主
20817,UgwJiWhXYYGYOQgP9DN4AaABAg,0,@0:45 i really thought she was going to find princess kaguya at some point lol,@0：45我真的以为她会在某个时候找到Kaguya公主
21613,UgxUN38IW5zLVEt24014AaABAg,0,she reminds me of princess kaguya from the fairytale,她让我想起了童话中的Kaguya公主
507,Ugyo0Bp-UNJatY3t3Ft4AaABAg,0,you're a princess.,你是公主。
24135,Ugzb3uBYmxLogawI5eZ4AaABAg,0,princess,公主
34925,UgwFBgXwZMFTy9q6rzh4AaABAg,0,"earlier i used to wonder how princess look like , now i don't",早些时候我想知道公主的外观，现在我没有
