,cid,votes,含respect,含respect中文翻译
21985,Ugx1S3F_HcEVF0Xfeox4AaABAg,159,she can't die of hunger even without money. i respect her intelligence,即使没有钱，她也不能死于饥饿。我尊重她的才智
22322,UgzalH_OucQr_GSfdLx4AaABAg,87,"grandma should get some respect..

somebody had to teach this girl all this stuff.","奶奶应该得到一些尊重。

有人必须教这个女孩所有这些东西。"
17083,UgwoGmYYcukjLHjpxMp4AaABAg,35,"i about 5 years of using youtube, this the first and the only youtube channel that i subscribed just after watching a single video. you are amazing and everything about you is so so beautiful.
love and respect from india","我使用YouTube大约5年了，这是我观看单个视频后唯一订阅的第一个也是YouTube频道。您真是太神奇了，关于您的一切都如此美丽。
印度的爱与尊重"
19953,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq91xZDt3yshg,19,"@sweetanzu2231 all due respect, even if its for money you can't deny that it's good content. i don't see why can't it be for money. she's not currently working in the cities and so she posted some meaningful content online to get some income. and it's not easy to get those content filmed so clearly. people who dislikes just find excuses to dislike it.",@sweetanzu2231所有应得的尊重，即使它是为了钱，也不能否认它是很好的内容。我不明白为什么不能赚钱。她目前没有在城市工作，因此她在网上发布了一些有意义的内容以获取一些收入。而且，让这些内容如此清晰地拍摄并不容易。不喜欢的人只是找到不喜欢它的借口。
12515,Ugz80ivmyIbHXgQYwCV4AaABAg.96a7oIarqd-96iU_b_HpaQ,16,"pete g eating bats is part of some people’s culture and even if you feel disgusted by that, you shouldn’t be disrespectful about it.",Pete G吃蝙蝠是某些人文化的一部分，即使您对此感到厌恶，也不应该对此不尊重。
15385,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss94AR4UvRPDa,14,"strait arrow lmao, are you even serious after you made a comment like this, no respect for fools, done",海峡箭lmao，在这样的评论之后，您甚至是认真的，对傻瓜没有尊重，
10364,UgzOhAf0sg2LzijmoAR4AaABAg.98ojNybWPIt98rG-rLjeNS,13,"she's a very busy woman. she's always out doing things, so she barely snacks. she's more focused on feeding her family, and prefers to eat with them. 
in asian cultures, it's more known to savour food with family, because of how hard they work together to grow and create amazing dishes. 
you don't really think about food when you go buy it from the store. however, when i was in asia, you can see all the hard work people put in to make a filling meal. eating a whole pot of anything would be very disrespectful and a waste of food. 
eat until your full please, don't over eat, and please, please don't waste food when others can have it.","她是一个非常忙碌的女人。她总是在做事，所以几乎没有零食。她更专注于为家人喂养，并且更喜欢和他们一起吃饭。
在亚洲文化中，众所周知，与家人一起品尝食物，因为他们如何共同努力生长和创造令人惊叹的菜肴。
从商店购买食物时，您并没有真正考虑食物。但是，当我在亚洲时，您可以看到人们为填充餐的所有辛勤工作。吃一整锅任何东西都是非常不尊重的，并且浪费食物。
吃饭，直到您吃饱，不要吃饭，请，请不要在别人拥有的时候浪费食物。"
18603,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92_IhXI_D3-,13,pedro c yes it is a lie. mao is totally a great leader in many sense from chinese perspective. he built a new regime where china enjoys real freedom post hundreds years of being slaves by foreigners. he had ego and made big mistakes but his contribution outweighs his mistakes. hence people in china still respect and thank him for what he did. western media demonizes him i believe is because he represents communism while ignoring what he did to china and chinese people. it's a totally subjective and political view. i hate they teach that in classroom to brainwash my kids.,Pedro C是的，这是一个谎言。从中国的角度来看，毛面完全是一位伟大的领导者。他建立了一个新的政权，中国在数百年之后成为外国人的奴隶。他有自我，犯了很大的错误，但他的贡献大于他的错误。因此，在中国的人们仍然尊重，并感谢他的所作所为。我认为西方媒体妖魔化了他，因为他代表共产主义，而无视他对中国和中国人民的所作所为。这是一种完全主观和政治观点。我讨厌他们在教室里教我的孩子。
21240,Ugz1v1OrVPtjEbP4xcl4AaABAg,11,"this channel is similar to the advertising of this girl, how much she knows and knows how. respect to her, all the same, not everyone can)",这个频道类似于这个女孩的广告，她知道和知道了多少。尊重她，都是一样的，并非每个人都可以
19956,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq920fK0OaLWV,11,"@metalwaves4154 thank you both. if what ms. li's observers posted on some chinese sites are true, she is making around chinese yuan 200 million a year, from videos and online store combined. yt further gives her at least an estimated 1.5 million us dollars a year due to tens of millions of viewer clicks. she disclosed she sometimes worked till 3 a. m. to edit filmed images. at a number of times, she fell ill and was hospitalized due to over-diligence. i respect her since i grew up in south china and i can do 99 % of what she did on camera (due to my deprived childhood). i read and found some dislikes came from opposing camps and competitors. like she does, my daughters and i donate funds to support underprivileged children.",@MetalWaves4154谢谢你们。如果李女士的观察者在某些中文网站上发布的内容是真实的，那么她每年从中国人民币围绕2亿人元来制作视频和在线商店。 YT进一步给她，估计每年至少有150万美元，这是由于数千万的观众点击。她透露她有时工作直到3 a。 m。编辑拍摄的图像。多次，她病了，由于过度填补而住院。我尊重她，因为我在中国南部长大，我可以做她在相机上所做的99％（由于我的童年时代）。我阅读并发现一些不喜欢的来自对立的营地和竞争对手。像她一样，我和我的女儿捐赠了资金来支持贫困儿童。
30900,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ8ytWCxtiBol,10,"bramha's astra well... that is what cooking is... its definitely not ""food eating"" or ""food storing""... putting together dishes doesnt need to be original or super creative. i really dislike how americans are looked down on on everything. im not saying american cuisine is anything impressive, weve been around for a handful of generations tbh and were all just bunch of cultural foods mixed together, but dont disrespect american chefs or food lovers that genuinely enjoy their creations...",布拉姆（Bramha）的阿斯特拉（Astra）很好...那就是烹饪...绝对不是“食物吃”或“食物存储” ...将菜肴放在一起不需要原始或超级创意。我真的不喜欢美国人如何看待一切。我并不是说美国美食令人印象深刻，我们已经待了几代人，只有一堆文化食品混合在一起，但不要不尊重美国厨师或食物爱好者，这些爱好者真正喜欢他们的创造...
15717,UgwKmvCYgvIwZBiZ-_Z4AaABAg.936K9pwta5L93CkO2tINOa,9,@xizhiwu8821 her grandmother reminds me of my grandmother who passed away 8 years ago. so i have nothing but respect for her and her grandmother and they seem so happy.,@xizhiwu8821她的祖母让我想起了8年前去世的祖母。所以我只尊重她和她的祖母，他们看起来很高兴。
31692,Ugzwq0QZyJaOcraGqYh4AaABAg,9,this meal looks absolutely delicious and healthy. thanks for sharing. this video shows great respect for the wonderful foods on earth and how we can present them.,这顿饭看起来绝对美味又健康。感谢分享。该视频非常尊重地球上美妙的食物以及我们如何展示它们。
26605,UgxJBSbdkQqsSwlR7s14AaABAg,8,you are an amazing person and having all the technical and technique of a professional chef. much respect!!!,您是一个了不起的人，拥有专业厨师的所有技术和技术。非常尊重！！！
6914,UgzhLfv10DLOfN-W8Xl4AaABAg.9DrBV-z1UcC9Dwcee9cLPp,7,@milkknife my statement holds true irrespective of whether marvel is good or not...๐คทโ€โ๏ธ me a thanos fan btwโ๏ธ,@milkknife我的陈述是真正的说法
29521,Ugw7pdGvQF_fd0s96zJ4AaABAg.8yWiBLps9B58yaiwQwQTzH,7,"@user-ke5rz1cw5d first of all, don't think he's chinese. second of all, what you said is extremely disrespectful.",@user-ke5rz1cw5d首先，不要以为他是中国人。其次，您所说的非常不尊重。
11398,Ugx-5d2aAZv1U6QtBMx4AaABAg.97aDyK3ahgD97q01CqoB8C,7,logicone pity you think so... do some research about her before you comment. give some respects to people who work hard.,可惜您是这样认为的...在评论之前对她进行一些研究。对努力工作的人表示敬意。
12150,Ugws0uW8NvIsxTdzjj54AaABAg,7,"it doesn't need to be a professional photographer
it doesn't need to be a professional chef
it doesn't need to be a professional agriculturist for you to come up with this beautiful thing around you. the world is so beautiful when you learn how to appreciate little simple things that surrounds you. and that's this beautiful woman literally did despite of her generation. so much respect","它不需要成为专业摄影师
它不需要成为专业厨师
您不需要成为专业的农业学家就能想出您周围的这一美丽的事情。当您学会如何欣赏周围的小简单事物时，世界就是如此美丽。尽管这一代人来说，这是这个美丽的女人的字面意思。如此尊重"
19954,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq92-qn-394XN,6,@ashoretoo im sorry i think what she is doing is awesome i do have questions of how she makes money because growing up with a garden there is alot of time involved and cooking like she is and rounding up her ingredients and let's not forget how much time filming and making a video takes so i have much respect for her and i would not be suprised if shes working 15+hrs a day plus taken care of granny much respect to her i dont understand stand why anyone would dislike this content unless its a hate monger,@Ashoretoo我对不起，我想她在做什么很棒，我确实有疑问她如何赚钱，因为在花园里长大的时间涉及很多时间，像她一样烹饪并弄清楚自己的食材，让我们不要忘记多少时间拍摄和制作视频需要花费很大的尊重，如果她每天工作15+hrs加上奶奶的照顾，我不明白，我不会感到惊讶，除非有人会不喜欢这个内容贩子
34019,UgzhqLlw1RPT7apnOpB4AaABAg.8yUW_GiXa3r8yUkSz38PcU,6,"george costarica if you dont like, go watch somthing else instead of hate and waste people's time. if you're such a rich bitch you don't deserve to talk nasty about her because she works harder than most people, and she deserves respect for that.",乔治·科斯塔里卡（George Costarica）如果您不喜欢，请去看其他东西，而不是仇恨和浪费人们的时间。如果您是一个如此丰富的bit子，您不应该谈论她的讨厌，因为她比大多数人更努力地工作，她应该尊重这一点。
5391,UgzYarYsJDSDYdYzoSR4AaABAg,5,the struggle of making such a great video and taking care of your mom is deserving all praise and respect unlike many who had kept their parents at old age home just to fulfill their selfish economic interest.,制作如此出色的视频和照顾您妈妈的斗争值得所有的赞美和尊重，这与许多在老年家之家保持父母只是为了满足他们自私的经济利益而不同。
18232,UgzsHZsR0J2sPs3rcJV4AaABAg.92Z2Qf802hp92hpt4TuVUT,4,@sometimesitdown food of north is absolutely not what you called garbage.if you want respected then show your respect to other culture and different lifestyle.,@Sometimesitdown北部的食物绝对不是您所说的垃圾。如果您想受到尊重，然后表现出对其他文化和不同生活方式的尊重。
32985,Ugx8POQtaPCweV6mccp4AaABAg,4,"thank you for sharing with us your beautiful culture, it amazes me and gain my respect more for chinese, they’re so hard working and patient. i enjoy so much watching your videos",感谢您与我们分享您美丽的文化，这使我惊讶，并更加尊重中文，他们是如此努力和耐心。我非常喜欢看你的视频
12519,Ugz80ivmyIbHXgQYwCV4AaABAg.96a7oIarqd-96lRRgRAcAr,4,"pete g how could they know it causes harm? they probably thought nothing of it before the corona virus, and although scientist truly believe the corona virus is from eating bats, it may not be true. so, please stop being disrespectful.",他们怎么知道它会造成伤害？他们可能在电晕病毒之前什么也没想到，尽管科学家确实认为电晕病毒是因为吃蝙蝠而不是真的。因此，请不要不尊重。
12751,UgyoUyua9jwu177E6KJ4AaABAg,4,"well done, what a thin, fragile, and to any of our peasants, he will give a head start, does not whine, does not whine, the feeling that she can and can do everything. the beauty, as i understand it, is her grandmother, about whom she carefully and respectfully cares. not our silicone installations.",做得好，多么薄，脆弱，对我们的任何农民来说，他会开头，不会抱怨，不会抱怨，她能够并且可以做所有事情的感觉。据我了解，美丽是她的祖母，她精心而尊重的是她。不是我们的硅胶装置。
15414,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss9AX8aGTbWWq,4,"strait arrow 
i don’t care about your stereotypical thoughts on chinese government, but you really should respect other people’s work. this young lady was born in rural area of china, yet she learned filming, positioning and post-processing all by herself. every minute of this little video came out from hours of repetitive work. she does have assistants, but her job is no less tough. she sometimes processes the video until 3am and wakes up again at 5 so that she won’t miss the mild morning light in the summer, before it is too bright to film. if you look at the raw pictures posted by her assistant on weibo you will know how many scars she has on her hands, and how much tanner she is than what you see here. even with this released version you can see the muscles on her arm, which she could not have if she does not work day and night in the field. such honest work deserves respect and appreciation by any means, no matter what you think the original purpose of the video is. yet i see none of these in the way you talk. seriously, shame on you.","海峡箭头
我不在乎您对中国政府的刻板印象，但您确实应该尊重别人的工作。这位年轻女士出生于中国农村地区，但她独自学习了拍摄，定位和后处理。这个小视频的每一分钟都来自数小时的重复作品。她确实有助手，但她的工作同样艰难。她有时会处理视频直到凌晨3点，然后在5点再次醒来，这样她就不会错过夏天的温和早晨的光线，然后它太亮而无法拍摄。如果您查看她的助手在微博上发布的原始图片，您将知道她手上有多少疤痕，以及她比您在这里看到的tanner多少。即使有了此发布的版本，您也可以看到手臂上的肌肉，如果她在野外白天和晚上不工作，她就无法拥有。无论您认为视频的原始目的是什么，这种诚实的工作都应得到任何尊重和赞赏。但是，我以您说话的方式看不到这些。说真的，让你感到羞耻。"
5904,UgxTppqJZwwpwH5jSYJ4AaABAg,4,"wanting true โค๏ธ love to share happiness๐น
""seeking for someone who wants to share true love & happy life together""
hope to find, out nice warm heart, honesty, faithful, respectful, and sweet partner. ๐น๐’–๐’โ๐•","想要真正的❤️爱分享幸福
“寻求想要共享真正的爱与幸福生活的人”
希望能找到，诚实，忠实，尊重和甜蜜的伴侣，找到美好的心脏，诚实，忠实。"
12523,Ugz80ivmyIbHXgQYwCV4AaABAg.96a7oIarqd-96o56aJwRAO,3,@peteg9133 well i think you should learn how to communicate with others in a more respectful way,@peteg9133好吧，我认为您应该学习如何以更尊重的方式与他人交流
29531,Ugw7pdGvQF_fd0s96zJ4AaABAg.8yWiBLps9B58yc0272Tc8b,3,"@shiminli3966 we too love and respect chinese people, i have a chinese girlfriend she is so kind and respectful",@shiminli3966我们也爱和尊重中国人，我有一个中国女朋友，她是如此善良和尊重
19973,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq92Ozvwo_Cck,3,"@aimeem9566 in china, there are more than 200 million pepole who support li, i also support her. of course, someone dislikes her due to some reason, but please do not say most of dislikes from china. this saying does not respect china.",@aimeem9566在中国，有超过2亿pepole支持李，我也支持她。当然，由于某种原因，有人不喜欢她，但请不要说来自中国的大多数不喜欢。这句话不尊重中国。
28394,UgwUIpxwSyasjhBUl9h4AaABAg,3,beauty coming out of the inside. i respect you who live in nature. i thought it was nice.,美丽从内部出来。我尊重你生活在大自然中的人。我以为很好。
18604,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92aCkGs_7PQ,3,"@jessieli2308 same for stalin, some russians hate stalin, other ador him. stalin did many many great things for soviet union benefits of what russian civilization is still benefiting from. same about mao. many respects to two great leaders!",@jessieli2308对于斯大林来说，一些俄罗斯人讨厌斯大林，另一个俄罗斯人。斯大林为苏联所做的俄罗斯文明仍在从中受益而做了许多伟大的事情。关于毛泽东也一样。许多方面都针对两个伟大的领导人！
6324,UgyqJ-dwJ0rbNemgb194AaABAg,3,"damn, well, do i have such tears of joy, or from such a video, the creators of a big respect just super i watch in one breath. .",该死的，好吧，我有如此喜悦的眼泪，或者从这样的视频中，我一口气地观看了一个非常尊重的创作者。 。
5930,Ugxbo9UV7tJZLo3Ydc14AaABAg,3,"wanting true โค๏ธ love to share happiness๐น
""seeking for someone who wants to share true love & happy life together""
hope to find, out nice warm heart, honesty, faithful, respectful, and sweet partner. ๐น๐’–๐’โ๐•","想要真正的❤️爱分享幸福
“寻求想要共享真正的爱与幸福生活的人”
希望能找到，诚实，忠实，尊重和甜蜜的伴侣，找到美好的心脏，诚实，忠实。"
20877,Ugw6BrmR8HouM_p-7Cd4AaABAg,2,everything done with care. i'll eat your food any day because of the respect you show it. thanks for sharing.,一切都要谨慎。由于您表现出的尊重，我每天都会吃您的食物。感谢分享。
5667,UgwpUI0m8Mk-QT1ICNl4AaABAg.9G4tMmRfxew9J5SxjgluyG,2,@tomrauhe just respect what people eat dude. if u want to eat that rabbit food then go ahead. not everybody can go vegan :/,@tomrauhe只是尊重人们吃的家伙。如果您想吃那只兔子的食物，那就继续。并非每个人都可以去素食主义者：/
13635,UgxCNjipQN20tLmq4nJ4AaABAg,2,"organized -matured, transmitted from generations, recipes, many blanks., respect for the elders speaks of many and also the blessing of the elders
do they have the main thing? and nature?","有组织的 - 从几代人，食谱，许多空白中传播，尊重长者的尊重，也是许多长者的祝福
他们有主要的事情吗？和自然？"
15409,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss98XaaFmAZ6B,2,"strait arrow it’s a ‘propaganda’ if you wish it. it’s also a high-value production , staged ( for ken rascon) piece of entertainment that teaches simple and good value ( i.e. respect and love for your grandma) if you wish it. no one dies in make this well crafted film. all ( including messieurs arrow and rascon i suspect and hope) are entertained watching this in the time of a pandemic. so i decide to ‘wish’ the latter in this instance.",海峡箭头，如果您愿意，这是一个“宣传”。这也是一部高价值的作品，为肯·拉斯康（Ken Rascon）演出，如果您愿意的话，它教授简单而良好的价值（即尊重和对祖母的爱）。没有人死于制作精良的电影。在大流行时期，所有人（包括Messieurs Arrow和Rascon）都很有趣。因此，我决定在这种情况下“希望”后者。
5947,UgxBZlK643skj4gvMxZ4AaABAg,2,"wanting true โค๏ธ love to share happiness๐น
""seeking for someone who wants to share true love & happy life together""
hope to find, out nice warm heart, honesty, faithful, respectful, and sweet partner. ๐น๐’–๐’โ๐•","想要真正的❤️爱分享幸福
“寻求想要共享真正的爱与幸福生活的人”
希望能找到，诚实，忠实，尊重和甜蜜的伴侣，找到美好的心脏，诚实，忠实。"
14567,UgzGJkA1_05JZiiafKl4AaABAg.947wSBzYSTb94l2R97Lp6y,2,"tala taptap i humbly appreciate you giving your time explaining your perspective of heaven, so thank you (: however that is not the case for others. while you strongly believe about your ""heaven"" i believe its only fair to respect others beliefs, whatever it may be. everyone goes through different types of unfortunate circumstances, and everyone goes through depression differently. while it may have worked on you, may not work on others.",tala tappap我谦虚地感谢您给您的时间解释您对天堂的看法，所以谢谢（：但是，对别人而言并非如此。虽然您坚信自己的“天堂”，但我相信尊重他人信仰的唯一公平可能是。每个人都经历了不同类型的不幸情况，每个人都以不同的方式经历抑郁症。尽管它可能对您有用，但可能对他人不起作用。
12516,Ugz80ivmyIbHXgQYwCV4AaABAg.96a7oIarqd-96iWGDBsa_U,2,@lizaudy2905 if it causes some sort of harm to others in any way yea ill disrespect it.,@lizaudy2905如果以任何方式对他人造成某种伤害，则不尊重它。
1117,UgzEGSixnIgPqWcJtAx4AaABAg,2,love to watch her respect for her grand mother,喜欢看着她尊重她的大母亲
33432,Ugy03CkKsPIFS7k_9nV4AaABAg.8yUbaCQrcWw8yUq46mF4YX,2,@sorciere777 ah that's sad..people should learn to appreciate things than harassing and also learn to respect others privacy,@sorciere777啊，这很可悲。
25106,Ugw-DdATiRyg1VfnTQB4AaABAg,2,fresh air and water and food drinks .. respect,新鲜空气，水和食品饮料..尊重
25942,UgxBsztybtV9hwif3Jh4AaABAg.8yws93FKWqS8z1H6OYomsS,1,it's always great when a respected content creator turns you on to something new and unique. i loved this video and i can't wait to watch more.,当受人尊敬的内容创建者将您转向新颖独特的东西时，这总是很棒的。我喜欢这个视频，我迫不及待想看更多。
19076,Ugxx0C0wczLWx2DIaoJ4AaABAg.928Ic4g69m392EpjEA6l5g,1,"yes, asians are mostly very very friendly and respectful people....that is, if you're white. blacks who visit asia often tell a different story.",是的，亚洲人大多是非常非常友好和尊重的人....也就是说，如果您是白人。拜访亚洲的黑人经常讲另一个故事。
25115,Ugyu100yc_UWXEErAhV4AaABAg.8z81w0-jNYd8zDGJKDZqZi,1,@abc_cba respect every religion and culture buddy. don't be too rude.,@ABC_CBA尊重每个宗教和文化好友。不要太粗鲁。
15422,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss9A_CeenNcK9,1,"strait arrow listen you punk, the dimwit is the one who shoots its mouth with impunity and hides behind a juvenile avatar as its profile. any self respecting human adult will use his/her real name and real profile in an open chat forum. that said, not once did i disrespect you as i clearly allow the fact that i may have misunderstood and preemptively offered an apology. this is class and education-which you obviously lack. so don’t address me without asking for an audience in the future you hoy polloi! ( i bet you don’t even know what that term means as it perfectly describes you). you simply don’t deserve my effort. while you are at it, check you spelling. dimwit ( that’s you) is in one word. 
comme on dit en français, tu es un crétin sans éducation ni savoir-vivre.","海峡箭头聆听您的朋克，Dimwit是那些不受惩罚地射出嘴并躲在少年化身作为其轮廓的人。任何自我尊重的人类成年人都将在一个公开的聊天论坛中使用他/她的真实姓名和真实个人资料。就是说，我没有一次不尊重你，因为我显然允许我误解并先发出道歉的事实。这是班级和教育 - 您显然缺乏什么。因此，不要在未来询问观众的情况下向我讲话！ （我敢打赌，您甚至都不知道该术语的含义，因为它完美地描述了您）。你根本不应该得到我的努力。当您使用它时，请检查您的拼写。 Dimwit（就是您）一句话。
在dit enfrançais上，the es uncrétinsanséducationni savoir-vivre。"
22583,UgwOmhNcXJUluURnR6B4AaABAg.9--5CrdeP009-BRhULN5JA,1,"@kateydid18 she can be whatever she want,she is li ziqi...for me she is amazing ...even if she is bi,gay,or straight she could have the possibility to be mother in the way she want to be by natural way,or adoption ...we have so much love and admiration for her that we dont want her amazing skills to be forgotten or stop with her...just that...we just want more from her...
she is free and wise...and we need to respect who she is,and her choices... no matter what...
(sorry about my bad english :) )","@kateydid18她可以成为自己想要的一切，她是李齐（Li Ziqi）...对我来说，她很棒...即使她是双性恋，同性恋或直率，她也可以像她想成为母亲一样成为母亲自然的方式或收养...我们对她充满爱心和钦佩，我们不希望她的惊人技能被遗忘或与她停下来...只是……我们只希望从她那里得到更多...
她是自由和明智的...我们需要尊重她是谁，以及她的选择...无论如何...
（对不起，我的英语不好:)）"
15418,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss9AY09rRmvBV,1,"strait arrow 
1. prove it
2. i can disprove it by saying i don’t believe you
you can’t make random accusations without any support of evidence. again, respect.","海峡箭头
1.证明它
2.我可以通过说我不相信你来反驳它
没有任何证据，您无法随机指控。再次，尊重。"
20034,UgwiMcIzBnJ1xRFEe3h4AaABAg,1,"take a min and showing respect to the camera man it's was peaks and editor with nature's pleasent music 's beautiful 
and her skills awesome 
literally i don't know what is she cooking but i love it it's finnaly superb","花一分钟，表现出对摄影师的尊重，这是高峰和编辑，大自然的音乐愉快的音乐
她的技能很棒
从字面上看，我不知道她在做什么，但我喜欢它，这是芬纳利的精湛"
