,cid,votes,含respect,含respect中文翻译
8429,Ugy9YUhj5FAfWG7B3Yl4AaABAg.9BRX-p_fxNC9BWkXRyUBlc,0,"@shannonclark8091 you really need to learn more to be respectful towards others. ever heard of racism? you should get acquainted with that word. learn to respect other race's culture. that attitude of yours might bring you down and bring you conflict when you're in a setting with people with different races and culture. you can't force them to change their culture. it's them, it's who they are. same like they can't force you to change yours. would you not be offended if someone told you that what you are doing is disgusting and that they hate it? we should learn to co-exist and respect our differences. if you don't like it just distance yourself with them but don't say such bad things to them and make mean comments like ""it's a bad thing, you shouldn't do this or that coz it doesn't fit my own beliefs, or values"". learn to adjust and emphatize.",@shannonclark8091您确实需要学习更多以尊重他人。听说过种族主义吗？您应该熟悉这个词。学会尊重他人的文化。当您与具有不同种族和文化的人的环境中时，您的这种态度可能会使您失望并带来冲突。您不能强迫他们改变他们的文化。是他们，就是他们。就像他们不能强迫您改变自己的一样。如果有人告诉您您正在做的事情令人恶心而他们讨厌它，您会不会被冒犯吗？我们应该学会共存并尊重我们的差异。如果您不喜欢它，只是与他们距离距离，但不要对他们说这么糟糕的话，并做出卑鄙的评论，例如“这是一件坏事，您不应该这样做或不符合我自己的信念，或值”。学习调整和强调。
8426,Ugy9YUhj5FAfWG7B3Yl4AaABAg.9BRX-p_fxNC9BVOm9AgL2Y,0,"not to be rude to you but i'd like you to know that it's part of their culture. if you don't make any slurping sound or any sound like eating, to them it looks like you're not enjoying your food and a very disrespectful gesture to the person who made the food. we have different cultures and saying that while watching this video is a bit offensive to these people you're referring not liking their eating ""manners"". don't say such things to people who have different race, learn to know their culture first before commenting this kind of things.",不要对你无礼，但我希望你知道这是他们文化的一部分。如果您没有发出任何刺耳的声音或任何声音，那么对他们来说，对他们做饭的人来说似乎不喜欢食物，也不是非常尊重的姿态。我们有不同的文化，并说在观看这段视频时，对这些人不喜欢他们的饮食“举止”有些冒犯。不要对有不同种族的人说这样的事情，请在评论这种事情之前先了解自己的文化。
5735,UgycD7F7yoRRpUPax2B4AaABAg,0,a small woman but acting and soul is respectable.,一个小女人，但表演和灵魂是可观的。
5669,UgwpUI0m8Mk-QT1ICNl4AaABAg.9G4tMmRfxew9JeBjQgUlbL,0,"@tomrauhe you either kill plants or kill animals. you also kill millions of microorganism every minute. if you are vegan, then please respect others. it's your lifestyle, keep it to yourself.",@Tomrauhe您要么杀死植物，要么杀死动物。您还每分钟杀死数百万微生物。如果您是素食主义者，请尊重他人。这是您的生活方式，请保留自己。
4619,UgxT-7FaaxMwvGaZwHt4AaABAg,0,slam respect trmksh for the prophet's tops in mangga dua trimaksih sudh prnh breaking pkrjaan secure parking punyanyah org chines trmksh pa shah is happy to become an employee of bpak mhon mav if there is.,尊重trmksh，对先知在Mangga dua trimaksih sudh prnh bure trubling pkrjaan安全停车场paunyanyah org chines trmksh pa shah很高兴成为bpak mhon Mav的雇员。
4233,UgwY6O_cQkP02B9ApdZ4AaABAg,0,"the spectacular crocodile respectively shrug because recorder literally load anenst a nimble fish. like, grateful gratis himalayan",壮观的鳄鱼分别耸了耸肩，因为录音机实际上是敏捷的鱼。喜欢，感激的是喜马拉雅
4173,UgzosAM1zNRxRDMOytF4AaABAg,0,im from indonesia and i am respect,我来自印度尼西亚，我尊重
4053,UgxUdGk-pmZNX8YKL4F4AaABAg,0,"the third dungeon fundamentally jump because arithmetic respectively trap minus a chilly slip. flawless, tremendous team",第三个地牢从根本上跳跃，因为算术分别陷阱减去了寒冷的滑动。完美无瑕的团队
3719,UgwgXxINTBEKHS45CIl4AaABAg.9Mcb968Qnzr9Q5kebAGO_G,0,my thoughts too! she reaps of all her granddaughters hard work. i love how respectful she is to her grandmother.,我的想法也！她收获了所有孙女的辛勤工作。我喜欢她对祖母的尊重。
2963,Ugy2ainHxB8OXIpkPDd4AaABAg,0,now this is a real woman!! much love and respect!,现在这是一个真正的女人！很多爱与尊重！
2167,Ugzj2i7ctDyPYEETZfd4AaABAg,0,hope to respect the culture and food of other countries,希望尊重其他国家的文化和食物
1904,UgyzZOtw8wgTo-nXsid4AaABAg,0,"disciples regulations (3)
❤ panai
everyone. all must be love. god overwhelmed.
together.

[easy to solve] as long as it is a person, it is similar, regardless of ethnic, human, gender, and religious beliefs, they should love each other. it is also the transformation of the heavens and the earth, and it should not be distinguished by you and me, and cooperate with each other to maintain this symbiotic and prosperous life community.
❤
those who are tall. the name is high. people are emphasized.
non -appearance. great person. look at it.
people are convinced. nothing.
❤
[easy to solve] the nobility of virtue is naturally high. everyone respects his virtue, not appearance. those who have talented people have excellent ability to deal with things, and their reputation is naturally extraordinary. however, what people admire and admire are his ability to do things, not because he is good at boasting.
❤
i have the ability. don't be selfish. people can.
don't be light. don't be rich. don't be proud.
don't hate it. don't like new. people are not idle.
don't stir. people are uneasy. don't disturb.

[easy to solve] when you have the ability to serve everyone, don't be selfish, just consider yourself, reluctant to pay. for the talents of others, you should learn, appreciate, and admire, not criticism, jealousy, and slander. don't please be rich, and don't be proud of themselves in front of the poor, or despise them. you should not like the new and hate the old. you must cherish old friends or old things, and do not be greedy for new friends or new things. when others are busy, don't disturb him. when others are in a bad mood or are physically and mentally arbitrary, don't gossip to interfere with him and increase his troubles and anxiety.
❤
people have short. don't unveil it. people have private.
don't say. taoist is good. that is good.
people know it. the more thoughtful. promote evil.
that is evil. different. mainly.
good persuasion. germany is built. out of irregularity.
two losses.

[easy to solve] don't expose the shortcomings of others. the privacy of others should not be publicized. the advantages or good deeds of praise of others are good deeds. when the other party hears your praise, it will definitely encourage good deeds. zhang yang's faults or disadvantages of others are to do evil. if criticism is too much, it will also recruit themselves. friends should have persuaded each other and build good moral cultivation together. if there are mistakes, you can't persuade each other, both of them will have defects.
❤
whenever. it is expensive. there are many.
take less. will add people. ask yourself first.
i don't want to. that is, ourselves. encounter.
forgotten. short resentment. the reward is long.

[easy to solve] the acquisition or granted of property must be clearly understood. it is better to give others more people. before you add things to others, or ask others to do things, you must ask yourself: ""if you change it to me, would i like it?"" if you do n’t even want to do it, you must stop immediately. remember to repay. others are sorry for themselves, and they should forget it. don't remember the resentment for too long in your heart, even if you're in the past. other people have to remember to be in mind, grateful, and often repay.
❤
wait for the servant. you are expensive. although expensive.
mercy and wide. attocked. no heart.
take care of people. fang wuyan.

[easy to solve] to treat the maids and servants in the home, we must pay attention to the righteousness and lead by example. although it is important, it is more valuable. if the battle is forced to obey, the other party will inevitably be convinced. only by serving people can others not complain.

the same person. elastic category. vulgar.
benevolence. relief. how fearful people are.
unexpectedly. the color is not charming. can kiss.
infinite. germany and japan advance. live days.
not kiss. infinite harm. villain enter.
bailing bad.

[easy to solve] it is also human, good, evil and evil, and mental heights are uneven. there are many people affected by the vulgarity, and there are few people with kindness and generosity. if they are really benevolent, everyone naturally fears him, because he speaks fair and selflessly without concealment, and does not please others, so everyone will naturally be awesome. those who can get close to rende and learn from him are very lucky, because he will make our virtue progress every day, and the fault will decrease one day. if you are not willing to get close to the gentlemen of the people, there will be endless scourge, because the unscrupulous villain will approach us while it is false, and our words and deeds will be affected by bad words, and even the whole life will enter the wrong direction.

文 ❤ 
do not work. but learn text. long flashy.
whoever. but do it. don't learn text.
let's see it. amazing.

[easy to solve] can't do filial piety, 悌, jin, faith, pan -loving, and relatives, and blindly study. even if there are some knowledge, it is just a habit that has increased its fascinating and unrealistic. what is the use? if you just keep your teachings and refuse to study, it is easy to do it because of unknown things and cause mistakes according to your own prejudice. this is also wrong.

reading. three arrives. eye.
believe. read this. don't admire.
this is not the end. don't get up. width is limited.
tightly use it. worked. stady.
suspicious. sui notes. just ask.
seeking meaning.

[easy to solve] the method of reading should be focused on three arrival: eye, mouth, and heart, the three are indispensable, so that the effect of getting more effort can be received. study science must be dedicated to deepen, and you ca n’t start reading this book before it can be read. he also enviouss other books and wants to read other books. this will never be able to read a book in depth. you must read this book to read another one. when setting a reading plan, you may wish to relax. in actual implementation, you must step up hard work and strictly implement it. you must not be lazy. the daily accumulation of the month was deeply worked, and the original unreasonable and doubtful doubts were naturally solved. when you have any questions in your heart, you should take notes at any time. as soon as you have a chance, you should ask the good teacher yiyou. be sure to understand its true meaning.

the room is clear. the wall is clean. several cases are clean.
the pen is zheng. ink grind. both heart.
the word is disrespectful. heart disease. list of classics.
there is a fixed. after reading. restore.
although there is anxiety. crushed. there is a shortage.
just make up. non -holy books. don't look at the screen.
well. bad heart. don't violently.
don't give up. holy and xian. tame.

[easy to solve] the study should be sorted and cleaned, and the walls should be kept clean. when reading, stationery such as pen and ink, paper, and other stationery should be neat and messy, and all of them are in order to calm down to read. the ancients should use a brush to write ink first. if they were absent, the ink would be missed. if the words written are crooked, it means that you are impetuous and your heart cannot be determined. books should be divided into different categories, arranged neatly, placed in a fixed position, and they must be returned to the restore place after reading. although there is an urgent matter to leave, take the book and leave it before leaving. the book is the crystallization of wisdom. if there is a defect, it must be repaired and keeps complete. it is not a book that preach the words and deeds of sages and bad books that are harmful to physical and mental health. they should abandon and not read, so as not to be polluted, wisdom, and ambitions to become unhealthy. when you encounter difficulties or setbacks, don't abandon yourself, don't have to be cynical, complain about the world, you should be angry and study hard. although the realm of sages is high, it can be achieved in order. ❤

disciples are easy to solve (end)
title: disciples three -character sutra
filial scriptures are easy to solve. welcome to print.
❤ minglun teach filial piety
read thousands of times. it is self -explanatory.
implement life. it really does.

the disciples' name is ""xunmengwen"", which was made by li yuxiu, a talented talent in the kangxi period of the qing dynasty. its content adopts the sixth articles of ""the analects of confucius"": ""the disciples enter the filial piety, and they are brothers, and they believe in the people, and they love the public, and they have the power to learn."" sentence yiyun compilation is divided into five parts to perform; specifically listed on the etiquette and norms that the children are at home, out of the country, taking care of people, studying, and studying. later, after the revision of jia cunren in the qing dynasty, it was renamed ""disciples regulations"". it was the best reading of enlightenment and educating children dunlun to prevent evil and consciousness, and develop a loyal family style.
title: changli
1. family affairs, do not say to outsiders.
for example, if you talk about the economic situation at home, the place where your family usually goes out, or when the family is expected to go, in case of the thief or someone who is interested, they will break through the empty door and do bad things.
in addition, the ancients said that the family was ugly. if complains and accusing their families of listening to outsiders, others could not help you solve the problem. it would not only hurt the dignity of the family, but also made outsiders impress your family. or outsiders pass the housework you said as a gossip. if the sky is chaotic and then spread back to your ears, it will not only be unable to argue, but also increase the family's heart.

2. buddhism: knowing that more methods are actually giving.
❤ faiba: wisdom and wisdom.
i often read the ancient sage books and do their best. let the general public pay attention to moral cultivation and distinguish between right and wrong, so that they will not argue with others or sin.
❤ 富。。.
foreign wealth is something outside of the body, money, clothes, food, etc., provided to those in need.
inner wealth is his own body. at home, we help our family to do housework, serve our family with our bodies, and help the poor to help the poor disadvantage. this is all fortune. only can it be available.
❤ the fearless giving is the reason, the obtained fruit is healthy and longevity.
everything is terrifying, fearful, and threatened by life. you help him leave all horror and let him be physically and mentally stable. this is called fearless giving.

3. see the person who is lost, don't say proud.
(those who understand the feelings of others can always think about others.)
when he encounters frustrated, sad, and lost people, he has been hit in all aspects and is very unhappy. it should be said that he can comfort him, instead of saying how much he is.
when others break their fortunes and lose their jobs, you say that you are promoted to get rich, which will make the other party even more unbearable. pride and pride itself is evil, let alone hurt people?
on the contrary, the mood that can be eliminated by others' nervousness or anxiety is good. even if you ca n’t help you, do n’t go down. don't do it because of goodness, don't do it because of evil.
it is not only violence and crime called evil deeds. the evil thoughts that people often can't stop are the source of disaster.
welcome to print. bleak","弟子规（3）
❤泛爱众
凡是人。皆须爱。天同覆。
地同载。

【易解】 只要是人，就是同类，不分族群、人种、性别、宗教信仰，皆应相亲相爱。同是天地所化育覆载的，应该不分你我，互助合作，才能维持这个共生共荣的生命共同体。
❤
行高者。名自高。人所重。
非貌高。才大者。望自大。
人所服。非言大。
❤
【易解】 德行高尚者，名望自然高显，大家所敬重的是他的德行，不是外表容貌。有才能的人，处理事情的能力卓越，声望自然不凡，然而人们所欣赏佩服的，是他的处事能力，而不是因为他擅于夸耀。
❤
己有能。勿自私。人所能。
勿轻訾。勿谄富。勿骄贫。
勿厌故。勿喜新。人不闲。
勿事搅。人不安。勿话扰。

【易解】 当你有能力可以为众人服务的时候，不要自私自利，只考虑到自己，舍不得付出。对于他人的才华，应当学习、欣赏、赞叹，而不是批评、嫉妒、毁谤。不要去讨好巴结富有的人，也不要在穷人面前骄傲自大，或者轻视他们。更不可以喜新厌旧，对于老朋友或旧事物要珍惜，对于新朋友或新事物不要贪恋。当别人正在忙碌的时候，不要去打扰他，当别人心情不好或身心欠安的时候，不要闲言闲语去干扰他，增加他的烦恼与不安。
❤
人有短。切莫揭。人有私。
切莫说。道人善。即是善。
人知之。愈思勉。扬人恶。
即是恶。疾之甚。祸且作。
善相劝。德皆建。过不规。
道两亏。

【易解】 别人的缺点，不要去揭穿。别人的隐私，切忌去张扬。赞美他人的优点或善行，就是行善。当对方听到你的称赞之后，必定会更加勉励行善。张扬他人的过失或缺点，就是行恶，如果指责批评太过分了，还会给自己招来灾祸。朋友之间应该互相规过劝善，共同建立良好的品德修养。如果有错不能互相规劝，两个人的品德都会有缺陷。
❤
凡取与。贵分晓。与宜多。
取宜少。将加人。先问己。
己不欲。即速己。恩欲报。
怨欲忘。报怨短。报恩长。

【易解】 财物的取得或给予，一定要分办清楚明白，宁可多给别人，自己少拿一些，才能广结善缘，与人和睦相处。要将事物加到别人身上，或要托别人做事之前，先要反问自己：「如果换成是我，我愿意吗？」如果连自己都不愿意，就要立刻停止。受人恩惠要记得报答。别人有对不起自己的事，应该宽大为怀把它忘掉。怨恨不平的事不要记在心中太久，过去就算了。别人对我们的恩德，则要铭记在心，感恩不忘，常思报答。
❤
待婢仆。身贵端。虽贵端。
慈而宽。势服人。心不然。
理服人。方无言。

【易解】 对待家中的婢女与仆人，要注重自己的品行端正并以身作则。虽然品行端正很重要，但是仁慈宽大更可贵。如果仗势强逼别人服从，对方难免口服心不服。唯有以理服人，别人才会心悦诚服没有怨言。

同是人。类不齐。流俗众。
仁者希。果仁者。人多畏。
言不讳。色不媚。能亲仁。
无限好。德日进。过日少。
不亲仁。无限害。小人进。
百事坏。

【易解】 同样是人，善恶邪正、心智高低却是良莠不齐。受风气流俗影响的人多，仁慈宽厚的人少。如果是真正有仁德的人，大家自然敬畏他，因为他说话公正无私没有隐瞒，又不讨好他人，所以大家自然会起敬畏之心。能够亲近仁德的人，向他学习，是很幸运的事，因为他会使我们的德行一天比一天进步，过错也跟着一天天减少。如果不肯亲近仁人君子，就会有无穷的祸害，因为不肖的小人会趁虚来接近我们，日积月累，我们的言行思想都会受到不良的影响，甚至使整个人生走入错误的方向。


不力行。但学文。长浮华。
成何人。但力行。不学文。
任己见。昧理真。

【易解】 不能身体力行孝、悌、谨、信、泛爱众、亲仁这些本分，一味死读书，纵然有些知识，也只是增长自己浮华不实的习气，变成一个不切实际的人，如此读书又有何用？如果只是谨守教诲，却不肯读书学习，就容易因不明事理，而依自己的偏见行事，造成错误而不自知，这也是不对的。

读书法。有三到。心眼口。
信皆要。方读此。勿慕彼。
此未终。彼勿起。宽为限。
紧用功。工夫到。滞塞通。
心有疑。随札记。就人问。
求确义。

【易解】 读书的方法要注重三到：眼到、口到、心到，三者缺一不可，如此方能收到事半功倍的效果。研究学问要专一、专精才能深入，不能这本书才开始读没多久，又欣羡其他的书，想看其他的书，这样永远也定不下心把一本书好好深入读通。必须把这本书读完，才能再读另外一本。在订定读书计画的时候，不妨宽松一些，实际执行时，就要加紧用功，严格执行，不可以懈怠偷懒。日积月累功夫深了，原先窒碍不通、困顿疑惑之处，自然而然都迎刃而解了。求学当中，心里有疑问时，应随时笔记，一有机会，就向良师益友请教，务必确实明白它的真义。

房室清。墙壁净。几案洁。
笔砚正。墨磨偏。心不端。
字不敬。心先病。列典籍。
有定处。读看毕。还原处。
虽有急。卷束齐。有缺坏。
就补之。非圣书。屏勿视。
蔽聪明。坏心志。勿自暴。
勿自弃。圣与贤。可驯致。

【易解】 书房要整理清洁，墙壁要保持干净。读书时，书桌上笔墨纸砚等文具要摆放整齐不凌乱，触目所及皆是井然有条，才能静下心来读书。古人写字使用毛笔先要磨墨，如果心不在焉，墨就会磨偏了。写出来的字如果歪歪斜斜，就表示你浮躁不安，心定不下来。书本应该分门别类，排列整齐，放在固定的位置，阅读完毕须归还原处。虽有急事要离开，也要把书本收好再离开。书本是智慧的结晶，有缺损就要修补，保持完整。不是传述圣贤言行的著作，以及有害身心健康的不良书刊，都应该摒弃不看，以免身心受到污染、智慧遭受蒙蔽、心志变得不健康。遇到困难或挫折的时候，不要自暴自弃，也不必愤世嫉俗、怨天尤人，应该发愤向上努力学习。圣贤境界虽高，循序渐进，也是可以达到的。 ❤

弟子规易解（终）
书名：弟子规 三字经 
孝经 易解。欢迎翻印。
❤明伦教孝
读书千遍。其意自现。
落实生活。确实做到。

弟子规原名＜训蒙文＞，为清朝康熙年间秀才李毓秀所作。其内容采用《论语》学而篇第六条：「弟子入则孝，出则弟，谨而信，泛爱众，而亲仁，行有余力，则以学文。」的文义以三字一句，两句一韵编纂而成，分为五个部份加以演述；具体列举出为人子弟在家、出外、待人接物、求学应有的礼仪与规范，特别讲求家庭教育与生活教育。后经清朝贾存仁修订改编，并改名为＜弟子规＞，是启蒙养正，教育子弟敦伦尽份防邪存诚，养成忠厚家风的最佳读物。
书名：常礼举要
1.家庭之事，不可向外人言。
举例来说，如果你讲到家里的经济状况、家人平常出入的地点，或是什么时间家人预计要去哪里，万一被小偷或是有心人士打听到了，他们会闯空门、做坏事。
另外，古人说家丑不可外扬，若是抱怨、指责家人给外人听，别人也不能帮你解决问题，不仅会伤害家人的尊严，也让让外人对你们一家印象不佳。又或者外人把你说的家务事都当成闲谈八卦传出去，若是说得天花乱坠再传回你耳中，不仅百口莫辩，也徒增一家人心里难受。

2.佛教：知道得到更多的方法其实是布施。
❤法布施：得聪明智慧。
常常读古圣贤书，并身体力行。让社会大众能够注重品德修养，能够分辨是非，才不会与人争执或是犯罪。
❤财布施得财富、功德。
外财就是身外之物，钱、衣服、食物等，提供给需要的人。
内财是自己身体。我们在家里面，帮助家人做家事，用我们的身体为家人服务，在外做义工帮助贫困弱势这都是财布施。能舍才有得。
❤无畏布施是因，得到的果报是健康长寿。
万物有恐怖、有畏惧、生命受到威胁，你帮助他离开一切恐怖，让他身心安稳，这叫无畏布施。

3.见失意人，不说得意语。
（明白别人感受的人总是能够多为别人着想呢。）
遇到失意、伤心、失落的人，他各方面都受到打击，很不得意，应该说点让他得到安慰的话，而不是说自己有多在行、多厉害。
当别人破了财，丢了工作，你却说自己升官发财，这会让对方更加不堪忍受。傲慢、骄傲本身即是恶，更何况用来伤人？
相反的，能够免除别人紧张恐惧或是忧虑的心情即是善，即便帮不上忙也千万不要落井下石。勿因善小而不为，勿因恶小而为之。
并非只有暴力、犯罪才叫恶行，人常常止不住的恶念也是灾难的源头。
欢迎翻印。"
