,cid,votes,time,含simple,含simple中文翻译
3419,Ugzt5L6uIhVlx6YNpP14AaABAg,0,2 years ago (edited),"this is freaken beautiful but its a difficult life. you work your ass off for every single meal. every meal is prepared and planted months in advance. if u dont keep up you go hungry. if there is a shortage, or the crops dont yield as plan, you go hungry. my family has lived this life and while its simple, its hard, very boring, and u basically dont know what is going on in the world. you yearn for new clothes, technology, education, and sometimes a big mac.",这真是太美了，但它是一种艰难的生活。您每顿饭都要做屁股。每顿饭都是准备好几个月的。如果你不跟上，你饿了。如果短缺或农作物不屈服于计划，您会饿。我的家人已经生活了这一生，尽管它简单，艰难，非常无聊，而且您基本上不知道世界上发生了什么。您渴望使用新衣服，技术，教育，有时甚至是巨无霸。
3680,UgzTURvV2lF5YT8xX7V4AaABAg,0,2 years ago,she is so simple i love her,她是如此简单，我爱她
4184,Ugx0wcVCIx03qPe3SDB4AaABAg,0,2 years ago,"see modern girls just live a simple life, right?",看到现代女孩只是过着简单的生活，对吗？
4733,Ugy_LV4Kk6mgGiUqj1R4AaABAg,0,2 years ago,"life in rural is very simple but the most beautiful as the needs of every human is available.
simple living high thinking with long life-uncorupted by modern impurities.
long to live your life.","农村的生活非常简单，但最美丽，因为每个人的需求都可以使用。
现代杂质的寿命很简单，长期生活。
渴望过你的生活。"
4992,Ugzu6L_hwKVdfaqgOVt4AaABAg,0,2 years ago,it's so natural...very simple food ..,很自然...非常简单的食物..
5359,Ugz2wsIqgBDsN3wzSyZ4AaABAg,0,2 years ago,"i'm asian and i live in canada now. i miss this life. i miss having all you need in your backyard. i miss raising pigs, goats, and cows. i miss having fresh eggs for breakfast every morning. and having to take care of the chickens and ducks so they stay healthy so they keep bringing eggs. i miss cooking vegetables that you harvest from your own garden. going to the river to gather clams and snails. i miss my simple life back home. now i'm stuck working in a concrete jungle. we always want to run towards better opportunity but, the heart always belong at home.",我是亚洲人，现在住在加拿大。我想念这一生。我想念您在后院拥有的一切。我想念养猪，山羊和牛。我想念每天早上吃早餐的新鲜鸡蛋。并且必须照顾鸡肉和鸭子，以便它们保持健康，以便继续带鸡蛋。我想念您从自己的花园收获的烹饪蔬菜。去河流收集蛤和蜗牛。我想念我简单的生活。现在，我被困在混凝土丛林中。我们总是想朝着更好的机会奔波，但是，心脏总是属于家。
5731,Ugx4FJrMWFTL0zLyGGp4AaABAg,0,2 years ago (edited),"the same simple life in the village, the way to cook is also exactly the same, gardening, then the cooking tools are exactly the same as the indonesian state. maybe because i used to be colonized by japan, there was an influence of similarity. i like it japanese โฅ ๏ธ โฅ ๏ธ",在村庄的生活方式相同，烹饪方式也完全相同，园艺，然后烹饪工具与印度尼西亚国家完全相同。也许是因为我曾经被日本殖民，所以有相似之处。我喜欢日本♥️♥️
5791,UgxYgJUJREUDRxnOU-94AaABAg,0,2 years ago,simple and delicious,简单可口
6351,UgzrOgipSKHwc8hEvCV4AaABAg.9EsO86ldc5x9HAquMZgWAc,0,2 years ago,simple u need a 5 acres on land first and a degree combination of agriculture & cooking i'm like your big brother ๐‘,简单，您首先需要5英亩的土地，而农业和烹饪的学位结合在一起，我就像你的大哥哥
6369,Ugy82nJHwxum38cSff54AaABAg,0,2 years ago,what a great scene nice view nice food good quality of shots nice angle i wish we all live happy life and simple life like this,多么美好的场景，美好的食物质量好，镜头好，我希望我们所有人都过上幸福的生活和简单的生活
6555,UgzjtcEc1YQ_o0QrzC54AaABAg,0,2 years ago,"she is truly an inspiration. ๐i watched almost every videos in her channel. โค๏ธ makes me want to live a simple life too. to everybody enjoying it as well i wanna share with you my friend's music and hopefully liziqi notice it too (would be truly awesome ๐). he writes very good music for free and it's a nice way to enjoy life even on quarantine. let's all share positivity and love. you can check the link below! ๐€

https://m.youtube.com/channel/ucdexl2evplsj8dvfv4cmcga","她确实是一个灵感。 

https://m.youtube.com/channel/ucdexl2evplsj8dvfv4cmcga"
6656,Ugw6M3VqRH_ZSqd1Ibp4AaABAg,0,2 years ago,this kind of food making is simple but it is so hard working,这种食物制作很简单，但是很难工作
6664,UgzWexkFOUxtU7Eob-F4AaABAg,0,2 years ago,simple life simple pleasures. โค๏ธ,简单的生活简单的乐趣。 ❤️
13024,Ugwl6sRonzHw35234nV4AaABAg.963I9wQO_pk96YQGK8uJ3d,0,3 years ago,ya it kept healthy to our body fresh and simple cook same as our lifestyle we use to eat our own veg which we grow so......we are healthy,是的，它使我们的身体保持健康新鲜和简单的厨师，就像我们用来吃自己种植的蔬菜一样的生活方式，所以……我们很健康
13832,UgzSSjalyHfUkfMlCgN4AaABAg,0,3 years ago,such a simple peaceful life...very enticing!,如此简单的和平生活...非常诱人！
13874,UgzIGr93BTagnSGpe4N4AaABAg,0,3 years ago,"simple, easy, peaceful, and beautiful lifestyle",简单，简单，和平，美丽的生活方式
13977,Ugx7AYBPQNeaimkUkPZ4AaABAg,0,3 years ago (edited),encourage us to..have a simple life ..she's amazing,鼓励我们去..她的生活很简单。
16245,Ugxk2ae5I0CKH-TorMx4AaABAg,0,3 years ago,life is so jealous. being in a very simple life.,生活是如此嫉妒。生活在非常简单的生活中。
16341,UgyEvds2pD1zOoeTmzV4AaABAg,0,3 years ago,"her life is simple, but her video are not simple at all, camera angle, lighting, quality of editing, storyline all that take so much hard work to create quality content.",她的生活很简单，但她的视频根本不简单，相机角度，照明，编辑质量，故事情节都花费了很多艰苦的工作来创建优质的内容。
16437,UgxS-FdCLh-dgIw8zbt4AaABAg,0,3 years ago,"in china, there are so many different foods, all sorts of ingredients. maybe they usually cook something simple, xs. but that i usually cook my family in ukraine: borsch, soup, cereals, potatoes in different types. all.

it is a pity that we do not grow bamboo","在中国，有很多不同的食物，各种成分。也许他们通常会煮简单的东西，xs。但是我通常在乌克兰烹饪我的家人：波尔奇，汤，谷物，土豆不同类型。全部。

可惜我们不种竹子"
16549,UgyYvj-aFaMGlFyhB8J4AaABAg,0,3 years ago,"the video is simple and good, but if you eat too much, you will feel that vegetarian food is really delicious. do n’t forget to live in the city and then go to the countryside for a few days. can you let him try? seeing a meal comments are all that the natural things are so good. you can experience the experience of human beings. if human beings have been developed today, but a step -by -step progress, you have to return to the real experience.",视频简朴很不错 但是荤吃多了吃顿素的会感觉素食真是超级好吃 别忘了住惯城市后再去农村待过几天可以 你让他待几个月试试？看一顿子评论全是说自然的东西多好 你去体会体会就知道了 人类发展到今天可是一步一个脚印进步的 你非要返璞归真 体验可以 长期真不行
16684,Ugz1aYSqAeSw6KAdil54AaABAg.92sj7Ts61e992vHqfJfS42,0,3 years ago,"not really simple, farming is more complex than you think. you have to be very hard working to have a life likes this.",并不是很简单，农业比您想象的要复杂。您必须非常努力地努力才能过这样的生活。
16974,UgzJ_SvtXHIWyD14PIh4AaABAg,0,3 years ago,"why her fans are most of non-chinese? i don't think foreigners knows anything about china: she's one of the 0.3 billion people living in remote area where the young are trying to escape from... if i'm aged, i will leave the big cities, live simple life like her",为什么她的粉丝大多数是非中国人？我认为外国人对中国一无所知：她是居住在年轻人试图逃脱的偏远地区的3亿人之一...如果我年老，我将离开大城市，过着简单的生活她
17266,UgxH5gutUKWSDTygJL54AaABAg,0,3 years ago (edited),simple life,简单的生活
17413,UgwV-uzw6206Qx2IoKZ4AaABAg.92kaKG0I8dO92oP2CXCPXy,0,3 years ago,@dexter_7883 hey dude...even m saying she is..the only thing i want mention is she a simple and beautiful..dnt mind with my comment if u don't like..,@dexter_7883嘿，伙计...甚至我说她是..我唯一要提及的是她一个简单而美丽的..如果你不喜欢的话，我的评论不在乎..
17560,Ugy6_vIHnOI0jsKcogt4AaABAg,0,3 years ago,"this is really a person who can really cook and really live in the countryside
i can choose the hills that are impossible to appear with those who pretend to be rural people.
i prefer this simple one than those who fake","这才是真的会做菜 也是真的在乡村生活的人 
跟那些装逼的 装成自己是乡村人 结果食材都挑选山里不可能出现而且极度昂贵的好上不知道千百倍
比起那些造假的更喜欢这种朴实的"
17890,UgyN2zPy9Un8LHVRzit4AaABAg.92ejtFMt6xr92evr3h9NRf,0,3 years ago,so why should i ask the simple question,那么简单的问题为什么要问
18059,UgxBNOEbXvea0YqCmJl4AaABAg.92bpytRnG4Q92cJl3Dii5n,0,3 years ago,"i see you hate ccp, it's understandable. however you can't prove this is big lie because what li ziqi did here is not an easy life but a simple and hard life. she takes hours or even days to prepare a meal from scratch. not everyone can work bare feet&hands in the farm.",我看到您讨厌CCP，这是可以理解的。但是，您无法证明这是大谎言，因为李Ziqi在这里所做的不是轻松的生活，而是一种简单而艰难的生活。她需要数小时甚至几天才能从头开始准备一顿饭。并非每个人都可以在农场赤脚和手工作。
18076,UgzICLUeigaR0os20BJ4AaABAg,0,3 years ago,"i am also guangxi people, although i have n’t stayed for a month in guangxi for decades. this kind of simple and warm life is really long -term, praying for you forever, shiitake mushrooms",我也是广西人虽然几十年来在广西都没有呆足一个月，这种淳朴温馨的生活真是令人心神向往，祈求你们永远幸福，香菇
18202,Ugxu60tajHiRXoTKGPx4AaABAg,0,3 years ago (edited),"this is not chinese life and her real life, kind of drama play actually, people in china have different attitudes towards this channel because these are all ""fake"" drama play. the reality of chinese rural area is poor, out of electricity/fresh water and no health care. no one really does these cooking, she has a team to plan all these for her we hate her videos because it makes people from other countries thought chinese lives in rural are easy, simple and fun. but actually it is totally opposite!",这不是中国的生活和她的现实生活，实际上是戏剧，中国的人们对这个频道有不同的态度，因为这些都是“假”戏剧。中国农村地区的现实很差，出于电力/淡水而没有医疗保健。没有人真正做这些烹饪，她有一个团队来为她计划所有这些，我们讨厌她的视频，因为这使来自其他国家的人们认为中国人在农村生活很容易，简单和有趣。但是实际上是完全相反的！
18221,UgwR5QIQaHY_xV2hq1t4AaABAg,0,3 years ago,"enjoy watching this on a big tv. really like the country style simple cooking with fresh ingredients of morning dew bamboo shoots, wood ears, long string beans, ... nice!",喜欢在大型电视上观看。真的很像乡村风格的简单烹饪，新鲜的露水竹芽，木耳朵，长丁豆，...很好！
18244,UgzO9RReP89Kg9NVxVF4AaABAg.92Ytme4gJow92bDNuKUn1-,0,3 years ago,"aarya anadeo's true and simple rural life, i long for it. want to go back to nature, instead of chasing in high -rise buildings.",Aarya Anadeo 真实又朴实的田园生活，我很向往。想回到大自然生活，而不是在高楼大厦中追逐。
18408,UgzCB_PORgzg3qapZMp4AaABAg.92VfxrpYhlk92mr7fDLz1q,0,3 years ago,"guy core you are wrong, she lives in a normal small village, the local people are very simple, except for the wild bamboo shoots and fungi on the mountain, many things are villagers'homes",盖伊核心你错了，她住在一个普通的小村庄里，当地人很简单，除了山上的野竹芽和真菌，许多东西都是村民
19233,Ugxjn_unx_bRM5ELZ4J4AaABAg,0,3 years ago,she is a woman of my dreams. she is good. and live a simple life with nature this is my dream life.,她是我梦dream以求的女人。她是很好的。并与自然过着简单的生活这是我的梦想生活。
16079,UgwFZtxECJByxC4Oix14AaABAg,0,3 years ago,"the whole video just reminds me of my grand parents who lives in the mountains. simple life. no drama. btw, they’re both on their 90s but still cultivating land and does farming.",整个视频让我想起了我住在山上的祖父。简单的生活。没有戏剧。顺便说一句，他们都处于90年代，但仍在耕种土地并从事耕种。
16048,Ugy7tyYK0VrY1igJFlF4AaABAg,0,3 years ago (edited),"each of her videos is a portrait of simple but heavenly sensational life style. there's no glamorized outfit or makeups, no personal assistant helping with her hair, touching up her face or changing clothes. 
but her true life stories attract soooooo many millions of views and subbies! from different countries! even people don't speak or perhaps don't understood chinese!","她的每个视频都是简单但天堂般的轰动生活方式的肖像。没有迷人的服装或化妆，没有私人助理帮助她的头发，抚摸她的脸或换衣服。
但是她的真实生活故事吸引了数百万的观点和sibbies！来自不同国家！甚至人们不会说话，也许也不了解中国人！"
16047,UgwDdlcBTyPHQ9B4b4F4AaABAg,0,3 years ago (edited),"good thing you have commercials now! keep it up! don't skip adds! when i'm old and retired, may i be blessed with the same simple yet fulfilled life! hao hao!",好东西，您现在有广告！继续努力吧！不要跳过添加！当我老了并退休时，我可以得到同样简单而充实的生活的祝福！ hao hao！
15132,UgyDd785tYvpzokfbIt4AaABAg,0,3 years ago,"8.16 million subscribers. i wonder how much she makes from youtube alone each month. she probable could hire a team of more than a dozen farmers to help. based on the amount of veggies growing in her garden/farm, she would need more than ten farmers. add to that other labor intensive work (based on the other videos), such as raising lamb for wool, harvesting the wool and cleaning/dyeing/spinning the wool which she used to knit a huge winter coat. i know i won't be able to do all those without help. while i enjoyed the videos and admire her capabilities, i enjoy my simple life without having to toil like her. another note: unless she is selling them, why does she cook so much food? harvest so much veggies put into jars to ferment - that would last her ten years of fermented veggies, etc., etc. overall, one needs more than the knowledge of ten phd's to do all what she is doing in these videos. congratulations to her, super woman/girl. for city girls, don't dream of living like her, just not practical or possible. enjoy your city life.",816万用户。我想知道她每个月独自从YouTube中赚多少钱。她可能会雇用一个由十几个农民组成的团队来提供帮助。根据在她的花园/农场种植的蔬菜数量，她需要十多名农民。再加上其他劳动密集型工作（基于其他视频），例如抬起羊毛的羔羊，收获羊毛，清洁/染色/旋转羊毛，她用来编织一件巨大的冬衣。我知道我将无需帮助。当我喜欢这些视频并欣赏她的能力时，我享受了简单的生活，而不必像她一样辛苦工作。另一个注意：除非她要出售它们，否则她为什么要煮这么多食物？收获太多的蔬菜将罐子放入发酵中 - 这将持续她十年的发酵蔬菜等。总的来说，一个人比十个博士学位的知识更需要做她在这些视频中所做的一切。恭喜她，超级女人/女孩。对于城市女孩来说，不要梦想像她一样生活，只是不切实际或可能。享受你的城市生活。
14284,UgyGgWlSkq2TtDLz9bR4AaABAg,0,3 years ago,"she's an awesome woman, and may the universe continue to give her and her family exactly what they have now a simpler way of life it just keeps them happy awesome. and i will continue to watch her videos",她是一个很棒的女人，愿宇宙继续为她和她的家人提供他们现在拥有更简单的生活方式，这使他们快乐。我将继续观看她的视频
14308,UgxKCmlzjTNOh9dhPi54AaABAg,0,3 years ago,man.. i want to live like her.. it simple.. rich .. peaceful life..,男人..我想像她一样生活..这简单..富裕..和平的生活..
14341,UgwRV3XrOklcKRNLX4B4AaABAg,0,3 years ago,it is barbi makes everything look so simple,芭比使一切看起来都很简单
14364,UgxwKhLTrxOPstD_wQR4AaABAg,0,3 years ago (edited),"i discovered your videos two days ago-i have been doing a marathon. i celebrated chinese new year today and went to find some authentic chinese food that was nothing like your meals. i went outside and tried to fix my failing garden. you gave me hope i can try again and make it happen. all of it. i’ve made big furniture pieces myself w wood and twine, and i have some farm experience...but you tied it all together. i tip my hat to you sister. i have my own youtube show i just started about my fashion line and i am so re-inspired. i can watch you for hours. from so. california i want to say thank you being bold, in charge and making the simple life contemporary and very well desired.",我两天前发现了您的视频 - 我一直在参加马拉松比赛。我今天庆祝农历新年，去寻找一些正宗的中国菜，这些菜与您的饭菜不一样。我出去试图修复失败的花园。您给我希望我可以再次尝试并实现它。所有的。我自己制作了大家具，木材和麻线，我有一些农场经验……但是你把它们都绑在一起了。我给你的妹妹给我帽子。我有自己的YouTube节目，我刚刚开始关于我的时尚系列，我是如此重新启发。我可以看你几个小时。来自这样。加利福尼亚，我想说的是，感谢您大胆，负责人，并使简单的生活当代和非常渴望。
14553,UgxS4pnoa9jW-jBYpe94AaABAg,0,3 years ago,i think her channel reminds us how simple happiness can be. it doesn't have to be something big in the worlds eyes. she brings us closer to nature by showing us all these... things❣️ i'm sorry for my bad english,我认为她的频道使我们想起了幸福的简单。在世界上，它不一定要大。她通过向我们展示所有这些...事物❣️我为我的不良英语而感到抱歉，使我们更接近自然。
15039,UgwmQ4yrnzY3V1syp9t4AaABAg,0,3 years ago,"the beauty of chinese countryside can only understand only people who have lived. i am a farmer from anqing, anhui. i have enjoyed the simple huifeng and wan yun.",中国乡村之美只有生活过的人才能了解。我就是一位来自安徽安庆的农民。从小享受朴实无华的徽风皖韵。
15116,UgzYaG8q1xN2uXktZBp4AaABAg.93XMX1w-pmD93sK_2qEYRI,0,3 years ago,"@onsight1318 most people despise the simple, rural life. a villager is synonymous with a fool",@Onsight1318大多数人鄙视简单的乡村生活。村民是傻瓜的代名词
15158,UgzgacEOczSpp2EvmN14AaABAg,0,3 years ago (edited),"working hard...
love grandma 
looks so gorgeous 
adorable 
simple 
❤❤❤❤❤


i'll be damn if anybody doesn't like her......","努力工作...
爱奶奶
看起来很漂亮
可爱
简单的
❤❤❤❤❤


如果有人不喜欢她，我会该死的……"
15863,Ugwnz54Uuc3AAU1NaqZ4AaABAg,0,3 years ago,nice life surrounded by life growig that feeds you what a beautiful place to live simple and free,良好的生活被生命的生命所包围，它可以为您提供一个美丽的地方，可以简单而自由地生活
15236,UgwQ1bvvL-paoCrGmhZ4AaABAg,0,3 years ago,cs is so simple,CS非常简单
15404,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss97uvbghEZAu,0,3 years ago (edited),"that's a lot of manual labor for a fairytale, still the results are lovely and these videos are so relaxing, in some ways they remind me of my childhood home, it was simpler then...",这是童话般的手动劳动，结果仍然很可爱，这些视频在某些方面使我想起了我的童年家，那就更简单了...
15546,Ugw2BaI0nEIstTsrQ1B4AaABAg,0,3 years ago,i would love to live a simple life like this!,我很想过这样的简单生活！
15550,UgyEqAfl2gh17CQO5jp4AaABAg,0,3 years ago,"much can be learned from such a simple beautiful lifestyle, it's the simple things like these that make life a joy to be part of",从如此简单美丽的生活方式中可以学到很多
15608,Ugzkm0tVEq8X2RZGNKF4AaABAg,0,3 years ago (edited),"she's amazing! its obvious this show is done by professionals.i bet if the cameraman panned off of her we'd see idk a rural estate? she's a chef and those are big portions she's cooking,so she's not just cooking for her and granny. even if it is only a simple village i wanna go move there, live like that.",她太赞了！我敢打赌，如果摄影师摆脱了她，我们会看到IDK是农村庄园吗？她是厨师，那是她正在做饭的大部分，所以她不仅为她和奶奶做饭。即使只是一个简单的村庄，我也想去那样搬到那里。
15647,UgwEvrHNRKRMDYjhB-N4AaABAg.937oi--XsVs93J6D5fam6Z,0,3 years ago,"its the simple lifestyle she has, it keeps them young too.",这是她拥有的简单生活方式，它也使他们年轻。
15686,Ugxw4xyuB21W4RuNOIJ4AaABAg,0,3 years ago (edited),"i was enjoying the video and her stressfree, simple but life-fulfilling moments and activities, perfect/amazing skills/talents in any/every activity, warm auras, aesthetics of the camera angles and moments taken, when all of a sudden im interrupted by an ad. a pizza delivering, dominos ad.
when that car pulled up from the ad, reality hits me like a car accident, making me realize the life, society, environment, and most of all, the s t r e s s that i have and live in. im in an urban area, near an iconic city you could see in postcards. that ad, reminded of how every second counts as a huge factor in my life that could mess it up. that ad, brought back the stress, the feeling of every opportunity good or bad at every corner of my brain. that ad, brought back the weight, suffocation, and reminders that my life is in a city and not as stressfree and life-fulfilling such as her. 
now, i have to watch another video to bring down this stress.","我喜欢视频以及她的无压力，简单但充实的时刻和活动，任何/每项活动的完美/惊人技能/才华，温暖的光环，相机角度的美学和时刻，当时突然被我突然被我打断了一个广告。 Dominos广告的披萨交付。
当那辆车从广告中撤出时，现实像车祸一样袭击了我，使我意识到了生活，社会，环境，最重要的是我所拥有和居住的S t r s s。您可以在明信片中看到的城市。那个广告让人想起了每一秒如何算作我一生中可能会弄乱它的重要因素。那个广告带回了压力，每个机会在我大脑的每个角落都好坏。那个广告使重量，窒息和提醒我的生活在一个城市中，而不是像她这样的无压力和生活充实。
现在，我必须观看另一个视频以减轻这种压力。"
16752,Ugyvxbt-trccShpJTr94AaABAg,0,3 years ago (edited),"she is my dream wife just plain and simple woman no drama just only about family. i feel so at peace watching these videos
my god i wish i lived their","她是我梦dream以求的妻子，只是简单而简单的女人，没有关于家庭的戏剧。我感到和平观看这些视频
我的上帝，我希望我活着"
