,cid,votes,time,含skill,含skill中文翻译
25390,UgxHnoGqfxk5wN16lwF4AaABAg,752,3 years ago,"the cinematography, the content, the editing skills. this is the most perfect video in youtube.",摄影，内容，编辑技能。这是YouTube中最完美的视频。
35814,UgxA7fqSFSw88yd25Ql4AaABAg,721,4 years ago,"i feel ashamed as a girl. she's beautiful, independent, and skillful",我作为一个女孩感到羞耻。她美丽，独立和熟练
6526,Ugysep0UAKCEBkEPxNh4AaABAg,428,2 years ago (edited),"i feel like if i’m watching a studio ghibli real life movie.

your camera skills are so good and music choice is flawless.","我觉得如果我正在看吉卜力现实生活中的工作室电影。

您的相机技能非常好，音乐选择是完美无瑕的。"
43532,Ugzptg3CQ8sQyFpau5J4AaABAg,283,4 years ago,"cute , hard -working , skillful - these words are for her",可爱，努力，熟练 - 这些单词适合她
46847,Ugzy9Ytt29Kbh9V16id4AaABAg,222,4 years ago (edited),"i come from the same place with you, li ziqi. everytime i watch your videos, it reminds me of my childhood and my grandmother. we also lived in the small and beautiful village in sichuan province. my grandmother even has the same skills as you, she knows how to planting, cooking and making some useful tools. i'm so glad that you introduce our traditional rural lifestyle to the people all over the world. and let them know there are not only beijing, shanghai and shenzhen in china, but also a land of abundance which last a unique lifestyle for more than thousand years, and named sichuan, also the land of heaven in chinese. but i can't back to sichuan because of exams this year, and your video will accompany with me in the chinese new year. support from a chinese and szechuanese in italy. happy chinese new year!!!!",我和你一起来自同一个地方，李齐。每当我观看您的视频时，它都会让我想起我的童年和祖母。我们还住在四川省美丽而美丽的村庄。我的祖母甚至具有与您相同的技能，她知道如何种植，烹饪和制造一些有用的工具。我很高兴您将我们传统的乡村生活方式介绍给世界各地的人们。让他们知道，中国不仅有北京，上海和深圳，而且还有一片丰富的土地，持续了一千年的独特生活方式，并命名为Sichuan，也是中国人的天堂之地。但是由于今年的考试，我无法回到四川，您的视频将在农历新年陪伴我。意大利的中国和锡古扬人的支持。农历新年快乐!!!!
22170,Ugyehpm6WYaRRaPthnp4AaABAg,218,3 years ago,"other people: wow she has so much talent. look at all of her skills

me: wait. is that a round mango?","其他人：哇，她有很多才华。看她的所有技能

我：等等。那是圆形芒果吗？"
42612,Ugx7O2f_d5NDecHu3Vx4AaABAg,100,4 years ago,i'm so glad i found this channel. something about watching people do what they love so skillfully is just so satisfying. idk how else to explain it. i love these videos to pieces. please keep them coming! <3 <3 <3,我很高兴找到了这个频道。看着人们如此熟练地做自己喜欢的事情是如此令人满意。 idk还有其他解释。我喜欢这些视频。请让他们来！ <3 <3 <3
21311,Ugw56japdzLAqaFKzLd4AaABAg,95,3 years ago,"when she was doing the chores in childhood time, she probably didn't expect the seemingly mumdane skills would bring her a fortune.",当她在童年时期做家务时，她可能没想到看似穆丹的技能会带给她一大笔钱。
26723,Ugz6QOTzmnKwsIwRGnZ4AaABAg,75,3 years ago (edited),"the picture quality is so good. not to forget, this girlโ€s cooking and handicrafts skill is great too.",图片质量太好了。不要忘记，这个女孩的烹饪和手工艺技能也很棒。
27811,Ugw9caR8LBdIHDxANAJ4AaABAg,64,3 years ago,"i have insurmountable respect and admiration for this woman. not just from what i see in the videos, but the fact she's bringing back to new life an archaic way of doing things. because of her i've learned a lot about culture, process and reaction. also because of her, i've gained several new skills.",我对这个女人有无法克服的尊重和钦佩。不仅是从我在视频中看到的内容，而且她将新生活带回了新生活，这是一种古老的做事方式。由于她，我学到了很多关于文化，过程和反应的知识。另外，由于她，我获得了几种新技能。
842,UgyaWS8UuyEJl7SHLEZ4AaABAg,49,6 months ago,your cooking skills are great! ❤️,您的烹饪技巧很棒！ ❤️
5418,UgzXFPB-s3SfFJ2RZc54AaABAg,46,1 year ago (edited),"she is the strongest woman that i have ever seen with multi-skills from the engineer, landscaper, and chef. big love from farmer's son.❤",她是我在工程师，园丁和厨师的多技能中见过的最坚强的女人。农民儿子的大爱。
8024,Ugz6IxDNzVy1W6qpOQp4AaABAg,42,2 years ago,who ever shot this video has great skills he shot this video like a movie,曾经拍摄过这段视频的人，他像电影一样拍摄了这段视频
30988,Ugwr22eLPwBmdeQ8EsF4AaABAg,35,3 years ago,"fantastic work, it reminds me my childhood life! she possesses skills of majority of farmer house wife in a typical traditional chinese community.",出色的工作，这使我想起了我的童年生活！在典型的中国传统社区中，她拥有大多数农民之家妻子的技能。
11142,Ugz93V2m1bRLGjYqgi54AaABAg,34,2 years ago,"so many ability and so many skills, l like that kind of woman and very kind.",如此众多的能力和如此多的技能，我喜欢那种女人和非常友善。
7525,UgzNrsIZv0w0zdk12vd4AaABAg,33,2 years ago,"when i watched this, i was really impressed to see her very diligent and skillful daily activities...",当我看这件事时，看到她非常勤奋和熟练的日常活动给我留下了深刻的印象。
22449,Ugzk2hZzSJPMNCq5HPR4AaABAg.92v_huHNonN935FNYZNSPp,25,3 years ago (edited),"it's back to basics. i need to go live in a farm eventually. no stress from city living. no commutes. to be surrounded by horses, cows and dogs. in a way my 90 yr old dad is doing this. we have fresh cow's milk everyday. and a full year supply of rice from my brother who tills the land. we learned a lot of skills from our dad. my brothers are very talented (can do many different things) while i, on the other hand, pursued opportunities in the corporate world. one or two more years, i will be leaving the big urban jungle for a simple life.",这回到了基础。我最终需要在农场生活。没有城市生活的压力。没有通勤。被马，牛和狗包围。从某种意义上说，我90岁的爸爸正在这样做。我们每天都有新鲜的牛奶。以及我哥哥耕种土地的全年饭。我们从父亲那里学到了很多技能。我的兄弟们很有才华（可以做很多不同的事情），而另一方面，我在企业界寻求机会。一两年来，我将离开大城市丛林，过着简单的生活。
35023,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8vBIOeDt2fe,23,4 years ago,@parkersnowe sorry but many of these skills are passed on from generation to generation.. you can learn certain things but it's not the same if you don't need to do it to survive.,@parkersnowe对不起，但是许多此类技能曾经世代相传..您可以学习某些东西，但是如果您不需要生存，那就不一样了。
30194,Ugx4D3n1zdfLT9adqXl4AaABAg,22,3 years ago (edited),"how could someone dislike this kind of video? so relaxing and admirable.
perhaps those who dislike it are envious of your life and skills.","有人怎么会不喜欢这种视频？如此放松和令人钦佩。
也许那些不喜欢它的人羡慕您的生活和技能。"
16529,UgwndTs4wucNgNjt5x94AaABAg.98eO-d8XaSd98uH5OVgzNP,22,3 years ago,"@wuxh2708 her mother was dead when she was young!! she was with a cruel step mother! her dad and grand parents were good cooks! her dad cooks allot in the village for almost all the occasions that way she learned alot of recepies from grand parents amd her dad!! she worked various jobs! she wanted to do new things but almost failed in lot of stuff! she got to return to back home, her village upon hearing that her grandma health when was not good and somone needed day and night to take care!! so that struck a thought in her mind to do something and at the same time be with her grandma! her grand parents own some land in mountains so she started what her legacy was cooking, farming, chinese art, etc!!being worked as a dj people say that experience helped her to add music, edit videos while she filmed all her videos on own very early days! her videos initially were posted only in chinese video sharing platforms! when she got good recognition in those platforms for her all the skills she started youtube!! she hired a crew of 3 people who take care of shooting, editing, posting!! all these efforts and dedication made her a massive hit today! some section of people unable to digest her success called her actor, fake, and also few said she is not chinese!! at that time she released a few seconds video saying she belongs to china and she is chinese!! nothing altered her to date!! she is the same loving, caring person!! i just shared what i came to know about her thru many sources!!",@wuxh2708她的母亲小时候死了！她和一个残酷的继母在一起！她的父亲和大父母是好厨师！她的父亲几乎在所有场合都在村子里烹饪分配，从而从父母那里学到了很多回忆！她从事各种工作！她想做新事物，但几乎失败了！她得知她的祖母健康不好，白天和黑夜都需要照顾时，她必须回到家中，她的祖母健康！！这样一来，她就想到了做某事，同时与她的祖母在一起！她的祖父母在山上拥有一些土地，因此她开始了自己的遗产是烹饪，耕种，中国艺术等！被当作DJ的人说，这种经验有助于她添加音乐，编辑视频，而她独自拍摄了所有视频很早！她的视频最初仅发布在中国视频共享平台上！当她在这些平台上为自己的所有技能获得良好的认可时，她就开始了YouTube！她雇用了3个照顾射击，编辑，发布的船员！所有这些努力和奉献精神使她今天受到了巨大的打击！一部分无法消化她的成功，称她的演员是假的，而且很少有人说她不是中国人！那时，她发布了几秒钟的视频，说她属于中国，她是中国人！到目前为止，没有什么改变她！她是同样的爱心，有爱心的人！我刚刚分享了我对她的了解，这是通过许多来源！！
18350,UgyVnU8FwUnNwJQ_NBZ4AaABAg,22,3 years ago,i truly admire this lady. she is so well rounded and skilled at so many things and is kind to her family. best wishes always to her.,我真的很佩服这位女士。她在很多事情上都非常圆润，熟练，对她的家人很友善。祝她最好。
45892,Ugzwdeqs57AzTAoMvY14AaABAg,21,4 years ago,"your video production and edit skills are so perfect. you do everything so well and when you combine that with all the skills you show in these videos, i find it inspiring.",您的视频制作和编辑技能是如此完美。您会做得很好，当您将其与这些视频中显示的所有技能结合在一起时，我会发现它令人鼓舞。
31568,UgxG6rQbECUYkdtpilB4AaABAg,20,4 years ago,i would trade my current life to be in a house this beautiful and liqizi's skills.,我会把我当前的生活换成这个美丽而利奇西的技能。
7593,UgwTI7dQPta4CmB7AGh4AaABAg,20,2 years ago,"i like ziqi so much. forever full of positive energy and skills. watching her video is a great enjoyment and happiness. i also like her chinese windbreaker, so beautiful and comfortable. blessing ziqi, come on!",太喜欢子柒了。永远充满了无限的正能量和技能。看她的视频真是一大享受和幸福。我也好喜欢她的中国风衣着，真漂亮舒适。祝福子柒，加油！
43903,UgyvvciMRf8_achl4HN4AaABAg,19,4 years ago,"stunning videos! i love this girl! i traveled a lot in china and with great pleasure i plunge into this calm, peaceful atmosphere of rural life. as we all, in our time, do not have enough enjoying our life, pleasure from our work, skill will focus on the beautiful present! thank you! !",令人惊叹的视频！我爱这个女孩！我在中国旅行很多，很高兴我陷入了这种镇定，宁静的乡村生活的氛围。在我们时代，我们所有人都没有足够的享受，我们的工作很高兴，技能将集中在美丽的礼物上！谢谢！
32494,UgyIxvPyiC8eDoOzRfB4AaABAg.8vpQsjhrFL18y_b39qwBk5,12,3 years ago (edited),"@jewel_sapphire she said in some interviews that she used to work as a waitress and dj in the city because her family was poor. her mother passed away when she was really young so she lived with her father and her step mother. she was mistreated by her step mother so she moved to live with her grand parents when her dad passed away. yeah her grandfather was a chef and she probably learnt a lot from him but we have to agree that her cooking skills and other skills are so amazing, which she must work so hard to gain them. she's a real life princess to me because she doesn't hesitate to do anything, even the tough ones. we all know that she definitely earn a lot money from her videos but come on don't we feel relaxed and satisfied watching her videos? she's successful and she deserves it.",@jewel_sapphire她在一些采访中说，她曾经在城市里担任女服务员，因为她的家人很差。她的母亲在她真的很小的时候就去世了，所以她和父亲和继母住在一起。她的继母虐待她，所以当父亲去世时，她搬到了与祖父的父母住在一起。是的，她的祖父是一名厨师，她可能从他那里学到了很多东西，但我们必须同意她的烹饪技巧和其他技能是如此出色，她必须努力工作才能获得。她是我的现实生活公主，因为她毫不犹豫地做任何事情，甚至是艰难的人。我们都知道她肯定会从视频中赚到很多钱，但是来吧，看着她的视频，我们不感到放松和满意吗？她很成功，她应该得到。
625,UgxmjhrQsRc6tRsnsjJ4AaABAg,12,5 months ago,"i really like to watch these films, everything is very simple, the hostess works skillfully, well done",我真的很喜欢看这些电影，一切都很简单，女主人巧妙地工作，做得很好
37466,UgzhjWfHrOauiTWloVl4AaABAg,11,4 years ago,"i don't understand the cooking skills, i watched your video drool (ยฏ๏นยฏ)",表示不懂厨艺的我看着你的视频流口水(¯﹃¯)
32056,UgwlrcsnlxBK_XQhCXd4AaABAg.8vztA6WkhKN8wDRAoWL5qM,9,4 years ago,grandma probably taught her most of the skills she's using in these videos,奶奶可能教了她在这些视频中使用的大部分技能
21043,Ugz5P4xPsdR6Z9czEyd4AaABAg.941vCdSLPgO951f250kl2a,9,3 years ago,"@idontcarei i thought the same, but i've just made some research and it seems that she really does all that job, she just takes extra time to make the videos look this aethetic. her story is also inspiring, she had a tought childhood and went through a lot until her grandparents took care of her and taught her to cook and other skills.",@idontcarei我也​​这样认为，但是我只是做了一些研究，看来她确实完成了所有工作，她只是花了更多时间让视频看起来像是一种富有的。她的故事也鼓舞人心，她度过了一个童年时光，经历了很多事情，直到她的祖父母照顾她并教她做饭和其他技能。
39977,UgzqtRde9K0jmUT0jgd4AaABAg,8,4 years ago,"wow! young lady with amazing skill and hard working. this is part of wonderful chinese culture , thank you ๐",哇！年轻女士的技巧和努力工作。这是奇妙的中国文化的一部分，谢谢
2635,UgyZ3q6ap-2iPQZR5dV4AaABAg.9XG_cHHUo9u9YviLxcStY2,7,1 year ago,ms. li's video production skills are superb.,李女士的视频制作技巧非常出色。
21328,Ugw56japdzLAqaFKzLd4AaABAg.93kft2Vm__3944aOBe9whI,7,3 years ago,"phil tian according to online youtube sites she could be earning as much as $3 million a year from youtube alone. probably not that close, but when you factor in she has over 30 million subscribers on chinese platforms itโ€s fair to say that $3 million is probably conservative. although youtube is technically illegal and banned in china, in cases such as hers, where they make the country and culture look good, the ccp encourages their youtube participation. her skills are fantastic, but whomever is doing the filming and editing is doing a fine job too.",菲尔·蒂安（Phil Tian）根据在线YouTube网站，仅YouTube就可以每年收入高达300万美元。可能不是那么接近，但是当您考虑她在中国平台上拥有超过3000万订户时，可以说300万美元可能是保守的。尽管YouTube在技术上是非法的，并且在中国被禁止使用，但在她的情况下，使国家和文化看起来不错，但CCP鼓励他们的YouTube参与。她的技能很棒，但是无论如何都在拍摄和编辑也做得很好。
15547,UgzkL4ymit7z1Dpp0Id4AaABAg,6,3 years ago (edited),"the fact that i have all of those materials in my hometown, but i'm lack of skills to process them... whenever i go to my hometown, i'll just stay at home and do nothing hmm.

i'm f*cking missing my home but corona makes me have to stay here ...

stay safe everyone!","我在家乡有所有这些材料，但是我缺乏处理它们的技能...每当我去家乡时，我都会待在家里，什么也不做嗯。

我想念我的家，但电晕让我必须留在这里...

每个人都安全！"
22928,UgxA2fu0VtTNINBwEUZ4AaABAg,6,3 years ago,my mother -in -law is really a blessing of my life. she silently eat her granddaughter's good cooking skills every day! envy!,婆婆真的是前辈子修来的福分，每天默默的吃着孙女善巧的厨艺 ! 羡慕不已 !
34669,Ugz1ByJ0UmSRK08Wz7t4AaABAg,5,4 years ago,"this girl is awesome, skilled, kind, beautiful and adorable.",这个女孩很棒，熟练，善良，美丽且可爱。
49251,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT8ri8F7vpEl_,4,4 years ago,i dont like chili but her photography and skills are amazing from very hard work comes this quality. i would buy her book.,我不喜欢辣椒，但是她的摄影和技能从非常努力的工作中出现了，这是这种质量的。我会买她的书。
35829,UgxA7fqSFSw88yd25Ql4AaABAg.8u_JCCrPamT8ukquF8Wa-u,4,4 years ago,it just makes me want to learn more homesteading skills,这只是让我想学习更多的宅家技能
29273,UgxFnfqq4OFtZhQBTsh4AaABAg,3,3 years ago,"with a sweetness like her, you'll never go hungry. or complain you eat the same stuff over and over. i've never seen so much mad skills and talent in just one person. she's truly my hero๐๐’•๐’•๐’•.",像她一样的甜蜜，您永远不会饿。或抱怨您一遍又一遍地吃同样的东西。我从来没有看到过如此多的疯狂技能和才华。她确实是我的英雄。
42658,UgxnbhWtD8x5eTg19fR4AaABAg,3,4 years ago,"you are one of the best people who could ever exist on this earth :) you are beautiful, so hardworking, so skilled so amazing in everything.....

your videos are like medicine to me.... what a lifestyle","您是地球上有史以来最好的人之一：)您很漂亮，如此勤奋，如此熟练的一切都如此惊人.....

你的视频对我来说就像药一样。"
35832,UgxA7fqSFSw88yd25Ql4AaABAg.8u_JCCrPamT8uqHxbcWDuB,3,4 years ago,we should all feel ashamed for losing most of these good skills in the west,我们都应该因为在西方失去大多数好技能而感到羞耻
30399,Ugwb5G0U0WiU_HtE7C54AaABAg,3,3 years ago,"the girl in this video looked so beautiful, her skills can tell her personality",这个视频中的女孩看起来很漂亮，她的技能可以告诉她个性
35077,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8w2tKREqSVD,3,4 years ago (edited),"@therewasnochill8997 i've read an article about her, her parents divorced at a young age, she had several jobs in china but left it all behind when she heard her grand mother was sick, so she moved in with her grand parents in the rural area to took care of her grand mother.
p.s: the skills you see her doing in all her videos was taught by her grand father, who sadly passed away. and she was inspired by her brother because he was a youtuber and saw him doing videos about vlogging, so she decided to make her own version but doing practical stuff
here's the sauce:
https://en.m.wikipedia.org/wiki/li_ziqi_(food_blogger)","@thenwasnochill8997我读过一篇有关她的文章，父母在年轻时离婚，她在中国有几份工作，但当她听到她的大母亲生病时，她留下了所有工作照顾她的大母亲的地区。
附注：您看到她在所有视频中所做的技能是由她的祖父教授的，她可悲地去世了。她受到哥哥的启发，因为他是YouTuber，并看到他做有关Vlogging的视频，因此她决定制作自己的版本，但要做实用的事情
这是酱汁：
https://en.m.wikipedia.org/wiki/li_ziqi_(food_blogger）"
20716,UgzUCPLTl3GkYuwi9Ip4AaABAg,3,3 years ago (edited),"you know what? i've watched this video uncountable times. i'm so in love with this video. and a video completes when you have not only skills but you have a good camera man, a good editor and that's make a video complete. this video film so beautifully and edit very beautifully and of course your work, your skills are perfect not everyone can do all these things. you are a very hard working person. and the efforts of your camera man and your editor are also praiseworthy. keep it up guys. you all are working perfectly. ๐‘ love from pakistan ๐ต๐ฐ",你知道吗？我看了这个视频无数的时间。我很喜欢这个视频。当您拥有技能，而且有一个好的相机人，一个好的编辑器，这是一个完整的视频，视频就完成了。这部视频电影如此精美，非常漂亮，当然您的作品是完美的，并不是每个人都可以做所有这些事情。你是一个非常勤奋的人。相机人和编辑的努力也值得称赞。保持伙计们。你们都工作得很好。
4267,UgybaqlaPDXgQ89PPld4AaABAg.9Re070FLoFc9Ufyfa3udRC,2,1 year ago,also she started alone she got rich she hires crew but she directs everything and she edit it and also shoot it herself... tsk tsk as you said again even if shes undergrad she has the skills thats why she is rich. just enjoy her work okay regardless if she has crews she is a self made millionaire as you said so meaning even this videos she work hard on it. meaning she made a lifestyle in rural and shared it to us in high level of video editing compressing a nine month cycle of video editing into 10-15 minutes.,另外，她独自一人富裕，她雇用了船员，但她指导了所有内容，她会编辑并自己拍摄... Tsk tsk，即使她的本科生也有自己的技能，这就是为什么她很富有。无论她是否有船员，她都是一个自我制造的百万富翁，就像您所说的那样，即使是她在努力工作的视频，她都会享受自己的工作。这意味着她在乡村度过了一种生活方式，并在高水平的视频编辑中分享了它，将视频编辑的九个月周期压缩到10-15分钟。
4068,Ugz3o11BchNghJOmuMl4AaABAg,2,1 year ago,honestly she is good at cooking her cooking skills are amazing,老实说，她擅长烹饪她的烹饪技巧很棒
25779,UgzZmKEUr6WZV62Qqqd4AaABAg,2,3 years ago,i love her videos.i think all women should be just like her hardworking and good skills. watching her makes me want to do more in my life.,我喜欢她的视频。我认为所有女性都应该像她的勤奋和良好的技能一样。看着她让我想在生活中做更多的事情。
23135,UgztKD3QY8jtcl9-GwN4AaABAg,2,3 years ago,"what if chinese people are like some people in china? isn't it good to show people all over the world? is it possible to show the spraying skills unique to the chinese people? the attention of more than 7 million is not easy, and some people in china are too disappointing. beautiful things are scolded, and bad ones must be scolded",如果中国人都像国内那有一部分人那样中国该如何是好？把美好的东西展示给全世界人看难道不好吗？难道要展示中国人特有的喷子技巧才是可以的？700多万的关注来之不易，国内一些人太让人失望了。美好的东西要被骂，不好的也要被骂
35062,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8vazokIJOCT,2,4 years ago,"brandon shorkey 
when we ruin the world with global warming, these may be skills we need to survive. and yet, we are taught none.","布兰登·肖基（Brandon Shorkey）
当我们用全球变暖破坏世界时，这些可能是我们需要生存的技能。但是，我们没有教导我们。"
4899,UgwdPNqpw8VZNZeyabZ4AaABAg,2,1 year ago,the skills and taste of the production team are the reason for the success of this video.,制作团队的技巧和品味是这部视频成功的原因。
19687,UgwckxUG_K1wjg551s14AaABAg,2,3 years ago,"if you've ever done a real days work in your life you can recognize someone who's become skilled through experience, this is something you can not fake.",如果您曾经在生活中做过真实的日子工作，那么您可以认识到一个通过经验熟练的人，这是您无法伪造的。
30470,UgyXNQPk6xTUEdX74uB4AaABAg,2,3 years ago,"seeing that your work has a feeling of seeing each other and hate, it is really as treasured! in the influence of the philosophical thoughts of yin and yang five elements in traditional chinese culture education, confucian ethical and moral concepts, traditional chinese medicine nutritional photography, and cultural and artistic achievements, diet aesthetic style, and many factors of national characteristics, they created the chinese cooking skills of the book of history. form a broad and profound chinese food culture. your profound understanding of the traditional chinese diet and culture is perfectly presented with the beautiful chinese style that is so beautiful! as a native of china, the chinese are also amazing, and they are intoxicated! under the influence of the world's multiculturalism, many excellent cultures have been forgotten, the outlook on life, and values โ€โ€have also changed in the long -term subtle way. whether it is chinese or the people of the world, there are always things in common in the hearts of human beings. they all advocate true, good, and beautiful. they like tranquility and peace, and they are eager to happiness and happiness. the environment of your life is like a paradise, the mountains and rivers are beautiful, and the ecological environment that people and nature live in harmony are enviable. your work can help us calm down the impetuous heart, re -think about life, and find the most precious beauty in the original memory of human beings!",看到您的作品有种相见恨晚的感觉，真的如获至宝！在中国传统文化教育中的阴阳五行哲学思想，儒家伦理道德观念，中医营养摄生学说，还有文化艺术成就，饮食审美风尚，民族性格特征诸多因素的影响下，创造出彪炳史册的中国烹饪技艺，形成博大精深的中国饮食文化。您对中华传统饮食和文化的深刻理解并用美到令人窒息的唯美中国风完美呈现出来！作为土生土长的中国人也都叹为观止，如痴如醉！在世界多元文化的影响下，好多优秀的曾经引以为荣的文化已经被淡忘，人生观，价值观也在长久的潜移默化中改变。无论是中国人还是世界人民，在人类心灵深处，总有一些东西是共通的，都崇尚真善美，都喜欢宁静与祥和，都渴望幸福与快乐。您生活的环境犹如世外桃源，山青水秀，人与自然和谐相处的生态环境让人羡慕不已。您的作品能帮助我们静下浮躁不安的心，重新思考人生，找寻人类最初的记忆中最珍贵的美好！
2193,UgxMKNK6i30tmWgCITR4AaABAg,2,1 year ago,"love watching ur video....
and also ur cooking skills...
❤️❤️❤️❤️❤️","喜欢看你的视频...
还有你的烹饪技巧...
❤️❤️❤️❤️❤️❤️"
5044,UgwnJMUik8QVYX3Yp-l4AaABAg,2,1 year ago,i admire this girl. skillfull,我很欣赏这个女孩。熟练
20537,UgyppSjpy_V__Ukn4Kh4AaABAg,2,3 years ago,"that's how we're supposed to live! love her perfectionism, grace and skillset! so gorgeous too! love from norway ๐ณ๐ด",这就是我们应该生活的方式！爱她的完美主义，恩典和技能！太漂亮了！来自挪威的爱
